label,universe,age,L,trail,cost_bps,cash_y,min_bars,n_signals_w2,w2_cagr,w2_cagr_lo,w2_cagr_hi,w2_dd,w2_dd_worst,w2_calmar,w2_n,w2_tpy,w2_win,w2_mean,w2_netexp,w2_avg_win,w2_avg_loss,w2_hold_mean,w2_inv,w2_streak,hold_median,cap_med_pct_tv_10L,cap_p90_pct_tv_10L,cap_p90_pct_tv_1cr,book_L_at_p90_5pct,young6m_share_pct,rank_median,distinct_names,stale_open_per_seed,top10_share_pct,mean_ex_top10,secs
all__vet_any__c40,all,vet_any,25,50,40,0.052,25,32974,6.32,2.69,11.08,-47.97,-62.52,0.132,729,35.3,36.9,1.978,1.178,17.28,-6.87,34.0,64.1,16,30.0,0.223,0.782,7.82,64.0,8.8,141.0,251,0.0,26.4,1.47,8.0
all__vet_any__c60,all,vet_any,25,50,60,0.052,25,32974,3.69,0.01,9.21,-54.49,-71.99,0.068,727,35.2,36.6,1.953,0.753,17.36,-6.88,34.0,64.1,16,30.0,0.176,0.601,6.01,83.2,8.8,141.0,250,0.0,26.6,1.47,7.0
mid101_250__none__c40,mid101_250,none,25,50,40,0.052,25,25378,7.19,2.94,11.06,-54.47,-68.26,0.132,743,36.0,37.6,2.109,1.309,16.88,-6.76,36.0,67.3,17,30.0,0.287,0.766,7.66,65.3,1.0,145.0,307,0.0,23.4,1.64,7.0
mid101_250__none__c60,mid101_250,none,25,50,60,0.052,25,25378,4.3,0.18,8.33,-61.19,-77.45,0.07,738,35.7,37.7,2.079,0.879,16.84,-6.69,36.0,67.3,17,30.0,0.238,0.657,6.57,76.1,1.0,145.0,304,0.0,23.7,1.62,7.0
rank501plus__gt6__c40,rank501plus,gt6,25,50,40,0.052,25,16526,6.45,3.58,8.75,-38.62,-56.22,0.167,334,16.2,37.7,2.218,1.418,19.32,-7.87,33.0,27.6,13,28.0,0.59,1.183,11.83,42.3,0.0,601.0,245,0.0,50.5,1.15,4.0
rank501plus__gt6__c60,rank501plus,gt6,25,50,60,0.052,25,16526,5.51,2.86,7.81,-40.84,-58.71,0.135,332,16.1,37.6,2.318,1.118,19.29,-7.88,33.0,27.7,12,28.0,0.541,1.038,10.38,48.2,0.0,601.0,245,0.0,48.4,1.26,4.0
all__le6__c40,all,le6,25,50,40,0.052,25,1707,20.83,19.41,22.63,-26.49,-41.92,0.786,418,20.2,48.0,6.41,5.61,21.24,-7.37,35.0,37.2,11,29.0,1.301,8.3,83.0,6.0,99.1,182.0,220,0.0,14.6,5.6,4.0
all__le6__c60,all,le6,25,50,60,0.052,25,1707,19.4,17.74,21.07,-28.47,-41.35,0.682,417,20.2,48.4,6.488,5.288,21.23,-7.37,35.0,37.2,10,29.0,1.135,6.76,67.6,7.4,99.1,184.0,218,0.0,14.6,5.68,4.0
all__le6__mb60_livebook__c40,all,le6,25,50,40,0.052,60,1068,11.45,10.4,12.91,-38.77,-43.99,0.295,358,17.3,40.6,4.123,3.323,20.74,-7.27,35.0,31.7,23,28.0,0.553,2.355,23.55,21.2,99.1,190.0,200,0.0,24.9,3.19,3.0
all__le6__mb60_livebook__c60,all,le6,25,50,60,0.052,60,1068,10.15,9.04,11.65,-42.05,-50.19,0.241,358,17.3,40.6,4.1,2.9,20.74,-7.26,35.0,31.8,23,28.0,0.495,1.986,19.86,25.2,99.1,190.0,200,0.0,25.0,3.16,3.0
