date,baseline,rsi50,vwap,volspike,htf,confluence
2024-03-18,-1505.57,-1505.57,-1505.57,0.00,-1505.57,0.00
2024-03-19,-347.75,-347.75,-347.75,0.00,-807.39,0.00
2024-03-20,-3666.12,-3666.12,-3666.12,0.00,-897.15,0.00
2024-03-21,-1970.91,-1970.91,-1970.91,-968.55,-1002.36,0.00
2024-03-22,2182.59,2182.59,2182.59,2182.59,2182.59,2182.59
2024-03-26,-924.56,-924.56,-924.56,-2110.60,-924.56,-2110.60
2024-03-27,-664.57,-664.57,-664.57,0.00,305.77,0.00
2024-04-01,-2820.93,-2820.93,-2925.18,-1980.57,-2820.93,-1980.57
2024-04-02,-2135.35,-2135.35,-2135.35,-1117.83,-1117.83,-1117.83
2024-04-03,-3741.44,-3741.44,-2891.40,-3741.44,-2017.93,-2017.93
2024-04-04,-1030.58,-1030.58,-1030.58,1842.26,826.10,826.10
2024-04-05,-5441.07,-5441.07,-5441.07,-2270.57,-5458.66,-3395.43
2024-04-09,-325.92,-325.92,-325.92,-1247.29,921.37,0.00
2024-04-10,1034.44,1034.44,1034.44,1034.44,0.00,0.00
2024-04-12,-1036.12,-1036.12,-1036.12,97.06,0.00,0.00
2024-04-15,-2760.26,-2760.26,-2760.26,-2760.26,-988.70,-988.70
2024-04-18,-2430.79,-2430.79,-2430.79,-2430.79,-2430.79,-2430.79
2024-04-19,77.43,77.43,77.43,77.43,0.00,0.00
2024-04-22,-1682.58,-1682.58,-877.71,323.99,-1201.69,0.00
2024-04-23,-3665.79,-3665.79,-3665.79,0.00,-1746.42,0.00
2024-04-25,-3150.30,-3150.30,-3150.30,-3221.58,-3150.30,-3221.58
2024-04-26,1109.48,1109.48,1109.48,-1259.92,-127.78,-1259.92
2024-04-29,-4512.96,-4512.96,-4863.89,0.00,-2364.93,0.00
2024-04-30,-3663.86,-3663.86,-3663.86,-3663.86,-3663.86,-3663.86
2024-05-03,1194.59,1194.59,1194.59,0.00,0.00,0.00
2024-05-06,-1348.88,-1348.88,-1348.88,-1348.88,0.00,0.00
2024-05-07,-3056.86,-3056.86,-3056.86,-1147.86,0.00,0.00
2024-05-08,-1064.15,-1064.15,-1064.15,-1064.15,-1064.15,-1064.15
2024-05-09,-30.38,-30.38,-30.38,-1372.41,-1105.47,-1372.41
2024-05-13,-911.93,-911.93,-911.93,1199.14,-911.93,1199.14
2024-05-14,-1205.18,-1205.18,-1205.18,0.00,-1205.18,0.00
2024-05-15,-1634.64,-1634.64,-1634.64,-952.47,-952.47,-952.47
2024-05-16,-4422.44,-4422.44,-4422.44,-1025.59,-2220.29,-1025.59
2024-05-17,-907.60,-907.60,-907.60,503.41,503.41,503.41
2024-05-21,-1398.22,-1398.22,-1398.22,-1477.52,-904.11,-482.45
2024-05-22,-6867.61,-6867.61,-5876.95,-2277.64,-3833.10,-1286.98
2024-05-23,-1993.20,-1993.20,-1993.20,-506.83,-1692.32,-506.83
2024-05-24,-2997.44,-2997.44,-2997.44,-938.49,-893.10,0.00
2024-05-27,-1411.86,-1411.86,-1395.44,0.00,0.00,0.00
2024-05-28,-1880.69,-1880.69,-1880.69,30.70,95.66,1089.52
2024-05-29,-558.19,-558.19,-558.19,-824.24,266.05,0.00
2024-05-30,-1986.99,-1986.99,-1986.99,-929.12,-1834.26,-929.12
2024-05-31,-1246.58,-1246.58,-1246.58,943.46,-1126.99,0.00
2024-06-04,2728.65,2728.65,2728.65,0.00,0.00,0.00
2024-06-05,-2892.09,-2892.09,-2892.09,0.00,0.00,0.00
2024-06-06,-2706.77,-2706.77,-2706.77,-290.74,-1484.44,931.60
2024-06-07,-2028.20,-2028.20,-2028.20,-1620.09,-719.45,-1620.09
2024-06-10,-1930.09,-1930.09,-1930.09,491.44,-1050.61,491.44
2024-06-12,-2320.49,-2320.49,-2320.49,-1349.08,-931.73,39.68
2024-06-13,-2018.07,-2018.07,-2018.07,-971.65,0.00,0.00
2024-06-14,-2867.54,-2867.54,-2867.54,-2818.46,-3291.21,-3242.12
2024-06-18,-6153.63,-6153.63,-6153.63,-2516.42,-3557.56,-2516.42
