date,long_baseline,long_volspike,long_htf,long_confluence,contra_baseline,contra_volspike,contra_htf,contra_confluence
2024-03-18,-1505.57,0.00,-1505.57,0.00,-385.67,0.00,0.00,0.00
2024-03-19,-347.75,0.00,-807.39,0.00,-1779.00,0.00,-2057.11,0.00
2024-03-20,-3666.12,0.00,-897.15,0.00,293.80,0.00,1190.28,0.00
2024-03-21,-1970.91,-968.55,-1002.36,0.00,1258.40,592.45,1137.55,0.00
2024-03-22,2182.59,2182.59,2182.59,2182.59,-2441.83,-2441.83,0.00,0.00
2024-03-26,-924.56,-2110.60,-924.56,-2110.60,255.02,1523.90,0.00,0.00
2024-03-27,-664.57,0.00,305.77,0.00,-1796.68,0.00,-969.56,0.00
2024-04-01,-2820.93,-1980.57,-2820.93,-1980.57,-2052.39,-901.48,0.00,0.00
2024-04-02,-2135.35,-1117.83,-1117.83,-1117.83,-1575.77,889.74,-2465.51,0.00
2024-04-03,-3741.44,-3741.44,-2017.93,-2017.93,-1013.79,-1013.79,-449.70,-849.44
2024-04-04,-1030.58,1842.26,826.10,826.10,-5138.56,-2268.67,-4049.92,0.00
2024-04-05,-5441.07,-2270.57,-5458.66,-3395.43,90.94,1517.67,-3417.49,0.00
2024-04-09,-325.92,-1247.29,921.37,0.00,-2372.66,-1246.10,-1246.10,0.00
2024-04-10,1034.44,1034.44,0.00,0.00,-1193.22,-1193.22,-1193.22,0.00
2024-04-12,-1036.12,97.06,0.00,0.00,-1517.13,-2431.61,-1517.13,0.00
2024-04-15,-2760.26,-2760.26,-988.70,-988.70,2823.46,2823.46,2197.51,0.00
2024-04-18,-2430.79,-2430.79,-2430.79,-2430.79,12.42,12.42,0.00,0.00
2024-04-19,77.43,77.43,0.00,0.00,-1273.05,-1273.05,-1273.05,0.00
2024-04-22,-1682.58,323.99,-1201.69,0.00,-1989.60,-1055.78,-786.77,0.00
2024-04-23,-3665.79,0.00,-1746.42,0.00,1584.40,0.00,784.50,0.00
2024-04-25,-3150.30,-3221.58,-3150.30,-3221.58,-1784.87,252.07,0.00,0.00
2024-04-26,1109.48,-1259.92,-127.78,-1259.92,-1262.29,1172.59,-1284.23,0.00
2024-04-29,-4512.96,0.00,-2364.93,0.00,-5252.62,0.00,-3346.35,0.00
2024-04-30,-3663.86,-3663.86,-3663.86,-3663.86,-2557.75,-2557.75,316.67,0.00
2024-05-03,1194.59,0.00,0.00,0.00,-4007.79,0.00,-4007.79,0.00
2024-05-06,-1348.88,-1348.88,0.00,0.00,-1350.23,-1350.23,-1350.23,0.00
2024-05-07,-3056.86,-1147.86,0.00,0.00,1323.91,-1148.90,1323.91,0.00
2024-05-08,-1064.15,-1064.15,-1064.15,-1064.15,780.19,780.19,0.00,0.00
2024-05-09,-30.38,-1372.41,-1105.47,-1372.41,-1208.06,1402.99,-1211.21,0.00
2024-05-13,-911.93,1199.14,-911.93,1199.14,-2337.29,-1275.21,0.00,0.00
2024-05-14,-1205.18,0.00,-1205.18,0.00,-1206.33,0.00,0.00,0.00
2024-05-15,-1634.64,-952.47,-952.47,-952.47,-750.32,-951.71,201.39,0.00
2024-05-16,-4422.44,-1025.59,-2220.29,-1025.59,1107.02,702.89,-1792.23,0.00
2024-05-17,-907.60,503.41,503.41,503.41,-1935.11,-525.55,-1409.57,0.00
2024-05-21,-1398.22,-1477.52,-904.11,-482.45,-3263.28,-536.60,-1015.38,0.00
2024-05-22,-6867.61,-2277.64,-3833.10,-1286.98,-2214.63,-2279.71,95.45,-991.48
