variant,symbol,date,direction,entry_time,entry,stop,target,qty,atr_at_entry,sqz_bars,exit_time,exit_price,exit_reason,gross_pnl,net_pnl
baseline,INDUSINDBK,2024-04-02,SHORT,2024-04-02T12:50:00,1562.00,1564.52,1556.97,192,2.52,0,2024-04-02T13:35:00,1556.97,TARGET,966.17,517.04
baseline,INDUSINDBK,2024-04-05,LONG,2024-04-05T14:05:00,1541.40,1539.19,1545.82,194,2.21,0,2024-04-05T14:05:00,1539.19,STOP,-428.44,-876.66
baseline,INDUSINDBK,2024-04-25,LONG,2024-04-25T10:05:00,1483.50,1480.02,1490.46,202,3.48,0,2024-04-25T10:20:00,1490.46,TARGET,1405.40,954.85
baseline,INDUSINDBK,2024-04-26,SHORT,2024-04-26T10:05:00,1484.35,1490.63,1471.78,202,6.28,0,2024-04-26T10:35:00,1471.78,TARGET,2538.40,2090.55
baseline,INDUSINDBK,2024-04-30,LONG,2024-04-30T12:50:00,1509.20,1505.47,1516.66,198,3.73,0,2024-04-30T12:55:00,1505.47,STOP,-738.99,-1186.66
baseline,INDUSINDBK,2024-05-03,SHORT,2024-05-03T11:30:00,1499.00,1503.10,1490.80,200,4.10,0,2024-05-03T11:40:00,1490.80,TARGET,1639.40,1190.93
baseline,INDUSINDBK,2024-05-15,SHORT,2024-05-15T13:45:00,1410.95,1413.32,1406.20,212,2.37,0,2024-05-15T14:55:00,1413.32,STOP,-503.41,-952.47
baseline,INDUSINDBK,2024-05-21,LONG,2024-05-21T13:00:00,1414.90,1412.81,1419.07,212,2.09,0,2024-05-21T13:00:00,1412.81,STOP,-442.38,-891.99
baseline,INDUSINDBK,2024-05-23,LONG,2024-05-23T12:15:00,1429.15,1425.74,1435.96,209,3.41,0,2024-05-23T12:50:00,1435.96,TARGET,1423.57,974.47
baseline,INDUSINDBK,2024-05-30,SHORT,2024-05-30T11:00:00,1461.85,1465.43,1454.70,205,3.58,0,2024-05-30T11:20:00,1454.70,TARGET,1465.96,1017.54
baseline,INDUSINDBK,2024-05-31,LONG,2024-05-31T13:25:00,1457.40,1454.40,1463.40,205,3.00,0,2024-05-31T14:20:00,1454.40,STOP,-615.36,-1063.05
baseline,INDUSINDBK,2024-06-10,SHORT,2024-06-10T13:15:00,1490.95,1493.09,1486.67,201,2.14,0,2024-06-10T13:15:00,1493.09,STOP,-429.64,-879.49
baseline,INDUSINDBK,2024-06-14,SHORT,2024-06-14T12:10:00,1509.05,1511.95,1503.25,198,2.90,0,2024-06-14T13:35:00,1504.65,TIME_STOP,871.20,423.67
baseline,INDUSINDBK,2024-06-18,LONG,2024-06-18T13:45:00,1515.60,1513.53,1519.73,197,2.07,0,2024-06-18T13:45:00,1513.53,STOP,-406.90,-854.45
baseline,INDUSINDBK,2024-06-28,SHORT,2024-06-28T12:40:00,1476.60,1479.06,1471.69,203,2.46,0,2024-06-28T12:40:00,1479.06,STOP,-498.74,-948.74
baseline,INDUSINDBK,2024-07-11,SHORT,2024-07-11T10:30:00,1418.00,1421.34,1411.33,211,3.34,0,2024-07-11T11:15:00,1421.34,STOP,-703.90,-1153.23
baseline,INDUSINDBK,2024-07-15,LONG,2024-07-15T10:55:00,1443.70,1440.54,1450.02,207,3.16,0,2024-07-15T11:55:00,1440.54,STOP,-654.51,-1102.28
baseline,INDUSINDBK,2024-07-31,SHORT,2024-07-31T13:55:00,1424.50,1426.81,1419.88,210,2.31,0,2024-07-31T15:00:00,1426.81,STOP,-485.46,-934.54
baseline,INDUSINDBK,2024-08-01,SHORT,2024-08-01T13:35:00,1431.60,1433.12,1428.55,209,1.52,0,2024-08-01T13:55:00,1428.55,TARGET,637.22,188.89
baseline,INDUSINDBK,2024-08-02,LONG,2024-08-02T13:45:00,1410.00,1407.63,1414.75,212,2.37,0,2024-08-02T14:15:00,1407.63,STOP,-503.13,-951.14
baseline,INDUSINDBK,2024-08-13,LONG,2024-08-13T09:55:00,1355.50,1352.42,1361.65,221,3.08,0,2024-08-13T09:55:00,1352.42,STOP,-680.08,-1128.91
baseline,INDUSINDBK,2024-08-27,LONG,2024-08-27T11:30:00,1386.20,1383.94,1390.71,216,2.26,0,2024-08-27T11:30:00,1383.94,STOP,-487.14,-935.90
baseline,INDUSINDBK,2024-09-03,SHORT,2024-09-03T13:10:00,1445.60,1447.18,1442.43,207,1.58,0,2024-09-03T13:20:00,1447.18,STOP,-327.84,-776.95
baseline,INDUSINDBK,2024-09-05,SHORT,2024-09-05T11:00:00,1432.10,1434.73,1426.85,209,2.63,0,2024-09-05T11:15:00,1434.73,STOP,-549.03,-998.40
baseline,INDUSINDBK,2024-09-17,SHORT,2024-09-17T09:55:00,1465.20,1468.24,1459.13,204,3.04,0,2024-09-17T10:40:00,1468.24,STOP,-619.20,-1068.01
