variant,trades,wins,losses,win_rate_pct,avg_win,avg_loss,profit_factor,net_pnl,sharpe,max_dd_pct,cagr_pct,calmar
5m_fixed_1.5R,2096,778,1318,37.12,491.0,-979.0,0.3,-907703.0,-16.95,302.57,0.0,0.0
5m_fixed_2.0R,2096,674,1422,32.16,736.0,-973.0,0.36,-887508.0,-14.96,296.25,0.0,0.0
5m_st_7_2,2096,511,1585,24.38,1212.0,-912.0,0.43,-826823.0,-10.94,276.94,0.0,0.0
5m_st_10_3,2096,525,1571,25.05,1289.0,-939.0,0.46,-798507.0,-9.15,266.91,0.0,0.0
5m_st_14_3,2096,528,1568,25.19,1283.0,-941.0,0.46,-797080.0,-9.05,266.36,0.0,0.0
5m_st_21_3,2096,528,1568,25.19,1281.0,-941.0,0.46,-799773.0,-9.0,267.18,0.0,0.0
10m_fixed_1.5R,1622,611,1011,37.67,825.0,-1119.0,0.45,-627645.0,-10.18,209.22,0.0,0.0
10m_st_7_2,1622,501,1121,30.89,1303.0,-1069.0,0.55,-545077.0,-6.26,183.49,0.0,0.0
10m_st_14_3,1622,508,1114,31.32,1294.0,-1086.0,0.54,-552741.0,-6.36,184.65,0.0,0.0
10m_st_21_3,1622,509,1113,31.38,1301.0,-1086.0,0.55,-546420.0,-6.22,183.21,0.0,0.0
