variant,symbol,date,direction,fire_time,entry_time,entry,stop,qty,atr_at_entry,first_move_dir,bars_to_commit,exit_time,exit_price,exit_reason,gross_pnl,net_pnl
5m_fixed_1.5R,NIFTY50,2024-03-26,LONG,2024-03-26T13:45:00,2024-03-26T14:00:00,22049.75,22036.24,13,13.51,LONG,2,2024-03-26T14:15:00,22036.24,STOP,-175.65,-605.49
5m_fixed_1.5R,NIFTY50,2024-04-02,LONG,2024-04-02T13:15:00,2024-04-02T13:30:00,22415.55,22403.57,13,11.98,LONG,2,2024-04-02T14:05:00,22403.57,STOP,-155.69,-592.68
5m_fixed_1.5R,NIFTY50,2024-04-05,SHORT,2024-04-05T14:00:00,2024-04-05T14:15:00,22504.40,22517.45,13,13.05,SHORT,2,2024-04-05T15:00:00,22517.45,STOP,-169.59,-608.56
5m_fixed_1.5R,NIFTY50,2024-04-10,LONG,2024-04-10T11:35:00,2024-04-10T12:10:00,22704.85,22691.77,13,13.08,LONG,6,2024-04-10T12:25:00,22691.77,STOP,-169.98,-612.60
5m_fixed_1.5R,NIFTY50,2024-04-26,SHORT,2024-04-26T12:40:00,2024-04-26T13:20:00,22483.75,22501.84,13,18.09,SHORT,7,2024-04-26T13:25:00,22456.62,TARGET,352.71,-85.46
5m_fixed_1.5R,NIFTY50,2024-04-30,LONG,2024-04-30T13:10:00,2024-04-30T13:25:00,22731.50,22717.23,13,14.27,LONG,2,2024-04-30T14:00:00,22752.90,TARGET,278.18,-165.30
5m_fixed_1.5R,NIFTY50,2024-05-21,LONG,2024-05-21T09:50:00,2024-05-21T10:05:00,22473.15,22453.17,13,19.98,LONG,2,2024-05-21T11:05:00,22503.12,TARGET,389.62,-48.90
5m_fixed_1.5R,NIFTY50,2024-05-22,SHORT,2024-05-22T12:15:00,2024-05-22T12:30:00,22566.55,22583.08,13,16.53,SHORT,2,2024-05-22T13:30:00,22583.08,STOP,-214.88,-655.09
5m_fixed_1.5R,NIFTY50,2024-05-24,SHORT,2024-05-24T13:00:00,2024-05-24T13:15:00,22991.25,23008.03,13,16.78,SHORT,2,2024-05-24T13:20:00,23008.03,STOP,-218.09,-666.58
5m_fixed_1.5R,NIFTY50,2024-05-28,SHORT,2024-05-28T10:35:00,2024-05-28T11:15:00,22968.70,22985.96,13,17.26,SHORT,7,2024-05-28T11:30:00,22942.81,TARGET,336.52,-111.12
5m_fixed_1.5R,NIFTY50,2024-06-06,SHORT,2024-06-06T13:35:00,2024-06-06T13:50:00,22761.45,22816.22,13,54.77,SHORT,2,2024-06-06T14:40:00,22679.29,TARGET,1068.08,625.03
5m_fixed_1.5R,NIFTY50,2024-06-10,LONG,2024-06-10T13:40:00,2024-06-10T14:05:00,23375.95,23357.60,12,18.35,LONG,4,2024-06-10T14:15:00,23357.60,STOP,-220.20,-640.80
5m_fixed_1.5R,NIFTY50,2024-06-11,LONG,2024-06-11T13:30:00,2024-06-11T13:50:00,23381.95,23365.52,12,16.43,LONG,3,2024-06-11T13:55:00,23365.52,STOP,-197.13,-617.85
5m_fixed_1.5R,NIFTY50,2024-06-14,SHORT,2024-06-14T13:15:00,2024-06-14T13:35:00,23441.45,23452.38,12,10.93,SHORT,3,2024-06-14T13:55:00,23425.05,TARGET,196.77,-225.03
5m_fixed_1.5R,NIFTY50,2024-06-18,SHORT,2024-06-18T14:00:00,2024-06-18T14:15:00,23539.55,23549.78,12,10.23,SHORT,2,2024-06-18T15:00:00,23549.78,STOP,-122.78,-546.59
5m_fixed_1.5R,NIFTY50,2024-06-26,LONG,2024-06-26T10:55:00,2024-06-26T11:10:00,23775.70,23754.21,12,21.49,LONG,2,2024-06-26T11:25:00,23807.94,TARGET,386.85,-41.40
5m_fixed_1.5R,NIFTY50,2024-07-01,LONG,2024-07-01T13:45:00,2024-07-01T14:05:00,24134.65,24121.71,12,12.94,LONG,3,2024-07-01T14:25:00,24121.71,STOP,-155.25,-589.55
5m_fixed_1.5R,NIFTY50,2024-07-04,SHORT,2024-07-04T12:45:00,2024-07-04T13:05:00,24344.30,24356.08,12,11.78,SHORT,3,2024-07-04T13:45:00,24326.63,TARGET,211.98,-226.06
5m_fixed_1.5R,NIFTY50,2024-07-08,SHORT,2024-07-08T13:10:00,2024-07-08T13:35:00,24277.05,24294.11,12,17.06,SHORT,4,2024-07-08T13:50:00,24294.11,STOP,-204.77,-641.91
5m_fixed_1.5R,NIFTY50,2024-07-10,SHORT,2024-07-10T13:50:00,2024-07-10T14:05:00,24232.55,24252.40,12,19.85,SHORT,2,2024-07-10T14:15:00,24252.40,STOP,-238.18,-674.54
5m_fixed_1.5R,NIFTY50,2024-07-15,SHORT,2024-07-15T13:15:00,2024-07-15T13:45:00,24612.40,24626.70,12,14.30,SHORT,5,2024-07-15T14:10:00,24590.95,TARGET,257.45,-185.38
5m_fixed_1.5R,NIFTY50,2024-08-08,SHORT,2024-08-08T12:10:00,2024-08-08T12:50:00,24269.30,24304.77,12,35.47,SHORT,7,2024-08-08T12:55:00,24216.10,TARGET,638.40,202.03
5m_fixed_1.5R,NIFTY50,2024-08-14,LONG,2024-08-14T10:55:00,2024-08-14T11:35:00,24154.35,24134.51,12,19.84,LONG,7,2024-08-14T11:40:00,24134.51,STOP,-238.04,-672.64
5m_fixed_1.5R,NIFTY50,2024-08-19,LONG,2024-08-19T13:45:00,2024-08-19T14:05:00,24573.10,24556.79,12,16.31,LONG,3,2024-08-19T15:15:00,24588.85,EOD,189.00,-253.46
5m_fixed_1.5R,NIFTY50,2024-08-20,SHORT,2024-08-20T13:10:00,2024-08-20T13:25:00,24710.95,24723.65,12,12.70,SHORT,2,2024-08-20T13:50:00,24723.65,STOP,-152.36,-597.27
5m_fixed_1.5R,NIFTY50,2024-08-21,LONG,2024-08-21T13:30:00,2024-08-21T13:45:00,24724.15,24710.23,12,13.92,LONG,2,2024-08-21T14:20:00,24745.03,TARGET,250.60,-194.63
5m_fixed_1.5R,NIFTY50,2024-08-22,SHORT,2024-08-22T11:45:00,2024-08-22T12:15:00,24832.70,24844.47,12,11.77,SHORT,5,2024-08-22T13:00:00,24815.05,TARGET,211.84,-234.99
5m_fixed_1.5R,NIFTY50,2024-08-27,LONG,2024-08-27T11:00:00,2024-08-27T11:20:00,25060.70,25042.24,11,18.46,LONG,3,2024-08-27T11:50:00,25042.24,STOP,-203.06,-616.41
5m_fixed_1.5R,NIFTY50,2024-08-29,LONG,2024-08-29T11:50:00,2024-08-29T12:15:00,25088.30,25075.57,11,12.73,LONG,4,2024-08-29T12:25:00,25107.40,TARGET,210.12,-204.00
5m_fixed_1.5R,NIFTY50,2024-08-30,SHORT,2024-08-30T12:20:00,2024-08-30T12:50:00,25239.30,25253.52,11,14.22,SHORT,5,2024-08-30T14:10:00,25246.20,TIME_STOP,-75.90,-492.41
5m_fixed_1.5R,NIFTY50,2024-09-03,LONG,2024-09-03T12:55:00,2024-09-03T13:05:00,25277.15,25267.38,11,9.77,LONG,1,2024-09-03T13:15:00,25291.80,TARGET,161.20,-256.00
5m_fixed_1.5R,NIFTY50,2024-09-04,LONG,2024-09-04T13:15:00,2024-09-04T13:25:00,25179.20,25165.10,11,14.10,LONG,1,2024-09-04T13:40:00,25165.10,STOP,-155.14,-570.48
5m_fixed_1.5R,NIFTY50,2024-09-11,SHORT,2024-09-11T12:55:00,2024-09-11T13:35:00,25030.70,25049.14,11,18.44,SHORT,7,2024-09-11T13:55:00,25003.03,TARGET,304.33,-108.45
5m_fixed_1.5R,NIFTY50,2024-09-12,LONG,2024-09-12T14:00:00,2024-09-12T14:10:00,25205.30,25170.84,11,34.46,LONG,1,2024-09-12T14:20:00,25256.99,TARGET,568.62,152.31
