label,start,end,entry,cadence,rank,slots,buffer,state,k,tv_floor,mask,mask_missing,exits,index_gate,gate_action,fill,cost_bps,tax,cash_yield,max_position_pct,n_paths,path_kind,cagr_gross,cagr_net,cagr_net_tax,cagr_net_tax_min,cagr_net_tax_max,cagr_net_tax_worstpath,maxdd,maxdd_worst,calmar,sharpe,trades_per_yr,win_rate,avg_win_pct,avg_loss_pct,expectancy_net_pct,max_losing_streak,turnover_x_nav_yr,avg_pct_invested,capacity_ratio,n_trades,final_x,yearly,retain,keep_n,tax_paid,tax_pct_nav_yr,avg_hold_days,pct_trades_ltcg,sells_rank,sells_state,sells_other,pct_sells_rank
A2_k075_b150,2018-08-01,2026-09-10,rebalance,monthly,rs,15,1.5,near,0.75,2.0,/home/arun/quantifyd/research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,none,block_new,next_open,25.0,True,0.052,0.3,12,offset,26.58,24.39,22.35,18.04,25.95,18.04,-41.72,-46.9,0.53,0.75,41.3,47.6,43.21,-14.54,13.419,16,2.53,99.4,0.0085,335,5.14,"{""2018"": [-13.63, -24.16], ""2019"": [24.59, -20.78], ""2020"": [37.59, -33.9], ""2021"": [74.02, -15.96], ""2022"": [-3.71, -29.79], ""2023"": [64.18, -24.38], ""2024"": [33.27, -15.32], ""2025"": [-21.55, -40.84], ""2026"": [24.95, -38.42]}",strict,23,4828002.0,2.135,129.7,5.0,160,159,0,50.7
A2_k080_b150,2018-08-01,2026-09-10,rebalance,monthly,rs,15,1.5,near,0.8,2.0,/home/arun/quantifyd/research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,none,block_new,next_open,25.0,True,0.052,0.3,12,offset,24.72,23.26,20.87,17.49,23.66,17.49,-40.15,-46.76,0.52,0.71,44.8,47.8,38.62,-13.5,11.515,17,2.78,99.0,0.0077,363,4.65,"{""2018"": [-12.49, -22.62], ""2019"": [22.62, -19.83], ""2020"": [34.4, -33.91], ""2021"": [77.42, -14.93], ""2022"": [-2.91, -27.2], ""2023"": [60.14, -22.62], ""2024"": [24.98, -15.14], ""2025"": [-19.91, -39.77], ""2026"": [19.06, -37.45]}",strict,23,4689037.0,2.245,119.3,4.0,136,210,0,39.5
A2_k085_b150,2018-08-01,2026-09-10,rebalance,monthly,rs,15,1.5,near,0.85,2.0,/home/arun/quantifyd/research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,none,block_new,next_open,25.0,True,0.052,0.3,12,offset,27.41,24.83,22.32,18.25,23.57,18.25,-37.62,-42.61,0.57,0.78,49.9,47.2,34.53,-12.41,9.891,18,3.21,96.0,0.0079,405,5.12,"{""2018"": [-13.25, -21.41], ""2019"": [25.5, -18.04], ""2020"": [29.55, -32.83], ""2021"": [90.61, -13.4], ""2022"": [-7.48, -26.91], ""2023"": [61.63, -19.23], ""2024"": [26.92, -14.13], ""2025"": [-17.34, -37.03], ""2026"": [15.5, -35.13]}",strict,23,6083139.0,2.778,104.3,2.6,102,291,0,25.9
A2_k090_b150,2018-08-01,2026-09-10,rebalance,monthly,rs,15,1.5,near,0.9,2.0,/home/arun/quantifyd/research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,none,block_new,next_open,25.0,True,0.052,0.3,12,offset,26.99,24.63,21.39,17.03,23.18,17.03,-36.9,-43.0,0.58,0.77,61.6,46.0,27.83,-10.77,7.194,17,4.21,91.3,0.0071,499,4.82,"{""2018"": [-12.21, -18.73], ""2019"": [24.29, -16.18], ""2020"": [39.9, -33.39], ""2021"": [86.86, -13.88], ""2022"": [-19.04, -32.95], ""2023"": [58.86, -27.94], ""2024"": [36.03, -14.05], ""2025"": [-16.79, -34.93], ""2026"": [15.7, -34.43]}",strict,23,7033260.0,3.341,81.0,0.7,71,411,0,14.5
A2_k095_b150,2018-08-01,2026-09-10,rebalance,monthly,rs,15,1.5,near,0.95,2.0,/home/arun/quantifyd/research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,none,block_new,next_open,25.0,True,0.052,0.3,12,offset,23.33,20.24,17.16,14.09,19.44,14.09,-37.98,-44.71,0.46,0.68,77.4,47.2,18.97,-8.92,3.986,16,5.44,82.0,0.0053,627,3.61,"{""2018"": [-7.25, -10.67], ""2019"": [14.09, -9.29], ""2020"": [28.31, -16.94], ""2021"": [67.79, -12.82], ""2022"": [-18.88, -30.82], ""2023"": [41.99, -28.2], ""2024"": [29.82, -13.3], ""2025"": [-7.33, -25.92], ""2026"": [11.5, -22.97]}",strict,23,5196148.0,2.93,57.5,0.0,29,582,0,4.8
A2_k075_b167,2018-08-01,2026-09-10,rebalance,monthly,rs,15,1.67,near,0.75,2.0,/home/arun/quantifyd/research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,none,block_new,next_open,25.0,True,0.052,0.3,12,offset,24.89,23.82,21.91,16.9,24.53,16.9,-41.85,-49.65,0.53,0.74,38.8,48.3,44.72,-15.08,13.722,15,2.37,99.3,0.0081,314,4.98,"{""2018"": [-13.65, -24.29], ""2019"": [22.73, -20.41], ""2020"": [36.11, -34.74], ""2021"": [76.07, -15.68], ""2022"": [-6.46, -29.62], ""2023"": [67.12, -25.59], ""2024"": [30.74, -16.11], ""2025"": [-21.48, -40.45], ""2026"": [21.61, -38.72]}",strict,26,4459053.0,1.989,140.0,5.9,138,161,0,46.6
A2_k080_b167,2018-08-01,2026-09-10,rebalance,monthly,rs,15,1.67,near,0.8,2.0,/home/arun/quantifyd/research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,none,block_new,next_open,25.0,True,0.052,0.3,12,offset,25.13,23.84,21.03,16.03,23.2,16.03,-39.88,-47.07,0.53,0.73,41.8,47.4,40.89,-13.85,12.36,18,2.6,98.9,0.0077,339,4.7,"{""2018"": [-12.49, -22.55], ""2019"": [21.84, -19.83], ""2020"": [28.37, -34.02], ""2021"": [78.91, -15.54], ""2022"": [-2.21, -27.37], ""2023"": [64.36, -19.32], ""2024"": [25.19, -14.74], ""2025"": [-21.26, -39.8], ""2026"": [18.18, -37.94]}",strict,26,4660795.0,2.169,128.7,4.9,113,211,0,35.0
A2_k085_b167,2018-08-01,2026-09-10,rebalance,monthly,rs,15,1.67,near,0.85,2.0,/home/arun/quantifyd/research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,none,block_new,next_open,25.0,True,0.052,0.3,12,offset,26.23,24.87,22.35,18.16,24.93,18.16,-37.23,-42.38,0.57,0.79,47.5,47.0,36.58,-12.7,10.524,18,3.06,96.0,0.0078,385,5.13,"{""2018"": [-13.25, -21.41], ""2019"": [25.47, -18.04], ""2020"": [30.12, -34.5], ""2021"": [94.62, -12.91], ""2022"": [-7.79, -26.91], ""2023"": [66.59, -19.49], ""2024"": [23.78, -14.38], ""2025"": [-15.87, -37.22], ""2026"": [16.81, -34.84]}",strict,26,6212498.0,2.773,109.7,3.4,83,288,0,22.5
A2_k090_b167,2018-08-01,2026-09-10,rebalance,monthly,rs,15,1.67,near,0.9,2.0,/home/arun/quantifyd/research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,none,block_new,next_open,25.0,True,0.052,0.3,12,offset,26.43,23.95,20.76,16.58,23.1,16.58,-36.58,-44.05,0.57,0.77,59.8,45.9,29.03,-10.87,7.46,17,4.06,91.3,0.0068,485,4.62,"{""2018"": [-12.21, -18.73], ""2019"": [24.41, -16.18], ""2020"": [37.76, -33.65], ""2021"": [86.55, -13.61], ""2022"": [-20.74, -33.27], ""2023"": [58.5, -28.72], ""2024"": [34.74, -14.02], ""2025"": [-17.16, -34.59], ""2026"": [15.05, -34.55]}",strict,26,6828604.0,3.224,83.4,0.8,53,413,0,11.3
A2_k095_b167,2018-08-01,2026-09-10,rebalance,monthly,rs,15,1.67,near,0.95,2.0,/home/arun/quantifyd/research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,none,block_new,next_open,25.0,True,0.052,0.3,12,offset,23.25,20.21,17.15,13.18,20.77,13.18,-37.96,-44.42,0.46,0.68,76.2,47.2,19.45,-8.9,4.139,16,5.33,81.9,0.0051,618,3.61,"{""2018"": [-7.25, -10.67], ""2019"": [14.09, -9.29], ""2020"": [27.8, -16.91], ""2021"": [66.35, -12.66], ""2022"": [-19.98, -31.09], ""2023"": [43.77, -28.08], ""2024"": [29.84, -12.81], ""2025"": [-7.69, -25.94], ""2026"": [11.32, -23.26]}",strict,26,5180427.0,2.889,58.4,0.0,19,582,0,3.1
