label,start,end,entry,cadence,rank,slots,buffer,state,k,tv_floor,mask,mask_missing,exits,index_gate,gate_action,fill,cost_bps,tax,cash_yield,max_position_pct,n_paths,path_kind,cagr_gross,cagr_net,cagr_net_tax,cagr_net_tax_min,cagr_net_tax_max,cagr_net_tax_worstpath,maxdd,maxdd_worst,calmar,sharpe,trades_per_yr,win_rate,avg_win_pct,avg_loss_pct,expectancy_net_pct,max_losing_streak,turnover_x_nav_yr,avg_pct_invested,capacity_ratio,n_trades,final_x,yearly,retain,keep_n,tax_paid,tax_pct_nav_yr,avg_hold_days,pct_trades_ltcg,sells_rank,sells_state,sells_other,pct_sells_rank
A1_b100_N10_mo,2018-08-01,2026-09-10,rebalance,monthly,rs,10,1.0,near,0.9,2.0,/home/arun/quantifyd/research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,none,block_new,next_open,25.0,True,0.052,0.3,12,offset,24.5,21.46,18.7,16.52,22.75,16.52,-42.09,-45.68,0.47,0.63,53.9,46.7,22.85,-10.39,5.598,16,5.35,94.4,0.01,437,4.02,"{""2018"": [-12.74, -20.68], ""2019"": [18.73, -18.18], ""2020"": [41.27, -32.57], ""2021"": [90.58, -15.94], ""2022"": [-15.82, -34.53], ""2023"": [52.7, -29.16], ""2024"": [25.84, -15.3], ""2025"": [-19.04, -37.84], ""2026"": [15.96, -39.36]}",strict,10,5545164.0,3.038,64.2,0.2,119,305,0,27.8
A1_b100_N10_qu,2018-08-01,2026-09-10,rebalance,quarterly,rs,10,1.0,near,0.9,2.0,/home/arun/quantifyd/research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,none,block_new,next_open,25.0,True,0.052,0.3,12,offset,29.56,28.09,24.32,19.92,26.79,19.92,-41.82,-44.9,0.59,0.8,24.7,55.2,37.38,-15.23,13.669,9,2.47,91.1,0.0143,200,5.85,"{""2018"": [2.06, -1.07], ""2019"": [26.73, -12.87], ""2020"": [22.63, -32.48], ""2021"": [102.72, -17.57], ""2022"": [-5.87, -34.3], ""2023"": [49.52, -26.63], ""2024"": [29.91, -14.79], ""2025"": [-19.72, -41.82], ""2026"": [24.12, -35.77]}",strict,10,8462824.0,3.369,134.4,2.1,50,141,0,26.4
A1_b100_N15_mo,2018-08-01,2026-09-10,rebalance,monthly,rs,15,1.0,near,0.9,2.0,/home/arun/quantifyd/research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,none,block_new,next_open,25.0,True,0.052,0.3,12,offset,25.75,22.82,19.8,15.52,22.28,15.52,-37.56,-42.88,0.55,0.7,74.2,47.2,22.53,-10.02,5.643,17,5.06,91.5,0.0065,602,4.33,"{""2018"": [-12.21, -18.73], ""2019"": [21.8, -15.94], ""2020"": [32.3, -33.26], ""2021"": [81.09, -13.66], ""2022"": [-18.39, -33.34], ""2023"": [52.36, -29.21], ""2024"": [31.33, -13.91], ""2025"": [-17.49, -36.08], ""2026"": [14.98, -35.56]}",strict,15,6409918.0,3.07,66.0,0.3,166,419,0,28.4
A1_b100_N15_qu,2018-08-01,2026-09-10,rebalance,quarterly,rs,15,1.0,near,0.9,2.0,/home/arun/quantifyd/research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,none,block_new,next_open,25.0,True,0.052,0.3,12,offset,25.85,24.58,21.26,16.85,24.07,16.85,-41.78,-49.06,0.55,0.74,34.1,54.8,35.07,-15.01,12.936,12,2.34,88.8,0.0078,276,4.77,"{""2018"": [2.06, -0.68], ""2019"": [24.13, -11.06], ""2020"": [16.18, -35.42], ""2021"": [94.5, -13.75], ""2022"": [-12.49, -33.56], ""2023"": [51.32, -30.55], ""2024"": [35.49, -14.94], ""2025"": [-22.25, -40.99], ""2026"": [19.82, -38.14]}",strict,15,7245262.0,3.35,139.4,2.5,66,195,0,25.6
A1_b100_N20_mo,2018-08-01,2026-09-10,rebalance,monthly,rs,20,1.0,near,0.9,2.0,/home/arun/quantifyd/research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,none,block_new,next_open,25.0,True,0.052,0.3,12,offset,24.68,21.88,19.03,14.2,21.59,14.2,-34.91,-42.14,0.56,0.72,87.7,47.1,23.68,-10.11,5.965,19,4.57,88.3,0.0051,711,4.11,"{""2018"": [-9.94, -14.88], ""2019"": [24.47, -12.37], ""2020"": [30.36, -33.47], ""2021"": [74.23, -12.64], ""2022"": [-20.64, -31.79], ""2023"": [55.41, -27.88], ""2024"": [38.56, -13.61], ""2025"": [-13.35, -33.03], ""2026"": [11.21, -30.77]}",strict,20,5695408.0,3.002,71.5,0.5,175,514,0,25.3
A1_b100_N20_qu,2018-08-01,2026-09-10,rebalance,quarterly,rs,20,1.0,near,0.9,2.0,/home/arun/quantifyd/research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,none,block_new,next_open,25.0,True,0.052,0.3,12,offset,23.79,22.63,19.6,17.7,23.41,17.7,-38.71,-47.97,0.52,0.71,41.1,54.4,36.57,-14.75,13.144,15,2.15,85.9,0.0053,333,4.27,"{""2018"": [2.06, -0.48], ""2019"": [23.49, -8.5], ""2020"": [12.86, -36.95], ""2021"": [87.41, -13.2], ""2022"": [-17.66, -31.45], ""2023"": [51.67, -30.11], ""2024"": [41.47, -14.46], ""2025"": [-21.7, -38.05], ""2026"": [18.64, -38.38]}",strict,20,5887530.0,3.07,147.7,3.9,71,243,0,22.7
A1_b133_N10_mo,2018-08-01,2026-09-10,rebalance,monthly,rs,10,1.33,near,0.9,2.0,/home/arun/quantifyd/research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,none,block_new,next_open,25.0,True,0.052,0.3,12,offset,27.12,24.37,21.2,16.93,23.07,16.93,-41.46,-46.19,0.51,0.72,47.8,46.1,26.16,-10.82,6.708,15,4.79,94.7,0.0112,388,4.75,"{""2018"": [-12.55, -20.87], ""2019"": [23.2, -18.28], ""2020"": [41.01, -30.84], ""2021"": [95.37, -15.49], ""2022"": [-16.57, -34.95], ""2023"": [51.72, -30.84], ""2024"": [27.48, -15.29], ""2025"": [-21.16, -37.47], ""2026"": [17.3, -38.16]}",strict,14,7189404.0,3.215,72.4,0.4,71,304,0,19.3
A1_b133_N10_qu,2018-08-01,2026-09-10,rebalance,quarterly,rs,10,1.33,near,0.9,2.0,/home/arun/quantifyd/research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,none,block_new,next_open,25.0,True,0.052,0.3,12,offset,29.45,28.1,24.78,19.69,26.7,19.69,-42.18,-49.34,0.58,0.81,22.9,53.4,40.81,-15.08,14.637,9,2.31,91.0,0.0149,186,6.03,"{""2018"": [2.06, -1.07], ""2019"": [26.42, -12.71], ""2020"": [22.7, -32.64], ""2021"": [101.72, -17.26], ""2022"": [-6.17, -33.61], ""2023"": [48.68, -25.42], ""2024"": [27.68, -13.96], ""2025"": [-20.09, -41.44], ""2026"": [21.91, -36.19]}",strict,14,8590086.0,3.33,145.3,2.8,36,140,0,21.0
A1_b133_N15_mo,2018-08-01,2026-09-10,rebalance,monthly,rs,15,1.33,near,0.9,2.0,/home/arun/quantifyd/research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,none,block_new,next_open,25.0,True,0.052,0.3,12,offset,27.04,24.48,21.19,16.97,23.83,16.97,-37.02,-43.53,0.58,0.76,64.6,46.8,26.61,-10.55,7.089,17,4.42,91.3,0.0071,523,4.75,"{""2018"": [-12.21, -18.73], ""2019"": [25.33, -16.18], ""2020"": [37.78, -33.51], ""2021"": [87.6, -13.48], ""2022"": [-19.8, -33.68], ""2023"": [56.73, -27.87], ""2024"": [33.8, -13.71], ""2025"": [-16.12, -35.17], ""2026"": [14.84, -34.55]}",strict,20,7044037.0,3.36,77.6,0.6,90,412,0,17.8
A1_b133_N15_qu,2018-08-01,2026-09-10,rebalance,quarterly,rs,15,1.33,near,0.9,2.0,/home/arun/quantifyd/research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,none,block_new,next_open,25.0,True,0.052,0.3,12,offset,24.98,23.92,20.82,19.19,23.98,19.19,-41.18,-48.23,0.51,0.72,31.0,54.0,39.73,-15.29,14.588,12,2.12,88.7,0.0083,251,4.64,"{""2018"": [2.06, -0.68], ""2019"": [24.99, -11.06], ""2020"": [17.34, -35.7], ""2021"": [101.89, -14.32], ""2022"": [-13.47, -33.73], ""2023"": [46.97, -29.55], ""2024"": [38.25, -14.84], ""2025"": [-21.68, -40.21], ""2026"": [18.05, -39.67]}",strict,20,6795168.0,3.061,154.5,5.0,43,192,0,18.6
