label,axis,slots,slot_pct,select,idle,cost_bps,rot_score,rot_margin,rot_max_per_day,rot_entrant,trim_mult,trim_when,min_fill_frac,rot_sell_only,hard_stop,hard_stop_pct,rot_dest,rot_trigger,rot_spill,topup_rank,topup_split,topup_cap,seeds,seedbase,cagr_med,cagr_min,cagr_max,maxdd_med,maxdd_worst,calmar_med,calmar_min,cagr_med,maxdd_med,calmar_med,sharpe_med,trades_med,trades_per_yr_med,win_rate_med,avg_win_med,avg_loss_med,expectancy_med,max_loss_streak_med,invested_pct_med,w1_cagr_med,w1_dd_med,w2_cagr_med,w2_dd_med,w3_cagr_med,w3_dd_med,days_signal_med,days_bind_med,days_full_med,turned_away_med,cash_refused_med,entries_taken_med,swaps_med,swap_attempts_med,swaps_per_yr_med,trims_med,trims_per_yr_med,trim_notional_med,partial_fills_med,tax_paid_med,tax_st_med,tax_lt_med,turnover_x_med,pos_rs_med_med,cap_pct_med_med,cap_pct_p95_med,cap_over1pct_med,profit_total_med,top10_share_med,top10_share_all_med,mult_all_med,mult_drop10_med,topups_med,topups_per_yr_med,topup_notional_med,spills_med,topup_refused_med,elig_days_med,elig_total_med,elig_ge1_med,elig_ge2_med,elig_ge3_med,elig_max_med,elig_ge2_pct_med,elig_mean_med,max_pos_w_med,med_seed,secs
P_els_m075,C_PLATEAU,16,0.0625,random,0.052,25.0,unreal,7.5,1,rs,0.0,month,0.0,0,0,0.92,entrant,any,topup,rs,1,3.0,30,7000,24.245,23.94,25.06,-37.15,-37.15,0.653,0.645,24.245,-37.15,0.653,1.254,731.0,33.7,36.3,32.925,-8.62,6.475,14.5,73.1,22.37,-31.49,26.12,-37.15,7.49,-30.37,1880.0,113.0,0.0,234.5,2712.0,731.0,292.0,7837.0,13.46,0.0,0.0,0.0,0.0,16343148.0,15076596.0,1266552.0,3.475,961896.0,0.776,11.437,45.15,123327290.0,66.05,66.05,45797281792.0,1972909.375,234.0,10.79,343086836.5,0.0,59.0,1406.0,63.0,58.0,5.0,0.0,2.0,0.36,0.045,40.99,7028,9.4
P_els_m125,C_PLATEAU,16,0.0625,random,0.052,25.0,unreal,12.5,1,rs,0.0,month,0.0,0,0,0.92,entrant,any,topup,rs,1,3.0,30,7000,21.99,21.5,23.08,-39.66,-39.66,0.554,0.542,21.99,-39.66,0.554,1.192,688.0,31.75,45.8,32.55,-11.01,8.955,18.0,72.725,20.72,-32.95,23.23,-39.66,17.925,-24.4,1880.0,284.0,16.0,555.5,2404.5,688.0,132.0,7980.0,6.09,0.0,0.0,0.0,0.0,9821388.0,8440465.0,1343845.0,2.785,715004.0,0.538,6.877,38.6,80871127.5,49.35,49.35,720924689039360.0,29047173120.0,101.0,4.66,90465224.5,0.0,27.0,1416.5,31.5,30.5,1.0,0.0,2.0,0.07,0.022,33.9,7006,11.7
C_els_k1_unre,C_RANK,16,0.0625,random,0.052,25.0,unreal,10.0,1,rs,0.0,month,0.0,0,0,0.92,entrant,any,topup,unreal,1,3.0,30,7000,21.885,21.34,23.26,-31.02,-31.02,0.706,0.688,21.885,-31.02,0.706,1.171,699.0,32.2,41.8,29.225,-9.92,6.533,21.0,73.555,20.4,-30.35,23.375,-31.02,15.795,-22.77,1880.0,214.0,0.0,474.0,2482.5,699.0,198.5,7956.0,9.155,0.0,0.0,0.0,0.0,9990252.0,8713798.0,1276455.0,2.994,731356.0,0.642,7.317,41.6,79714781.0,49.0,49.0,19218101248.0,990586.125,161.0,7.42,139910619.5,0.0,0.0,1404.5,38.0,37.0,1.0,0.0,2.0,0.07,0.027,32.59,7028,10.7
C_els_k1_cush,C_RANK,16,0.0625,random,0.052,25.0,unreal,10.0,1,rs,0.0,month,0.0,0,0,0.92,entrant,any,topup,cushion,1,3.0,30,7000,24.705,24.03,25.08,-33.62,-33.62,0.735,0.715,24.705,-33.62,0.735,1.242,676.0,31.2,42.2,37.82,-9.92,10.223,11.0,73.515,19.5,-33.48,30.195,-33.62,28.635,-22.46,1880.0,159.0,0.0,324.5,2656.5,676.0,189.0,7973.5,8.72,0.0,0.0,0.0,0.0,13319751.5,10258170.5,3098000.0,2.954,694469.0,0.558,9.636,38.75,129746889.0,57.3,57.3,1955328421789696.0,6034983424.0,151.0,6.96,206159610.0,0.0,1.0,1427.5,40.0,39.0,1.0,0.0,2.0,0.07,0.028,40.78,7019,9.7
C_els_k1_c20,C_CAP,16,0.0625,random,0.052,25.0,unreal,10.0,1,rs,0.0,month,0.0,0,0,0.92,entrant,any,topup,rs,1,2.0,30,7000,21.425,20.5,22.19,-32.66,-35.54,0.658,0.6,21.425,-32.66,0.658,1.161,742.5,34.25,42.1,34.625,-9.93,8.965,15.0,72.235,19.97,-31.81,22.895,-32.66,15.12,-27.01,1880.0,272.0,26.0,538.0,2382.0,742.5,202.0,7905.0,9.31,0.0,0.0,0.0,0.0,9296880.0,7966750.0,1332740.5,3.051,678637.0,0.514,6.832,37.75,73473328.5,47.75,47.75,3206048668188672.0,34931621888.0,157.0,7.24,106484987.5,0.0,34.0,1387.5,46.0,44.0,1.0,0.0,2.0,0.07,0.033,32.37,7015,11.0
C_els_k1_c00,C_CAP,16,0.0625,random,0.052,25.0,unreal,10.0,1,rs,0.0,month,0.0,0,0,0.92,entrant,any,topup,rs,1,0.0,30,7000,24.23,22.61,24.74,-35.91,-40.15,0.678,0.563,24.23,-35.91,0.678,1.203,692.0,31.9,41.85,33.005,-9.82,8.115,19.0,73.055,19.42,-31.13,29.325,-35.91,20.51,-35.91,1880.0,233.5,26.0,471.5,2494.0,692.0,193.0,7965.0,8.9,0.0,0.0,0.0,0.0,13416544.5,11073288.0,2382900.5,3.019,758023.0,0.587,9.526,40.1,120745879.5,68.45,68.45,11449399771136.0,253603600.0,153.5,7.08,204784522.0,0.0,34.0,1416.0,40.5,39.5,1.0,0.0,2.0,0.07,0.029,79.58,7016,10.2
C_els_k1_c15,C_CAP,16,0.0625,random,0.052,25.0,unreal,10.0,1,rs,0.0,month,0.0,0,0,0.92,entrant,any,topup,rs,1,1.5,30,7000,21.665,20.92,22.21,-31.95,-31.95,0.678,0.655,21.665,-31.95,0.678,1.204,759.0,35.0,43.2,37.535,-9.955,10.556,12.0,71.335,18.88,-31.95,24.58,-30.34,16.25,-21.92,1880.0,309.5,27.0,581.0,2320.0,759.0,198.0,7888.0,9.13,0.0,0.0,0.0,0.0,9138742.0,7621125.0,1482752.0,2.939,594463.0,0.442,6.018,35.0,76290508.0,48.15,48.15,7.318077815104995e+18,41185596932096.0,156.0,7.19,54933255.5,0.0,34.0,1368.0,43.0,42.0,1.0,0.0,2.0,0.07,0.031,26.17,7011,11.1
C_els_k1_split2,C_SPLIT,16,0.0625,random,0.052,25.0,unreal,10.0,1,rs,0.0,month,0.0,0,0,0.92,entrant,any,topup,rs,2,3.0,30,7000,23.035,22.8,23.65,-31.46,-31.6,0.73,0.725,23.035,-31.46,0.73,1.202,704.0,32.5,42.65,30.76,-9.955,7.425,11.0,73.105,18.98,-30.43,27.285,-31.46,15.38,-24.265,1880.0,178.0,0.0,356.5,2604.5,704.0,195.0,7952.0,8.99,0.0,0.0,0.0,0.0,11324388.0,9294286.0,2026514.0,3.124,659827.0,0.55,8.805,39.0,97892476.5,59.55,59.55,1008467083264.0,25790263.0,298.0,13.74,180246915.0,0.0,34.0,1410.0,45.0,44.0,1.0,0.0,2.0,0.07,0.032,35.5,7009,10.8
CTRL_anycash_k1,CTRL,16,0.0625,random,0.052,25.0,unreal,10.0,1,rs,0.0,month,0.0,0,0,0.92,entrant,any,cash,rs,1,0.0,30,7000,21.08,20.45,21.77,-30.47,-30.47,0.692,0.671,21.08,-30.47,0.692,1.211,791.5,36.5,42.3,38.895,-9.96,10.691,12.0,70.55,19.4,-30.47,22.81,-27.79,18.46,-20.485,1880.0,415.0,0.0,842.0,2026.0,791.5,220.0,7857.0,10.14,0.0,0.0,0.0,0.0,8064693.0,6634580.5,1491796.5,2.922,611220.0,0.469,5.611,36.25,68097087.5,48.4,48.4,8.045966167515962e+19,412929111359488.0,0.0,0.0,0.0,177.0,0.0,1340.0,44.5,43.5,1.0,0.0,2.0,0.07,0.034,25.165,7026,11.6
CTRL_anycash_k2,CTRL,16,0.0625,random,0.052,25.0,unreal,10.0,2,rs,0.0,month,0.0,0,0,0.92,entrant,any,cash,rs,1,0.0,30,7000,20.64,19.78,21.22,-30.46,-30.46,0.677,0.649,20.64,-30.46,0.677,1.192,794.5,36.65,42.95,37.495,-9.97,10.365,12.0,70.545,19.39,-30.46,21.92,-27.47,19.52,-19.17,1880.0,420.0,27.0,850.0,2013.5,794.5,220.0,8099.0,10.14,0.0,0.0,0.0,0.0,7346165.5,6109939.0,1360523.0,2.892,611977.0,0.454,4.686,34.35,62639299.5,46.45,46.45,6.1587791430570476e+19,425110477471744.0,0.0,0.0,0.0,183.0,0.0,1331.5,37.5,37.0,1.0,0.0,2.0,0.08,0.028,24.44,7016,11.0
CTRL_hardstop10,CTRL,16,0.0625,random,0.052,25.0,,0.0,1,tv,0.0,month,0.0,0,1,0.9,entrant,signal,none,rs,1,0.0,30,7000,20.785,20.18,21.54,-30.46,-30.46,0.683,0.662,20.785,-30.46,0.683,1.19,791.0,36.5,42.7,37.81,-10.01,10.378,12.0,70.355,19.42,-30.46,22.195,-29.9,18.745,-19.885,1880.0,362.5,1.0,753.0,2077.5,791.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7745483.0,6482412.0,1276847.5,2.894,633335.5,0.467,5.0,34.65,64645503.5,46.65,46.65,5.2307315157815525e+19,359962836467712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.22,7011,3.0
CTRL_null_p007,NULL,16,0.0625,random,0.052,25.0,rand,0.07,1,rs,0.0,month,0.0,0,0,0.92,entrant,signal,none,rs,1,0.0,30,7000,19.69,17.36,22.47,-35.4,-38.82,0.558,0.477,19.69,-35.4,0.558,1.114,871.0,40.2,49.0,30.27,-11.375,9.184,15.5,72.99,18.475,-33.4,21.14,-34.525,12.43,-22.935,1880.0,613.5,84.5,1298.5,1632.0,871.0,192.5,2729.0,8.875,0.0,0.0,0.0,0.0,7907564.0,7194363.5,513107.0,3.496,580922.5,0.496,5.384,34.8,55132728.0,40.55,40.55,2.3613779121675436e+19,289961488154624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.325,7023,5.1
