label,axis,slots,slot_pct,select,idle,cost_bps,rot_score,rot_margin,rot_max_per_day,rot_entrant,trim_mult,trim_when,min_fill_frac,rot_sell_only,hard_stop,hard_stop_pct,rot_dest,rot_trigger,rot_spill,topup_rank,topup_split,topup_cap,seed,cagr,maxdd,calmar,sharpe,trades,trades_per_yr,win_rate,avg_win,avg_loss,expectancy,max_loss_streak,invested_pct,w1_cagr,w1_dd,w2_cagr,w2_dd,w3_cagr,w3_dd,days_signal,days_bind,days_full,turned_away,cash_refused,entries_taken,swaps,swap_attempts,swaps_per_yr,trims,trims_per_yr,trim_notional,partial_fills,tax_paid,tax_st,tax_lt,turnover_x,pos_rs_med,cap_pct_med,cap_pct_p95,cap_over1pct,profit_total,top10_share,top10_share_all,mult_all,mult_drop10,topups,topups_per_yr,topup_notional,spills,topup_refused,elig_days,elig_total,elig_ge1,elig_ge2,elig_ge3,elig_max,elig_ge2_pct,elig_mean,max_pos_w
REF_base_b60,COST,16,0.0625,random,0.052,60.0,,0.0,1,tv,0.0,month,0.0,0,0,0.92,entrant,signal,none,rs,1,0.0,7001,18.74,-36.22,0.517,1.08,693,32.0,46.8,37.1,-11.82,11.055,14,72.81,17.89,-32.89,19.48,-36.22,18.1,-22.62,1880,472,41,999,1927,693,0,0,0.0,0,0.0,0.0,0,5.364729e+06,4.58836e+06,776369.0,2.448,470737.0,0.351,3.596,27.1,44186574.0,42.6,42.6,6.15552376400511e+17,4963790487552.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,19.36
REF_base_b60,COST,16,0.0625,random,0.052,60.0,,0.0,1,tv,0.0,month,0.0,0,0,0.92,entrant,signal,none,rs,1,0.0,7002,19.51,-38.35,0.509,1.123,688,31.7,47.7,37.23,-11.89,11.529,14,72.77,18.41,-32.82,20.51,-38.35,13.79,-21.91,1880,478,53,976,1955,688,0,0,0.0,0,0.0,0.0,0,6.587618e+06,5.758542e+06,829076.0,2.468,492729.0,0.394,3.956,29.9,51525175.0,36.5,36.5,1.0163266462114906e+19,100512871481344.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,19.37
REF_base_b60,COST,16,0.0625,random,0.052,60.0,,0.0,1,tv,0.0,month,0.0,0,0,0.92,entrant,signal,none,rs,1,0.0,7003,19.83,-33.94,0.584,1.141,686,31.6,48.3,37.21,-11.94,11.777,14,72.85,18.38,-32.83,21.2,-33.94,21.06,-26.87,1880,469,41,953,1980,686,0,0,0.0,0,0.0,0.0,0,6.644397e+06,5.773058e+06,871339.0,2.476,514969.0,0.419,4.573,31.0,54405426.0,41.6,41.6,2.1738030976387252e+19,175294560337920.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,19.36
REF_base_b60,COST,16,0.0625,random,0.052,60.0,,0.0,1,tv,0.0,month,0.0,0,0,0.92,entrant,signal,none,rs,1,0.0,7004,20.07,-36.22,0.554,1.144,684,31.5,47.8,37.64,-11.74,11.863,14,72.99,17.98,-32.87,22.13,-36.22,19.51,-20.47,1880,466,41,964,1971,684,0,0,0.0,0,0.0,0.0,0,6.857704e+06,6.034277e+06,823427.0,2.433,472955.0,0.381,3.739,28.7,56988066.0,40.2,40.2,3.072746432224664e+19,247785337126912.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,19.36
REF_base_b60,COST,16,0.0625,random,0.052,60.0,,0.0,1,tv,0.0,month,0.0,0,0,0.92,entrant,signal,none,rs,1,0.0,7005,19.31,-33.58,0.575,1.113,681,31.4,47.7,37.2,-11.86,11.552,14,72.86,17.98,-32.87,20.56,-33.58,17.04,-23.27,1880,465,41,942,1996,681,0,0,0.0,0,0.0,0.0,0,6.017353e+06,5.2064e+06,810952.0,2.409,475386.0,0.377,3.529,27.5,49350062.0,41.3,41.3,4.795381975835738e+18,38669800964096.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,19.36
REF_base_b60,COST,16,0.0625,random,0.052,60.0,,0.0,1,tv,0.0,month,0.0,0,0,0.92,entrant,signal,none,rs,1,0.0,7006,19.37,-33.58,0.577,1.119,683,31.5,47.7,37.12,-11.82,11.538,14,72.83,17.94,-32.89,20.73,-33.58,21.87,-24.67,1880,460,41,930,2006,683,0,0,0.0,0,0.0,0.0,0,6.160209e+06,5.35147e+06,808739.0,2.42,473966.0,0.375,3.689,27.8,50046786.0,40.9,40.9,5.853285334837625e+18,47200679755776.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,19.36
REF_base_b60,COST,16,0.0625,random,0.052,60.0,,0.0,1,tv,0.0,month,0.0,0,0,0.92,entrant,signal,none,rs,1,0.0,7007,18.52,-33.58,0.552,1.079,686,31.6,47.4,36.62,-12.0,11.031,14,72.87,17.98,-32.87,18.95,-33.58,15.68,-27.71,1880,456,41,928,2005,686,0,0,0.0,0,0.0,0.0,0,5.627211e+06,4.824269e+06,802943.0,2.441,476313.0,0.377,3.828,27.3,42843265.0,38.3,38.3,5.989109930362143e+17,5923127951360.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,19.36
REF_base_b60,COST,16,0.0625,random,0.052,60.0,,0.0,1,tv,0.0,month,0.0,0,0,0.92,entrant,signal,none,rs,1,0.0,7008,19.75,-36.25,0.545,1.13,682,31.4,48.2,36.98,-11.8,11.728,14,72.96,18.38,-32.83,21.04,-36.25,13.0,-19.02,1880,477,41,967,1970,682,0,0,0.0,0,0.0,0.0,0,7.14152e+06,6.296629e+06,844891.0,2.44,492518.0,0.397,3.844,30.2,54230228.0,36.6,36.6,2.531543939191459e+19,250365354180608.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,19.36
REF_base_b60,COST,16,0.0625,random,0.052,60.0,,0.0,1,tv,0.0,month,0.0,0,0,0.92,entrant,signal,none,rs,1,0.0,7009,19.16,-36.22,0.529,1.097,684,31.5,47.5,37.13,-11.89,11.4,14,72.96,17.98,-32.87,20.25,-36.22,12.64,-22.25,1880,483,41,1018,1917,684,0,0,0.0,0,0.0,0.0,0,6.35795e+06,5.542532e+06,815418.0,2.427,472955.0,0.38,4.186,28.5,48439184.0,38.0,38.0,3.1568771037402235e+18,31220985495552.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,19.36
REF_base_b60,COST,16,0.0625,random,0.052,60.0,,0.0,1,tv,0.0,month,0.0,0,0,0.92,entrant,signal,none,rs,1,0.0,7010,19.41,-36.25,0.535,1.12,687,31.7,47.7,37.04,-11.88,11.476,14,72.92,18.38,-32.83,20.34,-36.25,13.49,-22.62,1880,479,41,981,1951,687,0,0,0.0,0,0.0,0.0,0,6.662161e+06,5.808044e+06,854116.0,2.474,493087.0,0.407,4.044,30.0,50728920.0,37.3,37.3,7.377086954900292e+18,72958106140672.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,19.36
