label,axis,slots,slot_pct,select,idle,cost_bps,rot_score,rot_margin,rot_max_per_day,rot_entrant,trim_mult,trim_when,min_fill_frac,rot_sell_only,hard_stop,hard_stop_pct,rot_dest,rot_trigger,rot_spill,topup_rank,topup_split,topup_cap,seed,cagr,maxdd,calmar,sharpe,trades,trades_per_yr,win_rate,avg_win,avg_loss,expectancy,max_loss_streak,invested_pct,w1_cagr,w1_dd,w2_cagr,w2_dd,w3_cagr,w3_dd,days_signal,days_bind,days_full,turned_away,cash_refused,entries_taken,swaps,swap_attempts,swaps_per_yr,trims,trims_per_yr,trim_notional,partial_fills,tax_paid,tax_st,tax_lt,turnover_x,pos_rs_med,cap_pct_med,cap_pct_p95,cap_over1pct,profit_total,top10_share,top10_share_all,mult_all,mult_drop10,topups,topups_per_yr,topup_notional,spills,topup_refused,elig_days,elig_total,elig_ge1,elig_ge2,elig_ge3,elig_max,elig_ge2_pct,elig_mean,max_pos_w
CTRL_measure_k0,MEASURE,16,0.0625,random,0.052,25.0,unreal,10.0,0,rs,0.0,month,0.0,0,0,0.92,entrant,signal,none,rs,1,0.0,7001,20.8,-34.89,0.596,1.181,687,31.7,48.6,37.24,-11.52,12.184,14,72.94,18.9,-32.65,22.65,-34.89,19.39,-16.83,1880,469,41,984,1948,687,0,0,0.0,0,0.0,0.0,0,8.428977e+06,7.463866e+06,965110.0,2.44,528557.0,0.41,4.549,32.6,65798807.0,35.3,35.3,5.264237549341282e+20,4854263305994240.0,0,0.0,0.0,0,0,1399,552,441,94,16,4,6.72,0.395,19.32
CTRL_measure_k0,MEASURE,16,0.0625,random,0.052,25.0,unreal,10.0,0,rs,0.0,month,0.0,0,0,0.92,entrant,signal,none,rs,1,0.0,7002,20.81,-37.69,0.552,1.181,686,31.6,48.8,37.38,-11.63,12.299,14,72.87,19.1,-32.58,22.47,-37.69,23.5,-17.07,1880,474,53,995,1938,686,0,0,0.0,0,0.0,0.0,0,7.847673e+06,6.912727e+06,934946.0,2.425,536313.0,0.419,4.252,32.5,65379854.0,39.3,39.3,5.8156463250300155e+20,4372661375336448.0,0,0.0,0.0,0,0,1401,522,421,84,14,5,6.0,0.373,19.32
CTRL_measure_k0,MEASURE,16,0.0625,random,0.052,25.0,unreal,10.0,0,rs,0.0,month,0.0,0,0,0.92,entrant,signal,none,rs,1,0.0,7003,20.78,-36.93,0.563,1.179,685,31.6,48.5,37.61,-11.57,12.268,14,72.74,19.06,-32.59,22.44,-36.93,22.71,-18.61,1880,461,41,944,1990,685,0,0,0.0,0,0.0,0.0,0,7.789715e+06,6.856731e+06,932985.0,2.424,537901.0,0.418,4.209,32.3,64958347.0,39.4,39.4,4.3555233826848794e+20,3274827737595904.0,0,0.0,0.0,0,0,1399,499,398,86,14,4,6.15,0.357,19.32
CTRL_measure_k0,MEASURE,16,0.0625,random,0.052,25.0,unreal,10.0,0,rs,0.0,month,0.0,0,0,0.92,entrant,signal,none,rs,1,0.0,7004,21.63,-35.44,0.61,1.216,687,31.7,49.2,37.5,-11.46,12.629,14,72.97,18.99,-32.64,24.26,-35.44,23.88,-20.54,1880,468,41,960,1972,687,0,0,0.0,0,0.0,0.0,0,8.998892e+06,7.997028e+06,1.001864e+06,2.482,541352.0,0.433,4.61,33.9,75828557.0,39.3,39.3,4.1800728520892214e+21,3.142908676092723e+16,0,0.0,0.0,0,0,1399,486,377,92,16,4,6.58,0.347,19.32
CTRL_measure_k0,MEASURE,16,0.0625,random,0.052,25.0,unreal,10.0,0,rs,0.0,month,0.0,0,0,0.92,entrant,signal,none,rs,1,0.0,7005,20.21,-32.64,0.619,1.163,693,32.0,48.6,36.65,-11.68,11.823,14,72.91,18.99,-32.64,21.34,-32.52,13.59,-22.45,1880,472,41,1006,1920,693,0,0,0.0,0,0.0,0.0,0,7.751487e+06,6.731283e+06,1.020204e+06,2.536,553139.0,0.445,4.891,33.8,58943383.0,38.1,38.1,1.0124746391649727e+20,933623347806208.0,0,0.0,0.0,0,0,1393,590,460,102,24,4,7.32,0.424,19.32
CTRL_measure_k0,MEASURE,16,0.0625,random,0.052,25.0,unreal,10.0,0,rs,0.0,month,0.0,0,0,0.92,entrant,signal,none,rs,1,0.0,7006,20.9,-32.65,0.64,1.196,690,31.8,49.4,36.54,-11.59,12.195,14,72.94,18.95,-32.65,22.81,-32.51,18.33,-19.67,1880,465,41,962,1967,690,0,0,0.0,0,0.0,0.0,0,8.570868e+06,7.574304e+06,996565.0,2.513,549132.0,0.425,5.09,33.6,66942407.0,35.4,35.4,9.301741003557998e+20,8577338526662656.0,0,0.0,0.0,0,0,1395,500,391,91,16,4,6.52,0.358,19.31
CTRL_measure_k0,MEASURE,16,0.0625,random,0.052,25.0,unreal,10.0,0,rs,0.0,month,0.0,0,0,0.92,entrant,signal,none,rs,1,0.0,7007,20.57,-32.64,0.63,1.176,687,31.7,48.6,37.23,-11.59,12.142,14,72.86,18.99,-32.64,22.09,-32.52,22.9,-20.16,1880,470,41,981,1951,687,0,0,0.0,0,0.0,0.0,0,7.357846e+06,6.384109e+06,973738.0,2.458,550568.0,0.42,4.329,32.2,62298734.0,40.5,40.5,2.7158829129899652e+20,2042013880942592.0,0,0.0,0.0,0,0,1397,546,443,88,15,3,6.3,0.391,19.32
CTRL_measure_k0,MEASURE,16,0.0625,random,0.052,25.0,unreal,10.0,0,rs,0.0,month,0.0,0,0,0.92,entrant,signal,none,rs,1,0.0,7008,21.08,-32.59,0.647,1.199,689,31.8,49.8,36.58,-11.68,12.342,14,72.78,19.06,-32.59,23.05,-32.52,15.23,-20.76,1880,470,41,955,1975,689,0,0,0.0,0,0.0,0.0,0,9.04939e+06,8.049506e+06,999885.0,2.498,555254.0,0.43,5.017,33.2,69305211.0,35.7,35.7,1.7433567858165128e+21,1.607586931539968e+16,0,0.0,0.0,0,0,1390,527,414,95,17,4,6.83,0.379,19.32
CTRL_measure_k0,MEASURE,16,0.0625,random,0.052,25.0,unreal,10.0,0,rs,0.0,month,0.0,0,0,0.92,entrant,signal,none,rs,1,0.0,7009,21.41,-35.44,0.604,1.207,684,31.5,49.0,37.94,-11.64,12.643,14,72.96,18.99,-32.64,23.82,-35.44,23.24,-18.62,1880,468,41,967,1968,684,0,0,0.0,0,0.0,0.0,0,8.824433e+06,7.832636e+06,991796.0,2.44,541016.0,0.426,4.685,32.9,73056707.0,39.5,39.5,2.433348358913854e+21,1.8295836978970624e+16,0,0.0,0.0,0,0,1399,557,424,103,24,5,7.36,0.398,19.32
CTRL_measure_k0,MEASURE,16,0.0625,random,0.052,25.0,unreal,10.0,0,rs,0.0,month,0.0,0,0,0.92,entrant,signal,none,rs,1,0.0,7010,21.81,-32.59,0.669,1.231,685,31.6,49.9,37.16,-11.51,12.786,14,72.86,19.06,-32.59,24.57,-32.52,20.41,-19.8,1880,465,41,951,1983,685,0,0,0.0,0,0.0,0.0,0,9.503842e+06,8.494146e+06,1.009697e+06,2.466,554162.0,0.433,4.778,33.9,78650086.0,39.4,39.4,1.009980292363856e+22,7.593832891809792e+16,0,0.0,0.0,0,0,1395,493,387,92,14,3,6.59,0.353,19.32
