label,phase,uni,entry_L,entry_ref,buffer,ath_within,new_ath,exit,slots,gate,cost_bps,seed,window,tax,cagr,maxdd,calmar,sharpe,final,years,trades,win_rate,avg_win,avg_loss,expectancy,med_hold_d,worst_mae,med_mae,max_loss_streak,trades_per_yr,tax_paid,cost_paid,avg_invested
drift_ew_n100,control,n100,,,,,,,,,,,full,,19.22,-58.13,0.331,0.94,379799721.0,20.69,,,,,,,,,,,,,
drift_ew_n50,control,n50,,,,,,,,,,,full,,18.92,-56.65,0.334,0.977,360508109.0,20.69,,,,,,,,,,,,,
drift_ew_nn50,control,nn50,,,,,,,,,,,full,,18.66,-63.15,0.296,0.816,344761013.0,20.69,,,,,,,,,,,,,
drift_ew_n500,control,n500,,,,,,,,,,,full,,18.18,-65.51,0.278,0.857,317157667.0,20.69,,,,,,,,,,,,,
bench_niftybees,control,,,,,,,,,,,,full,,11.37,-59.71,0.19,0.653,267.0,20.69,,,,,,,,,,,,,
cash_only,control,,,,,,,,,,,,full,,5.11,0.0,nan,28736533034224.848,28065809.0,20.69,,,,,,,,,,,,,
null_random_01,control,n100,,,,,,CC252,,,,,full,,14.99,-43.7,0.343,0.845,179582796.0,20.69,208,50.5,101.8,-12.24,45.327,440,-46.7,-7.8,5,10.1,,,
null_random_02,control,n100,,,,,,CC252,,,,,full,,14.28,-49.95,0.286,0.798,157930400.0,20.69,204,46.1,113.7,-12.52,45.642,404,-46.7,-6.1,8,9.9,,,
null_random_03,control,n100,,,,,,CC252,,,,,full,,17.42,-44.7,0.39,0.924,276799143.0,20.69,198,49.5,140.19,-12.42,63.117,425,-46.7,-8.4,16,9.6,,,
null_random_04,control,n100,,,,,,CC252,,,,,full,,14.92,-44.18,0.338,0.849,177676081.0,20.69,207,45.4,116.67,-12.95,45.912,372,-46.7,-7.8,13,10.0,,,
null_random_05,control,n100,,,,,,CC252,,,,,full,,15.03,-49.3,0.305,0.864,181308326.0,20.69,208,47.1,109.03,-12.17,44.936,377,-60.0,-7.3,10,10.1,,,
null_random_06,control,n100,,,,,,CC252,,,,,full,,17.67,-43.99,0.402,0.964,289571269.0,20.69,191,48.7,129.22,-10.98,57.289,442,-34.6,-7.7,8,9.2,,,
null_random_07,control,n100,,,,,,CC252,,,,,full,,13.97,-43.33,0.323,0.822,149606744.0,20.69,208,47.6,97.18,-12.51,39.696,405,-40.8,-8.4,8,10.1,,,
null_random_08,control,n100,,,,,,CC252,,,,,full,,16.83,-47.97,0.351,0.889,249469815.0,20.69,228,44.7,124.19,-12.46,48.672,388,-46.4,-7.8,20,11.0,,,
null_random_09,control,n100,,,,,,CC252,,,,,full,,14.47,-48.96,0.296,0.824,163773600.0,20.69,212,47.2,101.48,-12.26,41.389,412,-40.8,-7.8,11,10.2,,,
null_random_10,control,n100,,,,,,CC252,,,,,full,,16.44,-48.1,0.342,0.863,233387080.0,20.69,201,46.8,124.71,-12.7,51.558,419,-49.2,-8.2,15,9.7,,,
null_random_11,control,n100,,,,,,CC252,,,,,full,,18.79,-47.33,0.397,0.97,351714116.0,20.69,205,44.9,157.28,-12.11,63.912,381,-44.5,-7.4,8,9.9,,,
null_random_12,control,n100,,,,,,CC252,,,,,full,,15.14,-48.16,0.314,0.86,184655243.0,20.69,206,45.6,116.89,-12.13,46.742,401,-48.6,-8.1,9,10.0,,,
null_random_13,control,n100,,,,,,CC252,,,,,full,,16.26,-50.02,0.325,0.886,225818702.0,20.69,197,48.2,124.71,-12.72,53.554,495,-52.6,-7.1,12,9.5,,,
