label,phase,uni,entry_L,entry_ref,buffer,ath_within,new_ath,exit,slots,gate,cost_bps,seed,window,tax,cagr,maxdd,calmar,sharpe,final,years,trades,win_rate,avg_win,avg_loss,expectancy,med_hold_d,worst_mae,med_mae,max_loss_streak,trades_per_yr,tax_paid,cost_paid,avg_invested
null_OPT_01,null,n100,252,close,,,,ST_14_4,20,none,15.0,1,full,True,12.45,-32.34,0.385,0.803,113304312.0,20.69,2817,41.7,11.09,-4.08,2.247,3,-34.5,-1.0,13,136.2,,,0.749
null_OPT_02,null,n100,252,close,,,,ST_14_4,20,none,15.0,2,full,True,12.23,-31.71,0.386,0.802,108671981.0,20.69,2747,42.1,10.85,-4.04,2.234,3,-32.6,-0.9,18,132.8,,,0.758
null_OPT_03,null,n100,252,close,,,,ST_14_4,20,none,15.0,3,full,True,13.13,-34.49,0.381,0.817,128063327.0,20.69,2865,43.1,10.58,-3.98,2.295,3,-31.3,-1.0,13,138.5,,,0.749
null_OPT_04,null,n100,252,close,,,,ST_14_4,20,none,15.0,4,full,True,13.87,-33.2,0.418,0.85,146929576.0,20.69,2852,44.2,10.44,-3.97,2.403,3,-26.5,-0.9,14,137.8,,,0.748
null_OPT_05,null,n100,252,close,,,,ST_14_4,20,none,15.0,5,full,True,14.87,-35.96,0.413,0.931,175821701.0,20.69,2764,42.7,11.8,-4.02,2.727,3,-25.2,-1.0,18,133.6,,,0.754
null_OPT_06,null,n100,252,close,,,,ST_14_4,20,none,15.0,6,full,True,12.45,-34.44,0.362,0.813,113367943.0,20.69,2831,42.2,10.84,-4.02,2.245,3,-32.8,-1.0,17,136.8,,,0.755
null_OPT_07,null,n100,252,close,,,,ST_14_4,20,none,15.0,7,full,True,13.7,-39.1,0.35,0.858,142320048.0,20.69,2833,41.7,11.46,-4.01,2.441,3,-28.9,-1.1,17,136.9,,,0.753
null_OPT_08,null,n100,252,close,,,,ST_14_4,20,none,15.0,8,full,True,13.12,-36.67,0.358,0.809,127980168.0,20.69,2747,41.0,11.65,-4.04,2.387,3,-33.4,-1.1,20,132.8,,,0.752
null_OPT_09,null,n100,252,close,,,,ST_14_4,20,none,15.0,9,full,True,13.5,-33.68,0.401,0.844,137269811.0,20.69,2691,42.4,11.42,-4.04,2.513,3,-23.0,-1.1,21,130.1,,,0.76
null_OPT_10,null,n100,252,close,,,,ST_14_4,20,none,15.0,10,full,True,13.97,-32.82,0.426,0.816,149527776.0,20.69,2788,41.0,12.09,-4.02,2.594,3,-35.2,-1.1,17,134.8,,,0.75
null_OPT_11,null,n100,252,close,,,,ST_14_4,20,none,15.0,11,full,True,12.93,-29.59,0.437,0.852,123854976.0,20.69,2731,42.0,11.44,-4.11,2.43,3,-33.7,-1.0,14,132.0,,,0.75
null_OPT_12,null,n100,252,close,,,,ST_14_4,20,none,15.0,12,full,True,14.14,-35.25,0.401,0.906,154314547.0,20.69,2769,43.1,11.22,-4.02,2.545,3,-33.8,-1.0,15,133.8,,,0.753
null_OPT_13,null,n100,252,close,,,,ST_14_4,20,none,15.0,13,full,True,14.49,-37.18,0.39,0.896,164445515.0,20.69,2753,42.6,11.6,-4.01,2.648,3,-35.2,-0.9,14,133.1,,,0.752
null_OPT_14,null,n100,252,close,,,,ST_14_4,20,none,15.0,14,full,True,14.46,-35.0,0.413,0.913,163176982.0,20.69,2767,43.3,11.57,-4.08,2.689,3,-26.9,-1.0,20,133.7,,,0.754
null_OPT_15,null,n100,252,close,,,,ST_14_4,20,none,15.0,15,full,True,13.04,-34.18,0.381,0.837,125964733.0,20.69,2769,42.0,11.07,-4.04,2.312,3,-31.3,-1.0,25,133.8,,,0.75
null_OPT_16,null,n100,252,close,,,,ST_14_4,20,none,15.0,16,full,True,13.26,-36.54,0.363,0.834,131650952.0,20.69,2896,41.7,11.04,-3.89,2.331,3,-33.7,-1.0,15,140.0,,,0.749
null_OPT_17,null,n100,252,close,,,,ST_14_4,20,none,15.0,17,full,True,12.7,-33.26,0.382,0.86,118758064.0,20.69,2695,42.2,11.27,-4.07,2.394,3,-39.4,-1.0,14,130.3,,,0.754
null_OPT_18,null,n100,252,close,,,,ST_14_4,20,none,15.0,18,full,True,11.38,-37.89,0.3,0.734,93068242.0,20.69,2872,40.8,10.65,-4.01,1.972,3,-30.1,-1.0,21,138.8,,,0.748
null_OPT_19,null,n100,252,close,,,,ST_14_4,20,none,15.0,19,full,True,12.81,-35.01,0.366,0.823,120902090.0,20.69,2836,42.8,10.92,-4.15,2.3,3,-32.8,-1.1,13,137.1,,,0.755
null_OPT_20,null,n100,252,close,,,,ST_14_4,20,none,15.0,20,full,True,13.72,-34.05,0.403,0.861,142693669.0,20.69,2731,42.8,11.46,-4.06,2.577,3,-33.1,-1.0,17,132.0,,,0.755
null_OPT_21,null,n100,252,close,,,,ST_14_4,20,none,15.0,21,full,True,13.2,-37.22,0.354,0.862,129981076.0,20.69,2725,43.0,11.01,-4.04,2.432,3,-28.6,-1.1,19,131.7,,,0.747
null_OPT_22,null,n100,252,close,,,,ST_14_4,20,none,15.0,22,full,True,13.35,-34.56,0.386,0.831,133727560.0,20.69,2811,42.5,11.19,-4.1,2.402,3,-33.1,-1.1,15,135.9,,,0.746
null_OPT_23,null,n100,252,close,,,,ST_14_4,20,none,15.0,23,full,True,12.58,-34.85,0.361,0.799,115896656.0,20.69,2806,42.0,10.89,-4.04,2.232,3,-24.9,-0.9,18,135.6,,,0.757
null_OPT_24,null,n100,252,close,,,,ST_14_4,20,none,15.0,24,full,True,13.47,-30.02,0.449,0.871,136496181.0,20.69,2756,42.3,11.15,-3.93,2.452,3,-33.7,-0.9,17,133.2,,,0.751
null_OPT_25,null,n100,252,close,,,,ST_14_4,20,none,15.0,25,full,True,12.98,-37.11,0.35,0.821,124693107.0,20.69,2844,42.9,10.77,-4.05,2.303,3,-34.5,-1.0,15,137.5,,,0.752
null_OPT_26,null,n100,252,close,,,,ST_14_4,20,none,15.0,26,full,True,11.1,-36.46,0.305,0.74,88405328.0,20.69,2708,41.7,10.79,-4.22,2.038,3,-34.5,-1.1,22,130.9,,,0.752
null_OPT_27,null,n100,252,close,,,,ST_14_4,20,none,15.0,27,full,True,14.53,-36.07,0.403,0.898,165171231.0,20.69,2723,43.6,11.22,-4.02,2.621,3,-25.2,-1.0,16,131.6,,,0.756
null_OPT_28,null,n100,252,close,,,,ST_14_4,20,none,15.0,28,full,True,14.53,-30.78,0.472,0.902,165400798.0,20.69,2815,44.5,10.71,-4.0,2.55,3,-33.7,-0.9,13,136.1,,,0.749
null_OPT_29,null,n100,252,close,,,,ST_14_4,20,none,15.0,29,full,True,14.31,-31.25,0.458,0.919,158916268.0,20.69,2620,43.5,11.67,-4.1,2.761,3,-33.1,-1.1,20,126.6,,,0.763
null_OPT_30,null,n100,252,close,,,,ST_14_4,20,none,15.0,30,full,True,13.78,-35.83,0.385,0.868,144709429.0,20.69,2809,41.0,11.54,-3.86,2.453,3,-26.5,-1.0,23,135.8,,,0.751
null_LIT_01,null,n100,252,close,,,,CC252,20,none,15.0,1,full,True,17.47,-46.77,0.373,0.935,279390586.0,20.69,177,52.0,150.41,-14.0,71.454,535,-55.8,-7.0,10,8.6,,,0.946
null_LIT_02,null,n100,252,close,,,,CC252,20,none,15.0,2,full,True,17.66,-48.59,0.363,0.963,288851524.0,20.69,191,50.3,122.91,-12.34,55.636,494,-49.9,-8.2,9,9.2,,,0.945
null_LIT_03,null,n100,252,close,,,,CC252,20,none,15.0,3,full,True,14.38,-46.4,0.31,0.836,160856116.0,20.69,196,49.0,104.6,-11.75,45.241,431,-48.6,-7.6,9,9.5,,,0.941
null_LIT_04,null,n100,252,close,,,,CC252,20,none,15.0,4,full,True,16.22,-41.92,0.387,0.901,224234782.0,20.69,189,50.8,116.43,-11.06,53.696,538,-44.3,-7.5,19,9.1,,,0.941
null_LIT_05,null,n100,252,close,,,,CC252,20,none,15.0,5,full,True,18.27,-41.56,0.44,0.917,321734982.0,20.69,195,49.7,129.74,-10.7,59.156,538,-40.9,-7.2,9,9.4,,,0.939
null_LIT_06,null,n100,252,close,,,,CC252,20,none,15.0,6,full,True,16.34,-47.54,0.344,0.877,229214319.0,20.69,213,45.5,111.03,-10.58,44.802,406,-39.7,-7.4,11,10.3,,,0.936
null_LIT_07,null,n100,252,close,,,,CC252,20,none,15.0,7,full,True,16.03,-46.71,0.343,0.829,216456931.0,20.69,222,46.8,114.48,-11.38,47.58,375,-38.7,-8.0,14,10.7,,,0.944
null_LIT_08,null,n100,252,close,,,,CC252,20,none,15.0,8,full,True,17.62,-42.0,0.419,0.939,286731744.0,20.69,196,48.5,158.17,-12.09,70.436,402,-56.9,-7.0,12,9.5,,,0.946
null_LIT_09,null,n100,252,close,,,,CC252,20,none,15.0,9,full,True,17.91,-43.91,0.408,0.894,301810098.0,20.69,216,45.4,123.1,-11.63,49.498,401,-41.4,-7.8,12,10.4,,,0.937
null_LIT_10,null,n100,252,close,,,,CC252,20,none,15.0,10,full,True,17.42,-43.21,0.403,0.926,277167022.0,20.69,195,47.7,148.78,-12.82,64.248,406,-43.5,-6.2,9,9.4,,,0.94
null_LIT_11,null,n100,252,close,,,,CC252,20,none,15.0,11,full,True,17.45,-44.65,0.391,0.886,278492694.0,20.69,207,45.4,140.13,-11.6,57.3,426,-40.8,-8.1,9,10.0,,,0.94
null_LIT_12,null,n100,252,close,,,,CC252,20,none,15.0,12,full,True,15.46,-44.53,0.347,0.882,195748226.0,20.69,199,49.2,104.43,-11.09,45.803,406,-46.4,-7.6,9,9.6,,,0.946
null_LIT_13,null,n100,252,close,,,,CC252,20,none,15.0,13,full,True,18.52,-46.38,0.399,0.943,336443842.0,20.69,194,49.5,147.57,-11.92,67.006,426,-50.8,-6.8,12,9.4,,,0.942
null_LIT_14,null,n100,252,close,,,,CC252,20,none,15.0,14,full,True,16.97,-48.12,0.353,0.917,255924528.0,20.69,198,46.5,134.62,-12.84,55.678,426,-46.7,-7.2,7,9.6,,,0.946
null_LIT_15,null,n100,252,close,,,,CC252,20,none,15.0,15,full,True,15.44,-43.38,0.356,0.896,194742753.0,20.69,200,47.0,128.48,-12.62,53.698,432,-41.1,-7.3,9,9.7,,,0.941
null_LIT_16,null,n100,252,close,,,,CC252,20,none,15.0,16,full,True,17.2,-46.99,0.366,0.896,266845166.0,20.69,198,50.0,124.09,-12.47,55.809,442,-56.0,-8.0,13,9.6,,,0.944
null_LIT_17,null,n100,252,close,,,,CC252,20,none,15.0,17,full,True,16.38,-44.55,0.368,0.87,230804120.0,20.69,208,48.6,115.95,-11.79,50.239,381,-49.2,-7.8,10,10.1,,,0.94
null_LIT_18,null,n100,252,close,,,,CC252,20,none,15.0,18,full,True,16.56,-47.88,0.346,0.889,238386958.0,20.69,197,50.3,134.6,-13.34,61.004,392,-40.5,-8.1,15,9.5,,,0.946
null_LIT_19,null,n100,252,close,,,,CC252,20,none,15.0,19,full,True,18.09,-50.55,0.358,0.925,311776909.0,20.69,185,50.8,129.78,-12.06,60.014,438,-50.6,-7.0,8,8.9,,,0.951
null_LIT_20,null,n100,252,close,,,,CC252,20,none,15.0,20,full,True,15.63,-51.23,0.305,0.852,201693479.0,20.69,200,49.0,117.81,-13.57,50.81,408,-55.2,-7.4,12,9.7,,,0.945
null_LIT_21,null,n100,252,close,,,,CC252,20,none,15.0,21,full,True,16.75,-45.9,0.365,0.896,246420644.0,20.69,192,52.1,111.34,-12.17,52.159,532,-46.7,-8.1,11,9.3,,,0.943
null_LIT_22,null,n100,252,close,,,,CC252,20,none,15.0,22,full,True,15.54,-44.29,0.351,0.863,198441856.0,20.69,192,51.6,110.6,-12.88,50.787,453,-54.1,-6.8,7,9.3,,,0.938
null_LIT_23,null,n100,252,close,,,,CC252,20,none,15.0,23,full,True,14.97,-46.42,0.323,0.821,179047495.0,20.69,209,47.8,106.4,-11.89,44.709,427,-46.8,-8.5,10,10.1,,,0.94
null_LIT_24,null,n100,252,close,,,,CC252,20,none,15.0,24,full,True,14.68,-45.9,0.32,0.831,169960259.0,20.69,192,51.0,106.11,-13.32,47.64,500,-50.6,-8.4,11,9.3,,,0.943
null_LIT_25,null,n100,252,close,,,,CC252,20,none,15.0,25,full,True,15.7,-45.59,0.344,0.878,203950720.0,20.69,217,49.3,98.69,-11.61,42.781,407,-56.0,-5.9,12,10.5,,,0.945
null_LIT_26,null,n100,252,close,,,,CC252,20,none,15.0,26,full,True,16.84,-48.65,0.346,0.89,250526952.0,20.69,190,43.7,171.86,-12.52,68.022,396,-47.9,-9.6,7,9.2,,,0.947
null_LIT_27,null,n100,252,close,,,,CC252,20,none,15.0,27,full,True,15.66,-47.29,0.331,0.866,202499049.0,20.69,190,51.1,108.68,-11.55,49.829,533,-59.2,-8.3,9,9.2,,,0.945
null_LIT_28,null,n100,252,close,,,,CC252,20,none,15.0,28,full,True,12.9,-48.44,0.266,0.739,122780501.0,20.69,214,45.3,95.23,-13.09,36.008,391,-49.8,-8.1,11,10.3,,,0.94
null_LIT_29,null,n100,252,close,,,,CC252,20,none,15.0,29,full,True,15.98,-49.67,0.322,0.878,214411464.0,20.69,191,48.7,119.82,-12.3,52.031,425,-53.0,-7.0,6,9.2,,,0.945
null_LIT_30,null,n100,252,close,,,,CC252,20,none,15.0,30,full,True,17.34,-49.9,0.347,0.905,273748645.0,20.69,192,46.4,152.19,-14.09,62.992,425,-55.2,-8.7,7,9.3,,,0.945
riskmatch_bh_60,control,n100,,,,,,,,,,,full,,13.99,-38.63,0.362,1.097,150064987.0,20.69,,,,,,,,,,,,,
riskmatch_bh_65,control,n100,,,,,,,,,,,full,,14.67,-41.42,0.354,1.067,169937548.0,20.69,,,,,,,,,,,,,
riskmatch_bh_71,control,n100,,,,,,,,,,,full,,15.51,-44.73,0.347,1.035,197621927.0,20.69,,,,,,,,,,,,,
riskmatch_bh_75,control,n100,,,,,,,,,,,full,,16.02,-46.68,0.343,1.019,216384978.0,20.69,,,,,,,,,,,,,
riskmatch_bh_80,control,n100,,,,,,,,,,,full,,16.68,-49.16,0.339,0.999,243306305.0,20.69,,,,,,,,,,,,,
riskmatch_bh_90,control,n100,,,,,,,,,,,full,,17.97,-53.83,0.334,0.966,305433397.0,20.69,,,,,,,,,,,,,
riskmatch_bh_100,control,n100,,,,,,,,,,,full,,19.22,-58.13,0.331,0.94,379799721.0,20.69,,,,,,,,,,,,,
