label,phase,uni,entry_L,entry_ref,buffer,ath_within,new_ath,exit,slots,gate,cost_bps,seed,window,tax,cagr,maxdd,calmar,sharpe,final,years,trades,win_rate,avg_win,avg_loss,expectancy,med_hold_d,worst_mae,med_mae,max_loss_streak,trades_per_yr,tax_paid,cost_paid,avg_invested
G_L63_close_CC21,grid,n100,63,close,0.0,,False,CC21,20,none,15.0,,full,True,13.73,-39.97,0.343,0.891,142662167.0,20.69,1908,42.3,17.44,-6.49,3.629,44,-33.7,-4.0,29,92.2,30774626,15477784,0.773
G_L63_close_CC42,grid,n100,63,close,0.0,,False,CC42,20,none,15.0,,full,True,16.67,-51.79,0.322,0.933,241948928.0,20.69,1006,43.8,32.97,-9.26,9.253,88,-41.8,-5.7,40,48.6,42836480,12741908,0.855
G_L63_close_CC63,grid,n100,63,close,0.0,,False,CC63,20,none,15.0,,full,True,15.98,-56.46,0.283,0.887,214134225.0,20.69,684,46.1,42.28,-11.33,13.361,141,-47.4,-7.2,17,33.1,32353500,7321498,0.896
G_L63_close_CC126,grid,n100,63,close,0.0,,False,CC126,20,none,15.0,,full,True,16.68,-56.6,0.295,0.893,242628182.0,20.69,349,50.7,66.18,-15.46,25.941,263,-50.4,-8.6,11,16.9,33608420,4413998,0.944
G_L63_close_CC189,grid,n100,63,close,0.0,,False,CC189,20,none,15.0,,full,True,14.32,-54.89,0.261,0.801,158884212.0,20.69,215,54.0,82.37,-16.78,36.712,440,-50.5,-10.4,12,10.4,21332402,1807576,0.957
G_L63_close_CC252,grid,n100,63,close,0.0,,False,CC252,20,none,15.0,,full,True,16.49,-55.01,0.3,0.878,234577264.0,20.69,142,63.4,120.55,-16.93,70.208,712,-59.2,-10.7,8,6.9,31966070,1280821,0.966
G_L63_close_CL21,grid,n100,63,close,0.0,,False,CL21,20,none,15.0,,full,True,14.56,-49.42,0.295,0.9,166005493.0,20.69,1376,41.9,25.02,-8.1,5.763,60,-49.9,-5.0,26,66.5,32893632,13339206,0.823
G_L63_close_CL42,grid,n100,63,close,0.0,,False,CL42,20,none,15.0,,full,True,14.95,-54.11,0.276,0.852,177930516.0,20.69,765,45.6,37.28,-10.89,11.084,123,-49.9,-7.0,32,37.0,27982094,6995613,0.895
G_L63_close_CL63,grid,n100,63,close,0.0,,False,CL63,20,none,15.0,,full,True,16.31,-55.38,0.295,0.918,227138706.0,20.69,503,48.7,49.14,-12.1,17.73,179,-49.9,-7.7,15,24.3,31240740,6317325,0.927
G_L63_close_CL126,grid,n100,63,close,0.0,,False,CL126,20,none,15.0,,full,True,14.69,-54.14,0.271,0.814,169943004.0,20.69,264,53.0,71.68,-16.33,30.342,363,-51.1,-10.2,14,12.8,22264410,2477275,0.957
G_L63_close_CL189,grid,n100,63,close,0.0,,False,CL189,20,none,15.0,,full,True,14.52,-56.59,0.257,0.798,164774114.0,20.69,168,57.7,100.67,-18.56,50.281,596,-51.9,-11.1,12,8.1,21953596,1479103,0.971
G_L63_close_CL252,grid,n100,63,close,0.0,,False,CL252,20,none,15.0,,full,True,15.72,-56.67,0.277,0.827,204312380.0,20.69,120,60.8,159.07,-19.63,89.08,805,-50.3,-11.1,5,5.8,27754170,1059933,0.973
G_L63_close_ST_7_3,grid,n100,63,close,0.0,,False,ST_7_3,20,none,15.0,,full,True,14.18,-42.3,0.335,0.918,154813977.0,20.69,1706,41.6,19.96,-6.82,4.322,49,-33.7,-4.3,35,82.5,33596340,15824833,0.78
G_L63_close_ST_10_3,grid,n100,63,close,0.0,,False,ST_10_3,20,none,15.0,,full,True,14.07,-41.86,0.336,0.918,151851084.0,20.69,1721,41.5,19.73,-6.82,4.209,49,-33.7,-4.3,36,83.2,32463024,15675510,0.779
G_L63_close_ST_14_4,grid,n100,63,close,0.0,,False,ST_14_4,20,none,15.0,,full,True,15.33,-46.91,0.327,0.933,190542732.0,20.69,1243,42.2,27.49,-8.08,6.911,69,-35.5,-4.9,19,60.1,37013924,13671883,0.835
G_L63_close_ATR25,grid,n100,63,close,0.0,,False,ATR25,20,none,15.0,,full,True,11.32,-39.51,0.287,0.79,91696305.0,20.69,2259,40.8,15.18,-6.21,2.508,35,-25.0,-3.8,32,109.2,18490934,13291739,0.741
G_L63_close_ATR40,grid,n100,63,close,0.0,,False,ATR40,20,none,15.0,,full,True,14.51,-52.29,0.277,0.863,164418058.0,20.69,1126,40.9,31.88,-9.23,7.569,77,-37.6,-5.9,40,54.4,31465076,10255459,0.857
G_L63_close_ATR60,grid,n100,63,close,0.0,,False,ATR60,20,none,15.0,,full,True,16.86,-57.48,0.293,0.918,250564904.0,20.69,569,47.6,49.03,-12.67,16.717,162,-49.9,-7.9,30,27.5,36573936,6664696,0.925
G_L63_close_SMA15,grid,n100,63,close,0.0,,False,SMA15,20,none,15.0,,full,True,6.34,-29.58,0.214,0.47,35565048.0,20.69,4844,37.1,7.9,-3.83,0.521,15,-23.9,-2.3,22,234.1,5939827,15684126,0.595
G_L63_close_SMA15_S8,grid,n100,63,close,0.0,,False,SMA15_S8,20,none,15.0,,full,True,6.33,-29.74,0.213,0.471,35482072.0,20.69,4854,37.0,7.93,-3.84,0.518,15,-23.9,-2.3,27,234.6,5891548,15577595,0.594
G_L63_close_EMA50,grid,n100,63,close,0.0,,False,EMA50,20,none,15.0,,full,True,14.36,-37.83,0.38,0.915,160136067.0,20.69,1839,38.0,20.34,-5.92,4.06,42,-38.7,-3.9,34,88.9,33858380,16586794,0.758
G_L63_high_CC21,grid,n100,63,high,0.0,,False,CC21,20,none,15.0,,full,True,11.61,-32.41,0.358,0.797,96934549.0,20.69,1737,41.3,17.27,-6.58,3.277,45,-39.4,-4.3,22,84.0,19188770,11585994,0.716
G_L63_high_CC42,grid,n100,63,high,0.0,,False,CC42,20,none,15.0,,full,True,14.75,-42.71,0.345,0.879,172071113.0,20.69,958,42.8,32.23,-9.2,8.532,91,-39.5,-6.1,30,46.3,28526992,9949347,0.816
G_L63_high_CC63,grid,n100,63,high,0.0,,False,CC63,20,none,15.0,,full,True,15.41,-47.87,0.322,0.902,193910429.0,20.69,665,47.5,39.86,-11.47,12.92,139,-44.6,-7.4,21,32.1,27641956,7619777,0.863
G_L63_high_CC126,grid,n100,63,high,0.0,,False,CC126,20,none,15.0,,full,True,13.77,-50.57,0.272,0.782,144318604.0,20.69,343,49.0,62.25,-15.52,22.568,268,-49.5,-9.2,12,16.6,19014868,2887494,0.923
G_L63_high_CC189,grid,n100,63,high,0.0,,False,CC189,20,none,15.0,,full,True,13.94,-50.0,0.279,0.787,148793272.0,20.69,217,53.5,82.47,-17.28,36.043,494,-50.5,-10.8,13,10.5,19269656,1787223,0.944
G_L63_high_CC252,grid,n100,63,high,0.0,,False,CC252,20,none,15.0,,full,True,15.28,-54.39,0.281,0.827,189479769.0,20.69,157,61.8,107.31,-19.49,58.85,683,-59.2,-11.6,8,7.6,25193488,1187711,0.956
G_L63_high_CL21,grid,n100,63,high,0.0,,False,CL21,20,none,15.0,,full,True,13.4,-41.42,0.323,0.854,134733240.0,20.69,1281,42.0,24.15,-8.0,5.505,62,-36.4,-5.1,23,61.9,25306760,10516355,0.768
G_L63_high_CL42,grid,n100,63,high,0.0,,False,CL42,20,none,15.0,,full,True,14.38,-46.22,0.311,0.845,161097805.0,20.69,753,44.8,37.56,-10.88,10.8,116,-42.8,-7.2,21,36.4,23685724,7198885,0.86
G_L63_high_CL63,grid,n100,63,high,0.0,,False,CL63,20,none,15.0,,full,True,15.84,-48.85,0.324,0.904,209378410.0,20.69,500,49.4,48.88,-12.89,17.625,176,-42.8,-8.1,14,24.2,28850960,5780488,0.896
G_L63_high_CL126,grid,n100,63,high,0.0,,False,CL126,20,none,15.0,,full,True,14.3,-50.61,0.283,0.813,158763026.0,20.69,257,53.3,74.85,-16.32,32.28,356,-50.5,-9.5,13,12.4,20739484,2326420,0.944
G_L63_high_CL189,grid,n100,63,high,0.0,,False,CL189,20,none,15.0,,full,True,14.6,-51.78,0.282,0.808,167555804.0,20.69,173,63.0,86.64,-20.33,47.066,658,-58.5,-10.1,7,8.4,21952014,1612292,0.957
G_L63_high_CL252,grid,n100,63,high,0.0,,False,CL252,20,none,15.0,,full,True,14.88,-55.25,0.269,0.783,176238507.0,20.69,123,64.2,142.58,-23.32,83.231,806,-50.4,-12.9,6,5.9,23278126,840050,0.96
G_L63_high_ST_7_3,grid,n100,63,high,0.0,,False,ST_7_3,20,none,15.0,,full,True,12.9,-33.08,0.39,0.877,123069459.0,20.69,1548,40.4,20.94,-7.06,4.262,49,-33.7,-4.6,31,74.8,25178564,13168881,0.725
G_L63_high_ST_10_3,grid,n100,63,high,0.0,,False,ST_10_3,20,none,15.0,,full,True,12.66,-33.3,0.38,0.861,117743839.0,20.69,1571,40.4,20.53,-7.06,4.094,49,-33.7,-4.6,31,75.9,23961570,12509946,0.723
G_L63_high_ST_14_4,grid,n100,63,high,0.0,,False,ST_14_4,20,none,15.0,,full,True,14.71,-37.9,0.388,0.92,171028138.0,20.69,1082,42.4,29.19,-8.57,7.447,78,-39.5,-5.7,27,52.3,33234966,11155913,0.79
G_L63_high_ATR25,grid,n100,63,high,0.0,,False,ATR25,20,none,15.0,,full,True,9.78,-30.67,0.319,0.687,68876000.0,20.69,2087,38.6,15.52,-6.13,2.217,35,-31.2,-4.1,27,100.9,12521906,10257442,0.669
G_L63_high_ATR40,grid,n100,63,high,0.0,,False,ATR40,20,none,15.0,,full,True,13.32,-43.17,0.309,0.828,132874202.0,20.69,1072,41.4,30.05,-9.22,7.041,76,-42.8,-6.3,25,51.8,24449158,9060845,0.808
