label,stack,entry,entry_L,group,hard_pct,hard_atr,be_after,lock_after,lock_trail,trail_pct,trail_chand,trail_atr,rule,time_bars,time_min_gain,block_bars,book_dd_kill,cost_bps,offset,window,cagr,maxdd,calmar,sharpe,trades,win_rate,avg_win,avg_loss,expectancy,med_hold_d,worst_mae,med_mae,max_loss_streak,trades_per_yr,avg_invested,eligible,pct_STOP,pct_RULE,pct_TIME,pct_BOOKKILL,book_kills,tax_paid,cost_paid
P2N3mom_E189_01,P2N3mom_E189,E189,189,p2null,,,,,,,,,,,,,,15.0,,full,18.73,-36.77,0.509,1.098,503,42.9,64.44,-8.86,22.621,117,-26.9,-6.4,12,24.3,,,,,,,,,
P2N3mom_E189_02,P2N3mom_E189,E189,189,p2null,,,,,,,,,,,,,,15.0,,full,19.94,-36.36,0.548,1.189,475,45.9,62.18,-8.66,23.854,116,-34.4,-5.9,15,23.0,,,,,,,,,
P2N3mom_E189_03,P2N3mom_E189,E189,189,p2null,,,,,,,,,,,,,,15.0,,full,18.21,-34.52,0.527,1.078,507,43.2,59.16,-8.74,20.587,102,-25.9,-6.3,19,24.5,,,,,,,,,
P2N3mom_E189_04,P2N3mom_E189,E189,189,p2null,,,,,,,,,,,,,,15.0,,full,17.98,-37.55,0.479,1.033,501,41.5,63.47,-9.04,21.063,108,-30.5,-6.4,14,24.2,,,,,,,,,
P2N3mom_E189_05,P2N3mom_E189,E189,189,p2null,,,,,,,,,,,,,,15.0,,full,16.62,-35.26,0.471,0.997,539,42.9,53.59,-9.7,17.428,107,-30.8,-7.3,13,26.1,,,,,,,,,
P2N3mom_E189_06,P2N3mom_E189,E189,189,p2null,,,,,,,,,,,,,,15.0,,full,18.8,-36.3,0.518,1.129,488,41.2,67.5,-8.24,22.955,105,-38.9,-6.4,14,23.6,,,,,,,,,
P2N3mom_E189_07,P2N3mom_E189,E189,189,p2null,,,,,,,,,,,,,,15.0,,full,20.73,-34.87,0.595,1.196,484,44.6,68.25,-8.33,25.845,116,-32.1,-6.1,17,23.4,,,,,,,,,
P2N3mom_E189_08,P2N3mom_E189,E189,189,p2null,,,,,,,,,,,,,,15.0,,full,17.09,-36.17,0.472,1.021,527,41.9,54.24,-8.41,17.866,108,-34.4,-6.5,14,25.5,,,,,,,,,
P2N3mom_E189_09,P2N3mom_E189,E189,189,p2null,,,,,,,,,,,,,,15.0,,full,19.98,-38.63,0.517,1.144,534,40.4,65.73,-8.36,21.607,106,-33.0,-6.4,17,25.8,,,,,,,,,
P2N3mom_E189_10,P2N3mom_E189,E189,189,p2null,,,,,,,,,,,,,,15.0,,full,17.42,-35.38,0.492,1.021,526,39.9,60.57,-8.42,19.123,105,-25.2,-6.2,11,25.4,,,,,,,,,
P2N3mom_E189_11,P2N3mom_E189,E189,189,p2null,,,,,,,,,,,,,,15.0,,full,18.76,-36.09,0.52,1.116,482,41.5,67.6,-8.27,23.212,110,-30.8,-6.8,11,23.3,,,,,,,,,
P2N3mom_E189_12,P2N3mom_E189,E189,189,p2null,,,,,,,,,,,,,,15.0,,full,20.32,-35.16,0.578,1.159,519,41.0,67.34,-8.47,22.641,113,-31.9,-6.6,22,25.1,,,,,,,,,
P2N3mom_E189_13,P2N3mom_E189,E189,189,p2null,,,,,,,,,,,,,,15.0,,full,18.12,-35.92,0.505,1.111,496,41.7,61.08,-8.7,20.423,114,-33.6,-6.3,18,24.0,,,,,,,,,
P2N3mom_E189_14,P2N3mom_E189,E189,189,p2null,,,,,,,,,,,,,,15.0,,full,16.18,-37.72,0.429,0.992,520,42.3,51.62,-8.53,16.915,114,-27.4,-6.1,17,25.1,,,,,,,,,
P2N3mom_E189_15,P2N3mom_E189,E189,189,p2null,,,,,,,,,,,,,,15.0,,full,19.33,-36.87,0.524,1.13,507,45.0,60.49,-9.2,22.141,107,-27.6,-6.2,17,24.5,,,,,,,,,
P2N3mom_E189_16,P2N3mom_E189,E189,189,p2null,,,,,,,,,,,,,,15.0,,full,16.18,-37.26,0.434,0.96,526,40.7,57.79,-8.82,18.282,99,-31.0,-6.9,13,25.4,,,,,,,,,
