series,year,ret,dd
TRAIL10_T63_g0_BK20 E189,2006,33.76,-10.43
TRAIL10_T63_g0_BK20 E189,2007,20.58,-13.87
TRAIL10_T63_g0_BK20 E189,2008,-7.42,-13.01
TRAIL10_T63_g0_BK20 E189,2009,16.33,-13.54
TRAIL10_T63_g0_BK20 E189,2010,20.22,-12.48
TRAIL10_T63_g0_BK20 E189,2011,-12.73,-17.91
TRAIL10_T63_g0_BK20 E189,2012,10.45,-20.09
TRAIL10_T63_g0_BK20 E189,2013,-0.58,-16.69
TRAIL10_T63_g0_BK20 E189,2014,40.07,-12.05
TRAIL10_T63_g0_BK20 E189,2015,-8.07,-17.47
TRAIL10_T63_g0_BK20 E189,2016,3.08,-19.98
TRAIL10_T63_g0_BK20 E189,2017,26.62,-14.41
TRAIL10_T63_g0_BK20 E189,2018,-1.64,-11.77
TRAIL10_T63_g0_BK20 E189,2019,8.49,-17.94
TRAIL10_T63_g0_BK20 E189,2020,28.01,-12.54
TRAIL10_T63_g0_BK20 E189,2021,36.62,-12.65
TRAIL10_T63_g0_BK20 E189,2022,14.36,-19.39
TRAIL10_T63_g0_BK20 E189,2023,42.85,-15.48
TRAIL10_T63_g0_BK20 E189,2024,7.08,-11.74
TRAIL10_T63_g0_BK20 E189,2025,6.15,-16.52
TRAIL10_T63_g0_BK20 E189,2026,-7.38,-14.66
TRAIL10_T63_g0_BK20 E252,2006,32.96,-10.33
TRAIL10_T63_g0_BK20 E252,2007,18.86,-13.65
TRAIL10_T63_g0_BK20 E252,2008,-6.77,-12.48
TRAIL10_T63_g0_BK20 E252,2009,10.92,-14.45
TRAIL10_T63_g0_BK20 E252,2010,20.2,-12.38
TRAIL10_T63_g0_BK20 E252,2011,-10.55,-15.95
TRAIL10_T63_g0_BK20 E252,2012,14.2,-17.03
TRAIL10_T63_g0_BK20 E252,2013,-0.67,-12.81
TRAIL10_T63_g0_BK20 E252,2014,32.47,-6.29
TRAIL10_T63_g0_BK20 E252,2015,-6.58,-17.16
TRAIL10_T63_g0_BK20 E252,2016,3.33,-18.83
TRAIL10_T63_g0_BK20 E252,2017,29.16,-14.13
TRAIL10_T63_g0_BK20 E252,2018,-4.14,-12.1
TRAIL10_T63_g0_BK20 E252,2019,2.73,-18.32
TRAIL10_T63_g0_BK20 E252,2020,27.92,-11.33
TRAIL10_T63_g0_BK20 E252,2021,37.0,-12.34
TRAIL10_T63_g0_BK20 E252,2022,5.81,-20.22
TRAIL10_T63_g0_BK20 E252,2023,51.5,-12.58
TRAIL10_T63_g0_BK20 E252,2024,10.4,-11.66
TRAIL10_T63_g0_BK20 E252,2025,2.82,-16.53
TRAIL10_T63_g0_BK20 E252,2026,-9.27,-18.41
TRAIL10_T63_g0 E189,2006,33.76,-10.43
TRAIL10_T63_g0 E189,2007,20.58,-13.87
TRAIL10_T63_g0 E189,2008,-7.42,-13.01
TRAIL10_T63_g0 E189,2009,16.33,-13.54
TRAIL10_T63_g0 E189,2010,20.22,-12.48
TRAIL10_T63_g0 E189,2011,-12.73,-17.91
TRAIL10_T63_g0 E189,2012,11.03,-20.18
TRAIL10_T63_g0 E189,2013,-0.3,-16.02
TRAIL10_T63_g0 E189,2014,40.04,-11.34
TRAIL10_T63_g0 E189,2015,-8.29,-17.67
TRAIL10_T63_g0 E189,2016,3.08,-20.17
TRAIL10_T63_g0 E189,2017,26.62,-14.42
TRAIL10_T63_g0 E189,2018,-1.63,-11.77
TRAIL10_T63_g0 E189,2019,8.49,-17.94
TRAIL10_T63_g0 E189,2020,28.01,-12.54
TRAIL10_T63_g0 E189,2021,36.62,-12.65
TRAIL10_T63_g0 E189,2022,14.36,-19.39
TRAIL10_T63_g0 E189,2023,42.85,-15.48
TRAIL10_T63_g0 E189,2024,7.09,-11.74
TRAIL10_T63_g0 E189,2025,6.16,-16.51
TRAIL10_T63_g0 E189,2026,-7.38,-14.66
TRAIL10_T63_g0 E252,2006,32.96,-10.33
TRAIL10_T63_g0 E252,2007,18.86,-13.65
TRAIL10_T63_g0 E252,2008,-6.77,-12.48
TRAIL10_T63_g0 E252,2009,10.92,-14.45
TRAIL10_T63_g0 E252,2010,20.2,-12.38
TRAIL10_T63_g0 E252,2011,-10.55,-15.95
TRAIL10_T63_g0 E252,2012,14.2,-17.03
TRAIL10_T63_g0 E252,2013,-0.67,-12.81
TRAIL10_T63_g0 E252,2014,32.47,-6.29
TRAIL10_T63_g0 E252,2015,-6.58,-17.16
TRAIL10_T63_g0 E252,2016,3.33,-18.83
TRAIL10_T63_g0 E252,2017,29.16,-14.13
TRAIL10_T63_g0 E252,2018,-4.14,-12.1
TRAIL10_T63_g0 E252,2019,2.73,-18.32
TRAIL10_T63_g0 E252,2020,27.92,-11.33
TRAIL10_T63_g0 E252,2021,37.0,-12.34
TRAIL10_T63_g0 E252,2022,7.31,-21.52
TRAIL10_T63_g0 E252,2023,50.7,-12.75
TRAIL10_T63_g0 E252,2024,9.76,-11.69
TRAIL10_T63_g0 E252,2025,3.02,-16.4
TRAIL10_T63_g0 E252,2026,-9.19,-18.27
TRAIL20_T63_g0 E189,2006,20.87,-19.64
TRAIL20_T63_g0 E189,2007,55.79,-15.94
TRAIL20_T63_g0 E189,2008,-21.2,-25.13
TRAIL20_T63_g0 E189,2009,45.11,-25.62
TRAIL20_T63_g0 E189,2010,37.25,-12.23
TRAIL20_T63_g0 E189,2011,-21.88,-25.57
TRAIL20_T63_g0 E189,2012,18.58,-27.64
TRAIL20_T63_g0 E189,2013,2.71,-19.44
TRAIL20_T63_g0 E189,2014,45.25,-10.25
TRAIL20_T63_g0 E189,2015,6.77,-12.63
TRAIL20_T63_g0 E189,2016,-6.07,-19.23
TRAIL20_T63_g0 E189,2017,37.4,-14.91
