label,year,ret,dd
AX_slots100_L252_close_ST_14_4,2006,8.4,-6.76
AX_slots100_L252_close_ST_14_4,2007,18.37,-4.11
AX_slots100_L252_close_ST_14_4,2008,-5.38,-9.9
AX_slots100_L252_close_ST_14_4,2009,13.88,-6.99
AX_slots100_L252_close_ST_14_4,2010,10.84,-7.5
AX_slots100_L252_close_ST_14_4,2011,0.39,-4.56
AX_slots100_L252_close_ST_14_4,2012,7.57,-2.52
AX_slots100_L252_close_ST_14_4,2013,3.96,-1.16
AX_slots100_L252_close_ST_14_4,2014,17.08,-4.43
AX_slots100_L252_close_ST_14_4,2015,2.6,-4.79
AX_slots100_L252_close_ST_14_4,2016,5.88,-2.65
AX_slots100_L252_close_ST_14_4,2017,10.56,-2.37
AX_slots100_L252_close_ST_14_4,2018,2.42,-3.21
AX_slots100_L252_close_ST_14_4,2019,7.07,-2.11
AX_slots100_L252_close_ST_14_4,2020,10.71,-3.48
AX_slots100_L252_close_ST_14_4,2021,16.76,-6.15
AX_slots100_L252_close_ST_14_4,2022,2.96,-9.04
AX_slots100_L252_close_ST_14_4,2023,20.33,-3.09
AX_slots100_L252_close_ST_14_4,2024,13.56,-6.38
AX_slots100_L252_close_ST_14_4,2025,2.84,-5.04
AX_slots100_L252_close_ST_14_4,2026,1.4,-1.87
AX_slots100_L378_close_ST_14_4,2006,8.87,-3.98
AX_slots100_L378_close_ST_14_4,2007,18.06,-4.01
AX_slots100_L378_close_ST_14_4,2008,-4.97,-9.71
AX_slots100_L378_close_ST_14_4,2009,8.27,-6.49
AX_slots100_L378_close_ST_14_4,2010,10.8,-6.39
AX_slots100_L378_close_ST_14_4,2011,0.93,-4.03
AX_slots100_L378_close_ST_14_4,2012,7.86,-1.73
AX_slots100_L378_close_ST_14_4,2013,4.16,-1.12
AX_slots100_L378_close_ST_14_4,2014,15.95,-3.64
AX_slots100_L378_close_ST_14_4,2015,2.66,-4.61
AX_slots100_L378_close_ST_14_4,2016,5.76,-1.89
AX_slots100_L378_close_ST_14_4,2017,10.08,-2.12
AX_slots100_L378_close_ST_14_4,2018,2.46,-2.84
AX_slots100_L378_close_ST_14_4,2019,4.14,-1.96
AX_slots100_L378_close_ST_14_4,2020,10.42,-3.05
AX_slots100_L378_close_ST_14_4,2021,16.14,-5.89
AX_slots100_L378_close_ST_14_4,2022,3.45,-8.48
AX_slots100_L378_close_ST_14_4,2023,19.65,-2.85
AX_slots100_L378_close_ST_14_4,2024,13.59,-5.74
AX_slots100_L378_close_ST_14_4,2025,2.85,-4.95
AX_slots100_L378_close_ST_14_4,2026,1.88,-1.51
AX_slots100_L126_high_ST_14_4,2006,6.75,-6.4
AX_slots100_L126_high_ST_14_4,2007,17.11,-3.97
AX_slots100_L126_high_ST_14_4,2008,-6.09,-10.64
AX_slots100_L126_high_ST_14_4,2009,28.15,-7.52
AX_slots100_L126_high_ST_14_4,2010,7.75,-7.8
AX_slots100_L126_high_ST_14_4,2011,-0.69,-4.92
AX_slots100_L126_high_ST_14_4,2012,4.99,-4.36
AX_slots100_L126_high_ST_14_4,2013,4.34,-1.52
AX_slots100_L126_high_ST_14_4,2014,18.89,-4.62
AX_slots100_L126_high_ST_14_4,2015,2.02,-4.89
AX_slots100_L126_high_ST_14_4,2016,6.57,-3.67
AX_slots100_L126_high_ST_14_4,2017,9.8,-3.42
AX_slots100_L126_high_ST_14_4,2018,1.64,-3.16
AX_slots100_L126_high_ST_14_4,2019,7.28,-2.17
AX_slots100_L126_high_ST_14_4,2020,13.36,-3.71
AX_slots100_L126_high_ST_14_4,2021,17.87,-6.31
AX_slots100_L126_high_ST_14_4,2022,1.69,-9.33
AX_slots100_L126_high_ST_14_4,2023,19.21,-4.79
AX_slots100_L126_high_ST_14_4,2024,13.96,-6.29
AX_slots100_L126_high_ST_14_4,2025,2.71,-4.77
AX_slots100_L126_high_ST_14_4,2026,1.18,-2.34
AX_slots15_L252_close_ST_14_4,2006,27.73,-16.03
AX_slots15_L252_close_ST_14_4,2007,76.31,-14.22
AX_slots15_L252_close_ST_14_4,2008,-23.31,-27.25
AX_slots15_L252_close_ST_14_4,2009,37.34,-27.49
AX_slots15_L252_close_ST_14_4,2010,32.66,-24.04
AX_slots15_L252_close_ST_14_4,2011,-17.45,-24.67
AX_slots15_L252_close_ST_14_4,2012,14.07,-26.97
AX_slots15_L252_close_ST_14_4,2013,2.8,-21.37
AX_slots15_L252_close_ST_14_4,2014,43.51,-13.14
AX_slots15_L252_close_ST_14_4,2015,-2.32,-15.62
AX_slots15_L252_close_ST_14_4,2016,3.19,-16.37
AX_slots15_L252_close_ST_14_4,2017,31.89,-14.39
AX_slots15_L252_close_ST_14_4,2018,-4.73,-12.09
AX_slots15_L252_close_ST_14_4,2019,10.42,-17.26
AX_slots15_L252_close_ST_14_4,2020,33.78,-16.0
AX_slots15_L252_close_ST_14_4,2021,62.9,-11.67
AX_slots15_L252_close_ST_14_4,2022,0.9,-25.72
AX_slots15_L252_close_ST_14_4,2023,42.06,-17.8
AX_slots15_L252_close_ST_14_4,2024,29.95,-17.05
AX_slots15_L252_close_ST_14_4,2025,-0.94,-19.52
AX_slots15_L252_close_ST_14_4,2026,-6.71,-17.4
AX_buf1_L252_close_ST_14_4,2006,21.38,-15.03
AX_buf1_L252_close_ST_14_4,2007,64.33,-13.81
AX_buf1_L252_close_ST_14_4,2008,-20.73,-24.66
AX_buf1_L252_close_ST_14_4,2009,35.1,-24.73
AX_buf1_L252_close_ST_14_4,2010,20.9,-20.21
AX_buf1_L252_close_ST_14_4,2011,-11.09,-18.97
AX_buf1_L252_close_ST_14_4,2012,15.51,-19.24
AX_buf1_L252_close_ST_14_4,2013,3.84,-10.87
AX_buf1_L252_close_ST_14_4,2014,39.41,-6.84
AX_buf1_L252_close_ST_14_4,2015,-0.63,-14.87
