label,phase,uni,entry_L,entry_ref,buffer,ath_within,new_ath,exit,slots,gate,cost_bps,seed,window,tax,cagr,maxdd,calmar,sharpe,final,years,trades,win_rate,avg_win,avg_loss,expectancy,med_hold_d,worst_mae,med_mae,max_loss_streak,trades_per_yr,tax_paid,cost_paid,avg_invested
52W_OPT_c0,short,n100,252,close,0.0,,,ST_14_4,20,none,0.0,,full,True,15.56,-25.79,0.603,1.025,198837766.0,20.69,951,46.7,25.65,-7.71,7.864,84,-33.7,-5.2,11,46.0,40187512,0,0.713
52W_OPT_c15,short,n100,252,close,0.0,,,ST_14_4,20,none,15.0,,full,True,14.95,-26.01,0.575,0.991,178102447.0,20.69,949,46.0,25.67,-7.86,7.582,84,-33.7,-5.2,12,45.9,35493860,9970329,0.712
52W_OPT_c30,short,n100,252,close,0.0,,,ST_14_4,20,none,30.0,,full,True,14.36,-26.23,0.548,0.958,160172185.0,20.69,947,45.0,25.95,-7.93,7.312,84,-33.7,-5.2,13,45.8,31493794,18455220,0.712
52W_OPT_c45,short,n100,252,close,0.0,,,ST_14_4,20,none,45.0,,full,True,13.71,-26.45,0.519,0.922,142393029.0,20.69,947,44.4,25.95,-8.11,6.997,84,-33.7,-5.2,13,45.8,27519698,25396046,0.712
52W_OPT_buf1_c0,short,n100,252,close,0.01,,,ST_14_4,20,none,0.0,,full,True,15.42,-24.6,0.627,1.043,194298076.0,20.69,888,48.4,25.28,-7.75,8.246,87,-33.7,-5.2,16,42.9,37692800,0,0.686
52W_OPT_buf1_c15,short,n100,252,close,0.01,,,ST_14_4,20,none,15.0,,full,True,14.68,-24.73,0.594,1.0,170196240.0,20.69,891,47.8,25.12,-7.98,7.845,87,-33.7,-5.2,16,43.1,32570364,9153565,0.687
52W_OPT_buf1_c30,short,n100,252,close,0.01,,,ST_14_4,20,none,30.0,,full,True,14.1,-24.94,0.565,0.966,153152176.0,20.69,889,46.9,25.26,-8.05,7.572,88,-33.7,-5.2,16,43.0,29491548,17015132,0.688
52W_OPT_buf1_c45,short,n100,252,close,0.01,,,ST_14_4,20,none,45.0,,full,True,13.31,-25.15,0.529,0.92,132652128.0,20.69,891,45.9,25.35,-8.27,7.163,87,-33.7,-5.2,16,43.1,25630564,23154304,0.687
52W_OPT_s15_c0,short,n100,252,close,0.0,,,ST_14_4,15,none,0.0,,full,True,17.11,-27.32,0.626,1.023,261589325.0,20.69,769,47.6,26.18,-7.92,8.31,82,-33.7,-5.3,13,37.2,55052676,0,0.763
52W_OPT_s15_c15,short,n100,252,close,0.0,,,ST_14_4,15,none,15.0,,full,True,16.35,-27.49,0.595,0.986,228501542.0,20.69,771,46.8,26.3,-8.11,7.999,82,-33.7,-5.3,13,37.3,47527556,13298775,0.764
52W_OPT_s15_c30,short,n100,252,close,0.0,,,ST_14_4,15,none,30.0,,full,True,15.6,-27.74,0.562,0.948,200029572.0,20.69,769,45.9,26.34,-8.21,7.647,82,-33.7,-5.3,13,37.2,41021992,23964976,0.764
52W_OPT_s15_c45,short,n100,252,close,0.0,,,ST_14_4,15,none,45.0,,full,True,14.99,-28.5,0.526,0.916,178987280.0,20.69,768,45.2,26.46,-8.35,7.375,82,-33.7,-5.2,14,37.1,36168804,33175862,0.763
52W_OPT_L189_c0,short,n100,189,close,0.0,,,ST_14_4,20,none,0.0,,full,True,16.14,-26.72,0.604,1.039,220235367.0,20.69,1000,46.2,26.28,-7.73,7.98,80,-33.7,-5.1,16,48.3,45369224,0,0.736
52W_OPT_L189_c15,short,n100,189,close,0.0,,,ST_14_4,20,none,15.0,,full,True,15.28,-27.44,0.557,0.991,189030683.0,20.69,1004,44.8,26.6,-7.89,7.571,79,-33.7,-5.1,23,48.5,38237228,11157740,0.736
52W_OPT_L189_c30,short,n100,189,close,0.0,,,ST_14_4,20,none,30.0,,full,True,14.57,-28.14,0.518,0.952,166303655.0,20.69,1004,43.3,27.14,-7.96,7.247,80,-33.7,-5.1,23,48.5,33067848,20356710,0.737
52W_OPT_L189_c45,short,n100,189,close,0.0,,,ST_14_4,20,none,45.0,,full,True,13.82,-28.87,0.479,0.911,145046464.0,20.69,1006,42.2,27.37,-8.09,6.889,79,-33.7,-5.1,23,48.6,28340748,27757518,0.736
52W_OPT_n500_c0,short,n500,252,close,0.0,,,ST_14_4,20,none,0.0,,full,True,19.51,-33.96,0.575,1.05,398540774.0,20.69,1086,46.7,31.46,-10.08,9.312,83,-30.0,-6.7,20,52.5,84681160,0,0.848
52W_OPT_n500_c15,short,n500,252,close,0.0,,,ST_14_4,20,none,15.0,,full,True,18.0,-34.09,0.528,0.989,306122723.0,20.69,1090,46.2,30.92,-10.47,8.667,83,-30.0,-6.8,20,52.7,63310124,17229526,0.848
52W_OPT_n500_c30,short,n500,252,close,0.0,,,ST_14_4,20,none,30.0,,full,True,16.87,-34.23,0.493,0.934,251043319.0,20.69,1099,45.0,31.22,-10.64,8.216,82,-30.0,-6.9,20,53.1,51394908,29371300,0.846
52W_OPT_n500_c45,short,n500,252,close,0.0,,,ST_14_4,20,none,45.0,,full,True,15.92,-35.02,0.455,0.891,211892260.0,20.69,1089,44.7,31.13,-10.9,7.895,83,-30.0,-6.9,20,52.6,42603208,38580112,0.846
