label,phase,uni,entry_L,entry_ref,buffer,ath_within,new_ath,exit,slots,gate,cost_bps,seed,window,tax,cagr,maxdd,calmar,sharpe,final,years,trades,win_rate,avg_win,avg_loss,expectancy,med_hold_d,worst_mae,med_mae,max_loss_streak,trades_per_yr,tax_paid,cost_paid,avg_invested
specA_literal,specA,n100,252,close,0.0,,False,CC252,20,none,15.0,,full,True,14.25,-46.73,0.305,0.835,157087547.0,20.69,144,68.1,87.63,-15.52,54.679,737,-59.2,-10.3,6,7.0,20488332,981652,0.934
specA_gross_nocost_notax,specA,n100,252,close,0.0,,False,CC252,20,none,0.0,,full,False,15.24,-45.9,0.332,0.892,187877168.0,20.69,151,67.5,84.21,-15.14,51.969,730,-56.7,-10.4,6,7.3,0,0,0.933
specA_net_notax,specA,n100,252,close,0.0,,False,CC252,20,none,15.0,,full,False,15.21,-46.04,0.33,0.89,186629152.0,20.69,151,66.9,84.75,-14.94,51.737,730,-56.7,-10.2,6,7.3,0,1088175,0.933
specA_sameclose_LOOKAHEAD,specA,n100,252,close,0.0,,False,CC252,20,none,15.0,,full,True,14.27,-43.72,0.326,0.845,158084768.0,20.69,143,69.9,86.29,-17.74,55.01,754,-57.5,-10.6,5,6.9,20580184,1009972,0.933
specA_cost0,specA,n100,252,close,0.0,,False,CC252,20,none,0.0,,full,True,14.36,-46.58,0.308,0.841,160202958.0,20.69,144,69.4,86.4,-15.97,55.12,737,-59.2,-10.3,6,7.0,20925672,0,0.934
specA_cost30,specA,n100,252,close,0.0,,False,CC252,20,none,30.0,,full,True,14.14,-46.82,0.302,0.829,153843422.0,20.69,144,68.1,87.07,-15.77,54.215,737,-59.2,-10.3,6,7.0,20032628,1934589,0.934
specA_cost45,specA,n100,252,close,0.0,,False,CC252,20,none,45.0,,full,True,14.03,-46.91,0.299,0.824,150670779.0,20.69,144,67.4,87.4,-15.69,53.753,737,-59.2,-10.3,6,7.0,19584542,2859367,0.934
specA_noidle,specA,n100,252,close,0.0,,False,CC252,20,none,15.0,,full,True,13.89,-48.0,0.289,0.825,147019056.0,20.69,143,65.7,91.46,-15.73,54.732,742,-59.2,-11.1,6,6.9,19318804,946320,0.934
specA_w1,specA,n100,252,close,0.0,,False,CC252,20,none,15.0,,w1,True,11.47,-46.73,0.245,0.657,29510795.0,9.99,79,65.8,65.39,-16.13,37.53,680,-46.7,-12.8,6,7.9,2571553,179063,0.904
specA_w2,specA,n100,252,close,0.0,,False,CC252,20,none,15.0,,w2,True,16.08,-28.98,0.555,1.027,49269266.0,10.69,77,66.2,100.55,-14.36,61.746,762,-59.2,-9.7,4,7.2,5412060,265571,0.944
specA_n50,specA,n50,252,close,0.0,,False,CC252,20,none,15.0,,full,True,12.82,-47.66,0.269,0.797,120899180.0,20.69,135,65.2,92.65,-15.48,55.002,697,-46.7,-10.0,6,6.5,15273026,836997,0.92
specA_nn50,specA,nn50,252,close,0.0,,False,CC252,20,none,15.0,,full,True,14.77,-50.78,0.291,0.815,172849124.0,20.69,129,57.4,130.13,-22.28,65.149,645,-56.7,-12.7,8,6.2,22347584,916588,0.809
specA_n500,specA,n500,252,close,0.0,,False,CC252,20,none,15.0,,full,True,13.31,-53.27,0.25,0.747,132206238.0,20.69,162,54.3,110.25,-22.33,49.688,615,-59.2,-14.1,8,7.8,17810930,931493,0.954
specA_pit100,specA,pit100,252,close,0.0,,False,CC252,20,none,15.0,,full,True,9.74,-51.58,0.189,0.618,68202049.0,20.69,158,52.5,86.27,-20.25,35.706,642,-54.3,-13.6,7,7.6,8001399,682917,0.943
specA_highref,specA,n100,252,high,0.0,,False,CC252,20,none,15.0,,full,True,12.9,-46.19,0.279,0.793,123062489.0,20.69,139,63.3,91.4,-14.55,52.524,751,-59.2,-12.0,6,6.7,15608898,881474,0.921
