label,phase,uni,entry_L,entry_ref,buffer,ath_within,new_ath,exit,slots,gate,cost_bps,seed,window,tax,cagr,maxdd,calmar,sharpe,final,years,trades,win_rate,avg_win,avg_loss,expectancy,med_hold_d,worst_mae,med_mae,max_loss_streak,trades_per_yr,tax_paid,cost_paid,avg_invested
phase_OPT_m00,startphase,n100,252,close,,,,ST_14_4,20,none,15.0,,full,True,14.95,-26.01,0.575,0.991,178102447.0,20.69,949,46.0,25.67,-7.86,7.582,84,-33.7,-5.2,12,45.9,,,
phase_OPT_m01,startphase,n100,252,close,,,,ST_14_4,20,none,15.0,,full,True,14.72,-26.01,0.566,0.979,168390540.0,20.61,948,45.7,25.6,-7.84,7.434,84,-33.7,-5.2,12,46.0,,,
phase_OPT_m02,startphase,n100,252,close,,,,ST_14_4,20,none,15.0,,full,True,14.48,-26.0,0.557,0.962,161357993.0,20.53,945,45.3,25.66,-7.83,7.338,81,-33.7,-5.2,12,46.0,,,
phase_OPT_m03,startphase,n100,252,close,,,,ST_14_4,20,none,15.0,,full,True,14.1,-25.26,0.558,0.94,149711103.0,20.44,947,44.9,25.69,-7.95,7.145,79,-33.7,-5.2,13,46.3,,,
phase_OPT_m04,startphase,n100,252,close,,,,ST_14_4,20,none,15.0,,full,True,13.84,-24.33,0.569,0.931,140216566.0,20.36,946,44.5,25.84,-8.1,7.005,79,-33.7,-5.3,22,46.5,,,
phase_OPT_m05,startphase,n100,252,close,,,,ST_14_4,20,none,15.0,,full,True,14.68,-26.0,0.564,0.984,160809033.0,20.28,926,45.5,25.84,-7.82,7.485,81,-33.7,-5.2,12,45.7,,,
phase_OPT_m06,startphase,n100,252,close,,,,ST_14_4,20,none,15.0,,full,True,14.83,-26.0,0.57,0.992,163220088.0,20.19,924,45.6,25.84,-7.76,7.55,82,-33.7,-5.2,12,45.8,,,
phase_OPT_m07,startphase,n100,252,close,,,,ST_14_4,20,none,15.0,,full,True,14.83,-26.0,0.57,0.99,161534128.0,20.11,925,45.5,25.85,-7.78,7.527,82,-33.7,-5.2,12,46.0,,,
phase_OPT_m08,startphase,n100,252,close,,,,ST_14_4,20,none,15.0,,full,True,14.85,-26.0,0.571,0.99,160151176.0,20.03,925,45.5,25.83,-7.79,7.515,82,-33.7,-5.2,12,46.2,,,
phase_OPT_m09,startphase,n100,252,close,,,,ST_14_4,20,none,15.0,,full,True,14.8,-25.98,0.57,0.986,156517392.0,19.94,925,45.4,25.72,-7.74,7.452,81,-33.7,-5.2,12,46.4,,,
phase_OPT_m10,startphase,n100,252,close,,,,ST_14_4,20,none,15.0,,full,True,14.6,-25.41,0.575,0.975,150029676.0,19.86,923,45.0,25.77,-7.68,7.361,81,-33.7,-5.2,12,46.5,,,
phase_OPT_m11,startphase,n100,252,close,,,,ST_14_4,20,none,15.0,,full,True,14.54,-25.11,0.579,0.975,146950098.0,19.78,921,44.8,25.8,-7.7,7.324,81,-33.7,-5.2,12,46.6,,,
phase_LIT_m00,startphase,n100,252,close,,,,CC252,20,none,15.0,,full,True,14.25,-46.73,0.305,0.835,157087547.0,20.69,144,68.1,87.63,-15.52,54.679,737,-59.2,-10.3,6,7.0,,,
phase_LIT_m01,startphase,n100,252,close,,,,CC252,20,none,15.0,,full,True,14.18,-46.06,0.308,0.841,152824883.0,20.61,143,67.8,87.96,-16.15,54.468,751,-59.2,-11.1,5,6.9,,,
phase_LIT_m02,startphase,n100,252,close,,,,CC252,20,none,15.0,,full,True,14.1,-45.73,0.308,0.816,150672088.0,20.53,141,66.7,94.38,-16.69,57.356,759,-59.2,-12.8,6,6.9,,,
phase_LIT_m03,startphase,n100,252,close,,,,CC252,20,none,15.0,,full,True,14.45,-49.51,0.292,0.815,159237436.0,20.44,142,66.2,93.02,-16.84,55.882,761,-59.2,-13.1,8,6.9,,,
phase_LIT_m04,startphase,n100,252,close,,,,CC252,20,none,15.0,,full,True,13.38,-41.65,0.321,0.789,128915350.0,20.36,144,63.2,91.61,-17.93,51.292,734,-61.1,-12.9,10,7.1,,,
phase_LIT_m05,startphase,n100,252,close,,,,CC252,20,none,15.0,,full,True,14.43,-45.26,0.319,0.865,153765680.0,20.28,139,66.2,92.71,-16.14,55.903,702,-59.2,-10.2,5,6.9,,,
phase_LIT_m06,startphase,n100,252,close,,,,CC252,20,none,15.0,,full,True,13.99,-40.43,0.346,0.85,140619812.0,20.19,140,65.0,91.71,-16.45,53.857,720,-59.2,-10.8,5,6.9,,,
phase_LIT_m07,startphase,n100,252,close,,,,CC252,20,none,15.0,,full,True,14.03,-40.44,0.347,0.851,140222843.0,20.11,140,65.7,90.72,-16.75,53.876,720,-59.2,-10.8,5,7.0,,,
phase_LIT_m08,startphase,n100,252,close,,,,CC252,20,none,15.0,,full,True,14.17,-40.41,0.351,0.856,142115024.0,20.03,138,65.9,91.92,-16.57,54.972,710,-59.2,-10.8,5,6.9,,,
phase_LIT_m09,startphase,n100,252,close,,,,CC252,20,none,15.0,,full,True,13.81,-43.03,0.321,0.834,131724400.0,19.94,140,64.3,91.94,-16.98,53.039,700,-59.2,-11.1,7,7.0,,,
phase_LIT_m10,startphase,n100,252,close,,,,CC252,20,none,15.0,,full,True,13.77,-41.3,0.333,0.84,129687511.0,19.86,139,64.7,91.02,-16.69,53.05,701,-59.2,-11.4,10,7.0,,,
phase_LIT_m11,startphase,n100,252,close,,,,CC252,20,none,15.0,,full,True,14.37,-52.13,0.276,0.832,142728415.0,19.78,138,65.9,91.71,-17.93,54.368,688,-56.7,-11.7,10,7.0,,,
