symbol,entry_date,exit_date,entry_px,exit_px,shares,pnl,ret_pct,bars,days,mae_pct,mfe_pct,reason
INFY,2006-01-05,2006-01-17,191.5,175.0,2612,-44533.97,-8.889932,7,12,-9.258483408636586,0.0,RULE
TITAN,2006-01-05,2006-01-27,42.650001525878906,35.2599983215332,11729,-88048.06,-17.574734,14,22,-18.26494873816259,0.0,RULE
TATACONSUM,2006-01-04,2006-03-16,94.80000305175781,87.5,5266,-39881.812,-7.9769077,47,71,-8.438818293742301,5.010548361909484,RULE
CIPLA,2006-01-02,2006-04-26,179.17999267578125,255.0,2786,209420.1,41.88869,75,114,-3.5271750886079367,66.31321139699932,RULE
HCLTECH,2006-01-05,2006-05-03,69.19999694824219,71.80000305175781,7229,17266.5,3.446424,77,118,0.0,19.58093012907569,RULE
AMBUJACEM,2006-05-03,2006-05-16,118.5,103.0,5436,-86064.125,-13.340539,9,13,-14.64134892330894,6.371310592200685,RULE
RELIANCE,2006-01-03,2006-05-19,82.5,120.3499984741211,6036,226625.9,45.441784,91,136,-2.9090927586410964,68.9696895714962,RULE
GRASIM,2006-01-04,2006-05-19,246.5500030517578,339.6499938964844,2024,186654.62,37.348427,90,135,-2.5958260296309543,70.41167661566932,RULE
MARUTI,2006-01-04,2006-05-19,669.9000244140625,830.0,745,117598.28,23.527931,90,135,-3.634876210430338,44.170764680553546,RULE
NTPC,2006-01-05,2006-05-19,88.08999633789062,97.27999877929688,5679,50610.938,10.101711,89,134,-4.166191760149629,24.089002273661862,RULE
TATASTEEL,2006-04-27,2006-05-19,53.36000061035156,45.68000030517578,11517,-90161.5,-14.649237,16,22,-18.422042201303345,2.00524678145646,RULE
HINDUNILVR,2006-01-02,2006-05-22,199.5,245.0,2502,112172.78,22.439146,93,140,-7.4686686197916625,47.24310776942355,RULE
WIPRO,2006-01-04,2006-05-22,46.25,47.70000076293945,10794,14130.156,2.82619,91,138,-5.729733028927364,19.999999999999996,RULE
ITC,2006-01-05,2006-05-22,42.150001525878906,52.20000076293945,11868,117593.78,23.47244,90,137,-3.914594225734136,42.46737144289674,RULE
INDHOTEL,2006-01-06,2006-05-22,84.69999694824219,96.5,5866,67624.41,13.5902405,89,136,0.0,48.70130045601621,RULE
BEL,2006-03-17,2006-05-22,13.75,11.75,42302,-86222.06,-14.801436,43,66,-14.54545454545455,6.909089521928258,RULE
LT,2006-01-02,2006-05-23,205.5500030517578,266.1099853515625,2428,145321.84,29.074596,94,141,-3.463882398573226,53.38847183842239,RULE
ONGC,2006-01-04,2006-05-23,127.3499984741211,128.4499969482422,3920,2807.9062,0.5616307,92,139,-7.224183006261853,22.693366212918885,RULE
TCS,2006-01-05,2006-05-23,214.77999877929688,221.5500030517578,2329,14243.0,2.84307,91,138,-7.807991604326913,17.11518517355506,RULE
DRREDDY,2006-01-04,2006-05-25,94.1500015258789,134.4499969482422,5302,211852.47,42.376244,94,141,0.0,78.86350628491117,RULE
M&M,2006-01-04,2006-05-25,129.9499969482422,140.74000549316406,3841,39884.844,7.978773,94,141,-2.647168059097249,36.49095750870408,RULE
AXISBANK,2006-01-09,2006-05-26,63.0,61.79999923706055,7899,-10957.531,-2.1986127,92,137,-5.8888874356708865,20.80952477833582,RULE
BAJAJHLDNG,2006-01-27,2006-05-26,796.739990234375,1047.5699462890625,648,160745.12,31.088173,80,119,-0.8810929057527228,51.355529904423136,RULE
ICICIBANK,2006-01-04,2006-06-01,111.08999633789062,98.55000305175781,4494,-57767.938,-11.553884,99,148,-12.026279072259005,8.434605324931589,RULE
ADANIENT,2006-06-02,2006-06-09,16.66855812072754,11.964192390441895,33603,-159524.06,-28.438007,5,7,-24.73867234992062,0.0,RULE
MARUTI,2006-10-03,2006-11-21,982.0999755859375,882.0999755859375,578,-59416.312,-10.451323,34,49,-11.373582522006775,0.030551760063524114,RULE
DIVISLAB,2006-09-06,2006-12-12,93.5,135.0,5998,246861.12,43.952515,67,97,0.0,69.3048160981367,RULE
