symbol,entry_date,exit_date,entry_px,exit_px,shares,pnl,ret_pct,bars,days,mae_pct,mfe_pct,reason
HINDUNILVR,2006-01-02,2007-02-28,199.5,181.0,2502,-47715.03,-9.544956,288,422,-7.4686686197916625,47.24310776942355,RULE
TATACONSUM,2006-01-04,2007-03-06,94.80000305175781,56.79999923706055,5266,-201305.53,-40.263874,290,426,-40.77004249121936,5.010548361909484,RULE
ITC,2006-01-05,2007-03-15,42.150001525878906,41.54999923706055,11868,-8610.875,-1.7187834,296,434,-3.914594225734136,42.46737144289674,RULE
CIPLA,2006-01-02,2007-06-26,179.17999267578125,206.0,2786,73110.84,14.623796,368,540,-3.5271750886079367,66.31321139699932,RULE
WIPRO,2006-01-04,2007-08-03,46.25,45.0,10794,-14969.9375,-2.9941618,394,576,-18.162165461359802,43.13512853673986,RULE
M&M,2006-01-04,2007-08-22,129.9499969482422,153.9600067138672,3841,90586.66,18.121433,406,595,-2.647168059097249,89.65757022066711,RULE
INDHOTEL,2006-01-06,2007-08-22,84.69999694824219,98.30000305175781,5866,78167.41,15.70903,404,593,-15.053129231859563,55.7260904945307,RULE
DRREDDY,2006-01-04,2007-10-18,94.1500015258789,122.9000015258789,5302,150706.28,30.145348,446,652,0.0,78.86350628491117,RULE
INFY,2006-01-05,2007-11-08,191.5,214.83999633789062,2612,59372.0,11.851919,460,672,-18.887727503365703,55.54568935623367,RULE
TCS,2006-01-05,2007-11-08,214.77999877929688,243.72999572753906,2329,65822.72,13.138973,460,672,-14.978116375725692,52.016017252846765,RULE
HCLTECH,2006-01-05,2008-01-17,69.19999694824219,68.19999694824219,7229,-8718.906,-1.7403126,508,742,-27.09537140489573,26.661857501867114,RULE
ICICIBANK,2006-01-04,2008-03-18,111.08999633789062,139.75999450683594,4494,127152.0,25.43105,551,804,-26.149965235397975,134.86363512743952,RULE
GRASIM,2006-01-04,2008-05-08,246.5500030517578,395.04998779296875,2024,298616.06,59.7512,583,855,-2.5958260296309543,166.70045818451294,RULE
SIEMENS,2007-06-26,2008-05-30,507.04998779296875,423.3999938964844,1382,-117533.06,-16.74751,232,339,-17.631396518835317,51.98699200614576,RULE
MARUTI,2006-01-04,2008-06-17,669.9000244140625,715.0,745,32051.844,6.4126253,610,895,-3.634876210430338,77.6160519812873,RULE
KOTAKBANK,2007-08-03,2008-06-25,38.70000076293945,26.899999618530273,18371,-218585.5,-30.69917,222,327,-30.490958428376302,80.36176143593482,RULE
LT,2006-01-02,2008-07-02,205.5500030517578,474.45001220703125,2428,650412.6,130.12831,623,912,-3.463882398573226,387.2245075969171,RULE
JSWSTEEL,2007-04-02,2008-09-11,49.0,65.94000244140625,12613,211489.62,34.168316,362,528,-3.2448982705875373,173.91836983816967,RULE
RELIANCE,2006-01-03,2008-09-15,82.5,225.14999389648438,6036,858249.9,172.09158,673,986,-2.9090927586410964,365.2121064157197,RULE
VEDL,2007-09-12,2008-09-19,40.04999923706055,41.5,18015,23918.062,3.3100724,255,373,-1.3732815169484436,135.33084093740783,RULE
ADANIENT,2007-09-04,2008-10-01,32.29170227050781,39.08689880371094,22371,149620.06,20.68057,269,393,-8.992801718496091,229.13670237573766,RULE
