symbol,tf,signal,policy,cagr,calmar,maxdd,bh_cagr,bh_calmar,bh_maxdd,null_cagr_med,null_calmar_med,null_maxdd_med,pct_cagr,pct_calmar,n_draws,time_in_mkt,n_trades
ACC,day,EMA_9_21,long_flat,0.009474,0.016,-0.593602,0.041637,0.0593,-0.702567,0.032,0.0584,-0.572402,0.265,0.28,200,0.5192,125
ACC,day,EMA_10_30,long_flat,0.025433,0.0493,-0.516105,0.041637,0.0593,-0.702567,0.046322,0.0783,-0.574716,0.28,0.34,200,0.518,94
ACC,day,EMA_20_50,long_flat,0.047799,0.1051,-0.454644,0.041637,0.0593,-0.702567,0.035789,0.0639,-0.559412,0.64,0.72,200,0.5063,53
ACC,day,EMA_50_200,long_flat,0.019025,0.0393,-0.483735,0.041637,0.0593,-0.702567,0.042326,0.0722,-0.565971,0.24,0.265,200,0.5258,16
ACC,day,ST_7_3.0,long_flat,0.068634,0.1236,-0.555108,0.041637,0.0593,-0.702567,0.032462,0.0545,-0.58591,0.855,0.835,200,0.4963,63
ACC,day,ST_7_2.5,long_flat,0.014839,0.0214,-0.69375,0.041637,0.0593,-0.702567,0.04204,0.0755,-0.561151,0.215,0.19,200,0.5063,90
ACC,day,ST_10_5.0,long_flat,0.042362,0.0967,-0.438037,0.041637,0.0593,-0.702567,0.041019,0.0788,-0.557166,0.51,0.59,200,0.4877,29
ACC,day,MST_7_5.0_7_2.0,long_flat,0.063388,0.1608,-0.394258,0.041637,0.0593,-0.702567,0.045435,0.0824,-0.546912,0.68,0.82,200,0.4947,28
ACC,day,MST_7_6.0_7_2.0,long_flat,0.072349,0.1701,-0.425208,0.041637,0.0593,-0.702567,0.037062,0.0699,-0.557069,0.805,0.845,200,0.4894,21
ADANIPORTS,day,EMA_9_21,long_flat,0.083282,0.1335,-0.623954,0.139294,0.1733,-0.803854,0.081618,0.1182,-0.663884,0.505,0.565,200,0.5696,98
ADANIPORTS,day,EMA_10_30,long_flat,0.086555,0.1484,-0.583153,0.139294,0.1733,-0.803854,0.080585,0.121,-0.658106,0.575,0.625,200,0.5804,76
ADANIPORTS,day,EMA_20_50,long_flat,0.06273,0.1124,-0.558218,0.139294,0.1733,-0.803854,0.082549,0.1259,-0.668126,0.36,0.425,200,0.5944,46
ADANIPORTS,day,EMA_50_200,long_flat,0.090081,0.1635,-0.550873,0.139294,0.1733,-0.803854,0.114952,0.1793,-0.621147,0.365,0.455,200,0.6553,13
ADANIPORTS,day,ST_7_3.0,long_flat,0.096458,0.2294,-0.420536,0.139294,0.1733,-0.803854,0.08722,0.1334,-0.646015,0.57,0.825,200,0.5575,58
ADANIPORTS,day,ST_7_2.5,long_flat,0.062511,0.099,-0.631527,0.139294,0.1733,-0.803854,0.084976,0.1314,-0.65575,0.33,0.36,200,0.5457,79
ADANIPORTS,day,ST_10_5.0,long_flat,0.049755,0.0755,-0.659382,0.139294,0.1733,-0.803854,0.082866,0.1322,-0.645123,0.23,0.245,200,0.5442,26
ADANIPORTS,day,MST_7_5.0_7_2.0,long_flat,0.055532,0.0835,-0.664925,0.139294,0.1733,-0.803854,0.091496,0.1392,-0.612784,0.21,0.22,200,0.5586,26
ADANIPORTS,day,MST_7_6.0_7_2.0,long_flat,0.039628,0.0569,-0.697014,0.139294,0.1733,-0.803854,0.09951,0.1599,-0.617862,0.13,0.115,200,0.6028,21
AFFLE,day,EMA_9_21,long_flat,0.270247,0.6651,-0.406304,0.352825,0.5845,-0.603593,0.199854,0.4112,-0.507597,0.735,0.79,200,0.5648,43
AFFLE,day,EMA_10_30,long_flat,0.257386,0.7064,-0.364379,0.352825,0.5845,-0.603593,0.215045,0.4343,-0.533432,0.65,0.805,200,0.5886,28
AFFLE,day,EMA_20_50,long_flat,0.235198,0.4941,-0.47599,0.352825,0.5845,-0.603593,0.215016,0.4082,-0.552501,0.555,0.6,200,0.6085,14
AFFLE,day,EMA_50_200,long_flat,0.193496,0.3731,-0.518652,0.352825,0.5845,-0.603593,0.241133,0.5278,-0.408023,0.33,0.27,200,0.6517,6
AFFLE,day,ST_7_3.0,long_flat,0.314351,0.7008,-0.448589,0.352825,0.5845,-0.603593,0.19236,0.3754,-0.516124,0.87,0.81,200,0.5312,22
AFFLE,day,ST_7_2.5,long_flat,0.308716,0.845,-0.365356,0.352825,0.5845,-0.603593,0.225328,0.4222,-0.51077,0.775,0.86,200,0.542,27
AFFLE,day,ST_10_5.0,long_flat,0.353728,0.996,-0.355135,0.352825,0.5845,-0.603593,0.206787,0.3596,-0.603593,0.92,0.97,200,0.6506,9
AFFLE,day,MST_7_5.0_7_2.0,long_flat,0.365754,0.8997,-0.406532,0.352825,0.5845,-0.603593,0.203801,0.3465,-0.603593,0.93,0.945,200,0.6449,9
AFFLE,day,MST_7_6.0_7_2.0,long_flat,0.277577,0.574,-0.483609,0.352825,0.5845,-0.603593,0.212569,0.3659,-0.603593,0.71,0.815,200,0.7057,8
AMBUJACEM,day,EMA_9_21,long_flat,0.052959,0.1016,-0.521235,0.079446,0.1141,-0.696578,0.053458,0.0898,-0.588785,0.495,0.555,200,0.5345,116
AMBUJACEM,day,EMA_10_30,long_flat,0.093563,0.2432,-0.384717,0.079446,0.1141,-0.696578,0.051256,0.0905,-0.586106,0.84,0.95,200,0.5423,91
AMBUJACEM,day,EMA_20_50,long_flat,0.085469,0.1614,-0.52944,0.079446,0.1141,-0.696578,0.059403,0.0976,-0.590643,0.74,0.735,200,0.5488,42
AMBUJACEM,day,EMA_50_200,long_flat,0.003108,0.0057,-0.546225,0.079446,0.1141,-0.696578,0.063542,0.1097,-0.593566,0.035,0.04,200,0.5711,21
AMBUJACEM,day,ST_7_3.0,long_flat,0.055871,0.1067,-0.52373,0.079446,0.1141,-0.696578,0.060368,0.108,-0.566721,0.45,0.495,200,0.5198,62
AMBUJACEM,day,ST_7_2.5,long_flat,0.057005,0.1016,-0.560975,0.079446,0.1141,-0.696578,0.065845,0.1146,-0.571479,0.43,0.44,200,0.5419,79
AMBUJACEM,day,ST_10_5.0,long_flat,0.0542,0.1394,-0.388859,0.079446,0.1141,-0.696578,0.061225,0.1089,-0.562208,0.435,0.605,200,0.5292,25
AMBUJACEM,day,MST_7_5.0_7_2.0,long_flat,0.057099,0.1444,-0.395308,0.079446,0.1141,-0.696578,0.062766,0.1106,-0.575997,0.405,0.71,200,0.5715,25
AMBUJACEM,day,MST_7_6.0_7_2.0,long_flat,0.065839,0.1636,-0.402487,0.079446,0.1141,-0.696578,0.063453,0.1055,-0.590288,0.51,0.75,200,0.5564,19
APOLLOTYRE,day,EMA_9_21,long_flat,0.137184,0.2609,-0.525891,0.138382,0.1822,-0.759442,0.082986,0.1249,-0.683894,0.83,0.905,200,0.5495,111
APOLLOTYRE,day,EMA_10_30,long_flat,0.139305,0.2424,-0.574665,0.138382,0.1822,-0.759442,0.094571,0.1477,-0.66115,0.85,0.865,200,0.5495,93
APOLLOTYRE,day,EMA_20_50,long_flat,0.069914,0.1237,-0.565218,0.138382,0.1822,-0.759442,0.095827,0.1516,-0.680758,0.305,0.435,200,0.5639,57
APOLLOTYRE,day,EMA_50_200,long_flat,0.09037,0.1592,-0.567651,0.138382,0.1822,-0.759442,0.11644,0.1629,-0.722065,0.33,0.48,200,0.6095,13
APOLLOTYRE,day,ST_7_3.0,long_flat,0.141583,0.2407,-0.58824,0.138382,0.1822,-0.759442,0.093027,0.135,-0.6786,0.8,0.835,200,0.5471,61
APOLLOTYRE,day,ST_7_2.5,long_flat,0.106564,0.1981,-0.537933,0.138382,0.1822,-0.759442,0.085044,0.123,-0.671485,0.705,0.8,200,0.5254,82
APOLLOTYRE,day,ST_10_5.0,long_flat,0.087252,0.1616,-0.54005,0.138382,0.1822,-0.759442,0.097531,0.1478,-0.697283,0.4,0.545,200,0.6132,30
APOLLOTYRE,day,MST_7_5.0_7_2.0,long_flat,0.090138,0.1493,-0.603927,0.138382,0.1822,-0.759442,0.095655,0.1361,-0.707608,0.45,0.59,200,0.622,30
APOLLOTYRE,day,MST_7_6.0_7_2.0,long_flat,0.116908,0.2046,-0.571433,0.138382,0.1822,-0.759442,0.111873,0.1595,-0.703545,0.535,0.705,200,0.6711,21
ASIANPAINT,day,EMA_9_21,long_flat,0.134074,0.3507,-0.382261,0.19824,0.4349,-0.455814,0.128502,0.2989,-0.428936,0.58,0.66,200,0.6293,114
ASIANPAINT,day,EMA_10_30,long_flat,0.14138,0.4218,-0.335173,0.19824,0.4349,-0.455814,0.133958,0.3062,-0.427436,0.605,0.805,200,0.6387,81
ASIANPAINT,day,EMA_20_50,long_flat,0.152983,0.5178,-0.295423,0.19824,0.4349,-0.455814,0.145025,0.3335,-0.437542,0.585,0.92,200,0.669,45
ASIANPAINT,day,EMA_50_200,long_flat,0.129006,0.2171,-0.594121,0.19824,0.4349,-0.455814,0.157412,0.3525,-0.455814,0.13,0.01,200,0.7826,14
ASIANPAINT,day,ST_7_3.0,long_flat,0.172338,0.5642,-0.305432,0.19824,0.4349,-0.455814,0.133527,0.3122,-0.41283,0.855,0.925,200,0.5969,56
ASIANPAINT,day,ST_7_2.5,long_flat,0.173182,0.622,-0.278421,0.19824,0.4349,-0.455814,0.12819,0.3106,-0.417969,0.905,0.97,200,0.5849,72
ASIANPAINT,day,ST_10_5.0,long_flat,0.14113,0.4251,-0.332013,0.19824,0.4349,-0.455814,0.137588,0.32,-0.42139,0.525,0.77,200,0.6147,29
ASIANPAINT,day,MST_7_5.0_7_2.0,long_flat,0.142475,0.4291,-0.332013,0.19824,0.4349,-0.455814,0.139779,0.3301,-0.437381,0.535,0.845,200,0.6268,29
ASIANPAINT,day,MST_7_6.0_7_2.0,long_flat,0.13273,0.4391,-0.302257,0.19824,0.4349,-0.455814,0.139994,0.3288,-0.443606,0.395,0.855,200,0.6583,23
AXISBANK,day,EMA_9_21,long_flat,0.112712,0.196,-0.574947,0.159571,0.207,-0.770932,0.103261,0.1536,-0.664321,0.6,0.72,200,0.5988,106
AXISBANK,day,EMA_10_30,long_flat,0.104226,0.1423,-0.732678,0.159571,0.207,-0.770932,0.107533,0.1606,-0.659994,0.45,0.365,200,0.6123,85
AXISBANK,day,EMA_20_50,long_flat,0.129531,0.335,-0.386656,0.159571,0.207,-0.770932,0.113432,0.1727,-0.667899,0.68,0.93,200,0.6231,43
AXISBANK,day,EMA_50_200,long_flat,0.056693,0.1055,-0.537515,0.159571,0.207,-0.770932,0.127358,0.1857,-0.688743,0.025,0.135,200,0.6804,20
AXISBANK,day,ST_7_3.0,long_flat,0.153376,0.2683,-0.571759,0.159571,0.207,-0.770932,0.104192,0.1562,-0.661827,0.86,0.885,200,0.6,63
AXISBANK,day,ST_7_2.5,long_flat,0.054254,0.087,-0.623617,0.159571,0.207,-0.770932,0.100009,0.1534,-0.65573,0.175,0.23,200,0.5681,98
AXISBANK,day,ST_10_5.0,long_flat,0.140555,0.4656,-0.301903,0.159571,0.207,-0.770932,0.103418,0.1556,-0.666293,0.77,0.99,200,0.5824,30
AXISBANK,day,MST_7_5.0_7_2.0,long_flat,0.117004,0.3062,-0.382144,0.159571,0.207,-0.770932,0.101719,0.1497,-0.67543,0.62,0.94,200,0.6055,32
AXISBANK,day,MST_7_6.0_7_2.0,long_flat,0.1222,0.2605,-0.469117,0.159571,0.207,-0.770932,0.106703,0.1572,-0.674092,0.605,0.84,200,0.6059,24
BAJAJFINSV,day,EMA_9_21,long_flat,0.283176,0.7346,-0.385485,0.209522,0.241,-0.869335,0.132184,0.1674,-0.776786,0.985,0.995,200,0.5823,87
BAJAJFINSV,day,EMA_10_30,long_flat,0.265775,0.6323,-0.420357,0.209522,0.241,-0.869335,0.151504,0.1989,-0.756228,0.96,0.985,200,0.5918,74
BAJAJFINSV,day,EMA_20_50,long_flat,0.20364,0.4046,-0.503304,0.209522,0.241,-0.869335,0.142581,0.1764,-0.824871,0.81,0.94,200,0.6431,39
BAJAJFINSV,day,EMA_50_200,long_flat,0.125163,0.2239,-0.55893,0.209522,0.241,-0.869335,0.176561,0.2239,-0.838638,0.215,0.5,200,0.7791,13
BAJAJFINSV,day,ST_7_3.0,long_flat,0.237868,0.517,-0.460108,0.209522,0.241,-0.869335,0.13228,0.1871,-0.750452,0.94,0.95,200,0.5803,55
BAJAJFINSV,day,ST_7_2.5,long_flat,0.261,0.5934,-0.439875,0.209522,0.241,-0.869335,0.121229,0.1739,-0.688311,0.96,0.965,200,0.5299,69
BAJAJFINSV,day,ST_10_5.0,long_flat,0.274406,0.6531,-0.420158,0.209522,0.241,-0.869335,0.166408,0.2148,-0.786765,0.91,0.965,200,0.6409,21
BAJAJFINSV,day,MST_7_5.0_7_2.0,long_flat,0.289956,0.7235,-0.400758,0.209522,0.241,-0.869335,0.159321,0.2059,-0.804088,0.985,1.0,200,0.6645,21
BAJAJFINSV,day,MST_7_6.0_7_2.0,long_flat,0.240522,0.5725,-0.420158,0.209522,0.241,-0.869335,0.193844,0.2533,-0.787037,0.77,0.935,200,0.6849,20
BALRAMCHIN,day,EMA_9_21,long_flat,0.15695,0.2563,-0.612287,0.089148,0.105,-0.84875,0.049092,0.0632,-0.798144,0.95,0.985,200,0.5386,104
BALRAMCHIN,day,EMA_10_30,long_flat,0.184806,0.3367,-0.5488,0.089148,0.105,-0.84875,0.060413,0.079,-0.783756,0.98,0.98,200,0.5429,76
BALRAMCHIN,day,EMA_20_50,long_flat,0.116664,0.1618,-0.720944,0.089148,0.105,-0.84875,0.067187,0.0871,-0.778578,0.805,0.805,200,0.5421,48
BALRAMCHIN,day,EMA_50_200,long_flat,0.072838,0.1241,-0.587047,0.089148,0.105,-0.84875,0.073443,0.0932,-0.771693,0.485,0.605,200,0.5155,16
BALRAMCHIN,day,ST_7_3.0,long_flat,0.112715,0.2266,-0.497412,0.089148,0.105,-0.84875,0.064233,0.0845,-0.760603,0.785,0.92,200,0.5374,60
BALRAMCHIN,day,ST_7_2.5,long_flat,0.116735,0.1946,-0.599814,0.089148,0.105,-0.84875,0.053845,0.0688,-0.772013,0.89,0.93,200,0.5296,79
BALRAMCHIN,day,ST_10_5.0,long_flat,0.199478,0.3487,-0.572044,0.089148,0.105,-0.84875,0.063285,0.0835,-0.793319,0.97,0.995,200,0.593,22
BALRAMCHIN,day,MST_7_5.0_7_2.0,long_flat,0.182161,0.2434,-0.748272,0.089148,0.105,-0.84875,0.062015,0.0792,-0.796386,0.97,0.97,200,0.6066,24
BALRAMCHIN,day,MST_7_6.0_7_2.0,long_flat,0.146452,0.2196,-0.666764,0.089148,0.105,-0.84875,0.071047,0.0925,-0.783064,0.87,0.905,200,0.5902,21
BANKINDIA,day,EMA_9_21,long_flat,0.043874,0.0655,-0.669712,0.00639,0.0068,-0.946095,0.011576,0.0142,-0.848243,0.725,0.785,200,0.4958,108
BANKINDIA,day,EMA_10_30,long_flat,0.068613,0.1069,-0.641684,0.00639,0.0068,-0.946095,0.016139,0.019,-0.838233,0.815,0.845,200,0.4958,82
BANKINDIA,day,EMA_20_50,long_flat,0.006827,0.0081,-0.84775,0.00639,0.0068,-0.946095,0.022365,0.0267,-0.810023,0.405,0.4,200,0.4749,51
BANKINDIA,day,EMA_50_200,long_flat,0.066682,0.1063,-0.627268,0.00639,0.0068,-0.946095,0.034279,0.0446,-0.795146,0.775,0.81,200,0.4684,14
BANKINDIA,day,ST_7_3.0,long_flat,0.064081,0.0959,-0.668177,0.00639,0.0068,-0.946095,0.027114,0.0342,-0.815536,0.785,0.835,200,0.4811,67
BANKINDIA,day,ST_7_2.5,long_flat,0.046722,0.0628,-0.744124,0.00639,0.0068,-0.946095,0.018938,0.0225,-0.786114,0.665,0.67,200,0.4622,89
