symbol,day_n,day_start,day_end,min5_n,min5_start,min5_end,med_tv_cr,split_flags,worst_gap,gap_dates
3MINDIA,5363,2005-01-03,2026-09-11,188893,2015-02-02,2026-09-15,0.69,0,1.204,
AARTIIND,5364,2005-01-03,2026-09-15,189185,2015-02-02,2026-09-15,0.86,0,1.23,
ABBOTINDIA,5363,2005-01-03,2026-09-11,185279,2015-02-02,2026-07-16,0.87,1,2.8,2010-01-08
ABFRL,3250,2013-07-17,2026-09-11,185474,2015-02-02,2026-07-16,17.66,1,2.077,2025-05-22
ACC,5363,2005-01-03,2026-09-11,189202,2015-02-02,2026-09-15,46.41,0,1.246,
ADANIENT,5379,2005-01-03,2026-09-15,184965,2015-02-02,2026-07-16,47.68,1,3.034,2015-06-03
ADANIPORTS,4642,2007-11-27,2026-09-15,184969,2015-02-02,2026-07-16,100.46,0,1.233,
ADANIPOWER,4219,2009-08-20,2026-09-15,185489,2015-02-02,2026-07-16,33.89,0,1.191,
AFFLE,1760,2019-08-08,2026-09-11,119417,2015-02-02,2026-07-16,27.99,0,1.222,
AIAENG,5127,2005-12-14,2026-09-11,185407,2015-02-02,2026-07-16,3.66,0,1.25,
AJANTPHARM,5363,2005-01-03,2026-09-11,185487,2015-02-02,2026-07-16,9.28,0,1.243,
AKZOINDIA,5363,2005-01-03,2026-09-11,185280,2015-02-02,2026-07-16,0.95,0,1.185,
ALKEM,2655,2015-12-23,2026-09-15,171062,2015-12-23,2026-07-16,29.47,0,1.248,
AMBUJACEM,5364,2005-01-03,2026-09-15,184972,2015-02-02,2026-07-16,47.76,0,1.184,
APLAPOLLO,3647,2011-12-14,2026-09-15,185186,2015-02-02,2026-07-16,3.73,0,1.228,
APLLTD,3701,2011-09-20,2026-09-11,185464,2015-02-02,2026-07-16,5.14,0,1.233,
APOLLOHOSP,5827,2003-01-27,2026-09-15,188593,2015-02-02,2026-09-15,19.71,0,1.201,
APOLLOTYRE,5363,2005-01-03,2026-09-11,185488,2015-02-02,2026-07-16,38.82,0,1.235,
ASAHIINDIA,5363,2005-01-03,2026-09-11,184167,2015-02-02,2026-07-16,0.59,0,1.239,
ASHOKA,3934,2010-10-14,2026-09-11,185484,2015-02-02,2026-07-16,3.22,0,1.249,
ASHOKLEY,5364,2005-01-03,2026-09-15,189109,2015-02-02,2026-09-15,73.61,0,1.333,
ASIANPAINT,5827,2003-01-27,2026-09-15,188593,2015-02-02,2026-09-15,63.92,0,1.176,
ASTRAL,4816,2007-03-20,2026-09-15,185372,2015-02-02,2026-07-16,1.63,0,1.25,
