,equity
2018-01-01,1000000.0
2018-01-02,1000000.0
2018-01-03,1000000.0
2018-01-04,1000000.0
2018-01-05,1000000.0
2018-01-08,1000000.0
2018-01-09,1000000.0
2018-01-10,1000000.0
2018-01-11,1000000.0
2018-01-12,1000000.0
2018-01-15,1000000.0
2018-01-16,1000000.0
2018-01-17,1000000.0
2018-01-18,1000000.0
2018-01-19,1000000.0
2018-01-22,1000000.0
2018-01-23,1000000.0
2018-01-24,1000000.0
2018-01-25,1000000.0
2018-01-29,1000000.0
2018-01-30,1000000.0
2018-01-31,1000000.0
2018-02-01,1000000.0
2018-02-02,1000000.0
2018-02-05,1000000.0
2018-02-06,1000000.0
2018-02-07,1000000.0
2018-02-08,1000000.0
2018-02-09,1000000.0
2018-02-12,1000000.0
2018-02-14,1000000.0
2018-02-15,1000000.0
2018-02-16,1000000.0
2018-02-19,1000000.0
2018-02-20,1000000.0
2018-02-21,1000000.0
2018-02-22,1000000.0
2018-02-23,1000000.0
2018-02-26,1000000.0
2018-02-27,1000000.0
2018-02-28,1000000.0
2018-03-01,1000000.0
2018-03-05,1000000.0
2018-03-06,1000000.0
2018-03-07,1000000.0
2018-03-08,1000000.0
2018-03-09,1000000.0
2018-03-12,1000000.0
2018-03-13,1000000.0
2018-03-14,1000000.0
2018-03-15,1000000.0
2018-03-16,996103.6
2018-03-19,992707.636096
2018-03-20,986635.886096
2018-03-21,988215.286096
2018-03-22,987485.186096
2018-03-23,983672.180736
2018-03-26,983672.180736
2018-03-27,983049.0307359999
2018-03-28,983038.730736
2018-04-02,983224.1307359999
2018-04-03,985000.2807359999
2018-04-04,974541.6431821514
2018-04-05,979971.0431821515
2018-04-06,976435.1931821514
2018-04-09,983510.6431821515
2018-04-10,975569.9931821515
2018-04-11,980702.7431821515
2018-04-12,974230.4431821514
2018-04-13,977687.1431821515
2018-04-16,979028.2431821515
2018-04-17,976242.6931821514
2018-04-18,973726.323187347
2018-04-19,982270.173187347
2018-04-20,983052.1341873471
2018-04-23,983610.6341873471
2018-04-24,985255.4229373471
2018-04-25,983109.6883713471
2018-04-26,978344.5936713472
2018-04-27,972318.9654213472
2018-04-30,984854.8954213471
2018-05-02,992051.0054213472
2018-05-03,988997.9854213471
2018-05-04,982423.5487713472
2018-05-07,980633.8787713471
2018-05-08,969491.1587713471
2018-05-09,975747.9723713471
2018-05-10,970568.1092506046
2018-05-11,975086.4892506048
2018-05-14,954061.467190111
2018-05-15,955115.7671901111
2018-05-16,959896.3671901111
2018-05-17,964091.3671901111
2018-05-18,947543.420140111
2018-05-21,932576.9542506884
2018-05-22,941350.4042506884
2018-05-23,933662.3542506885
2018-05-24,938628.9042506884
2018-05-25,949559.0042506885
2018-05-28,950428.2542506884
2018-05-29,942066.6042506885
2018-05-30,949933.6542506884
2018-05-31,947985.1174006885
2018-06-01,946738.1674006885
2018-06-04,932629.5794006885
2018-06-05,914342.8901532352
2018-06-06,924360.8929532352
2018-06-07,932508.3429532351
2018-06-08,937209.6429532351
2018-06-11,945755.1429532352
2018-06-12,950583.7929532351
2018-06-13,940363.8220715022
2018-06-14,941150.3720715023
2018-06-15,937551.5720715022
2018-06-18,939682.9220715022
2018-06-19,929528.1220715023
2018-06-20,921925.2397100976
2018-06-21,908468.4227100976
2018-06-22,925033.0727100977
2018-06-25,912606.3658600976
2018-06-26,904690.8704600976
2018-06-27,897659.9883423521
2018-06-28,891250.5332423522
2018-06-29,896893.1932423522
2018-07-02,897114.7932423522
2018-07-03,900312.9932423522
2018-07-04,897630.6432423522
2018-07-05,895770.1932423522
2018-07-06,894555.5432423522
2018-07-09,917308.1932423522
2018-07-10,915442.4932423522
2018-07-11,918767.0932423522
2018-07-12,909299.1643313474
2018-07-13,903702.2150313475
2018-07-16,895944.8650313474
2018-07-17,902622.3650313474
2018-07-18,902856.2650313474
2018-07-19,899930.0595872666
2018-07-20,922603.7595872667
2018-07-23,935038.1595872666
2018-07-24,948941.1095872667
2018-07-25,960800.9595872667
2018-07-26,952297.1178372666
2018-07-27,950688.0178372667
2018-07-30,949116.6615372667
2018-07-31,958491.2115372666
2018-08-01,965652.9115372667
2018-08-02,958686.6115372666
2018-08-03,973013.4615372666
2018-08-06,969952.9115372666
2018-08-07,966135.6115372666
2018-08-08,971739.2830372666
2018-08-09,982377.2830372666
2018-08-10,973081.9733372666
2018-08-13,963786.8127872667
2018-08-14,967934.6627872667
2018-08-16,970578.1127872667
2018-08-17,981220.0627872667
2018-08-20,988127.4627872667
2018-08-21,984705.7127872667
2018-08-23,987225.9375372668
2018-08-24,999819.9675372667
2018-08-27,1004176.5175372667
2018-08-28,1012015.1615372667
2018-08-29,1010687.2615372667
2018-08-30,1007468.8515372666
2018-08-31,1008052.4815372666
2018-09-03,1001940.2250372666
2018-09-04,969032.9258372666
2018-09-05,969958.6687972667
2018-09-06,975773.0587972667
2018-09-07,990367.3787972667
2018-09-10,985511.7287972667
2018-09-11,970743.0287972667
2018-09-12,972162.5755405127
2018-09-14,982243.6255405126
2018-09-17,980532.3105405126
2018-09-18,941649.4365445125
2018-09-19,940161.5001643661
2018-09-21,906716.5117175223
2018-09-24,886773.2282155224
2018-09-25,883579.1502155224
2018-09-26,884589.3002155223
2018-09-27,882319.6002155223
2018-09-28,876018.6168655223
2018-10-01,876170.5168655224
2018-10-03,879143.4168655224
2018-10-04,878861.3168655224
2018-10-05,875758.2168655223
2018-10-08,872836.3219793603
2018-10-09,872836.3219793603
2018-10-10,872836.3219793603
2018-10-11,874613.3719793604
2018-10-12,876282.7219793603
2018-10-15,876875.0719793603
2018-10-16,877198.1719793603
2018-10-17,866147.1719793603
2018-10-19,865453.8383793604
2018-10-22,861875.3749807933
2018-10-23,857944.3249807934
2018-10-24,856490.3749807933
2018-10-25,860690.6749807934
2018-10-26,858859.7749807934
2018-10-29,859290.5749807934
2018-10-30,868168.5749807933
2018-10-31,871386.2749807934
2018-11-01,883539.5749807934
2018-11-02,877175.6749807934
2018-11-05,871956.8249807934
2018-11-06,868692.9249807934
2018-11-07,858859.7749807934
2018-11-09,900915.3249807934
2018-11-12,896567.3749807933
2018-11-13,904091.2749807934
2018-11-14,909344.1202807934
2018-11-15,912461.7202807934
2018-11-16,907049.7202807934
2018-11-19,900543.6702807933
2018-11-20,893383.9302647935
2018-11-21,895351.1654647934
2018-11-22,892167.9154647934
2018-11-26,893319.4834647935
2018-11-27,893592.9373647934
2018-11-28,886850.4499647934
2018-11-29,890725.2499647934
2018-11-30,892180.2962647934
2018-12-03,890383.5962647934
2018-12-04,882712.6962647934
2018-12-05,877126.6032147934
2018-12-06,861769.0152455735
2018-12-07,867567.0652455735
2018-12-10,856605.4412455736
2018-12-11,869010.5610337656
2018-12-12,885646.9110337655
2018-12-13,894943.1110337655
2018-12-14,889515.7610337655
2018-12-17,880442.9110337655
2018-12-18,877409.2110337655
2018-12-19,879382.9110337655
2018-12-20,880444.3110337656
2018-12-21,873816.0110337655
2018-12-24,868020.6110337655
2018-12-26,863014.7363286201
2018-12-27,856567.4363286201
2018-12-28,861931.6415786201
2018-12-31,866049.6619146201
2019-01-01,862534.6119146202
2019-01-02,857070.6638146201
2019-01-03,858296.9334146201
2019-01-04,852304.33341462
2019-01-07,855512.1334146201
2019-01-08,854040.48341462
2019-01-09,866750.83341462
2019-01-10,872580.4058646201
2019-01-11,891568.4058646201
2019-01-14,884362.3058646201
2019-01-15,895381.0058646201
2019-01-16,887760.6558646201
2019-01-17,875203.9878646202
2019-01-18,855752.6179646201
2019-01-21,848871.1868065547
2019-01-22,836898.6289065547
2019-01-23,838892.7789065547
2019-01-24,831759.0098951269
2019-01-25,823098.1551751269
2019-01-28,813819.5302681817
2019-01-29,813188.2802681817
2019-01-30,812744.2302681817
2019-01-31,820166.3302681817
2019-02-01,821696.2802681817
2019-02-04,828755.3302681817
2019-02-05,834442.0802681817
2019-02-06,831188.1302681817
2019-02-07,830151.7802681817
2019-02-08,823146.3302681816
2019-02-11,812066.3635900952
2019-02-12,803409.9994539452
2019-02-13,807379.3494539453
2019-02-14,804438.9494539453
2019-02-15,794554.0818558219
2019-02-18,796496.2318558219
2019-02-19,797389.8818558218
2019-02-20,800988.9818558219
2019-02-21,802143.8318558219
2019-02-22,804506.9818558219
2019-02-25,811607.2818558218
2019-02-26,805209.5808720856
2019-02-27,794479.1330720857
2019-02-28,805545.7830720857
2019-03-01,811062.0830720856
2019-03-05,822791.3330720856
2019-03-06,824089.9510720856
2019-03-07,813670.1010720857
2019-03-08,818056.2145720856
2019-03-11,827099.4645720856
2019-03-12,829563.9145720856
2019-03-13,829252.3145720856
2019-03-14,831425.4145720856
2019-03-15,827059.0392512165
2019-03-18,830498.1892512164
2019-03-19,818400.0111422401
2019-03-20,813072.9811422402
2019-03-22,812214.8188702402
2019-03-25,797272.0973202402
2019-03-26,796487.7073202402
2019-03-27,794723.3373202402
2019-03-28,799304.9454812916
2019-03-29,800078.1454812917
2019-04-01,795321.9715772916
2019-04-02,804849.0400272917
2019-04-03,805411.9300272916
2019-04-04,806664.9100272917
2019-04-05,814079.5400272916
2019-04-08,800308.2900272917
2019-04-09,798539.5260272917
2019-04-10,800181.1215595548
2019-04-11,797581.7515595548
2019-04-12,798840.5715595548
2019-04-15,805906.4315595548
2019-04-16,801716.4515595548
2019-04-18,794106.0928195547
2019-04-22,786918.1218795548
2019-04-23,783231.0368795547
2019-04-24,784207.9368795548
2019-04-25,785361.1868795548
2019-04-26,785122.9368795548
2019-04-30,776901.7432635548
2019-05-02,772314.5432635548
2019-05-03,765903.0778235547
2019-05-06,754826.7380004636
2019-05-07,752888.8286571046
2019-05-08,749622.5601594766
2019-05-09,742401.7126009574
2019-05-10,741329.6126009574
2019-05-13,718711.6086165477
2019-05-14,725814.3826325476
2019-05-15,728172.7826325475
2019-05-16,732673.3326325476
2019-05-17,738436.1826325476
2019-05-20,760135.4326325476
2019-05-21,755799.9826325476
2019-05-22,762815.0326325475
2019-05-23,754788.8826325475
2019-05-24,765379.4326325476
2019-05-27,773192.8826325475
2019-05-28,769180.7326325476
2019-05-29,760510.1206325475
2019-05-30,763862.2406325475
2019-05-31,762103.7006325475
2019-06-03,761726.6182325474
2019-06-04,761278.6182325474
2019-06-06,759080.1382325474
2019-06-07,765341.3082325475
2019-06-10,763123.4082325475
2019-06-11,765565.4596840579
2019-06-12,759090.7723959071
2019-06-13,756284.4995959072
2019-06-14,752922.5995959071
2019-06-17,746392.2420959071
2019-06-18,745881.6601959071
2019-06-19,738277.723480375
2019-06-20,738294.5843303751
2019-06-21,737337.8843303751
2019-06-24,733546.1113303751
2019-06-25,732874.6613303751
2019-06-26,736267.9113303751
2019-06-27,742923.6113303751
2019-06-28,741796.2113303752
2019-07-01,749044.9213303751
2019-07-02,756201.9413303751
2019-07-03,759820.9613303752
2019-07-04,756189.9913303751
2019-07-05,739858.511397942
2019-07-08,726915.7414309408
2019-07-09,727794.7854243137
2019-07-10,717796.1154243137
2019-07-11,724277.5385443139
2019-07-12,728021.9585443138
2019-07-15,727080.5285443139
2019-07-16,725557.2985443138
2019-07-17,723186.5785443138
2019-07-18,715597.1264504044
2019-07-19,713971.0395704044
2019-07-22,703682.3395704044
2019-07-23,703630.796634224
2019-07-24,694173.6567065782
2019-07-25,692623.6567065782
2019-07-26,697361.8567065782
2019-07-29,694243.0027065782
2019-07-30,687692.491366585
2019-07-31,690100.8378423154
2019-08-01,683419.4953423154
2019-08-02,681497.3132464957
2019-08-05,674871.5912620273
2019-08-06,676732.2912620273
2019-08-07,675120.1912620272
2019-08-08,678640.5912620273
2019-08-09,680623.4412620272
2019-08-13,680509.2912620273
2019-08-14,679728.8912620273
2019-08-16,682607.9412620272
2019-08-19,684482.7412620273
2019-08-20,681779.2412620273
2019-08-21,673734.4844620273
2019-08-22,666507.4363820273
2019-08-23,667821.5863820274
2019-08-26,674834.6863820273
2019-08-27,673421.6863820273
2019-08-28,671122.2863820273
2019-08-29,672195.7363820273
2019-08-30,674481.1863820273
2019-09-03,667192.5837320273
2019-09-04,661995.4268320274
2019-09-05,662399.2768320274
2019-09-06,663744.3268320273
2019-09-09,679098.1768320273
2019-09-11,676421.5768320273
2019-09-12,665552.4423365456
2019-09-13,667977.0353365456
2019-09-16,664542.2353365456
2019-09-17,654097.2458965456
2019-09-18,659269.6458965456
2019-09-19,646100.0601196295
2019-09-20,667231.8787196295
2019-09-23,683368.2287196295
2019-09-24,675514.8287196294
2019-09-25,669988.9287196295
2019-09-26,677503.4787196295
2019-09-27,671514.3287196294
2019-09-30,667242.7008110075
2019-10-01,651464.9508110075
2019-10-03,650138.3691150076
2019-10-04,639206.0923150076
2019-10-07,637711.7258830076
2019-10-09,642273.4465870076
2019-10-10,648556.1605870076
2019-10-11,655443.0105870077
2019-10-14,655001.0695870077
2019-10-15,660595.0195870077
2019-10-16,659937.0695870077
2019-10-17,672271.7695870077
2019-10-18,680713.2195870078
2019-10-22,685019.4765870076
2019-10-23,683391.8265870077
2019-10-24,684531.1265870077
2019-10-25,689520.7265870078
2019-10-27,701914.4765870078
2019-10-29,707416.1265870077
2019-10-30,704025.7265870078
