variant,symbol,entry_date,exit_date,entry_price,exit_price,qty,days_held,exit_reason,gross_pnl,net_pnl
A1_breakout_20,MCX,2018-10-25,2018-10-26,810.00,745.20,123,1,INITIAL_STOP,-7970.40,-8161.69
A1_breakout_20,INTELLECT,2018-10-30,2018-11-16,256.95,236.39,386,17,INITIAL_STOP,-7934.62,-8125.05
A1_breakout_20,ADANIPOWER,2018-10-30,2018-11-21,8.40,9.30,11807,22,DONCH_10_LOW,10626.30,10417.32
A1_breakout_20,RELAXO,2018-11-01,2018-11-22,398.95,387.50,248,21,DONCH_10_LOW,-2839.60,-3034.64
A1_breakout_20,VINATIORGA,2018-10-30,2018-11-26,706.35,732.80,140,27,DONCH_10_LOW,3703.00,3501.52
A1_breakout_20,CUMMINSIND,2018-11-01,2018-11-26,750.90,766.05,132,25,DONCH_10_LOW,1999.80,1799.56
A1_breakout_20,TORNTPOWER,2018-11-01,2018-11-26,258.95,255.10,383,25,DONCH_10_LOW,-1474.55,-1671.43
A1_breakout_20,DIVISLAB,2018-10-30,2018-11-28,1444.25,1484.35,68,29,DONCH_10_LOW,2726.80,2527.66
A1_breakout_20,ICICIBANK,2018-10-30,2018-12-05,347.45,350.70,285,36,DONCH_10_LOW,926.25,727.28
A1_breakout_20,BAJAJHLDNG,2018-11-19,2018-12-05,3122.00,2955.15,31,16,DONCH_10_LOW,-5172.35,-5360.74
A1_breakout_20,SKFINDIA,2018-10-26,2018-12-10,838.70,867.40,119,45,DONCH_10_LOW,3415.30,3212.27
A1_breakout_20,NAVINFLUOR,2018-11-26,2018-12-10,716.95,693.65,138,14,DONCH_10_LOW,-3215.40,-3410.06
A1_breakout_20,VIPIND,2018-11-28,2018-12-11,521.50,479.78,190,13,INITIAL_STOP,-7926.80,-8117.04
A1_breakout_20,GODFRYPHLP,2018-11-29,2018-12-11,313.00,287.96,318,12,INITIAL_STOP,-7962.72,-8153.83
A1_breakout_20,GESHIP,2018-12-14,2018-12-24,340.00,315.96,287,10,INITIAL_STOP,-6898.30,-7086.56
A1_breakout_20,VINATIORGA,2018-12-17,2018-12-26,845.00,777.67,115,9,INITIAL_STOP,-7743.47,-7930.08
A1_breakout_20,BRIGADE,2018-12-27,2018-12-31,158.05,145.41,608,4,INITIAL_STOP,-7687.55,-7872.05
A1_breakout_20,INDHOTEL,2018-11-26,2019-01-02,134.50,139.85,736,37,DONCH_10_LOW,3937.60,3735.68
A1_breakout_20,EIHOTEL,2018-11-28,2019-01-02,188.30,188.80,528,35,DONCH_10_LOW,264.00,64.89
A1_breakout_20,ABFRL,2018-12-13,2019-01-02,149.90,148.20,651,20,DONCH_10_LOW,-1106.70,-1300.76
A1_breakout_20,COLPAL,2018-11-28,2019-01-03,1239.80,1293.00,80,36,DONCH_10_LOW,4256.00,4053.38
A1_breakout_20,VGUARD,2018-12-26,2019-01-03,233.45,220.04,415,8,INITIAL_STOP,-5565.85,-5754.05
A1_breakout_20,NESTLEIND,2018-11-01,2019-01-04,512.00,537.20,193,64,DONCH_10_LOW,4863.60,4661.10
A1_breakout_20,KOTAKBANK,2018-12-10,2019-01-10,1244.10,1225.95,79,31,DONCH_10_LOW,-1433.85,-1628.98
A1_breakout_20,TIINDIA,2018-12-10,2019-01-10,334.00,326.85,297,31,DONCH_10_LOW,-2123.55,-2319.82
A1_breakout_20,ENDURANCE,2019-01-01,2019-01-14,1267.45,1192.00,75,13,DONCH_10_LOW,-5658.75,-5843.21
A1_breakout_20,LINDEINDIA,2019-01-11,2019-01-18,742.00,688.51,128,7,INITIAL_STOP,-6846.25,-7029.36
A1_breakout_20,COROMANDEL,2019-01-07,2019-01-21,469.55,445.34,204,14,INITIAL_STOP,-4939.26,-5125.89
A1_breakout_20,CARBORUNIV,2019-01-08,2019-01-21,378.00,358.06,253,13,INITIAL_STOP,-5044.76,-5230.98
A1_breakout_20,IDFCFIRSTB,2019-01-08,2019-01-22,46.35,45.35,2068,14,DONCH_10_LOW,-2068.00,-2257.64
A1_breakout_20,GODREJPROP,2019-01-08,2019-01-23,718.80,716.00,133,15,DONCH_10_LOW,-372.40,-563.23
A1_breakout_20,PRAJIND,2019-01-04,2019-01-25,123.40,130.50,773,21,DONCH_10_LOW,5488.30,5292.04
A1_breakout_20,KRBL,2019-01-21,2019-01-25,377.00,346.84,249,4,INITIAL_STOP,-7509.84,-7690.08
A1_breakout_20,GHCL,2019-01-22,2019-01-28,264.70,247.81,351,6,INITIAL_STOP,-5927.95,-6107.85
A1_breakout_20,UBL,2019-01-22,2019-01-28,1478.90,1408.17,62,6,INITIAL_STOP,-4385.52,-4564.52
A1_breakout_20,STAR,2019-01-15,2019-01-29,464.20,433.23,204,14,INITIAL_STOP,-6318.71,-6501.78
A1_breakout_20,ASTRAZEN,2019-01-11,2019-02-06,1584.65,1571.00,60,26,DONCH_10_LOW,-819.00,-1008.34
A1_breakout_20,ABBOTINDIA,2019-01-10,2019-02-11,8011.00,7675.22,11,32,INITIAL_STOP,-3693.53,-3866.08
A1_breakout_20,MGL,2019-01-30,2019-02-12,928.95,891.84,97,13,INITIAL_STOP,-3599.26,-3775.87
A1_breakout_20,AARTIIND,2019-01-31,2019-02-12,402.10,381.54,226,12,INITIAL_STOP,-4647.63,-4824.73
A1_breakout_20,HAVELLS,2019-01-23,2019-02-14,721.00,692.10,128,22,DONCH_10_LOW,-3699.20,-3880.08
