variant,symbol,entry_date,exit_date,entry_price,exit_price,qty,days_held,exit_reason,gross_pnl,net_pnl
B2_vol_15x,ADANIPOWER,2018-10-30,2018-11-21,8.40,9.30,11904,22,DONCH_10_LOW,10713.60,10502.90
B2_vol_15x,VINATIORGA,2018-11-01,2018-11-26,778.40,732.80,128,25,DONCH_10_LOW,-5836.80,-6030.23
B2_vol_15x,CUMMINSIND,2018-11-16,2018-11-26,820.00,766.05,121,10,DONCH_10_LOW,-6527.95,-6719.86
B2_vol_15x,MAHABANK,2018-11-20,2018-11-27,14.00,13.35,7142,7,DONCH_10_LOW,-4642.30,-4837.63
B2_vol_15x,DIVISLAB,2018-10-30,2018-11-28,1444.25,1484.35,69,29,DONCH_10_LOW,2766.90,2564.83
B2_vol_15x,PFC,2018-10-30,2018-11-28,73.85,78.30,1354,29,DONCH_10_LOW,6025.30,5819.29
B2_vol_15x,AARTIIND,2018-11-15,2018-11-30,359.95,351.20,277,15,DONCH_10_LOW,-2423.75,-2620.74
B2_vol_15x,ICICIBANK,2018-10-30,2018-12-05,347.45,350.70,287,36,DONCH_10_LOW,932.75,732.38
B2_vol_15x,APOLLOHOSP,2018-11-16,2018-12-06,1250.65,1195.00,79,20,DONCH_10_LOW,-4396.35,-4589.56
B2_vol_15x,ASIANPAINT,2018-11-27,2018-12-06,1346.80,1308.75,74,9,DONCH_10_LOW,-2815.70,-3012.21
B2_vol_15x,BRITANNIA,2018-12-03,2018-12-06,3175.00,3010.14,31,3,INITIAL_STOP,-5110.73,-5302.47
B2_vol_15x,HDFCBANK,2018-11-30,2018-12-11,532.50,514.87,188,11,INITIAL_STOP,-3314.50,-3511.41
B2_vol_15x,HINDUNILVR,2018-11-27,2018-12-26,1738.90,1770.10,57,29,DONCH_10_LOW,1778.40,1578.39
B2_vol_15x,BRIGADE,2018-12-27,2018-12-31,158.05,145.41,622,4,INITIAL_STOP,-7864.57,-8053.32
B2_vol_15x,EIHOTEL,2018-11-28,2019-01-02,188.30,188.80,527,35,DONCH_10_LOW,263.50,64.77
B2_vol_15x,INDHOTEL,2018-12-13,2019-01-02,147.25,137.23,667,20,INITIAL_STOP,-6683.91,-6873.66
B2_vol_15x,COLPAL,2018-11-27,2019-01-03,1198.00,1293.00,83,37,DONCH_10_LOW,7885.00,7678.25
B2_vol_15x,GODREJCP,2018-12-14,2019-01-08,812.00,780.80,121,25,DONCH_10_LOW,-3775.20,-3967.93
B2_vol_15x,TIINDIA,2018-12-07,2019-01-10,315.00,326.85,313,34,DONCH_10_LOW,3709.05,3508.15
B2_vol_15x,KOTAKBANK,2018-12-10,2019-01-10,1244.10,1225.95,79,31,DONCH_10_LOW,-1433.85,-1628.98
B2_vol_15x,FEDERALBNK,2018-12-13,2019-01-14,88.95,91.45,1105,32,DONCH_10_LOW,2762.50,2563.16
B2_vol_15x,LINDEINDIA,2018-11-05,2019-01-18,472.90,675.00,211,74,DONCH_10_LOW,42643.10,42400.89
B2_vol_15x,COROMANDEL,2019-01-07,2019-01-21,469.55,445.34,208,14,INITIAL_STOP,-5036.10,-5226.40
B2_vol_15x,GODREJPROP,2019-01-09,2019-01-23,736.60,716.00,132,14,DONCH_10_LOW,-2719.20,-2910.94
B2_vol_15x,PRAJIND,2019-01-04,2019-01-25,123.40,130.50,792,21,DONCH_10_LOW,5623.20,5422.11
B2_vol_15x,KRBL,2019-01-21,2019-01-25,377.00,346.84,270,4,INITIAL_STOP,-8143.20,-8338.64
B2_vol_15x,KARURVYSYA,2019-01-01,2019-01-28,73.75,75.15,1324,27,DONCH_10_LOW,1853.60,1656.46
B2_vol_15x,KAJARIACER,2019-01-04,2019-01-28,501.00,521.60,195,24,DONCH_10_LOW,4017.00,3817.59
B2_vol_15x,CHAMBLFERT,2019-01-11,2019-01-28,164.20,159.30,593,17,DONCH_10_LOW,-2905.70,-3097.54
B2_vol_15x,GHCL,2019-01-22,2019-01-28,264.70,247.81,383,6,INITIAL_STOP,-6468.39,-6664.69
B2_vol_15x,STAR,2019-01-15,2019-01-29,464.20,433.23,210,14,INITIAL_STOP,-6504.55,-6693.01
B2_vol_15x,DRREDDY,2019-02-04,2019-02-11,561.60,535.92,177,7,INITIAL_STOP,-4545.98,-4740.25
B2_vol_15x,IGL,2019-02-05,2019-02-11,148.00,138.87,674,6,INITIAL_STOP,-6152.10,-6345.45
B2_vol_15x,AARTIIND,2019-01-11,2019-02-12,387.45,369.98,251,32,INITIAL_STOP,-4385.00,-4575.12
B2_vol_15x,MGL,2019-01-30,2019-02-12,928.95,891.84,107,13,INITIAL_STOP,-3970.31,-4165.14
B2_vol_15x,HAVELLS,2019-02-04,2019-02-13,740.00,700.87,134,9,INITIAL_STOP,-5243.47,-5436.55
B2_vol_15x,AXISBANK,2019-01-31,2019-02-15,697.25,692.60,143,15,DONCH_10_LOW,-664.95,-863.70
B2_vol_15x,PFIZER,2019-01-31,2019-02-15,3000.05,2872.05,33,15,DONCH_10_LOW,-4224.00,-4417.78
B2_vol_15x,WIPRO,2019-01-24,2019-02-19,129.10,134.80,783,26,DONCH_10_LOW,4463.10,4256.47
B2_vol_15x,TITAN,2019-02-05,2019-02-26,1026.95,1016.80,97,21,DONCH_10_LOW,-984.55,-1182.79
B2_vol_15x,ENDURANCE,2019-02-20,2019-02-26,1332.00,1226.44,72,6,INITIAL_STOP,-7600.08,-7784.28
B2_vol_15x,TTKPRESTIG,2018-11-29,2019-02-27,600.80,635.00,166,90,DONCH_10_LOW,5677.20,5472.06
B2_vol_15x,NAM-INDIA,2019-02-25,2019-02-27,199.85,183.86,486,2,INITIAL_STOP,-7770.17,-7956.65
B2_vol_15x,BALRAMCHIN,2019-02-15,2019-03-19,119.20,130.30,816,32,DONCH_10_LOW,9057.60,8854.01
B2_vol_15x,SYMPHONY,2019-02-27,2019-03-19,1284.75,1288.00,74,20,DONCH_10_LOW,240.50,50.12
B2_vol_15x,DBL,2019-03-20,2019-03-22,703.70,647.40,137,2,INITIAL_STOP,-7712.55,-7897.65
B2_vol_15x,BATAINDIA,2019-02-14,2019-03-25,1270.00,1324.65,76,39,DONCH_10_LOW,4153.40,3956.21
B2_vol_15x,RAMCOCEM,2019-02-28,2019-03-25,680.00,700.55,141,25,DONCH_10_LOW,2897.55,2702.89
B2_vol_15x,JUSTDIAL,2019-02-22,2019-04-02,515.90,595.00,188,39,DONCH_10_LOW,14870.80,14661.95
B2_vol_15x,SUNDARMFIN,2019-02-27,2019-04-02,1561.00,1531.75,61,34,DONCH_10_LOW,-1784.25,-1972.91
B2_vol_15x,ASTRAZEN,2019-02-28,2019-04-03,1952.00,1930.00,49,34,DONCH_10_LOW,-1078.00,-1268.22
B2_vol_15x,MANAPPURAM,2019-02-22,2019-04-08,114.00,117.65,852,45,DONCH_10_LOW,3109.80,2912.43
B2_vol_15x,BEL,2019-04-03,2019-04-08,34.00,31.55,2884,5,INITIAL_STOP,-7057.20,-7246.25
B2_vol_15x,PIIND,2019-02-13,2019-04-09,880.50,1005.10,111,55,DONCH_10_LOW,13830.60,13621.30
B2_vol_15x,NAVINFLUOR,2019-04-03,2019-04-10,759.45,714.08,129,7,INITIAL_STOP,-5852.69,-6042.78
B2_vol_15x,PNB,2019-03-20,2019-04-18,88.44,89.02,1096,29,DONCH_10_LOW,635.68,441.18
B2_vol_15x,PIDILITIND,2019-03-27,2019-04-18,615.00,626.30,157,22,DONCH_10_LOW,1774.10,1579.22
B2_vol_15x,RECLTD,2019-03-26,2019-04-22,117.00,111.85,827,27,DONCH_10_LOW,-4259.05,-4448.31
B2_vol_15x,ORIENTCEM,2019-04-09,2019-04-22,98.00,90.16,995,13,INITIAL_STOP,-7800.80,-7988.02
B2_vol_15x,COCHINSHIP,2019-04-10,2019-04-22,201.50,193.00,490,12,DONCH_10_LOW,-4165.00,-4358.31
B2_vol_15x,GODREJPROP,2019-03-25,2019-04-23,841.00,885.50,114,29,DONCH_10_LOW,5073.00,4876.18
B2_vol_15x,IGL,2019-04-09,2019-04-24,158.00,152.60,617,15,DONCH_10_LOW,-3331.80,-3523.44
B2_vol_15x,TATAMOTORS,2019-04-11,2019-04-30,216.60,213.30,453,19,DONCH_10_LOW,-1494.90,-1689.64
B2_vol_15x,ADANIGREEN,2019-04-22,2019-04-30,44.40,40.85,2218,8,INITIAL_STOP,-7878.34,-8067.42
B2_vol_15x,SYMPHONY,2019-04-25,2019-04-30,1450.00,1364.63,66,5,INITIAL_STOP,-5634.72,-5820.49
B2_vol_15x,SIEMENS,2019-04-04,2019-05-02,888.20,878.30,110,28,DONCH_10_LOW,-1089.00,-1283.32
B2_vol_15x,MAHABANK,2019-04-25,2019-05-03,18.00,16.56,5385,8,INITIAL_STOP,-7754.40,-7940.51
B2_vol_15x,GSPL,2019-05-02,2019-05-03,199.70,189.53,477,1,INITIAL_STOP,-4851.56,-5037.22
B2_vol_15x,ICICIGI,2019-02-25,2019-05-06,921.00,1037.05,105,70,DONCH_10_LOW,12185.25,11979.65
B2_vol_15x,APLAPOLLO,2019-04-24,2019-05-07,160.40,149.46,606,13,INITIAL_STOP,-6630.38,-6818.15
B2_vol_15x,BANDHANBNK,2019-04-25,2019-05-08,607.00,568.86,159,13,INITIAL_STOP,-6063.73,-6250.70
B2_vol_15x,VINATIORGA,2019-05-03,2019-05-08,936.90,883.76,101,5,INITIAL_STOP,-5366.99,-5550.87
B2_vol_15x,LUPIN,2019-04-24,2019-05-09,838.50,835.00,116,15,DONCH_10_LOW,-406.00,-600.13
B2_vol_15x,DEEPAKNTR,2019-05-07,2019-05-09,289.00,268.32,329,2,INITIAL_STOP,-6804.99,-6988.35
B2_vol_15x,MCX,2019-05-02,2019-05-10,866.95,815.74,110,8,INITIAL_STOP,-5632.69,-5817.79
B2_vol_15x,SIS,2019-05-07,2019-05-10,451.30,416.08,210,3,INITIAL_STOP,-7396.85,-7579.00
B2_vol_15x,ULTRACEMCO,2019-04-25,2019-05-13,4450.50,4422.60,21,18,DONCH_10_LOW,-585.90,-772.24
B2_vol_15x,ORIENTCEM,2019-05-02,2019-05-13,106.50,97.98,895,11,INITIAL_STOP,-7625.40,-7808.41
B2_vol_15x,DCMSHRIRAM,2019-05-13,2019-05-14,510.60,469.75,178,1,INITIAL_STOP,-7270.94,-7445.45
B2_vol_15x,DCMSHRIRAM,2019-05-16,2019-05-31,525.00,543.00,170,15,DONCH_10_LOW,3060.00,2878.44
B2_vol_15x,SRF,2019-05-16,2019-06-03,554.00,565.55,161,18,DONCH_10_LOW,1859.55,1679.30
B2_vol_15x,SUNDARMFIN,2019-06-03,2019-06-12,1700.00,1589.09,52,9,INITIAL_STOP,-5767.16,-5938.19
B2_vol_15x,ICICIGI,2019-05-20,2019-06-13,1131.00,1103.00,79,24,DONCH_10_LOW,-2212.00,-2388.49
B2_vol_15x,BLUESTARCO,2019-05-08,2019-06-17,369.90,393.00,255,40,DONCH_10_LOW,5890.50,5695.96
B2_vol_15x,BAJAJFINSV,2019-05-20,2019-06-17,805.60,810.20,111,28,DONCH_10_LOW,510.60,331.25
B2_vol_15x,SOBHA,2019-06-13,2019-06-17,565.45,527.45,158,4,INITIAL_STOP,-6003.34,-6176.01
B2_vol_15x,ATUL,2019-05-16,2019-06-18,3740.00,3930.10,23,33,DONCH_10_LOW,4372.30,4195.89
B2_vol_15x,TATACONSUM,2019-05-17,2019-06-19,217.30,240.35,412,33,DONCH_10_LOW,9496.60,9308.05
B2_vol_15x,HDFCAMC,2019-06-14,2019-06-19,923.00,882.94,96,5,INITIAL_STOP,-3845.67,-4019.04
B2_vol_15x,FEDERALBNK,2019-05-07,2019-06-20,100.95,103.30,942,44,DONCH_10_LOW,2213.70,2021.30
B2_vol_15x,SOLARINDS,2019-05-17,2019-06-24,1124.00,1145.00,79,38,DONCH_10_LOW,1659.00,1479.75
B2_vol_15x,APOLLOHOSP,2019-06-04,2019-06-24,1350.00,1338.00,66,20,DONCH_10_LOW,-792.00,-969.41
B2_vol_15x,LALPATHLAB,2019-06-24,2019-06-28,1163.00,1079.45,77,4,INITIAL_STOP,-6433.51,-6606.18
B2_vol_15x,REDINGTON,2019-06-19,2019-07-05,55.45,51.46,1616,16,INITIAL_STOP,-6443.46,-6616.23
B2_vol_15x,BAJFINANCE,2019-05-20,2019-07-08,339.00,353.00,264,49,DONCH_10_LOW,3696.00,3513.31
B2_vol_15x,SRF,2019-06-19,2019-07-08,604.00,584.00,148,19,DONCH_10_LOW,-2960.00,-3135.82
B2_vol_15x,VOLTAS,2019-06-25,2019-07-08,633.45,601.85,142,13,INITIAL_STOP,-4487.46,-4662.87
