variant,symbol,entry_date,exit_date,entry_price,exit_price,qty,days_held,exit_reason,gross_pnl,net_pnl
D2_atr_trail_3,LINDEINDIA,2018-11-05,2018-11-09,472.90,521.22,211,4,ATR_TRAIL_3.0x,10196.20,9986.44
D2_atr_trail_3,VINATIORGA,2018-11-01,2018-11-27,778.40,716.13,128,26,INITIAL_STOP,-7970.82,-8162.12
D2_atr_trail_3,MAHABANK,2018-11-20,2018-12-06,14.00,12.88,7214,16,INITIAL_STOP,-8079.68,-8273.59
D2_atr_trail_3,ADANIPOWER,2018-10-30,2018-12-11,8.40,9.68,11904,42,ATR_TRAIL_3.0x,15292.69,15077.41
D2_atr_trail_3,AARTIIND,2018-11-15,2018-12-11,359.95,340.43,280,26,ATR_TRAIL_3.0x,-5465.18,-5661.28
D2_atr_trail_3,APOLLOHOSP,2018-11-16,2018-12-11,1250.65,1153.41,80,25,INITIAL_STOP,-7779.14,-7971.47
D2_atr_trail_3,EIHOTEL,2018-11-28,2018-12-11,188.30,175.89,532,13,ATR_TRAIL_3.0x,-6600.70,-6794.45
D2_atr_trail_3,TTKPRESTIG,2018-11-29,2018-12-21,600.80,611.26,166,22,ATR_TRAIL_3.0x,1737.06,1535.86
D2_atr_trail_3,GESHIP,2018-12-17,2018-12-24,344.75,319.72,286,7,INITIAL_STOP,-7159.53,-7349.56
D2_atr_trail_3,VINATIORGA,2018-12-17,2018-12-26,845.00,777.67,116,9,INITIAL_STOP,-7810.81,-7999.03
D2_atr_trail_3,HEIDELBERG,2018-12-17,2018-12-26,153.45,143.29,643,9,INITIAL_STOP,-6532.20,-6723.01
D2_atr_trail_3,TRITURBINE,2018-12-18,2018-12-27,123.40,118.54,800,9,INITIAL_STOP,-3889.69,-4083.24
D2_atr_trail_3,BRIGADE,2018-12-27,2018-12-31,158.05,145.41,612,4,INITIAL_STOP,-7738.13,-7923.84
D2_atr_trail_3,VGUARD,2018-12-26,2019-01-03,233.45,220.04,420,8,INITIAL_STOP,-5632.91,-5823.37
D2_atr_trail_3,SUPREMEIND,2018-12-31,2019-01-03,1196.70,1112.90,80,3,INITIAL_STOP,-6704.21,-6888.98
D2_atr_trail_3,PRAJIND,2019-01-04,2019-01-09,123.40,130.42,764,5,ATR_TRAIL_3.0x,5364.50,5170.58
D2_atr_trail_3,TIINDIA,2019-01-01,2019-01-10,359.05,332.76,266,9,INITIAL_STOP,-6991.90,-7175.92
D2_atr_trail_3,LINDEINDIA,2018-11-12,2019-01-18,600.00,705.45,168,67,ATR_TRAIL_3.0x,17716.40,17497.08
D2_atr_trail_3,ASTRAL,2018-12-28,2019-01-21,510.55,486.69,188,24,ATR_TRAIL_3.0x,-4484.89,-4672.37
D2_atr_trail_3,COROMANDEL,2019-01-07,2019-01-21,469.55,445.34,200,14,INITIAL_STOP,-4842.41,-5025.39
D2_atr_trail_3,PRAJIND,2019-01-10,2019-01-22,144.50,132.94,656,12,INITIAL_STOP,-7583.36,-7765.36
D2_atr_trail_3,KRBL,2019-01-21,2019-01-25,377.00,346.84,254,4,INITIAL_STOP,-7660.64,-7844.50
D2_atr_trail_3,ICICIBANK,2018-10-30,2019-01-28,347.45,340.23,287,90,ATR_TRAIL_3.0x,-2072.91,-2270.27
D2_atr_trail_3,CUMMINSIND,2018-12-31,2019-01-28,864.00,808.15,111,28,INITIAL_STOP,-6199.19,-6384.79
D2_atr_trail_3,GHCL,2019-01-22,2019-01-28,264.70,247.81,358,6,INITIAL_STOP,-6046.17,-6229.65
D2_atr_trail_3,UBL,2019-01-22,2019-01-28,1478.90,1408.17,64,6,INITIAL_STOP,-4526.99,-4711.76
D2_atr_trail_3,KAJARIACER,2019-01-23,2019-01-28,549.60,524.01,171,5,INITIAL_STOP,-4376.00,-4559.59
D2_atr_trail_3,CHAMBLFERT,2019-01-11,2019-02-05,164.20,161.03,573,25,ATR_TRAIL_3.0x,-1814.52,-2000.88
D2_atr_trail_3,AARTIIND,2019-01-31,2019-02-06,402.10,399.45,226,6,ATR_TRAIL_3.0x,-598.24,-779.39
D2_atr_trail_3,MGL,2019-01-30,2019-02-11,928.95,910.39,97,12,ATR_TRAIL_3.0x,-1800.18,-1978.60
D2_atr_trail_3,IGL,2019-02-05,2019-02-11,148.00,138.87,614,6,INITIAL_STOP,-5604.44,-5780.58
D2_atr_trail_3,COLPAL,2018-11-28,2019-02-13,1239.80,1252.15,80,77,ATR_TRAIL_3.0x,988.38,789.02
D2_atr_trail_3,BALRAMCHIN,2019-02-15,2019-03-20,119.20,127.26,754,33,ATR_TRAIL_3.0x,6078.66,5892.83
D2_atr_trail_3,TECHM,2019-02-07,2019-03-26,767.00,729.64,118,47,ATR_TRAIL_3.0x,-4408.70,-4585.30
D2_atr_trail_3,GODREJPROP,2019-03-22,2019-04-09,816.00,892.88,110,18,ATR_TRAIL_3.0x,8456.99,8269.02
D2_atr_trail_3,PIDILITIND,2019-03-27,2019-04-23,615.00,605.65,146,27,ATR_TRAIL_3.0x,-1364.49,-1542.71
D2_atr_trail_3,COCHINSHIP,2019-04-10,2019-04-24,201.50,191.04,451,14,INITIAL_STOP,-4718.29,-4895.33
D2_atr_trail_3,PFIZER,2019-01-31,2019-04-30,3000.05,3090.18,30,89,ATR_TRAIL_3.0x,2703.86,2521.15
D2_atr_trail_3,MAHABANK,2019-04-25,2019-05-02,18.00,16.79,5013,7,ATR_TRAIL_3.0x,-6048.22,-6222.64
