variant,symbol,entry_date,exit_date,entry_price,exit_price,qty,days_held,exit_reason,gross_pnl,net_pnl
D3_chandelier_3,VINATIORGA,2018-11-01,2018-11-27,778.40,716.13,128,26,INITIAL_STOP,-7970.82,-8162.12
D3_chandelier_3,MAHABANK,2018-11-20,2018-12-06,14.00,12.88,7142,16,INITIAL_STOP,-7999.04,-8191.02
D3_chandelier_3,ADANIPOWER,2018-10-30,2018-12-10,8.40,9.86,11904,41,CHANDELIER_3.0x,17321.74,17104.43
D3_chandelier_3,ICICIBANK,2018-10-30,2018-12-11,347.45,342.71,287,42,CHANDELIER_3.0x,-1361.24,-1559.32
D3_chandelier_3,AARTIIND,2018-11-15,2018-12-11,359.95,341.69,277,26,CHANDELIER_3.0x,-5058.26,-5252.61
D3_chandelier_3,APOLLOHOSP,2018-11-16,2018-12-11,1250.65,1153.41,79,25,INITIAL_STOP,-7681.91,-7871.83
D3_chandelier_3,TTKPRESTIG,2018-11-29,2018-12-24,600.80,607.51,165,25,CHANDELIER_3.0x,1107.31,907.94
D3_chandelier_3,GESHIP,2018-12-17,2018-12-24,344.75,319.72,286,7,INITIAL_STOP,-7159.53,-7349.56
D3_chandelier_3,VINATIORGA,2018-12-17,2018-12-26,845.00,777.67,116,9,INITIAL_STOP,-7810.81,-7999.03
D3_chandelier_3,HEIDELBERG,2018-12-17,2018-12-26,153.45,143.29,642,9,INITIAL_STOP,-6522.04,-6712.55
D3_chandelier_3,TRITURBINE,2018-12-18,2018-12-27,123.40,118.54,799,9,INITIAL_STOP,-3884.83,-4078.14
D3_chandelier_3,BRIGADE,2018-12-27,2018-12-31,158.05,145.41,610,4,INITIAL_STOP,-7712.84,-7897.95
D3_chandelier_3,DIVISLAB,2018-10-30,2019-01-03,1444.25,1443.51,69,65,CHANDELIER_3.0x,-51.11,-250.36
D3_chandelier_3,VGUARD,2018-12-26,2019-01-03,233.45,220.04,419,8,INITIAL_STOP,-5619.50,-5809.51
D3_chandelier_3,SUPREMEIND,2018-12-31,2019-01-03,1196.70,1112.90,80,3,INITIAL_STOP,-6704.21,-6888.98
D3_chandelier_3,TIINDIA,2019-01-01,2019-01-10,359.05,332.76,265,9,INITIAL_STOP,-6965.61,-7148.94
D3_chandelier_3,EIHOTEL,2018-11-28,2019-01-11,188.30,181.54,526,44,CHANDELIER_3.0x,-3554.79,-3749.32
D3_chandelier_3,LINDEINDIA,2018-11-05,2019-01-18,472.90,663.97,211,74,CHANDELIER_3.0x,40315.57,40075.69
D3_chandelier_3,ASTRAL,2018-12-28,2019-01-21,510.55,487.66,188,24,CHANDELIER_3.0x,-4303.68,-4491.34
D3_chandelier_3,COROMANDEL,2019-01-07,2019-01-21,469.55,445.34,200,14,INITIAL_STOP,-4842.41,-5025.39
D3_chandelier_3,HFCL,2019-01-14,2019-01-21,24.35,22.40,3815,7,INITIAL_STOP,-7431.62,-7609.98
D3_chandelier_3,PRAJIND,2019-01-04,2019-01-25,123.40,127.84,761,21,CHANDELIER_3.0x,3377.24,3186.04
D3_chandelier_3,KRBL,2019-01-21,2019-01-25,377.00,346.84,257,4,INITIAL_STOP,-7751.12,-7937.15
D3_chandelier_3,CUMMINSIND,2018-12-31,2019-01-28,864.00,808.15,111,28,INITIAL_STOP,-6199.19,-6384.79
D3_chandelier_3,GHCL,2019-01-22,2019-01-28,264.70,247.81,359,6,INITIAL_STOP,-6063.06,-6247.06
D3_chandelier_3,UBL,2019-01-22,2019-01-28,1478.90,1408.17,64,6,INITIAL_STOP,-4526.99,-4711.76
D3_chandelier_3,COLPAL,2018-11-28,2019-01-29,1239.80,1257.36,79,62,CHANDELIER_3.0x,1387.02,1189.74
D3_chandelier_3,IDFCFIRSTB,2019-01-08,2019-01-31,46.35,43.84,2028,23,CHANDELIER_3.0x,-5095.53,-5278.43
D3_chandelier_3,AARTIIND,2019-01-31,2019-02-11,402.10,389.11,231,11,CHANDELIER_3.0x,-3001.65,-3184.42
D3_chandelier_3,IGL,2019-02-05,2019-02-11,148.00,138.87,625,6,INITIAL_STOP,-5704.84,-5884.14
D3_chandelier_3,MGL,2019-01-30,2019-02-12,928.95,891.84,100,13,INITIAL_STOP,-3710.57,-3892.65
