variant,symbol,entry_date,exit_date,entry_price,exit_price,qty,days_held,exit_reason,gross_pnl,net_pnl
baseline_50_2x_200_d10,ADANIPOWER,2018-10-30,2018-11-21,8.40,9.30,11904,22,DONCH_10_LOW,10713.60,10502.90
baseline_50_2x_200_d10,VINATIORGA,2018-11-01,2018-11-26,778.40,732.80,128,25,DONCH_10_LOW,-5836.80,-6030.23
baseline_50_2x_200_d10,MAHABANK,2018-11-20,2018-11-27,14.00,13.35,7142,7,DONCH_10_LOW,-4642.30,-4837.63
baseline_50_2x_200_d10,DIVISLAB,2018-10-30,2018-11-28,1444.25,1484.35,69,29,DONCH_10_LOW,2766.90,2564.83
baseline_50_2x_200_d10,AARTIIND,2018-11-15,2018-11-30,359.95,351.20,277,15,DONCH_10_LOW,-2423.75,-2620.74
baseline_50_2x_200_d10,ICICIBANK,2018-10-30,2018-12-05,347.45,350.70,287,36,DONCH_10_LOW,932.75,732.38
baseline_50_2x_200_d10,APOLLOHOSP,2018-11-16,2018-12-06,1250.65,1195.00,79,20,DONCH_10_LOW,-4396.35,-4589.56
baseline_50_2x_200_d10,BRITANNIA,2018-12-03,2018-12-06,3175.00,3010.14,31,3,INITIAL_STOP,-5110.73,-5302.47
baseline_50_2x_200_d10,HDFCBANK,2018-11-30,2018-12-11,532.50,514.87,188,11,INITIAL_STOP,-3314.50,-3511.41
baseline_50_2x_200_d10,HINDUNILVR,2018-12-04,2018-12-26,1835.00,1742.19,54,22,INITIAL_STOP,-5011.74,-5204.91
baseline_50_2x_200_d10,THERMAX,2018-12-05,2018-12-26,1096.00,1090.00,91,21,DONCH_10_LOW,-546.00,-744.93
baseline_50_2x_200_d10,VINATIORGA,2018-12-17,2018-12-26,845.00,777.67,116,9,INITIAL_STOP,-7810.81,-7999.03
baseline_50_2x_200_d10,HEIDELBERG,2018-12-17,2018-12-26,153.45,143.29,643,9,INITIAL_STOP,-6532.20,-6723.01
baseline_50_2x_200_d10,BRIGADE,2018-12-27,2018-12-31,158.05,145.41,611,4,INITIAL_STOP,-7725.48,-7910.90
baseline_50_2x_200_d10,EIHOTEL,2018-11-28,2019-01-02,188.30,188.80,530,35,DONCH_10_LOW,265.00,65.14
baseline_50_2x_200_d10,COLPAL,2018-11-28,2019-01-03,1239.80,1293.00,80,36,DONCH_10_LOW,4256.00,4053.38
baseline_50_2x_200_d10,SUPREMEIND,2018-12-31,2019-01-03,1196.70,1112.90,80,3,INITIAL_STOP,-6704.21,-6888.98
baseline_50_2x_200_d10,KOTAKBANK,2018-12-10,2019-01-10,1244.10,1225.95,79,31,DONCH_10_LOW,-1433.85,-1628.98
baseline_50_2x_200_d10,TIINDIA,2018-12-10,2019-01-10,334.00,326.85,296,31,DONCH_10_LOW,-2116.40,-2312.01
baseline_50_2x_200_d10,ASTRAL,2018-12-28,2019-01-14,510.55,507.05,189,17,DONCH_10_LOW,-661.50,-853.83
baseline_50_2x_200_d10,LINDEINDIA,2018-11-05,2019-01-18,472.90,675.00,211,74,DONCH_10_LOW,42643.10,42400.89
baseline_50_2x_200_d10,COROMANDEL,2019-01-07,2019-01-21,469.55,445.34,203,14,INITIAL_STOP,-4915.04,-5100.77
baseline_50_2x_200_d10,CUMMINSIND,2018-12-31,2019-01-22,864.00,832.45,111,22,DONCH_10_LOW,-3502.05,-3690.36
baseline_50_2x_200_d10,IDFCFIRSTB,2019-01-08,2019-01-22,46.35,45.35,2061,14,DONCH_10_LOW,-2061.00,-2249.99
baseline_50_2x_200_d10,PRAJIND,2019-01-04,2019-01-25,123.40,130.50,774,21,DONCH_10_LOW,5495.40,5298.88
baseline_50_2x_200_d10,KRBL,2019-01-21,2019-01-25,377.00,346.84,263,4,INITIAL_STOP,-7932.08,-8122.45
baseline_50_2x_200_d10,KARURVYSYA,2019-01-01,2019-01-28,73.75,75.15,1299,27,DONCH_10_LOW,1818.60,1625.18
baseline_50_2x_200_d10,CHAMBLFERT,2019-01-11,2019-01-28,164.20,159.30,579,17,DONCH_10_LOW,-2837.10,-3024.41
baseline_50_2x_200_d10,GHCL,2019-01-22,2019-01-28,264.70,247.81,373,6,INITIAL_STOP,-6299.51,-6490.67
baseline_50_2x_200_d10,KAJARIACER,2019-01-23,2019-01-28,549.60,524.01,178,5,INITIAL_STOP,-4555.14,-4746.24
baseline_50_2x_200_d10,STAR,2019-01-15,2019-01-29,464.20,433.23,204,14,INITIAL_STOP,-6318.71,-6501.78
baseline_50_2x_200_d10,IGL,2019-02-05,2019-02-11,148.00,138.87,648,6,INITIAL_STOP,-5914.78,-6100.67
baseline_50_2x_200_d10,AARTIIND,2019-01-11,2019-02-12,387.45,369.98,245,32,INITIAL_STOP,-4280.18,-4465.75
baseline_50_2x_200_d10,MGL,2019-01-30,2019-02-12,928.95,891.84,103,13,INITIAL_STOP,-3821.89,-4009.43
