variant,symbol,date,direction,entry_time,entry,stop,target,qty,exit_time,exit_price,exit_reason,gross_pnl,net_pnl
5min_macd_cross,INDUSINDBK,2024-12-03,SHORT,2024-12-03T13:45:00,1002.50,1004.20,999.10,299,2024-12-03T15:05:00,999.10,TARGET,1016.60,567.74
5min_macd_cross,INDUSINDBK,2025-04-23,LONG,2025-04-23T11:30:00,788.10,784.20,795.90,380,2025-04-23T12:55:00,795.90,TARGET,2964.00,2512.56
5min_macd_cross,INDUSINDBK,2025-06-03,SHORT,2025-06-03T09:55:00,811.65,814.70,805.55,369,2025-06-03T11:15:00,805.55,TARGET,2250.90,1803.34
5min_macd_cross,INDUSINDBK,2025-06-20,LONG,2025-06-20T13:30:00,843.65,841.70,847.55,355,2025-06-20T14:30:00,841.70,STOP,-692.25,-1140.97
5min_macd_cross,INDUSINDBK,2026-01-07,SHORT,2026-01-07T09:55:00,909.70,915.85,897.40,329,2026-01-07T11:50:00,899.75,TIME_STOP,3273.55,2827.07
5min_macd_cross,INDUSINDBK,2026-02-11,LONG,2026-02-11T11:35:00,920.75,918.15,925.95,325,2026-02-11T11:45:00,918.15,STOP,-845.00,-1293.23
5min_macd_cross,PNB,2024-05-28,LONG,2024-05-28T12:55:00,124.15,123.47,125.51,2416,2024-05-28T14:50:00,124.83,TIME_STOP,1642.88,1191.73
5min_macd_cross,PNB,2024-12-06,SHORT,2024-12-06T10:10:00,104.92,105.99,102.78,2336,2024-12-06T10:20:00,105.99,STOP,-2499.52,-2869.03
5min_macd_cross,PNB,2025-03-13,LONG,2025-03-13T09:50:00,84.76,84.26,85.76,3539,2025-03-13T11:45:00,84.82,TIME_STOP,212.34,-237.77
5min_macd_cross,PNB,2025-05-28,LONG,2025-05-28T12:45:00,99.22,98.88,99.90,3023,2025-05-28T14:40:00,99.34,TIME_STOP,362.76,-87.43
5min_macd_cross,PNB,2025-06-27,LONG,2025-06-27T14:00:00,107.10,106.86,107.58,2801,2025-06-27T14:20:00,106.86,STOP,-672.24,-1121.72
5min_macd_cross,PNB,2025-07-23,SHORT,2025-07-23T13:35:00,108.88,109.07,108.50,2755,2025-07-23T14:10:00,109.07,STOP,-523.45,-973.79
5min_macd_cross,PNB,2026-02-19,SHORT,2026-02-19T12:15:00,126.93,127.20,126.39,2363,2026-02-19T12:20:00,127.20,STOP,-638.01,-1088.39
5min_macd_cross,BANKBARODA,2024-06-06,SHORT,2024-06-06T14:05:00,251.92,252.98,249.80,1190,2024-06-06T14:45:00,252.98,STOP,-1261.40,-1712.02
5min_macd_cross,BANKBARODA,2024-07-16,LONG,2024-07-16T11:00:00,250.52,249.50,252.56,1197,2024-07-16T12:05:00,249.50,STOP,-1220.94,-1669.83
5min_macd_cross,BANKBARODA,2024-07-23,LONG,2024-07-23T12:55:00,243.89,241.43,248.81,1016,2024-07-23T13:10:00,241.43,STOP,-2499.36,-2869.17
5min_macd_cross,BANKBARODA,2024-10-23,SHORT,2024-10-23T12:40:00,225.92,227.03,223.70,1327,2024-10-23T13:30:00,227.03,STOP,-1472.97,-1923.77
5min_macd_cross,BANKBARODA,2024-12-10,LONG,2024-12-10T13:25:00,253.53,253.06,254.47,1183,2024-12-10T14:50:00,254.47,TARGET,1112.02,661.30
5min_macd_cross,BANKBARODA,2025-04-17,SHORT,2025-04-17T10:50:00,233.47,234.81,230.79,1284,2025-04-17T12:35:00,234.81,STOP,-1720.56,-2171.51
5min_macd_cross,BANKBARODA,2025-05-08,SHORT,2025-05-08T13:35:00,213.29,214.65,210.57,1406,2025-05-08T14:50:00,210.57,TARGET,3824.32,3377.36
5min_macd_cross,BANKBARODA,2025-07-22,LONG,2025-07-22T10:50:00,241.91,241.40,242.93,1240,2025-07-22T10:55:00,242.93,TARGET,1264.80,813.90
