variant,symbol,entry_date,exit_date,entry_price,exit_price,qty,days_held,exit_reason,gross_pnl,net_pnl
baseline_252_25pct_8pct,IOLCP,2019-01-10,2019-01-28,36.64,33.71,2729,18,INITIAL_STOP,-7999.24,-8287.22
baseline_252_25pct_8pct,CANTABIL,2019-02-08,2019-02-20,32.23,40.29,3076,12,TARGET,24784.87,24450.27
baseline_252_25pct_8pct,GMMPFAUDLR,2019-03-14,2019-03-22,432.93,403.56,234,8,INITIAL_STOP,-6872.24,-7165.85
baseline_252_25pct_8pct,PVRINOX,2019-03-19,2019-03-22,1671.25,1580.23,60,3,INITIAL_STOP,-5460.95,-5753.58
baseline_252_25pct_8pct,NEWGEN,2019-04-09,2019-04-23,166.46,153.31,602,14,INITIAL_STOP,-7917.38,-8206.13
baseline_252_25pct_8pct,PRIVISCL,2019-05-08,2019-05-13,374.15,351.14,265,5,INITIAL_STOP,-6096.76,-6385.06
baseline_252_25pct_8pct,GMMPFAUDLR,2019-05-29,2019-05-31,453.81,423.19,217,2,INITIAL_STOP,-6645.59,-6931.05
baseline_252_25pct_8pct,IOLCP,2019-05-29,2019-05-31,42.61,39.20,2320,2,INITIAL_STOP,-7908.42,-8193.12
baseline_252_25pct_8pct,POWERMECH,2019-05-28,2019-06-04,538.28,500.89,183,7,INITIAL_STOP,-6842.90,-7128.15
baseline_252_25pct_8pct,KPIL,2019-05-27,2019-06-07,525.75,489.08,188,11,INITIAL_STOP,-6894.34,-7180.52
baseline_252_25pct_8pct,PVRINOX,2019-05-02,2019-06-17,1737.05,1650.45,57,46,INITIAL_STOP,-4936.35,-5225.98
baseline_252_25pct_8pct,GMMPFAUDLR,2019-06-11,2019-06-17,478.25,439.99,200,6,INITIAL_STOP,-7652.00,-7927.47
baseline_252_25pct_8pct,ZOTA,2019-06-11,2019-06-17,209.84,201.24,457,6,INITIAL_STOP,-3931.15,-4212.95
baseline_252_25pct_8pct,TDPOWERSYS,2019-07-03,2019-07-08,31.41,28.93,2998,5,INITIAL_STOP,-7447.17,-7718.51
baseline_252_25pct_8pct,PRIVISCL,2019-05-20,2019-07-19,409.08,394.35,241,60,MAX_HOLD,-3549.93,-3840.37
baseline_252_25pct_8pct,PDSL,2019-07-17,2019-07-25,70.43,64.85,1326,8,INITIAL_STOP,-7401.82,-7670.89
baseline_252_25pct_8pct,ARMANFIN,2019-09-17,2019-09-18,504.70,464.32,182,1,INITIAL_STOP,-7348.43,-7612.98
baseline_252_25pct_8pct,VADILALIND,2019-09-13,2019-10-01,764.76,703.58,120,18,INITIAL_STOP,-7341.70,-7606.00
baseline_252_25pct_8pct,PSPPROJECT,2019-09-27,2019-10-07,556.22,518.68,164,10,INITIAL_STOP,-6156.60,-6421.03
baseline_252_25pct_8pct,CAMLINFINE,2019-10-24,2019-10-25,70.50,64.86,1277,1,INITIAL_STOP,-7202.28,-7461.56
baseline_252_25pct_8pct,ARMANFIN,2019-09-24,2019-11-25,545.00,501.40,167,62,INITIAL_STOP,-7281.20,-7543.32
baseline_252_25pct_8pct,CAMLINFINE,2019-12-12,2019-12-24,73.85,67.94,1199,12,INITIAL_STOP,-7083.69,-7338.70
baseline_252_25pct_8pct,ORISSAMINE,2019-11-05,2020-01-06,1242.00,1275.45,71,62,MAX_HOLD,2374.95,2106.84
baseline_252_25pct_8pct,CAMLINFINE,2020-01-01,2020-01-07,86.00,79.12,1021,6,INITIAL_STOP,-7024.48,-7277.36
baseline_252_25pct_8pct,ARMANFIN,2019-12-16,2020-01-09,619.90,774.88,142,24,TARGET,22006.45,21709.36
baseline_252_25pct_8pct,SIRCA,2019-11-15,2020-01-14,114.50,115.67,780,60,MAX_HOLD,912.60,643.30
baseline_252_25pct_8pct,GMMPFAUDLR,2019-11-15,2020-01-14,546.93,659.46,163,60,MAX_HOLD,18342.39,18047.43
baseline_252_25pct_8pct,GMMPFAUDLR,2020-01-20,2020-01-23,744.01,699.17,122,3,INITIAL_STOP,-5470.87,-5734.97
baseline_252_25pct_8pct,KITEX,2020-01-09,2020-01-30,41.57,38.24,2101,21,INITIAL_STOP,-6987.09,-7238.62
baseline_252_25pct_8pct,POLYMED,2020-01-30,2020-01-31,293.90,270.39,308,1,INITIAL_STOP,-7241.70,-7502.40
baseline_252_25pct_8pct,ORISSAMINE,2020-01-27,2020-02-05,1675.70,2094.62,54,9,TARGET,22621.95,22316.55
baseline_252_25pct_8pct,ORISSAMINE,2020-02-06,2020-02-07,2332.00,2145.44,39,1,INITIAL_STOP,-7275.84,-7537.77
baseline_252_25pct_8pct,GMMPFAUDLR,2020-01-27,2020-02-11,826.68,1033.35,109,15,TARGET,22527.03,22222.92
baseline_252_25pct_8pct,POLYMED,2020-02-06,2020-02-11,328.75,302.45,278,5,INITIAL_STOP,-7311.40,-7574.61
baseline_252_25pct_8pct,ARMANFIN,2020-01-10,2020-02-12,760.00,950.00,117,33,TARGET,22230.00,21929.90
baseline_252_25pct_8pct,SIRCA,2020-01-29,2020-02-14,134.04,167.55,677,16,TARGET,22686.27,22380.01
