variant,symbol,entry_date,exit_date,entry_price,exit_price,qty,days_held,exit_reason,gross_pnl,net_pnl
target_30pct,IOLCP,2019-01-10,2019-01-28,36.64,33.71,2729,18,INITIAL_STOP,-7999.24,-8287.22
target_30pct,CANTABIL,2019-02-08,2019-02-22,32.23,41.90,3076,14,TARGET,29741.84,29399.81
target_30pct,GMMPFAUDLR,2019-03-14,2019-03-22,432.93,403.56,235,8,INITIAL_STOP,-6901.61,-7196.47
target_30pct,PVRINOX,2019-03-19,2019-03-22,1671.25,1580.23,61,3,INITIAL_STOP,-5551.97,-5849.48
target_30pct,NEWGEN,2019-04-09,2019-04-23,166.46,153.31,605,14,INITIAL_STOP,-7956.83,-8247.02
target_30pct,PRIVISCL,2019-05-08,2019-05-13,374.15,351.14,267,5,INITIAL_STOP,-6142.77,-6433.25
target_30pct,GMMPFAUDLR,2019-05-29,2019-05-31,453.81,423.19,218,2,INITIAL_STOP,-6676.21,-6962.99
target_30pct,IOLCP,2019-05-29,2019-05-31,42.61,39.20,2331,2,INITIAL_STOP,-7945.91,-8231.97
target_30pct,POWERMECH,2019-05-28,2019-06-04,538.28,500.89,184,7,INITIAL_STOP,-6880.29,-7167.10
target_30pct,KPIL,2019-05-27,2019-06-07,525.75,489.08,188,11,INITIAL_STOP,-6894.34,-7180.52
target_30pct,PVRINOX,2019-05-02,2019-06-17,1737.05,1650.45,57,46,INITIAL_STOP,-4936.35,-5225.98
target_30pct,GMMPFAUDLR,2019-06-11,2019-06-17,478.25,439.99,201,6,INITIAL_STOP,-7690.26,-7967.11
target_30pct,ZOTA,2019-06-11,2019-06-17,209.84,201.24,459,6,INITIAL_STOP,-3948.36,-4231.39
target_30pct,TDPOWERSYS,2019-07-03,2019-07-08,31.41,28.93,3013,5,INITIAL_STOP,-7484.44,-7757.12
target_30pct,PRIVISCL,2019-05-20,2019-07-19,409.08,394.35,242,60,MAX_HOLD,-3564.66,-3856.31
target_30pct,PDSL,2019-07-17,2019-07-25,70.43,64.85,1332,8,INITIAL_STOP,-7435.31,-7705.60
target_30pct,ARMANFIN,2019-09-17,2019-09-18,504.70,464.32,183,1,INITIAL_STOP,-7388.81,-7654.81
target_30pct,VADILALIND,2019-09-13,2019-10-01,764.76,703.58,121,18,INITIAL_STOP,-7402.88,-7669.38
target_30pct,PSPPROJECT,2019-09-27,2019-10-07,556.22,518.68,165,10,INITIAL_STOP,-6194.14,-6460.18
target_30pct,CAMLINFINE,2019-10-24,2019-10-25,70.50,64.86,1284,1,INITIAL_STOP,-7241.76,-7502.46
target_30pct,ARMANFIN,2019-09-24,2019-11-25,545.00,501.40,168,62,INITIAL_STOP,-7324.80,-7588.49
target_30pct,CAMLINFINE,2019-12-12,2019-12-24,73.85,67.94,1205,12,INITIAL_STOP,-7119.14,-7375.43
target_30pct,ORISSAMINE,2019-11-05,2020-01-06,1242.00,1275.45,72,62,MAX_HOLD,2408.40,2136.52
target_30pct,CAMLINFINE,2020-01-01,2020-01-07,86.00,79.12,1026,6,INITIAL_STOP,-7058.88,-7313.00
target_30pct,SIRCA,2019-11-15,2020-01-14,114.50,115.67,784,60,MAX_HOLD,917.28,646.60
target_30pct,GMMPFAUDLR,2019-11-15,2020-01-14,546.93,659.46,164,60,MAX_HOLD,18454.92,18158.15
target_30pct,GMMPFAUDLR,2020-01-20,2020-01-23,744.01,699.17,120,3,INITIAL_STOP,-5381.18,-5640.95
target_30pct,KITEX,2020-01-09,2020-01-30,41.57,38.24,2111,21,INITIAL_STOP,-7020.34,-7273.07
target_30pct,POLYMED,2020-01-30,2020-01-31,293.90,270.39,303,1,INITIAL_STOP,-7124.14,-7380.60
target_30pct,ARMANFIN,2019-12-16,2020-02-05,619.90,805.87,143,51,TARGET,26593.71,26287.88
target_30pct,ORISSAMINE,2020-01-27,2020-02-05,1675.70,2178.41,53,9,TARGET,26643.63,26337.23
target_30pct,ORISSAMINE,2020-02-06,2020-02-07,2332.00,2145.44,39,1,INITIAL_STOP,-7275.84,-7537.77
target_30pct,GMMPFAUDLR,2020-01-27,2020-02-11,826.68,1074.68,107,15,TARGET,26536.43,26231.26
target_30pct,POLYMED,2020-02-06,2020-02-11,328.75,302.45,282,5,INITIAL_STOP,-7416.60,-7683.60
target_30pct,SOLARA,2020-02-05,2020-02-17,500.99,651.29,174,12,TARGET,26151.68,25850.93
target_30pct,SWANCORP,2020-02-06,2020-02-17,135.88,125.01,683,11,INITIAL_STOP,-7424.48,-7691.76
target_30pct,VADILALIND,2020-01-28,2020-02-18,856.48,798.24,104,21,INITIAL_STOP,-6057.06,-6315.20
target_30pct,RHIM,2020-02-12,2020-02-18,243.80,226.64,385,6,INITIAL_STOP,-6606.68,-6878.36
target_30pct,INFIBEAM,2019-12-27,2020-02-25,11.53,12.01,7656,60,MAX_HOLD,3674.88,3404.55
target_30pct,TEMBO,2019-12-30,2020-02-28,59.25,61.72,1490,60,MAX_HOLD,3680.30,3409.93
target_30pct,KITEX,2020-02-12,2020-02-28,48.06,44.22,1955,16,INITIAL_STOP,-7516.58,-7787.18
target_30pct,AEGISLOG,2020-02-18,2020-02-28,251.50,231.38,380,10,INITIAL_STOP,-7645.60,-7920.84
target_30pct,SOLARA,2020-02-24,2020-02-28,684.52,629.76,138,4,INITIAL_STOP,-7557.10,-7829.16
target_30pct,IOLCP,2020-02-26,2020-02-28,50.69,46.63,1870,2,INITIAL_STOP,-7583.22,-7856.22
target_30pct,TATACHEM,2020-01-15,2020-03-04,722.30,690.47,124,49,INITIAL_STOP,-3947.05,-4209.82
target_30pct,TDPOWERSYS,2020-02-11,2020-03-04,32.23,29.65,2858,22,INITIAL_STOP,-7369.07,-7634.35
target_30pct,PRIVISCL,2020-02-18,2020-03-04,482.88,444.25,198,15,INITIAL_STOP,-7648.82,-7924.18
target_30pct,SIRCA,2020-01-29,2020-03-13,134.04,123.38,664,44,INITIAL_STOP,-7078.18,-7334.57
target_30pct,GMMPFAUDLR,2020-04-23,2020-04-24,1270.27,1168.65,70,1,INITIAL_STOP,-7113.51,-7369.60
target_30pct,LTFOODS,2020-06-09,2020-06-12,35.95,33.07,2463,3,INITIAL_STOP,-7083.59,-7338.60
target_30pct,IOLCP,2020-05-08,2020-06-16,62.09,57.12,1426,39,INITIAL_STOP,-7083.23,-7338.22
target_30pct,RMDRIP,2020-05-11,2020-06-16,4.30,5.59,20598,36,TARGET,26571.42,26265.85
