variant,symbol,entry_date,exit_date,entry_price,exit_price,qty,days_held,exit_reason,gross_pnl,net_pnl
vol_2x,IOLCP,2019-01-10,2019-01-28,36.64,33.71,2729,18,INITIAL_STOP,-7999.24,-8287.22
vol_2x,CANTABIL,2019-02-08,2019-02-20,32.23,40.29,3076,12,TARGET,24784.87,24450.27
vol_2x,GMMPFAUDLR,2019-03-14,2019-03-22,432.93,403.56,234,8,INITIAL_STOP,-6872.24,-7165.85
vol_2x,PVRINOX,2019-03-19,2019-03-22,1671.25,1580.23,60,3,INITIAL_STOP,-5460.95,-5753.58
vol_2x,CANTABIL,2019-03-11,2019-04-23,55.28,50.86,1838,43,INITIAL_STOP,-8128.37,-8420.99
vol_2x,NEWGEN,2019-04-09,2019-04-23,166.46,153.31,602,14,INITIAL_STOP,-7917.38,-8206.13
vol_2x,PRIVISCL,2019-05-08,2019-05-13,374.15,351.14,263,5,INITIAL_STOP,-6050.74,-6336.87
vol_2x,GMMPFAUDLR,2019-05-29,2019-05-31,453.81,423.19,216,2,INITIAL_STOP,-6614.96,-6899.11
vol_2x,IOLCP,2019-05-29,2019-05-31,42.61,39.20,2300,2,INITIAL_STOP,-7840.24,-8122.49
vol_2x,POWERMECH,2019-05-28,2019-06-04,538.28,500.89,182,7,INITIAL_STOP,-6805.51,-7089.20
vol_2x,KPIL,2019-05-27,2019-06-07,525.75,489.08,186,11,INITIAL_STOP,-6821.00,-7104.14
vol_2x,PVRINOX,2019-05-02,2019-06-17,1737.05,1650.45,56,46,INITIAL_STOP,-4849.75,-5134.30
vol_2x,GMMPFAUDLR,2019-06-11,2019-06-17,478.25,439.99,198,6,INITIAL_STOP,-7575.48,-7848.20
vol_2x,ZOTA,2019-06-11,2019-06-17,209.84,201.24,453,6,INITIAL_STOP,-3896.75,-4176.07
vol_2x,TDPOWERSYS,2019-07-03,2019-07-08,31.41,28.93,2973,5,INITIAL_STOP,-7385.07,-7654.14
vol_2x,PRIVISCL,2019-05-20,2019-07-19,409.08,394.35,239,60,MAX_HOLD,-3520.47,-3808.50
vol_2x,PDSL,2019-07-17,2019-07-25,70.43,64.85,1315,8,INITIAL_STOP,-7340.42,-7607.25
vol_2x,ARMANFIN,2019-09-17,2019-09-18,504.70,464.32,181,1,INITIAL_STOP,-7308.06,-7571.15
vol_2x,VADILALIND,2019-09-13,2019-10-01,764.76,703.58,119,18,INITIAL_STOP,-7280.52,-7542.61
vol_2x,PSPPROJECT,2019-09-27,2019-10-07,556.22,518.68,163,10,INITIAL_STOP,-6119.06,-6381.88
vol_2x,CAMLINFINE,2019-10-24,2019-10-25,70.50,64.86,1267,1,INITIAL_STOP,-7145.88,-7403.13
vol_2x,ARMANFIN,2019-09-24,2019-11-25,545.00,501.40,166,62,INITIAL_STOP,-7237.60,-7498.15
vol_2x,CAMLINFINE,2019-12-12,2019-12-24,73.85,67.94,1189,12,INITIAL_STOP,-7024.61,-7277.50
vol_2x,ORISSAMINE,2019-11-05,2020-01-06,1242.00,1275.45,71,62,MAX_HOLD,2374.95,2106.84
vol_2x,CAMLINFINE,2020-01-01,2020-01-07,86.00,79.12,1012,6,INITIAL_STOP,-6962.56,-7213.21
vol_2x,ARMANFIN,2019-12-16,2020-01-09,619.90,774.88,141,24,TARGET,21851.48,21556.48
vol_2x,SIRCA,2019-11-15,2020-01-14,114.50,115.67,773,60,MAX_HOLD,904.41,637.53
vol_2x,GMMPFAUDLR,2019-11-15,2020-01-14,546.93,659.46,161,60,MAX_HOLD,18117.33,17825.99
vol_2x,GMMPFAUDLR,2020-01-20,2020-01-23,744.01,699.17,121,3,INITIAL_STOP,-5426.02,-5687.96
vol_2x,KITEX,2020-01-09,2020-01-30,41.57,38.24,2083,21,INITIAL_STOP,-6927.22,-7176.60
vol_2x,ORISSAMINE,2020-01-27,2020-02-05,1675.70,2094.62,53,9,TARGET,22203.02,21903.28
vol_2x,ORISSAMINE,2020-02-06,2020-02-07,2332.00,2145.44,39,1,INITIAL_STOP,-7275.84,-7537.77
vol_2x,GMMPFAUDLR,2020-01-27,2020-02-11,826.68,1033.35,108,15,TARGET,22320.36,22019.04
vol_2x,ARMANFIN,2020-01-10,2020-02-12,760.00,950.00,116,33,TARGET,22040.00,21742.46
vol_2x,SIRCA,2020-01-29,2020-02-14,134.04,167.55,671,16,TARGET,22485.21,22181.66
vol_2x,SOLARA,2020-02-05,2020-02-14,500.99,626.24,178,9,TARGET,22294.05,21993.09
vol_2x,ARMANFIN,2020-02-13,2020-02-17,989.35,910.20,96,4,INITIAL_STOP,-7598.21,-7871.74
vol_2x,VADILALIND,2020-01-28,2020-02-18,856.48,798.24,105,21,INITIAL_STOP,-6115.30,-6375.92
vol_2x,INFIBEAM,2019-12-27,2020-02-25,11.53,12.01,7555,60,MAX_HOLD,3626.40,3359.63
vol_2x,TEMBO,2019-12-30,2020-02-28,59.25,61.72,1470,60,MAX_HOLD,3630.90,3364.16
vol_2x,KITEX,2020-02-12,2020-02-28,48.06,44.22,1934,16,INITIAL_STOP,-7435.84,-7703.53
vol_2x,AEGISLOG,2020-02-18,2020-02-28,251.50,231.38,392,10,INITIAL_STOP,-7887.04,-8170.97
vol_2x,IOLCP,2020-02-26,2020-02-28,50.69,46.63,1942,2,INITIAL_STOP,-7875.20,-8158.71
vol_2x,ARMANFIN,2020-02-27,2020-02-28,1121.10,1031.41,87,1,INITIAL_STOP,-7802.86,-8083.76
vol_2x,PVRINOX,2019-12-31,2020-03-02,1866.45,1786.66,46,62,INITIAL_STOP,-3670.39,-3922.46
vol_2x,TATACHEM,2020-01-15,2020-03-04,722.30,690.47,125,49,INITIAL_STOP,-3978.88,-4243.77
vol_2x,TDPOWERSYS,2020-02-11,2020-03-04,32.23,29.65,2815,22,INITIAL_STOP,-7258.20,-7519.49
vol_2x,PRIVISCL,2020-02-18,2020-03-04,482.88,444.25,204,15,INITIAL_STOP,-7880.60,-8164.30
vol_2x,SOLARA,2020-02-17,2020-03-09,619.05,569.53,160,21,INITIAL_STOP,-7923.84,-8209.10
vol_2x,GMMPFAUDLR,2020-04-23,2020-04-24,1270.27,1168.65,72,1,INITIAL_STOP,-7316.76,-7580.16
vol_2x,IOLCP,2020-05-08,2020-06-11,62.09,77.61,1475,34,TARGET,22895.69,22586.60
vol_2x,RMDRIP,2020-05-11,2020-06-11,4.30,5.38,21307,31,TARGET,22905.03,22595.81
vol_2x,BORORENEW,2020-06-05,2020-06-11,64.35,80.44,1423,6,TARGET,22892.51,22583.46
vol_2x,LTFOODS,2020-06-09,2020-06-12,35.95,33.07,2548,3,INITIAL_STOP,-7328.05,-7591.86
vol_2x,IOLCP,2020-06-12,2020-06-15,76.07,69.98,1293,3,INITIAL_STOP,-7868.68,-8151.95
vol_2x,GMMPFAUDLR,2020-06-10,2020-06-18,1511.74,1390.80,60,8,INITIAL_STOP,-7256.35,-7517.58
