date,daily_pnl,equity
2024-03-18,-616.54,299383.46
2024-03-19,-541.11,298842.35
2024-03-20,-1307.53,297534.82
2024-03-21,-873.29,296661.53
2024-03-22,-291.94,296369.59
2024-03-26,-1695.75,294673.85
2024-03-27,-587.70,294086.14
2024-03-28,-674.60,293411.54
2024-04-01,-274.27,293137.27
2024-04-02,-593.35,292543.92
2024-04-03,-834.19,291709.73
2024-04-04,-583.93,291125.80
2024-04-05,-293.91,290831.89
2024-04-09,328.73,291160.62
2024-04-10,-315.03,290845.59
2024-04-12,-536.43,290309.16
2024-04-15,-1757.23,288551.93
2024-04-18,-1453.97,287097.96
2024-04-19,-404.89,286693.07
2024-04-22,-294.18,286398.90
2024-04-23,-685.78,285713.12
2024-04-25,-284.22,285428.90
2024-04-26,-119.66,285309.24
2024-04-29,-288.89,285020.36
2024-04-30,-985.48,284034.88
2024-05-03,-185.61,283849.26
2024-05-06,-1920.04,281929.23
2024-05-07,-45.13,281884.09
2024-05-08,-1184.92,280699.17
2024-05-09,936.39,281635.56
2024-05-13,131.73,281767.29
2024-05-14,733.16,282500.45
2024-05-15,-1229.13,281271.32
2024-05-16,-1631.00,279640.32
2024-05-17,-744.84,278895.47
2024-05-21,-357.88,278537.59
2024-05-22,65.68,278603.27
2024-05-23,-239.14,278364.13
2024-05-24,-2489.58,275874.55
2024-05-27,-1979.92,273894.63
2024-05-28,-1345.22,272549.41
2024-05-29,-963.66,271585.75
2024-05-30,-1663.14,269922.62
2024-05-31,-1209.65,268712.97
2024-06-04,-2843.48,265869.49
2024-06-05,141.64,266011.13
2024-06-06,-833.46,265177.67
2024-06-07,-214.03,264963.64
2024-06-10,-23.78,264939.86
2024-06-12,-74.12,264865.74
2024-06-13,-987.20,263878.54
2024-06-14,-439.09,263439.46
2024-06-18,-241.91,263197.55
2024-06-20,-274.45,262923.10
2024-06-21,-1657.87,261265.23
2024-06-24,-96.45,261168.78
2024-06-25,-1389.51,259779.27
2024-06-26,-1299.30,258479.97
2024-06-28,-565.87,257914.11
2024-07-01,-1026.18,256887.93
2024-07-02,-2591.55,254296.37
2024-07-03,-1035.67,253260.70
2024-07-04,-671.47,252589.23
2024-07-08,-398.12,252191.11
2024-07-09,-564.63,251626.48
2024-07-10,-669.08,250957.40
2024-07-11,-597.44,250359.96
2024-07-12,-1854.15,248505.81
2024-07-15,-646.34,247859.47
2024-07-16,-824.51,247034.96
2024-07-18,-183.65,246851.31
2024-07-19,143.95,246995.25
2024-07-22,-873.62,246121.64
2024-07-23,-2625.54,243496.10
2024-07-24,-227.16,243268.94
2024-07-25,-1398.56,241870.38
2024-07-26,-138.92,241731.46
2024-07-30,-1139.87,240591.59
2024-07-31,-1255.75,239335.84
2024-08-01,-2502.75,236833.08
2024-08-02,-254.37,236578.71
2024-08-05,-861.21,235717.50
2024-08-07,-288.04,235429.46
2024-08-08,-624.71,234804.75
2024-08-09,-1656.25,233148.50
2024-08-12,-1470.08,231678.42
2024-08-13,-415.42,231262.99
2024-08-16,-3651.97,227611.03
2024-08-19,-838.54,226772.48
2024-08-20,-1166.53,225605.95
2024-08-21,-507.77,225098.18
2024-08-23,-385.55,224712.63
2024-08-26,1.20,224713.83
2024-08-27,-2455.00,222258.83
2024-08-28,-336.89,221921.94
2024-08-29,-1322.20,220599.73
2024-09-02,-716.22,219883.51
2024-09-03,-692.38,219191.13
2024-09-04,-351.55,218839.58
2024-09-05,-1474.25,217365.33
2024-09-06,-477.19,216888.14
2024-09-09,-1634.02,215254.12
2024-09-10,-1736.81,213517.32
2024-09-11,-1332.20,212185.11
2024-09-12,-1402.44,210782.67
2024-09-13,223.65,211006.32
2024-09-16,-158.19,210848.13
2024-09-17,-747.20,210100.93
2024-09-18,-1459.63,208641.29
