variant,symbol,date,direction,or_high,or_low,entry_time,entry,stop,target,qty,rsi_at_entry,vwap_at_entry,gap_pct,exit_time,exit_price,exit_reason,trailed,gross_pnl,cost,net_pnl
target_1.5R,BAJAJFINSV,2024-03-18,LONG,1571.45,1561.00,2024-03-18T10:25:00,1574.25,1561.00,1594.12,31,30.1,1567.01,0.0,2024-03-18T15:20:00,1578.00,EOD,0,116.25,244.30,-128.05
target_1.5R,ASIANPAINT,2024-03-18,SHORT,2866.00,2825.00,2024-03-18T10:35:00,2821.60,2866.00,2755.00,17,48.76,2834.75,0.0,2024-03-18T15:20:00,2849.10,EOD,0,-467.50,241.00,-708.50
target_1.5R,ADANIPORTS,2024-03-18,LONG,1254.45,1227.25,2024-03-18T12:20:00,1255.75,1227.25,1298.50,39,67.39,1246.21,0.0,2024-03-18T15:20:00,1267.70,EOD,0,466.05,246.04,220.01
target_1.5R,BAJAJFINSV,2024-03-20,SHORT,1589.75,1575.00,2024-03-20T10:05:00,1574.65,1589.75,1552.00,31,75.27,1578.71,0.0006,2024-03-20T11:45:00,1589.75,STOP,0,-468.10,245.24,-713.34
target_1.5R,ADANIPORTS,2024-03-20,SHORT,1252.95,1238.00,2024-03-20T10:20:00,1236.60,1252.95,1212.07,40,29.53,1242.42,0.0055,2024-03-20T15:20:00,1245.25,EOD,0,-346.00,248.19,-594.19
target_1.5R,AMBUJACEM,2024-03-21,LONG,586.65,580.00,2024-03-21T10:05:00,587.65,580.00,599.12,85,24.61,584.34,0.0063,2024-03-21T15:20:00,586.30,EOD,0,-114.75,249.46,-364.21
target_1.5R,BAJAJ-AUTO,2024-03-21,LONG,8504.50,8373.00,2024-03-21T10:20:00,8506.00,8373.00,8705.50,5,20.84,8444.38,-0.0031,2024-03-21T15:20:00,8541.50,EOD,0,177.50,213.09,-35.59
target_1.5R,ADANIPORTS,2024-03-21,SHORT,1267.95,1255.25,2024-03-21T12:05:00,1255.20,1267.95,1236.08,39,26.52,1261.88,0.0117,2024-03-21T15:20:00,1261.05,EOD,0,-228.15,245.33,-473.48
target_1.5R,ADANIPORTS,2024-03-22,LONG,1268.50,1255.05,2024-03-22T11:30:00,1269.70,1277.03,1291.68,39,42.57,1263.22,0.0,2024-03-22T15:20:00,1279.55,EOD,1,384.15,248.55,135.60
target_1.5R,AMBUJACEM,2024-03-22,LONG,589.70,581.55,2024-03-22T11:35:00,589.90,581.55,602.42,84,51.98,586.99,0.0014,2024-03-22T15:20:00,588.90,EOD,0,-84.00,247.55,-331.55
