symbol,train_total_trades,train_winners,train_losers,train_win_rate,train_total_pnl_pts,train_avg_win_pts,train_avg_loss_pts,train_profit_factor,train_max_drawdown_pts,train_avg_trade_pts,train_sharpe,train_long_trades,train_short_trades,train_long_win_rate,train_short_win_rate,train_target_exits,train_sl_exits,test_total_trades,test_winners,test_losers,test_win_rate,test_total_pnl_pts,test_avg_win_pts,test_avg_loss_pts,test_profit_factor,test_max_drawdown_pts,test_avg_trade_pts,test_sharpe,test_long_trades,test_short_trades,test_long_win_rate,test_short_win_rate,test_target_exits,test_sl_exits,passes_gate
TCS,111,52,59,46.85,305.18,35.23,-25.88,1.2,376.77,2.75,0.84,50,61,36.0,55.74,15,24,93,56,37,60.22,317.25,16.76,-16.8,1.51,106.1,3.41,1.61,45,48,57.78,62.5,11,11,1
HDFCBANK,117,57,60,48.72,51.2,5.14,-4.03,1.21,66.6,0.44,0.89,67,50,49.25,48.0,18,24,106,52,54,49.06,29.54,4.68,-3.96,1.14,46.8,0.28,0.61,55,51,40.0,58.82,11,18,1
INFY,116,50,66,43.1,-126.44,13.51,-12.15,0.84,149.54,-1.09,-0.82,61,55,47.54,38.18,10,29,94,55,39,58.51,108.15,8.4,-9.07,1.31,48.35,1.15,1.06,46,48,63.04,54.17,7,13,0
ICICIBANK,117,53,64,45.3,-7.19,9.51,-7.99,0.99,175.84,-0.06,-0.07,62,55,41.94,49.09,18,29,95,49,46,51.58,19.2,6.92,-6.95,1.06,112.0,0.2,0.25,56,39,55.36,46.15,7,19,0
HINDUNILVR,128,58,70,45.31,270.1,21.67,-14.1,1.27,108.58,2.11,1.16,62,66,45.16,45.45,16,22,105,54,51,51.43,178.85,14.95,-12.32,1.28,162.4,1.7,1.05,51,54,50.98,51.85,11,20,1
ITC,118,53,65,44.92,-21.91,2.86,-2.67,0.87,73.18,-0.19,-0.63,63,55,38.1,52.73,17,28,112,67,45,59.82,59.47,2.21,-1.97,1.67,10.35,0.53,1.95,41,71,60.98,59.15,12,24,0
SBIN,116,55,61,47.41,83.52,7.3,-5.22,1.26,53.83,0.72,1.1,65,51,41.54,54.9,22,29,116,44,72,37.93,-85.04,5.26,-4.39,0.73,111.38,-0.73,-1.51,84,32,38.1,37.5,13,38,0
BHARTIARTL,115,53,62,46.09,48.56,14.03,-11.21,1.07,268.62,0.42,0.31,61,54,49.18,42.59,21,28,77,33,44,42.86,32.82,12.8,-8.85,1.08,119.5,0.43,0.3,52,25,36.54,56.0,4,13,0
KOTAKBANK,119,62,57,52.1,144.02,12.36,-10.92,1.23,121.55,1.21,1.01,55,64,56.36,48.44,16,25,95,45,50,47.37,71.59,10.27,-7.82,1.18,65.5,0.75,0.64,29,66,48.28,46.97,10,17,1
LT,113,69,44,61.06,1080.22,28.67,-20.41,2.2,164.15,9.56,2.62,62,51,66.13,54.9,21,15,98,51,47,52.04,-85.75,19.77,-23.27,0.92,370.4,-0.88,-0.33,58,40,48.28,57.5,7,16,0
ASIANPAINT,121,64,57,52.89,45.58,17.17,-18.48,1.04,357.03,0.38,0.21,55,66,49.09,56.06,13,25,103,45,58,43.69,-51.35,17.39,-14.38,0.94,133.8,-0.5,-0.29,57,46,42.11,45.65,12,22,0
MARUTI,111,52,59,46.85,449.86,95.23,-76.3,1.1,668.62,4.05,0.43,49,62,53.06,41.94,15,19,112,58,54,51.79,-273.05,77.24,-88.02,0.94,912.0,-2.44,-0.27,66,46,56.06,45.65,11,27,0
TITAN,121,60,61,49.59,95.86,28.21,-26.18,1.06,181.62,0.79,0.28,57,64,52.63,46.88,16,30,95,46,49,48.42,-251.7,19.97,-23.89,0.78,347.3,-2.65,-1.04,61,34,47.54,50.0,8,24,0
HCLTECH,112,57,55,50.89,122.34,14.87,-13.19,1.17,117.15,1.09,0.73,62,50,51.61,50.0,15,27,96,51,45,53.12,67.3,9.95,-9.79,1.15,84.75,0.7,0.6,56,40,53.57,52.5,9,22,1
SUNPHARMA,114,50,64,43.86,-169.92,10.81,-11.1,0.76,283.19,-1.49,-1.3,63,51,49.21,37.25,11,29,92,39,53,42.39,3.4,12.19,-8.91,1.01,173.8,0.04,0.03,58,34,48.28,32.35,10,22,0
ULTRACEMCO,104,55,49,52.88,781.72,84.43,-78.82,1.2,580.7,7.52,0.81,49,55,51.02,54.55,16,23,109,47,62,43.12,-197.95,75.09,-60.11,0.95,1022.45,-1.82,-0.25,55,54,47.27,38.89,9,21,0
NESTLEIND,129,67,62,51.94,35.4,8.77,-8.9,1.06,152.9,0.27,0.32,64,65,51.56,52.31,16,30,103,42,61,40.78,-134.2,8.17,-7.82,0.72,157.7,-1.3,-1.46,57,46,49.12,30.43,7,28,0
