variant,symbol,entry_date,exit_date,entry_price,exit_price,qty,days_held,exit_reason,gross_pnl,net_pnl
vol_2x,DIVISLAB,2019-02-05,2019-02-15,1615.80,1538.54,61,10,INITIAL_STOP,-4712.71,-4905.13
vol_2x,WIPRO,2019-01-21,2019-03-22,125.30,127.75,798,60,MAX_HOLD,1955.10,1753.17
vol_2x,TECHM,2019-02-07,2019-03-27,767.00,725.83,130,48,INITIAL_STOP,-5352.44,-5546.51
vol_2x,AXISBANK,2019-01-31,2019-04-01,697.25,765.60,143,60,MAX_HOLD,9774.05,9564.86
vol_2x,TITAN,2019-02-05,2019-04-08,1026.95,1104.40,97,62,MAX_HOLD,7512.65,7305.91
vol_2x,GODREJPROP,2019-04-08,2019-04-09,983.80,905.10,101,1,INITIAL_STOP,-7949.10,-8139.88
vol_2x,MUTHOOTFIN,2019-03-06,2019-05-06,570.00,593.30,174,61,MAX_HOLD,4054.20,3851.79
vol_2x,PIDILITIND,2019-03-27,2019-05-08,615.00,584.67,162,42,INITIAL_STOP,-4912.69,-5107.03
vol_2x,SIEMENS,2019-04-04,2019-05-08,888.20,842.82,112,34,INITIAL_STOP,-5082.06,-5275.94
vol_2x,HCLTECH,2019-05-02,2019-05-09,585.00,556.05,170,7,INITIAL_STOP,-4922.10,-5116.08
vol_2x,SHREECEM,2019-04-26,2019-05-10,20000.00,19077.42,5,14,INITIAL_STOP,-4612.88,-4808.26
vol_2x,ICICIBANK,2019-03-13,2019-05-13,387.90,376.30,256,61,MAX_HOLD,-2969.60,-3165.24
vol_2x,HDFCBANK,2019-03-14,2019-05-13,561.20,571.80,177,60,MAX_HOLD,1876.20,1675.66
vol_2x,ULTRACEMCO,2019-04-26,2019-05-13,4630.00,4398.38,21,17,INITIAL_STOP,-4863.94,-5053.54
vol_2x,TRENT,2019-06-04,2019-06-17,412.50,385.48,236,13,INITIAL_STOP,-6377.67,-6565.99
vol_2x,APOLLOHOSP,2019-06-10,2019-06-26,1400.00,1304.20,69,16,INITIAL_STOP,-6610.15,-6796.74
vol_2x,BAJAJFINSV,2019-05-20,2019-07-08,805.60,769.09,121,49,INITIAL_STOP,-4417.64,-4608.18
vol_2x,POWERGRID,2019-06-27,2019-07-08,114.10,109.20,844,11,INITIAL_STOP,-4131.70,-4320.17
vol_2x,BAJFINANCE,2019-05-20,2019-07-19,339.00,332.00,288,60,MAX_HOLD,-2016.00,-2209.25
vol_2x,LT,2019-05-24,2019-07-19,1493.00,1416.49,65,56,INITIAL_STOP,-4973.12,-5162.23
vol_2x,SBIN,2019-05-21,2019-07-22,345.90,350.85,282,62,MAX_HOLD,1395.90,1199.42
vol_2x,SHREECEM,2019-05-21,2019-07-22,20344.75,20939.95,4,62,MAX_HOLD,2380.80,2215.66
vol_2x,FEDERALBNK,2019-05-21,2019-07-22,104.00,97.80,939,62,INITIAL_STOP,-5818.82,-6008.32
vol_2x,ICICIBANK,2019-05-27,2019-07-22,432.25,407.27,226,56,INITIAL_STOP,-5646.22,-5835.95
vol_2x,TRENT,2019-06-26,2019-07-29,429.85,399.31,225,33,INITIAL_STOP,-6871.66,-7058.23
vol_2x,POWERGRID,2019-07-26,2019-08-05,116.35,111.15,806,10,INITIAL_STOP,-4189.40,-4372.77
vol_2x,SBILIFE,2019-06-27,2019-08-26,706.00,827.10,136,60,MAX_HOLD,16469.60,16261.10
vol_2x,MCX,2019-08-28,2019-09-04,910.90,848.14,103,7,INITIAL_STOP,-6464.09,-6645.27
vol_2x,TATACONSUM,2019-08-29,2019-09-04,277.55,261.41,340,6,INITIAL_STOP,-5487.44,-5670.68
vol_2x,COFORGE,2019-08-29,2019-09-11,305.00,286.09,309,13,INITIAL_STOP,-5843.24,-6025.89
vol_2x,HINDUNILVR,2019-08-23,2019-09-12,1874.75,1801.99,49,20,INITIAL_STOP,-3565.09,-3745.25
vol_2x,INFY,2019-07-16,2019-09-16,777.00,827.70,122,62,MAX_HOLD,6185.40,5989.63
vol_2x,APOLLOHOSP,2019-08-19,2019-09-30,1470.60,1360.61,63,42,INITIAL_STOP,-6929.41,-7107.78
vol_2x,ASIANPAINT,2019-08-05,2019-10-04,1533.20,1724.40,60,60,MAX_HOLD,11472.00,11276.54
