,equity
2018-01-01,1000000.0
2018-01-02,1000000.0
2018-01-03,1000000.0
2018-01-04,1000000.0
2018-01-05,1000000.0
2018-01-08,1000000.0
2018-01-09,1000000.0
2018-01-10,1000000.0
2018-01-11,1000000.0
2018-01-12,1000000.0
2018-01-15,1000000.0
2018-01-16,1000000.0
2018-01-17,1000000.0
2018-01-18,1000000.0
2018-01-19,1000000.0
2018-01-22,1000000.0
2018-01-23,1000000.0
2018-01-24,1000000.0
2018-01-25,1000000.0
2018-01-29,1000000.0
2018-01-30,1000000.0
2018-01-31,1000000.0
2018-02-01,1000000.0
2018-02-02,1000000.0
2018-02-05,1000000.0
2018-02-06,1000000.0
2018-02-07,1000000.0
2018-02-08,1000000.0
2018-02-09,1000000.0
2018-02-12,1000000.0
2018-02-14,1000000.0
2018-02-15,1000000.0
2018-02-16,1000000.0
2018-02-19,1000000.0
2018-02-20,1000000.0
2018-02-21,1000000.0
2018-02-22,1000000.0
2018-02-23,1000000.0
2018-02-26,1000000.0
2018-02-27,1000000.0
2018-02-28,1000000.0
2018-03-01,1000000.0
2018-03-05,1000000.0
2018-03-06,1000000.0
2018-03-07,1000000.0
2018-03-08,1000000.0
2018-03-09,1000000.0
2018-03-12,1000000.0
2018-03-13,1000000.0
2018-03-14,1000000.0
2018-03-15,1000000.0
2018-03-16,1000000.0
2018-03-19,1000000.0
2018-03-20,1000000.0
2018-03-21,1000000.0
2018-03-22,1000000.0
2018-03-23,1000000.0
2018-03-26,1000000.0
2018-03-27,1000000.0
2018-03-28,1000000.0
2018-04-02,1000000.0
2018-04-03,1000000.0
2018-04-04,1000000.0
2018-04-05,1000000.0
2018-04-06,1000000.0
2018-04-09,999972.8
2018-04-10,996083.2
2018-04-11,995280.8
2018-04-12,995294.4
2018-04-13,995362.4
2018-04-16,995267.2
2018-04-17,996273.6
2018-04-18,992623.4031733328
2018-04-19,992623.4031733328
2018-04-20,992623.4031733328
2018-04-23,992186.2131733327
2018-04-24,983688.2131733329
2018-04-25,999131.7131733329
2018-04-26,1006801.1131733328
2018-04-27,1004851.6631733328
2018-04-30,1008231.6531733328
2018-05-02,1000017.3631733328
2018-05-03,989517.5631733328
2018-05-04,982637.0231525388
2018-05-07,983328.1231525389
2018-05-08,989828.8631525389
2018-05-09,988495.2653875423
2018-05-10,983443.7753875423
2018-05-11,983664.2253875423
2018-05-14,983164.2253875423
2018-05-15,983812.1070229961
2018-05-16,987197.3070229961
2018-05-17,982993.3570229961
2018-05-18,990254.0670229961
2018-05-21,985825.9670229962
2018-05-22,991941.5070229961
2018-05-23,986760.457022996
2018-05-24,996938.6570229961
2018-05-25,1007363.2070229962
2018-05-28,1000047.0170229961
2018-05-29,994207.2570229961
2018-05-30,999605.1570229961
2018-05-31,1008534.4070229961
2018-06-01,997129.6070229961
2018-06-04,985479.2570229961
2018-06-05,974183.9570229962
2018-06-06,985021.9725239866
2018-06-07,991794.8225239866
2018-06-08,995025.8725239865
2018-06-11,1000920.1725239865
2018-06-12,1007156.7225239866
2018-06-13,1009699.3225239866
2018-06-14,1007922.5225239865
2018-06-15,1013637.6225239866
2018-06-18,1004994.0725239866
2018-06-19,999800.1972919866
2018-06-20,1004734.4472919866
2018-06-21,998981.2472919865
2018-06-22,1006233.3546919865
2018-06-25,1005650.7646919865
2018-06-26,1006734.9146919865
2018-06-27,1001870.6646919865
2018-06-28,993773.9646919864
2018-06-29,994605.2646919865
2018-07-02,993812.5716419865
2018-07-03,996208.8582678941
2018-07-04,1001766.1582678942
2018-07-05,1004930.2582678942
2018-07-06,1004152.7082678942
2018-07-09,1010789.4082678942
2018-07-10,1014280.0582678942
2018-07-11,1012311.8582678941
2018-07-12,1017687.7082678941
2018-07-13,1023430.6856678942
2018-07-16,1008426.1030938665
2018-07-17,1010915.5190938665
2018-07-18,1011546.7690938665
2018-07-19,1009659.6190938664
2018-07-20,1020050.2860938663
2018-07-23,1031900.3860938664
2018-07-24,1034950.4360938664
2018-07-25,1047698.1730063664
2018-07-26,1052446.6230063662
2018-07-27,1052399.6230063664
2018-07-30,1052067.3730063664
2018-07-31,1059191.8230063664
2018-08-01,1063301.7730063663
2018-08-02,1051164.8230063664
2018-08-03,1061405.4230063662
2018-08-06,1067825.3730063664
2018-08-07,1066820.4230063662
2018-08-08,1081194.3230063664
2018-08-09,1089420.6230063662
2018-08-10,1081229.7230063663
2018-08-13,1070682.8730063662
2018-08-14,1089245.6730063662
2018-08-16,1083720.0730063664
2018-08-17,1093446.7730063663
2018-08-20,1102802.5730063664
2018-08-21,1108853.9230063662
2018-08-23,1122703.8230063664
2018-08-24,1116396.1230063664
2018-08-27,1127967.7730063663
2018-08-28,1133019.5230063663
2018-08-29,1129549.9230063662
2018-08-30,1132023.0730063664
2018-08-31,1126654.7730063663
2018-09-03,1099862.1730063662
2018-09-04,1082239.8730063662
2018-09-05,1075466.8452143662
2018-09-06,1066126.2702543663
2018-09-07,1077493.7702543663
2018-09-10,1048618.9475043663
2018-09-11,1031839.4139722168
2018-09-12,1043326.5139722168
2018-09-14,1050030.2139722167
2018-09-17,1046509.2639722168
2018-09-18,1045465.7139722167
2018-09-19,1047843.8639722167
2018-09-21,1033620.6129602012
2018-09-24,1022155.0697102012
2018-09-25,1026497.8197102012
2018-09-26,1023265.6197102013
2018-09-27,1022074.8197102012
2018-09-28,1016707.7771102012
2018-10-01,1020174.5798602012
2018-10-03,1019390.8298602012
2018-10-04,1016233.7913529826
2018-10-05,1016233.7913529826
2018-10-08,1016233.7913529826
2018-10-09,1016233.7913529826
2018-10-10,1016233.7913529826
2018-10-11,1016233.7913529826
2018-10-12,1016233.7913529826
2018-10-15,1016233.7913529826
2018-10-16,1016233.7913529826
2018-10-17,1016233.7913529826
2018-10-19,1016233.7913529826
2018-10-22,1016233.7913529826
2018-10-23,1016233.7913529826
2018-10-24,1016233.7913529826
2018-10-25,1016233.7913529826
2018-10-26,1016233.7913529826
2018-10-29,1016233.7913529826
2018-10-30,1018627.7913529826
2018-10-31,1021255.8913529826
2018-11-01,1022349.7913529826
2018-11-02,1022127.7913529826
2018-11-05,1018430.1913529827
2018-11-06,1020232.0913529827
2018-11-07,1016233.7913529826
2018-11-09,1026307.5913529827
2018-11-12,1022389.5913529827
2018-11-13,1026205.6913529827
2018-11-14,1025997.5913529827
2018-11-15,1028876.8913529826
2018-11-16,1028725.3413529827
2018-11-19,1026785.5913529826
2018-11-20,1020902.8413529826
2018-11-21,1022532.5913529826
2018-11-22,1020582.0913529827
2018-11-26,1023118.0913529827
2018-11-27,1022445.7413529826
2018-11-28,1020560.6913529827
2018-11-29,1021012.9913529826
2018-11-30,1019285.3413529826
2018-12-03,1020248.9413529827
2018-12-04,1019523.3913529826
2018-12-05,1015714.7413529826
2018-12-06,1007000.961199697
2018-12-07,1012225.661199697
2018-12-10,1002846.811199697
2018-12-11,1001677.9777250816
2018-12-12,1008819.7277250816
2018-12-13,1013182.3777250816
2018-12-14,1010928.5277250815
2018-12-17,1008655.4277250816
2018-12-18,1012255.4777250816
2018-12-19,1014175.5277250815
2018-12-20,1018130.4777250815
2018-12-21,1006918.0777250816
2018-12-24,1002052.8277250816
2018-12-26,1005583.0777250816
2018-12-27,1002414.3277250816
2018-12-28,1006281.9277250816
2018-12-31,1009019.7755250814
2019-01-01,1008410.8255250815
2019-01-02,1001241.2119902199
2019-01-03,999026.9619902199
2019-01-04,1005885.2619902198
2019-01-07,1011606.3619902198
2019-01-08,1011090.4619902199
2019-01-09,1013965.9619902199
2019-01-10,1014990.0619902199
2019-01-11,1016077.5119902199
2019-01-14,1015662.5619902199
2019-01-15,1020825.2119902199
2019-01-16,1017924.0619902199
2019-01-17,1015995.3119902199
2019-01-18,1016420.3619902199
2019-01-21,1019845.3119902199
2019-01-22,1023914.2119902199
2019-01-23,1021022.0619902199
2019-01-24,1022063.5119902199
2019-01-25,1019841.7119902199
2019-01-28,1008856.1617227483
2019-01-29,1007633.5117227483
2019-01-30,1001302.3617227483
2019-01-31,1010460.7617227483
2019-02-01,1008153.9117227483
2019-02-04,1007557.4117227483
2019-02-05,1012774.3617227483
2019-02-06,1003600.3117227483
2019-02-07,1018379.6117227483
2019-02-08,1016990.0882227484
2019-02-11,1016874.5882227484
2019-02-12,1016303.4882227483
2019-02-13,1012316.4382227483
2019-02-14,1014941.8882227483
2019-02-15,1006980.0382227483
2019-02-18,1005652.6173227483
2019-02-19,1003786.9673227483
2019-02-20,1009106.7173227483
2019-02-21,1010650.0673227482
2019-02-22,1011339.6673227482
2019-02-25,1014672.2673227483
2019-02-26,1015671.0173227482
2019-02-27,1013901.4173227482
2019-02-28,1014121.7673227482
2019-03-01,1013137.9173227482
2019-03-05,1015117.6673227482
2019-03-06,1017636.6173227483
2019-03-07,1016725.9673227483
2019-03-08,1017242.4673227483
2019-03-11,1019612.7673227483
2019-03-12,1021921.0173227482
2019-03-13,1016118.2173227483
2019-03-14,1018542.4173227482
2019-03-15,1022726.7173227483
2019-03-18,1021813.8673227483
2019-03-19,1025938.5173227482
2019-03-20,1023711.0973227483
2019-03-22,1021298.9373227482
2019-03-25,1017708.319665303
2019-03-26,1020467.4496653029
2019-03-27,1030407.357928387
2019-03-28,1041225.3479283871
2019-03-29,1035904.287928387
2019-04-01,1034075.6832283871
2019-04-02,1045486.5132283871
2019-04-03,1032549.9194527859
2019-04-04,1035721.4894527858
2019-04-05,1045286.2594527858
2019-04-08,1032749.4185027858
2019-04-09,1036026.4285027859
2019-04-10,1037818.8585027859
2019-04-11,1039048.9285027859
2019-04-12,1037916.5085027858
2019-04-15,1055066.698502786
2019-04-16,1056607.178502786
2019-04-18,1045223.0985027859
2019-04-22,1028332.7985027859
2019-04-23,1017980.1285027858
2019-04-24,1022397.0207648745
2019-04-25,1019233.5207648745
2019-04-26,1017193.8307648746
2019-04-30,1005481.037473233
2019-05-02,993291.9238185057
2019-05-03,986891.8238185056
2019-05-06,977541.3738185057
2019-05-07,962353.9927982652
2019-05-08,957281.3418652224
2019-05-09,955379.4918652225
2019-05-10,951236.3672020257
2019-05-13,947696.4102020258
2019-05-14,949528.4102020258
2019-05-15,947090.4602020257
2019-05-16,951759.7102020257
2019-05-17,958243.1102020257
2019-05-20,974450.1602020257
2019-05-21,961189.9602020257
2019-05-22,960721.3250946902
2019-05-23,955081.3250946901
2019-05-24,966520.2750946902
2019-05-27,974579.3750946901
2019-05-28,971818.2250946901
2019-05-29,967719.4250946902
2019-05-30,978156.7250946901
2019-05-31,975296.1429986901
2019-06-03,980900.9929986901
2019-06-04,981695.2429986901
2019-06-06,962557.6429986901
2019-06-07,973773.0429986902
2019-06-10,975115.2929986902
2019-06-11,981317.8429986901
2019-06-12,973614.1429986901
2019-06-13,978692.7929986902
2019-06-14,973114.0429986902
2019-06-17,964446.1405986901
2019-06-18,968667.7905986902
2019-06-19,964608.3405986902
2019-06-20,982002.1405986901
2019-06-21,980997.2405986902
2019-06-24,981213.5339986902
2019-06-25,980257.6839986902
2019-06-26,989135.6339986902
2019-06-27,998088.8209236902
2019-06-28,1000911.1209236903
2019-07-01,1003306.8709236903
2019-07-02,993207.8209236902
2019-07-03,999503.4208436902
2019-07-04,999198.4208436902
2019-07-05,989263.4708436902
2019-07-08,960764.1458029675
2019-07-09,970112.6958029675
2019-07-10,960622.3458029676
2019-07-11,962341.7458029675
2019-07-12,965461.6458029675
2019-07-15,966581.8458029676
2019-07-16,969247.8958029675
2019-07-17,968448.5458029675
2019-07-18,964299.0958029676
2019-07-19,957164.2503101581
2019-07-22,958752.2503101581
2019-07-23,961389.550310158
2019-07-24,958358.050310158
2019-07-25,964196.800310158
2019-07-26,966266.550310158
2019-07-29,966463.800310158
2019-07-30,964111.0003101581
2019-07-31,966280.3503101581
2019-08-01,960389.2003101581
2019-08-02,961955.4003101581
2019-08-05,959883.0864601581
2019-08-06,961766.3364601581
2019-08-07,959311.5864601581
2019-08-08,967601.4364601581
2019-08-09,968494.8364601581
2019-08-13,960631.9364601581
2019-08-14,967343.8864601582
2019-08-16,973785.2364601581
2019-08-19,976915.6364601582
2019-08-20,980239.6364601582
2019-08-21,975569.9864601581
2019-08-22,969147.5364601582
2019-08-23,971382.3864601582
2019-08-26,975964.6010601581
2019-08-27,973825.1010601581
2019-08-28,980629.5510601581
2019-08-29,979935.651060158
2019-08-30,986793.3010601581
2019-09-03,962734.8712021824
2019-09-04,961320.8679119312
2019-09-05,962477.3179119312
2019-09-06,964135.5179119313
2019-09-09,964619.9179119312
2019-09-11,963625.2679119313
2019-09-12,957733.5679119312
2019-09-13,961007.9679119312
2019-09-16,956020.6898119312
2019-09-17,951123.0898119312
2019-09-18,957361.4898119312
2019-09-19,953299.4398119312
2019-09-20,991232.3898119312
2019-09-23,1019544.4606119313
2019-09-24,1013068.0606119313
2019-09-25,1004095.4634919312
2019-09-26,1008363.9134919313
2019-09-27,1000818.7134919312
2019-09-30,983149.1896242659
2019-10-01,978774.0063055202
2019-10-03,983192.4063055201
2019-10-04,967201.6550830537
2019-10-07,963944.5560830538
2019-10-09,972284.9060830538
2019-10-10,970975.6560830538
2019-10-11,976034.4560830538
