,equity
2018-01-01,1000000.0
2018-01-02,1000000.0
2018-01-03,1000000.0
2018-01-04,1000000.0
2018-01-05,1000000.0
2018-01-08,1000000.0
2018-01-09,1000000.0
2018-01-10,1000000.0
2018-01-11,1000000.0
2018-01-12,1000000.0
2018-01-15,1000000.0
2018-01-16,1000000.0
2018-01-17,1000000.0
2018-01-18,1000000.0
2018-01-19,1000000.0
2018-01-22,1000000.0
2018-01-23,1000000.0
2018-01-24,1000000.0
2018-01-25,1000000.0
2018-01-29,1000000.0
2018-01-30,1000000.0
2018-01-31,1000000.0
2018-02-01,1000000.0
2018-02-02,1000000.0
2018-02-05,1000000.0
2018-02-06,1000000.0
2018-02-07,1000000.0
2018-02-08,1000000.0
2018-02-09,1000000.0
2018-02-12,1000000.0
2018-02-14,1000000.0
2018-02-15,1000000.0
2018-02-16,1000000.0
2018-02-19,1000000.0
2018-02-20,1000000.0
2018-02-21,1000000.0
2018-02-22,1000000.0
2018-02-23,1000000.0
2018-02-26,1000000.0
2018-02-27,1000000.0
2018-02-28,1000000.0
2018-03-01,1000000.0
2018-03-05,1000000.0
2018-03-06,1000000.0
2018-03-07,1000000.0
2018-03-08,1000000.0
2018-03-09,1000000.0
2018-03-12,1000000.0
2018-03-13,1000000.0
2018-03-14,1000000.0
2018-03-15,1000000.0
2018-03-16,1000000.0
2018-03-19,1000000.0
2018-03-20,1000000.0
2018-03-21,1000000.0
2018-03-22,1000000.0
2018-03-23,1000000.0
2018-03-26,1000000.0
2018-03-27,999364.75
2018-03-28,999354.25
2018-04-02,999543.25
2018-04-03,998267.5
2018-04-04,995369.5
2018-04-05,997018.0
2018-04-06,999144.25
2018-04-09,1001253.7999999999
2018-04-10,997532.2
2018-04-11,996236.2
2018-04-12,995681.2
2018-04-13,999038.9
2018-04-16,1000631.95
2018-04-17,1004061.65
2018-04-18,997683.6531733328
2018-04-19,997108.5031733328
2018-04-20,998307.5031733328
2018-04-23,999378.0131733328
2018-04-24,988196.4131733328
2018-04-25,1003072.0131733328
2018-04-26,1013200.4631733329
2018-04-27,1005006.9131733328
2018-04-30,1012751.3031733328
2018-05-02,995588.2033063208
2018-05-03,983357.1033063207
2018-05-04,973627.6132855269
2018-05-07,980765.2632855268
2018-05-08,990811.6532855268
2018-05-09,989221.2555205303
2018-05-10,979936.6155205303
2018-05-11,985570.0155205303
2018-05-14,979846.7655205303
2018-05-15,981208.2421277865
2018-05-16,987859.5421277866
2018-05-17,983199.1421277865
2018-05-18,986840.3021277866
2018-05-21,981776.4021277865
2018-05-22,981008.6921277865
2018-05-23,976887.3048395964
2018-05-24,985431.0048395963
2018-05-25,987902.2854655525
2018-05-28,980370.4237155524
2018-05-29,977279.3137155524
2018-05-30,980778.1137155524
2018-05-31,991137.6637155524
2018-06-01,979911.0137155524
2018-06-04,970716.4637155525
2018-06-05,954055.6590344177
2018-06-06,960899.2677000908
2018-06-07,966255.3177000907
2018-06-08,967355.5677000907
2018-06-11,970239.2677000908
2018-06-12,975934.6177000907
2018-06-13,979915.6677000908
2018-06-14,981184.9677000907
2018-06-15,986494.8677000907
2018-06-18,979729.8177000907
2018-06-19,970384.6762440908
2018-06-20,976812.9762440908
2018-06-21,966912.6762440908
2018-06-22,974009.8336440908
2018-06-25,969801.8436440908
2018-06-26,972695.8436440907
2018-06-27,971407.9936440907
2018-06-28,968226.5936440907
2018-06-29,966793.3936440907
2018-07-02,965321.1755440908
2018-07-03,968123.0755440908
2018-07-04,971312.8755440908
2018-07-05,968895.4755440908
2018-07-06,964804.9755440908
2018-07-09,971640.6255440908
2018-07-10,973053.7755440908
2018-07-11,974034.5755440908
2018-07-12,973130.8255440908
2018-07-13,973953.9656440909
2018-07-16,951888.9271037471
2018-07-17,959971.3271037472
2018-07-18,957310.6771037471
2018-07-19,959422.2038901956
2018-07-20,968112.3576622634
2018-07-23,979211.6576622635
2018-07-24,981286.3501122635
2018-07-25,989004.9501122634
2018-07-26,989487.5501122634
2018-07-27,989358.6001122635
2018-07-30,992355.6588622635
2018-07-31,1002654.0788622635
2018-08-01,1003551.7988622636
2018-08-02,993217.2988622636
2018-08-03,1000100.9888622635
2018-08-06,1004576.2788622635
2018-08-07,1002576.2088622635
2018-08-08,1016830.1488622635
2018-08-09,1022904.5988622635
2018-08-10,1012322.9188622634
2018-08-13,1002440.2460622635
2018-08-14,1016528.2060622636
2018-08-16,1014650.3960622635
2018-08-17,1023817.5060622635
2018-08-20,1035241.5860622635
2018-08-21,1037772.1560622635
2018-08-23,1042061.4660622635
2018-08-24,1042911.0760622636
2018-08-27,1051655.5460622634
2018-08-28,1055637.9848122636
2018-08-29,1054179.6248122635
2018-08-30,1052687.834235771
2018-08-31,1046891.0542357711
2018-09-03,1027397.800987771
2018-09-04,1017628.700987771
2018-09-05,1007986.173912571
2018-09-06,1017528.1739125712
2018-09-07,1027837.3739125711
2018-09-10,999723.0159125711
2018-09-11,984874.8912633169
2018-09-12,990301.2513432245
2018-09-14,994747.8513432245
2018-09-17,994636.5513432245
2018-09-18,992168.9513432245
2018-09-19,992326.5013432245
2018-09-21,977954.1996155586
2018-09-24,973708.7859155587
2018-09-25,974175.3359155586
2018-09-26,971064.3859155587
2018-09-27,969049.6359155587
2018-09-28,963121.0359155587
2018-10-01,965849.3359155586
2018-10-03,967503.9859155586
2018-10-04,963601.1227953918
2018-10-05,960111.3227953918
2018-10-08,954375.7305566494
2018-10-09,955714.9305566495
2018-10-10,953943.7305566494
2018-10-11,952993.3305566495
2018-10-12,954030.1305566494
2018-10-15,955196.5305566494
2018-10-16,954894.1305566494
2018-10-17,956233.3305566495
2018-10-19,956233.3305566495
2018-10-22,955930.9305566495
2018-10-23,951740.5305566494
2018-10-24,951654.1305566494
2018-10-25,954721.3305566495
2018-10-26,955369.3305566495
2018-10-29,958220.5305566494
2018-10-30,959790.5305566494
2018-10-31,963423.8805566494
2018-11-01,964003.9305566495
2018-11-02,960171.1305566494
2018-11-05,958379.3977566495
2018-11-06,960062.4477566495
2018-11-07,956333.5977566495
2018-11-09,965714.6977566495
2018-11-12,962063.6977566495
2018-11-13,965631.6477566495
2018-11-14,965454.6977566495
2018-11-15,968138.0477566494
2018-11-16,967976.8477566495
2018-11-19,966154.2977566494
2018-11-20,960653.5477566494
2018-11-21,962179.7477566495
2018-11-22,960355.8477566495
2018-11-26,962751.1977566495
2018-11-27,962108.6977566495
2018-11-28,959456.8977566495
2018-11-29,960082.1477566494
2018-11-30,957577.1477566495
2018-12-03,961910.7477566495
2018-12-04,954755.6477566495
2018-12-05,952717.0477566494
2018-12-06,936179.2413629442
2018-12-07,944740.3413629442
2018-12-10,929239.4573629443
2018-12-11,929693.0756747125
2018-12-12,940894.8756747126
2018-12-13,948198.5256747126
2018-12-14,946992.2756747126
2018-12-17,943533.7256747126
2018-12-18,945767.5256747125
2018-12-19,948987.3256747125
2018-12-20,953301.4256747125
2018-12-21,932882.7756747126
2018-12-24,923879.8269230535
2018-12-26,923783.9367713982
2018-12-27,920679.8367713982
2018-12-28,925814.1867713982
2018-12-31,930191.2058713982
2019-01-01,928115.3558713982
2019-01-02,919724.8119324655
2019-01-03,918641.0619324655
2019-01-04,924713.6119324656
2019-01-07,929467.9619324656
2019-01-08,929564.5119324656
2019-01-09,932346.8619324656
2019-01-10,934181.9119324655
2019-01-11,933946.3619324656
2019-01-14,933505.3619324656
2019-01-15,938778.2619324655
2019-01-16,938302.9619324656
2019-01-17,938677.6119324656
2019-01-18,936262.6119324656
2019-01-21,939733.8119324655
2019-01-22,944712.5619324655
2019-01-23,938826.7119324656
2019-01-24,945880.3119324655
2019-01-25,941743.0619324655
2019-01-28,928106.2269052933
2019-01-29,928042.4269052933
2019-01-30,920838.4269052933
2019-01-31,935749.6769052933
2019-02-01,937894.6269052932
2019-02-04,941946.8769052932
2019-02-05,941455.4269052933
2019-02-06,938391.9269052933
2019-02-07,951963.0769052932
2019-02-08,950185.1709052933
2019-02-11,945466.6209052933
2019-02-12,941943.9709052932
2019-02-13,938099.6709052933
2019-02-14,938265.6209052933
2019-02-15,932125.3709052933
2019-02-18,927602.3464052932
2019-02-19,921979.4464052933
2019-02-20,930937.3964052933
2019-02-21,932718.5464052933
2019-02-22,933674.7464052932
2019-02-25,940810.1464052933
2019-02-26,936552.3464052933
2019-02-27,932242.7964052933
2019-02-28,930988.5464052933
2019-03-01,932759.3464052933
2019-03-05,933202.4964052934
2019-03-06,934225.9964052932
2019-03-07,926868.7964052933
2019-03-08,922014.5464052933
2019-03-11,938560.5876052933
2019-03-12,942376.7876052933
2019-03-13,941140.5876052933
2019-03-14,939835.2376052933
2019-03-15,947480.4376052932
2019-03-18,950442.8251052933
2019-03-19,955840.5251052933
2019-03-20,947858.4751052933
2019-03-22,942336.0955552933
2019-03-25,938656.8395552933
2019-03-26,941927.3895552934
2019-03-27,948291.4395552933
2019-03-28,961452.2895552934
2019-03-29,964213.8895552934
2019-04-01,960599.8690552933
2019-04-02,962983.8690552934
2019-04-03,952179.3190168353
2019-04-04,948091.3690168353
2019-04-05,961634.9190168354
2019-04-08,954569.0102168353
2019-04-09,954844.9602168354
2019-04-10,955016.9602168354
2019-04-11,956383.3602168354
2019-04-12,957798.9602168354
2019-04-15,971338.8102168354
2019-04-16,971141.6602168353
2019-04-18,960904.2602168353
2019-04-22,941196.1725783714
2019-04-23,937792.2725783713
2019-04-24,937335.2225783714
2019-04-25,938142.9225783714
2019-04-26,931387.5725783714
2019-04-30,924948.3725783714
2019-05-02,919329.0868185473
2019-05-03,919712.1868185473
2019-05-06,906813.1512763982
2019-05-07,900359.828163327
2019-05-08,897736.2672919928
2019-05-09,895769.7672919928
2019-05-10,894778.2672919928
2019-05-13,890679.6672919928
2019-05-14,891215.6672919928
2019-05-15,888211.5672919928
2019-05-16,889925.5672919928
2019-05-17,895494.1751490956
2019-05-20,908310.5751490956
2019-05-21,895560.8251490956
2019-05-22,896903.4542551393
2019-05-23,896464.2542551394
2019-05-24,919752.5042551394
2019-05-27,930682.3042551393
2019-05-28,927581.7542551394
2019-05-29,919215.8042551393
2019-05-30,927784.8042551393
2019-05-31,923267.1112151394
2019-06-03,928256.3612151394
2019-06-04,928295.7612151394
2019-06-06,904431.7112151395
2019-06-07,916147.0612151395
2019-06-10,916037.6612151394
2019-06-11,921668.0112151394
2019-06-12,912150.0112151394
2019-06-13,918890.3112151395
2019-06-14,911876.5112151394
2019-06-17,900637.0612151395
2019-06-18,907369.0112151394
2019-06-19,902736.3612151395
2019-06-20,923926.9612151394
2019-06-21,923916.4112151394
2019-06-24,925028.7552151394
2019-06-25,926937.0052151394
2019-06-26,937327.2052151393
2019-06-27,946864.0181151394
2019-06-28,948373.7681151394
2019-07-01,951072.3681151394
2019-07-02,952604.9681151394
2019-07-03,953782.7181151394
2019-07-04,955003.9181151395
2019-07-05,937155.2181151394
2019-07-08,898297.9597345191
2019-07-09,918180.5597345191
2019-07-10,905509.5097345191
2019-07-11,914357.3097345191
2019-07-12,913888.7597345191
2019-07-15,909826.4597345191
2019-07-16,914877.5597345191
2019-07-17,918271.4597345191
2019-07-18,909185.8097345191
2019-07-19,895789.5382061147
2019-07-22,888959.3539561146
2019-07-23,888472.8539561146
2019-07-24,885178.6539561145
2019-07-25,886367.4539561146
2019-07-26,887520.7039561146
2019-07-29,883980.446125489
2019-07-30,881915.046125489
2019-07-31,884991.146125489
2019-08-01,883451.696125489
2019-08-02,881531.846125489
2019-08-05,876767.0578829631
2019-08-06,878894.857882963
2019-08-07,876712.257882963
2019-08-08,881123.107882963
2019-08-09,883334.007882963
2019-08-13,879805.857882963
2019-08-14,880957.4578829631
2019-08-16,884031.1578829631
2019-08-19,885126.9078829631
2019-08-20,887730.5578829631
2019-08-21,886447.0578829631
2019-08-22,882273.8578829631
2019-08-23,882921.007882963
2019-08-26,887374.6578829631
2019-08-27,884676.007882963
2019-08-28,892475.757882963
2019-08-29,891968.9078829631
2019-08-30,899210.4578829631
2019-09-03,876624.107882963
2019-09-04,873722.0339565134
2019-09-05,872959.4339565134
2019-09-06,873106.7339565133
2019-09-09,872971.7839565134
2019-09-11,869288.9986607633
2019-09-12,862650.0498825428
2019-09-13,865693.4498825427
2019-09-16,859241.5093825428
2019-09-17,852111.9093825428
2019-09-18,860958.2093825428
2019-09-19,856658.8093825427
2019-09-20,897145.1593825427
2019-09-23,934045.5004325428
2019-09-24,930584.3004325428
2019-09-25,923423.0158405427
2019-09-26,930541.6418405428
2019-09-27,922586.5918405427
2019-09-30,906542.7726667947
2019-10-01,907131.7169984038
2019-10-03,911263.3669984037
2019-10-04,896885.7569269595
2019-10-07,892860.2809269596
2019-10-09,904308.8809269596
2019-10-10,902139.1309269596
2019-10-11,906850.9809269597
2019-10-14,908853.7309269595
2019-10-15,914594.7809269596
2019-10-16,920232.5809269596
2019-10-17,926673.9309269596
2019-10-18,943704.4850269596
2019-10-22,955186.6310269595
2019-10-23,955454.6310269595
2019-10-24,954031.0810269595
2019-10-25,956457.2310269595
2019-10-27,960158.9310269594
2019-10-29,974500.5810269595
2019-10-30,978655.8310269595
2019-10-31,979431.4667269595
