variant,symbol,direction,entry_date,exit_date,entry_price,exit_price,qty,days_held,exit_reason,gross_pnl,net_pnl
55_vol_3x_atr_floor,TRENT,LONG,2018-04-09,2018-04-18,367.50,341.09,272,9,INITIAL_STOP,-7183.86,-7376.60
55_vol_3x_atr_floor,SBILIFE,LONG,2018-04-25,2018-05-04,749.90,715.40,132,9,INITIAL_STOP,-4553.67,-4747.09
55_vol_3x_atr_floor,CHOLAFIN,LONG,2018-04-24,2018-05-09,341.40,321.88,290,15,INITIAL_STOP,-5659.60,-5851.95
55_vol_3x_atr_floor,GODREJPROP,LONG,2018-05-08,2018-05-15,851.00,798.78,116,7,INITIAL_STOP,-6057.83,-6249.21
55_vol_3x_atr_floor,PIDILITIND,LONG,2018-05-28,2018-06-06,572.00,540.00,170,9,INITIAL_STOP,-5439.79,-5628.83
55_vol_3x_atr_floor,MCX,LONG,2018-05-29,2018-06-19,848.90,780.99,114,21,INITIAL_STOP,-7741.97,-7927.78
55_vol_3x_atr_floor,TCS,LONG,2018-04-23,2018-06-22,1712.00,1809.80,57,60,MAX_HOLD,5574.60,5373.86
55_vol_3x_atr_floor,COFORGE,LONG,2018-04-24,2018-06-25,208.50,219.00,476,62,MAX_HOLD,4998.00,4794.51
55_vol_3x_atr_floor,KOTAKBANK,LONG,2018-05-03,2018-07-02,1255.00,1337.95,79,60,MAX_HOLD,6553.05,6348.21
55_vol_3x_atr_floor,COLPAL,LONG,2018-05-17,2018-07-03,1189.70,1146.28,82,47,INITIAL_STOP,-3560.06,-3751.61
55_vol_3x_atr_floor,ASIANPAINT,LONG,2018-05-14,2018-07-13,1285.00,1367.80,76,60,MAX_HOLD,6292.80,6091.19
55_vol_3x_atr_floor,NESTLEIND,LONG,2018-05-14,2018-07-13,476.20,507.10,206,60,MAX_HOLD,6365.40,6162.84
55_vol_3x_atr_floor,DRREDDY,LONG,2018-06-13,2018-07-16,438.00,415.05,221,33,INITIAL_STOP,-5072.31,-5260.83
55_vol_3x_atr_floor,BAJFINANCE,LONG,2018-05-18,2018-07-17,207.00,247.00,471,60,MAX_HOLD,18840.00,18626.17
55_vol_3x_atr_floor,BAJAJFINSV,LONG,2018-05-21,2018-07-20,573.50,666.40,170,60,MAX_HOLD,15793.00,15582.22
55_vol_3x_atr_floor,ADANIENT,LONG,2018-07-23,2018-07-25,161.35,201.69,629,2,TARGET,25372.29,25143.94
55_vol_3x_atr_floor,BANKBARODA,LONG,2018-07-31,2018-09-05,139.73,128.55,745,36,INITIAL_STOP,-8327.91,-8527.78
55_vol_3x_atr_floor,ADANIENT,LONG,2018-07-26,2018-09-06,194.30,178.76,535,42,INITIAL_STOP,-8316.04,-8515.62
55_vol_3x_atr_floor,TCS,LONG,2018-07-12,2018-09-10,1984.00,2080.75,49,60,MAX_HOLD,4740.75,4541.58
55_vol_3x_atr_floor,RELIANCE,LONG,2018-07-13,2018-09-11,515.00,589.90,189,60,MAX_HOLD,14156.10,13947.27
55_vol_3x_atr_floor,MARICO,LONG,2018-07-16,2018-09-11,355.25,337.84,277,57,INITIAL_STOP,-4821.62,-5013.61
55_vol_3x_atr_floor,BAJAJFINSV,LONG,2018-07-23,2018-09-11,663.10,628.44,153,50,INITIAL_STOP,-5302.44,-5500.04
55_vol_3x_atr_floor,BAJFINANCE,LONG,2018-07-23,2018-09-11,272.00,257.30,373,50,INITIAL_STOP,-5484.38,-5681.81
55_vol_3x_atr_floor,MUTHOOTFIN,LONG,2018-09-06,2018-09-21,442.00,414.09,233,15,INITIAL_STOP,-6502.53,-6702.00
55_vol_3x_atr_floor,HAVELLS,LONG,2018-07-24,2018-09-24,613.20,625.85,165,62,MAX_HOLD,2087.25,1882.81
55_vol_3x_atr_floor,ITC,LONG,2018-07-30,2018-09-28,261.20,257.50,398,60,MAX_HOLD,-1472.60,-1679.04
55_vol_3x_atr_floor,DABUR,LONG,2018-08-01,2018-10-01,423.80,439.25,245,61,MAX_HOLD,3785.25,3573.80
55_vol_3x_atr_floor,DIVISLAB,LONG,2018-09-18,2018-10-04,1366.00,1269.69,75,16,INITIAL_STOP,-7223.11,-7420.79
55_vol_3x_atr_floor,BRITANNIA,LONG,2018-12-03,2018-12-06,3175.00,3014.00,32,3,INITIAL_STOP,-5151.93,-5349.98
55_vol_3x_atr_floor,APOLLOHOSP,LONG,2018-11-16,2018-12-11,1250.65,1152.35,81,25,INITIAL_STOP,-7961.99,-8156.63
55_vol_3x_atr_floor,DIVISLAB,LONG,2018-10-30,2018-12-31,1444.25,1482.65,70,62,MAX_HOLD,2688.00,2483.12
55_vol_3x_atr_floor,ICICIBANK,LONG,2018-10-30,2018-12-31,347.45,360.15,292,62,MAX_HOLD,3708.40,3501.78
55_vol_3x_atr_floor,HEROMOTOCO,LONG,2018-12-13,2019-01-02,3053.40,2881.48,32,20,INITIAL_STOP,-5501.60,-5691.51
55_vol_3x_atr_floor,CUMMINSIND,LONG,2018-12-31,2019-01-28,864.00,807.22,116,28,INITIAL_STOP,-6585.94,-6779.80
55_vol_3x_atr_floor,KOTAKBANK,LONG,2018-12-10,2019-02-08,1244.10,1299.40,81,60,MAX_HOLD,4479.30,4273.28
55_vol_3x_atr_floor,IDFCFIRSTB,LONG,2018-12-20,2019-02-18,42.85,43.10,2340,60,MAX_HOLD,585.00,383.88
55_vol_3x_atr_floor,MUTHOOTFIN,LONG,2018-12-20,2019-02-18,497.50,520.40,201,60,MAX_HOLD,4602.90,4398.30
55_vol_3x_atr_floor,COFORGE,LONG,2019-01-22,2019-03-25,252.50,263.50,397,62,MAX_HOLD,4367.00,4162.15
55_vol_3x_atr_floor,BHARTIARTL,LONG,2019-03-13,2019-03-25,342.10,320.05,293,12,INITIAL_STOP,-6460.20,-6654.21
55_vol_3x_atr_floor,TECHM,LONG,2019-02-07,2019-03-27,767.00,725.83,129,48,INITIAL_STOP,-5311.27,-5503.84
55_vol_3x_atr_floor,AXISBANK,LONG,2019-01-31,2019-04-01,697.25,765.60,142,60,MAX_HOLD,9705.70,9497.98
55_vol_3x_atr_floor,IOC,LONG,2019-03-19,2019-04-03,93.62,86.32,1073,15,INITIAL_STOP,-7835.05,-8028.12
55_vol_3x_atr_floor,TITAN,LONG,2019-02-05,2019-04-08,1026.95,1104.40,97,62,MAX_HOLD,7512.65,7305.91
55_vol_3x_atr_floor,SBIN,LONG,2019-03-29,2019-04-24,321.10,303.99,310,26,INITIAL_STOP,-5302.75,-5496.53
55_vol_3x_atr_floor,PNB,LONG,2019-03-20,2019-04-30,88.44,82.56,1136,41,INITIAL_STOP,-6678.81,-6873.06
