symbol,bars,date_min,date_max,kept
ADANIENT,1945,2018-01-01,2025-11-07,Y
ADANIPORTS,1945,2018-01-01,2025-11-07,Y
AMBUJACEM,1982,2018-01-01,2025-12-31,Y
APOLLOHOSP,1945,2018-01-01,2025-11-07,Y
ASIANPAINT,1945,2018-01-01,2025-11-07,Y
AXISBANK,1945,2018-01-01,2025-11-07,Y
BAJAJ-AUTO,1945,2018-01-01,2025-11-07,Y
BAJAJFINSV,1954,2018-01-01,2025-11-20,Y
BAJFINANCE,1954,2018-01-01,2025-11-20,Y
BANKBARODA,1959,2018-01-01,2025-11-27,Y
BEL,1959,2018-01-01,2025-11-27,Y
BHARTIARTL,1945,2018-01-01,2025-11-07,Y
BPCL,1959,2018-01-01,2025-11-27,Y
BRITANNIA,1945,2018-01-01,2025-11-07,Y
CHOLAFIN,1959,2018-01-01,2025-11-27,Y
CIPLA,1945,2018-01-01,2025-11-07,Y
COALINDIA,169,2025-03-03,2025-11-07,N
COFORGE,1959,2018-01-01,2025-11-27,Y
COLPAL,1959,2018-01-01,2025-11-27,Y
CUMMINSIND,1959,2018-01-01,2025-11-27,Y
DABUR,1959,2018-01-01,2025-11-27,Y
DELHIVERY,874,2022-05-24,2025-11-27,N
DIVISLAB,1954,2018-01-01,2025-11-20,Y
DLF,1959,2018-01-01,2025-11-27,Y
DRREDDY,1945,2018-01-01,2025-11-07,Y
EICHERMOT,1945,2018-01-01,2025-11-07,Y
FEDERALBNK,1960,2018-01-01,2025-11-27,Y
GAIL,1959,2018-01-01,2025-11-27,Y
GODREJPROP,1959,2018-01-01,2025-11-27,Y
GRASIM,1945,2018-01-01,2025-11-07,Y
HAL,1900,2018-03-28,2025-11-27,Y
HAVELLS,1959,2018-01-01,2025-11-27,Y
HCLTECH,1945,2018-01-01,2025-11-07,Y
HDFCBANK,1945,2018-01-01,2025-11-07,Y
HDFCLIFE,1954,2018-01-01,2025-11-20,Y
HEROMOTOCO,1945,2018-01-01,2025-11-07,Y
HINDALCO,1945,2018-01-01,2025-11-07,Y
HINDUNILVR,1945,2018-01-01,2025-11-07,Y
ICICIBANK,1945,2018-01-01,2025-11-07,Y
IDFCFIRSTB,1959,2018-01-01,2025-11-27,Y
INDUSINDBK,1945,2018-01-01,2025-11-07,Y
INFY,1945,2018-01-01,2025-11-07,Y
IOC,1959,2018-01-01,2025-11-27,Y
IRCTC,1523,2019-10-14,2025-11-27,Y
ITC,1945,2018-01-01,2025-11-07,Y
JINDALSTEL,1959,2018-01-01,2025-11-27,Y
JSWSTEEL,1945,2018-01-01,2025-11-07,Y
KOTAKBANK,1954,2018-01-01,2025-11-20,Y
LT,1945,2018-01-01,2025-11-07,Y
M&M,1945,2018-01-01,2025-11-07,Y
MARICO,1959,2018-01-01,2025-11-27,Y
MARUTI,1945,2018-01-01,2025-11-07,Y
MCX,1959,2018-01-01,2025-11-27,Y
MUTHOOTFIN,1959,2018-01-01,2025-11-27,Y
NESTLEIND,1945,2018-01-01,2025-11-07,Y
NTPC,1945,2018-01-01,2025-11-07,Y
ONGC,169,2025-03-03,2025-11-07,N
PAYTM,995,2021-11-18,2025-11-20,N
PERSISTENT,1959,2018-01-01,2025-11-27,Y
PIDILITIND,1959,2018-01-01,2025-11-27,Y
PNB,1959,2018-01-01,2025-11-27,Y
POWERGRID,1945,2018-01-01,2025-11-07,Y
RELIANCE,1946,2018-01-01,2025-11-07,Y
SBILIFE,1954,2018-01-01,2025-11-20,Y
SBIN,1945,2018-01-01,2025-11-07,Y
SHREECEM,1945,2018-01-01,2025-11-07,Y
SIEMENS,1982,2018-01-01,2025-12-31,Y
SUNPHARMA,1945,2018-01-01,2025-11-07,Y
TATACONSUM,1945,2018-01-01,2025-11-07,Y
TATAMOTORS,1932,2018-01-01,2025-10-17,Y
TATAPOWER,1959,2018-01-01,2025-11-27,Y
TATASTEEL,1945,2018-01-01,2025-11-07,Y
TCS,1945,2018-01-01,2025-11-07,Y
TECHM,1945,2018-01-01,2025-11-07,Y
TITAN,1945,2018-01-01,2025-11-07,Y
TRENT,1982,2018-01-01,2025-12-31,Y
ULTRACEMCO,1945,2018-01-01,2025-11-07,Y
VEDL,1959,2018-01-01,2025-11-27,Y
VOLTAS,1959,2018-01-01,2025-11-27,Y
WIPRO,1945,2018-01-01,2025-11-07,Y
ZOMATO,0,,,N
