,equity
2018-01-01,1000000.0
2018-01-02,1000000.0
2018-01-03,1000000.0
2018-01-04,1000000.0
2018-01-05,1000000.0
2018-01-08,1000000.0
2018-01-09,1000000.0
2018-01-10,1000000.0
2018-01-11,1000000.0
2018-01-12,1000000.0
2018-01-15,1000000.0
2018-01-16,1000000.0
2018-01-17,1000000.0
2018-01-18,1000000.0
2018-01-19,1000000.0
2018-01-22,1000000.0
2018-01-23,1000000.0
2018-01-24,1000000.0
2018-01-25,1000000.0
2018-01-29,1000000.0
2018-01-30,1000000.0
2018-01-31,1000000.0
2018-02-01,1000000.0
2018-02-02,1000000.0
2018-02-05,1000000.0
2018-02-06,1000000.0
2018-02-07,1000000.0
2018-02-08,1000000.0
2018-02-09,1000000.0
2018-02-12,1000000.0
2018-02-14,1000000.0
2018-02-15,1000000.0
2018-02-16,1000000.0
2018-02-19,1000000.0
2018-02-20,1000000.0
2018-02-21,1000000.0
2018-02-22,1000000.0
2018-02-23,1000000.0
2018-02-26,1000000.0
2018-02-27,1000000.0
2018-02-28,1000000.0
2018-03-01,1000000.0
2018-03-05,1000000.0
2018-03-06,1000000.0
2018-03-07,1000000.0
2018-03-08,1000000.0
2018-03-09,1000000.0
2018-03-12,1000000.0
2018-03-13,1000000.0
2018-03-14,1000000.0
2018-03-15,998207.95
2018-03-16,1006264.8
2018-03-19,1011004.6
2018-03-20,1008478.25
2018-03-21,1014030.4500000001
2018-03-22,1020960.45
2018-03-23,1030907.7000000001
2018-03-26,1011104.4
2018-03-27,1004342.0
2018-03-28,1010727.1025438948
2018-04-02,987252.3142122657
2018-04-03,985230.465214641
2018-04-04,1004037.8252146409
2018-04-05,990772.605214641
2018-04-06,989554.1652146409
2018-04-09,987885.7452146409
2018-04-10,981726.9352146409
2018-04-11,988118.4262386409
2018-04-12,992448.8562386408
2018-04-13,982985.0033887076
2018-04-16,969105.0051859034
2018-04-17,965755.3329027847
2018-04-18,969809.3029027847
2018-04-19,965907.0529027847
2018-04-20,959038.5315029045
2018-04-23,956647.8715029045
2018-04-24,956733.4515029045
2018-04-25,960958.4515029045
2018-04-26,958144.5215029045
2018-04-27,946004.1615029045
2018-04-30,941664.8604993512
2018-05-02,953591.2204993512
2018-05-03,958119.3604993512
2018-05-04,961655.4404993511
2018-05-07,951088.6904993511
2018-05-08,943426.7904993511
2018-05-09,946030.6104993512
2018-05-10,949697.1704993511
2018-05-11,948295.5704993511
2018-05-14,954626.0666809266
2018-05-15,966972.0566809266
2018-05-16,982699.6066809266
2018-05-17,980075.9066809266
2018-05-18,994683.3466809266
2018-05-21,1002439.9066809266
2018-05-22,992856.9966809266
2018-05-23,1008460.6666809266
2018-05-24,1005299.8866809267
2018-05-25,990307.6866809266
2018-05-28,959006.0366809266
2018-05-29,968805.0266809267
2018-05-30,979556.9566809266
2018-05-31,983663.4466809266
2018-06-01,991082.2012909265
2018-06-04,996556.0519309266
2018-06-05,1002548.0419309266
2018-06-06,984256.9019309266
2018-06-07,967973.3319309267
2018-06-08,957011.5953686131
2018-06-11,951587.0043382716
2018-06-12,945842.1043382715
2018-06-13,945233.4443382715
2018-06-14,950503.5043382716
2018-06-15,957891.5543382715
2018-06-18,964852.8643382716
2018-06-19,973414.8143382715
2018-06-20,974980.1043382715
2018-06-21,983352.0743382715
2018-06-22,980683.9464882715
2018-06-25,984640.1964882715
2018-06-26,986401.4464882715
2018-06-27,998745.9964882715
2018-06-28,1018818.9064882714
2018-06-29,1000221.1502382716
2018-07-02,1000928.5902382715
2018-07-03,999463.6450382716
2018-07-04,996316.1950382715
2018-07-05,1004407.0950382715
2018-07-06,1001949.1950382715
2018-07-09,991257.2450382715
2018-07-10,979794.4557115786
2018-07-11,988780.6557115786
2018-07-12,992390.7057115785
2018-07-13,995613.2057115785
2018-07-16,1013490.2997115785
2018-07-17,1004746.4997115785
2018-07-18,1008887.9497115785
2018-07-19,1008507.6997115785
2018-07-20,1009518.2997115785
2018-07-23,1002510.2997115785
2018-07-24,982644.5497115785
2018-07-25,984428.460992128
2018-07-26,984676.210992128
2018-07-27,964215.2609921279
2018-07-30,949214.560992128
2018-07-31,945316.7962767457
2018-08-01,949880.0962767458
2018-08-02,946311.3545772337
2018-08-03,938826.4045772337
2018-08-06,937605.1225159585
2018-08-07,941123.5225159585
2018-08-08,941494.9225159584
2018-08-09,942241.4725159585
2018-08-10,945166.4327159584
2018-08-13,940893.3721219653
2018-08-14,938555.5721219652
2018-08-16,937205.6721219652
2018-08-17,930684.4721219653
2018-08-20,924640.5794343251
2018-08-21,928739.379434325
2018-08-23,937712.9294343251
2018-08-24,940078.379434325
2018-08-27,935434.6794343251
2018-08-28,937207.229434325
2018-08-29,934480.7294343251
2018-08-30,934933.3294343251
2018-08-31,932230.529434325
2018-09-03,932468.5794343251
2018-09-04,943058.4294343251
2018-09-05,943729.4794343251
2018-09-06,939891.379434325
2018-09-07,929542.4294343251
2018-09-10,945803.524534325
2018-09-11,961198.744534325
2018-09-12,958138.714534325
2018-09-14,935453.174534325
2018-09-17,938067.6345668336
2018-09-18,945502.8345668337
2018-09-19,954234.3945668336
2018-09-21,963181.4245668337
2018-09-24,983636.5669650953
2018-09-25,969664.6069650954
2018-09-26,963274.7669650954
2018-09-27,970333.8169650953
2018-09-28,978296.0169650954
2018-10-01,971109.3861650954
2018-10-03,984551.8661650954
2018-10-04,1002604.6361650954
2018-10-05,1016686.6661650953
2018-10-08,1011945.0161650954
2018-10-09,1017831.0861650953
2018-10-10,990644.7861650953
2018-10-11,1005027.2661650954
2018-10-12,982133.9161650953
2018-10-15,984645.5161650954
2018-10-16,973954.7661650954
2018-10-17,992324.2129522059
2018-10-19,994478.9929522059
2018-10-22,997506.3529522059
2018-10-23,1000103.7629522058
2018-10-24,996814.6729522059
2018-10-25,1005661.6929522059
2018-10-26,1003914.622952206
2018-10-29,995921.4556022058
2018-10-30,992827.8856022059
2018-10-31,982425.1709094058
2018-11-01,969239.5397094057
2018-11-02,949190.3962374058
2018-11-05,947888.4814374058
2018-11-06,949151.9948074057
2018-11-07,942379.5948074057
2018-11-09,945051.5448074057
2018-11-12,958051.6448074058
2018-11-13,950808.2948074057
2018-11-14,947684.7948074058
2018-11-15,942564.9204074057
2018-11-16,943369.0704074057
2018-11-19,935678.8478074057
2018-11-20,950530.0478074057
2018-11-21,953893.3978074057
2018-11-22,962086.2478074057
2018-11-26,960294.4461074058
2018-11-27,961486.0961074057
2018-11-28,965489.741457332
2018-11-29,958413.8914573321
2018-11-30,956867.091457332
2018-12-03,954184.591457332
2018-12-04,952290.2914573321
2018-12-05,975371.491457332
2018-12-06,980979.491457332
2018-12-07,983571.441457332
2018-12-10,991956.191457332
2018-12-11,975872.1414573321
2018-12-12,953608.3619358271
2018-12-13,955353.201935827
2018-12-14,952049.6042338822
2018-12-17,934377.2342338822
2018-12-18,926592.0242338822
2018-12-19,918042.5231680565
2018-12-20,919487.0940160565
2018-12-21,924078.0540160565
2018-12-24,932305.2640160565
2018-12-26,935003.8640160565
2018-12-27,932530.3340160565
2018-12-28,923581.7140160565
2018-12-31,919451.4384160566
2019-01-01,919013.5304160565
2019-01-02,929159.8304160566
2019-01-03,937444.1604160565
2019-01-04,932427.5163160565
2019-01-07,932827.3763160565
2019-01-08,927517.8063160565
2019-01-09,929010.4363160565
2019-01-10,927379.3363160565
2019-01-11,928806.2463160565
2019-01-14,932314.4736660564
2019-01-15,924580.1106660564
2019-01-16,926021.9606660564
2019-01-17,924370.7106660564
2019-01-18,928830.8706660564
2019-01-21,930790.0747781849
2019-01-22,930773.3547781849
2019-01-23,926627.6347781849
2019-01-24,928453.5947781849
2019-01-25,935336.4885581527
2019-01-28,948752.5085581527
2019-01-29,944463.5085581527
2019-01-30,940923.8085581528
2019-01-31,932872.0385581527
2019-02-01,912159.8167574434
2019-02-04,928183.9167574433
2019-02-05,929280.5367574433
2019-02-06,909753.4286132657
2019-02-07,895117.0045406469
2019-02-08,908980.3445406469
2019-02-11,922521.6476606469
2019-02-12,912272.304380647
2019-02-13,918775.4543806469
2019-02-14,911783.304380647
2019-02-15,912419.254380647
2019-02-18,922979.1115230563
2019-02-19,919294.4115230562
2019-02-20,905034.1115230563
2019-02-21,891735.6986430562
2019-02-22,882773.7986430563
2019-02-25,875493.264162488
2019-02-26,873557.2480802964
2019-02-27,873659.8480802964
2019-02-28,876041.9480802964
2019-03-01,864393.4480802964
2019-03-05,849275.0074804636
2019-03-06,843800.5117452748
2019-03-07,843774.0117452748
2019-03-08,845736.8117452747
2019-03-11,836852.0617452747
2019-03-12,825522.5012832963
2019-03-13,828993.1012832962
2019-03-14,829244.5512832962
2019-03-15,831742.8813785337
2019-03-18,829136.2813785336
2019-03-19,827943.1313785336
2019-03-20,827914.2313785336
2019-03-22,827425.9313785336
2019-03-25,827479.0608985336
2019-03-26,825794.1108985336
2019-03-27,826282.4608985336
2019-03-28,825990.1108985336
2019-03-29,822916.9108985336
2019-04-01,824435.1108985336
2019-04-02,826577.6608985336
2019-04-03,825376.7608985336
2019-04-04,824098.2608985336
2019-04-05,825371.1608985336
2019-04-08,825088.3108985336
2019-04-09,825414.1608985336
2019-04-10,823067.9947394789
2019-04-11,822641.4947394789
2019-04-12,820980.9947394789
2019-04-15,819993.5115465387
2019-04-16,819354.0615465387
2019-04-18,820013.8115465387
2019-04-22,819944.2115465387
2019-04-23,820035.5905465387
2019-04-24,820035.5905465387
2019-04-25,820035.5905465387
2019-04-26,820035.5905465387
2019-04-30,820035.5905465387
2019-05-02,823305.3405465387
2019-05-03,820862.7905465387
2019-05-06,823502.5405465387
2019-05-07,827650.7405465387
2019-05-08,832012.5405465387
2019-05-09,833924.1405465388
2019-05-10,832141.8405465387
2019-05-13,852185.6905465387
2019-05-14,845573.7905465387
2019-05-15,857295.9405465387
2019-05-16,852031.4905465387
2019-05-17,842584.6905465387
2019-05-20,807893.4416121755
2019-05-21,809792.7605552571
2019-05-22,809503.9105552571
2019-05-23,811579.2605552571
2019-05-24,790479.0866527507
2019-05-27,779922.8932127507
2019-05-28,779977.0432127507
2019-05-29,786653.9932127506
2019-05-30,785892.2932127507
2019-05-31,783283.4507473066
2019-06-03,775515.7507473066
2019-06-04,776726.5080346107
2019-06-06,786415.3885424429
2019-06-07,785528.9885424429
2019-06-10,784030.5436439553
2019-06-11,777321.8336439553
2019-06-12,774129.5436439553
2019-06-13,777033.4536439553
2019-06-14,782407.6836439553
2019-06-17,796061.7136439553
2019-06-18,798842.4736439553
2019-06-19,797299.9736439553
2019-06-20,786176.8336439553
2019-06-21,791694.4836439553
2019-06-24,798019.1136439553
2019-06-25,790563.8036439553
2019-06-26,781693.6136439553
2019-06-27,786548.7836439552
2019-06-28,785291.8380673656
2019-07-01,781914.5980673656
2019-07-02,778534.7807887058
2019-07-03,775654.4407887058
2019-07-04,776227.2207887059
2019-07-05,786375.2607887058
2019-07-08,801828.8107887058
2019-07-09,803644.3109387058
2019-07-10,810042.2909387058
2019-07-11,803832.7309387058
2019-07-12,800233.9409387058
2019-07-15,803670.0309387059
2019-07-16,795567.9220410356
2019-07-17,796267.0920410355
2019-07-18,799283.8120410356
2019-07-19,811878.2020410355
2019-07-22,808653.6757910355
2019-07-23,808738.3557910356
2019-07-24,822375.6957910355
2019-07-25,828763.8757910356
2019-07-26,826017.2757910355
2019-07-29,834647.9710910355
2019-07-30,852290.5410910355
2019-07-31,837147.8710910355
2019-08-01,840186.8710910355
2019-08-02,839311.9007510355
2019-08-05,850697.1711510355
2019-08-06,845966.8011510355
2019-08-07,863505.9611510355
2019-08-08,851345.8372943444
2019-08-09,851939.1952343443
2019-08-13,860625.2904877155
2019-08-14,849633.8181677156
2019-08-16,847199.1108677156
2019-08-19,847342.5108677156
2019-08-20,855173.8708677156
2019-08-21,870369.3208677155
2019-08-22,882658.1908677155
2019-08-23,873162.7750627155
2019-08-26,866690.3750627156
2019-08-27,853903.9750627156
2019-08-28,860845.8250627156
2019-08-29,863917.7750627156
2019-08-30,854155.6258127156
2019-09-03,869438.5258127155
2019-09-04,864824.9758127156
2019-09-05,860351.6758127155
2019-09-06,856001.0758127156
2019-09-09,851453.6606127155
2019-09-11,834531.9606127156
2019-09-12,833534.0268358767
2019-09-13,825210.4268358768
2019-09-16,829074.6785858768
2019-09-17,842061.3785858768
2019-09-18,836133.3785858768
2019-09-19,847404.0785858767
2019-09-20,807002.5168329914
2019-09-23,794884.4706143442
2019-09-24,802444.1206143443
2019-09-25,811631.3706143443
2019-09-26,807860.8206143442
2019-09-27,815677.4206143442
2019-09-30,814426.3706143443
2019-10-01,826362.1706143443
2019-10-03,829147.8206143442
2019-10-04,831042.4155143442
2019-10-07,835632.5355143442
2019-10-09,821461.9269143442
2019-10-10,832348.5445223441
2019-10-11,824641.0245223442
2019-10-14,821324.0645223442
2019-10-15,819807.7445223442
2019-10-16,818277.9576423442
2019-10-17,810375.8831623442
2019-10-18,807027.5931623442
2019-10-22,818731.4031623442
2019-10-23,814184.6031623442
2019-10-24,820069.8331623442
2019-10-25,815197.4531623442
2019-10-27,813993.5331623442
2019-10-29,808752.9754483211
