,equity
2018-01-01,1000000.0
2018-01-02,1000000.0
2018-01-03,1000000.0
2018-01-04,1000000.0
2018-01-05,1000000.0
2018-01-08,1000000.0
2018-01-09,1000000.0
2018-01-10,1000000.0
2018-01-11,1000000.0
2018-01-12,1000000.0
2018-01-15,1000000.0
2018-01-16,1000000.0
2018-01-17,1000000.0
2018-01-18,1000000.0
2018-01-19,1000000.0
2018-01-22,1000000.0
2018-01-23,1000000.0
2018-01-24,1000000.0
2018-01-25,1000000.0
2018-01-29,1000000.0
2018-01-30,1000000.0
2018-01-31,1000000.0
2018-02-01,1000000.0
2018-02-02,1000000.0
2018-02-05,1000000.0
2018-02-06,1000000.0
2018-02-07,1000000.0
2018-02-08,1000000.0
2018-02-09,1000000.0
2018-02-12,1000000.0
2018-02-14,1000000.0
2018-02-15,1000000.0
2018-02-16,1000000.0
2018-02-19,1000000.0
2018-02-20,1000000.0
2018-02-21,1000000.0
2018-02-22,1000000.0
2018-02-23,1000000.0
2018-02-26,1000000.0
2018-02-27,1000000.0
2018-02-28,1000000.0
2018-03-01,1000000.0
2018-03-05,1000000.0
2018-03-06,1000000.0
2018-03-07,1000000.0
2018-03-08,1000000.0
2018-03-09,1000000.0
2018-03-12,1000000.0
2018-03-13,1000000.0
2018-03-14,1002507.45
2018-03-15,1005388.35
2018-03-16,1005640.55
2018-03-19,1005723.0
2018-03-20,1006343.8
2018-03-21,1005524.15
2018-03-22,1005519.3
2018-03-23,1003357.6
2018-03-26,1010071.1
2018-03-27,1013600.65
2018-03-28,1015214.2
2018-04-02,1017185.75
2018-04-03,1019472.1
2018-04-04,1014121.85
2018-04-05,1023675.4
2018-04-06,1025252.25
2018-04-09,1033293.25
2018-04-10,1036036.55
2018-04-11,1033774.15
2018-04-12,1036590.9
2018-04-13,1042012.6
2018-04-16,1047195.9162924746
2018-04-17,1049866.7162924747
2018-04-18,1041893.6662924746
2018-04-19,1042702.2162924745
2018-04-20,1042295.0162924746
2018-04-23,1046434.3162924746
2018-04-24,1050965.3162924745
2018-04-25,1048605.2162924747
2018-04-26,1064437.7162924744
2018-04-27,1063103.1662924746
2018-04-30,1074341.4662924747
2018-05-02,1062587.1662924746
2018-05-03,1055807.9162924746
2018-05-04,1053264.3162924745
2018-05-07,1061846.9662924747
2018-05-08,1062490.7162924747
2018-05-09,1060007.0662924745
2018-05-10,1054648.3454033753
2018-05-11,1064586.0454033753
2018-05-14,1060596.6353533752
2018-05-15,1052001.2353533753
2018-05-16,1048916.3353533752
2018-05-17,1043338.9523186727
2018-05-18,1043810.0523186726
2018-05-21,1035048.5191344824
2018-05-22,1036870.3191344823
2018-05-23,1026988.6191344823
2018-05-24,1029237.5191344823
2018-05-25,1042661.2191344823
2018-05-28,1041967.5695344823
2018-05-29,1042067.1695344823
2018-05-30,1052025.9695344823
2018-05-31,1052339.0695344824
2018-06-01,1043281.4788344823
2018-06-04,1040326.7788344823
2018-06-05,1034082.9843691824
2018-06-06,1042399.6843691823
2018-06-07,1044621.6843691823
2018-06-08,1046430.3343691824
2018-06-11,1047872.4443691823
2018-06-12,1050584.0943691824
2018-06-13,1049676.2943691823
2018-06-14,1048320.8943691823
2018-06-15,1053821.4343691824
2018-06-18,1054001.7965691823
2018-06-19,1041056.4642522866
2018-06-20,1044962.5042522866
2018-06-21,1038384.1542522865
2018-06-22,1047609.5542522866
2018-06-25,1047189.7042522866
2018-06-26,1043337.9042522865
2018-06-27,1032998.6659450813
2018-06-28,1024793.3159450813
2018-06-29,1032382.9659450813
2018-07-02,1036449.9659450813
2018-07-03,1044453.1559450813
2018-07-04,1047234.6659450813
2018-07-05,1036204.1659450814
2018-07-06,1029741.5059450814
2018-07-09,1032988.1059450813
2018-07-10,1035546.2659450814
2018-07-11,1031398.9559450813
2018-07-12,1031307.2891581651
2018-07-13,1032757.5491581652
2018-07-16,1020707.1689860928
2018-07-17,1028181.7789860928
2018-07-18,1026440.6689860928
2018-07-19,1024251.4289860928
2018-07-20,1039104.0394865081
2018-07-23,1040767.6611219696
2018-07-24,1042760.3111219696
2018-07-25,1042072.4111219696
2018-07-26,1053374.5611219695
2018-07-27,1056924.0611219695
2018-07-30,1059857.9711219696
2018-07-31,1068472.8378719694
2018-08-01,1075330.7378719696
2018-08-02,1066251.4878719694
2018-08-03,1066475.8878719695
2018-08-06,1075348.2636719695
2018-08-07,1066825.1836719695
2018-08-08,1078314.7448147752
2018-08-09,1077602.9948147752
2018-08-10,1076906.4948147752
2018-08-13,1070978.9776974975
2018-08-14,1084201.5276974975
2018-08-16,1080868.6776974974
2018-08-17,1092733.7776974975
2018-08-20,1093229.3268974975
2018-08-21,1099113.6268974976
2018-08-23,1115457.8268974975
2018-08-24,1117257.0768974975
2018-08-27,1123348.5184974975
2018-08-28,1125101.3684974976
2018-08-29,1118204.5684974976
2018-08-30,1115412.2184974975
2018-08-31,1113935.4684974975
2018-09-03,1101055.3059534975
2018-09-04,1089793.7059534974
2018-09-05,1085549.2059534974
2018-09-06,1093739.0059534975
2018-09-07,1104845.127632538
2018-09-10,1082652.077632538
2018-09-11,1069688.3368086235
2018-09-12,1076204.3368086235
2018-09-14,1087396.7868086237
2018-09-17,1077188.3368086235
2018-09-18,1069367.138889247
2018-09-19,1067179.5888892473
2018-09-21,1055164.1475078538
2018-09-24,1043996.3750078538
2018-09-25,1044960.2750078539
2018-09-26,1038501.2497479153
2018-09-27,1035436.5997479153
2018-09-28,1034413.2997479154
2018-10-01,1036937.3416479153
2018-10-03,1033676.0916479153
2018-10-04,1023440.6916479153
2018-10-05,1022848.4192273552
2018-10-08,1017687.9192273552
2018-10-09,1024361.6692273552
2018-10-10,1023877.4192273552
2018-10-11,1021697.9192273552
2018-10-12,1022404.9192273552
2018-10-15,1028765.9147273551
2018-10-16,1028175.964727355
2018-10-17,1026331.4147273551
2018-10-19,1023119.2147273552
2018-10-22,1023280.1859393932
2018-10-23,1019814.2859393932
2018-10-24,1017904.6359393932
2018-10-25,1020832.0359393932
2018-10-26,1021002.1359393932
2018-10-29,1023593.8359393933
2018-10-30,1022754.1359393932
2018-10-31,1028372.6859393932
2018-11-01,1026756.4359393932
2018-11-02,1021455.8859393932
2018-11-05,1018179.4216893932
2018-11-06,1017183.6216893932
2018-11-07,1021590.8716893932
2018-11-09,1023080.9716893932
2018-11-12,1016486.9716893932
2018-11-13,1022321.9755604487
2018-11-14,1026038.0255604488
2018-11-15,1036908.0755604488
2018-11-16,1039589.4255604488
2018-11-19,1034653.5255604488
2018-11-20,1027694.8737745803
2018-11-21,1028852.7737745803
2018-11-22,1017857.1737745804
2018-11-26,1030548.0737745803
2018-11-27,1039974.9737745803
2018-11-28,1030786.6737745804
2018-11-29,1033344.0737745803
2018-11-30,1033802.7237745803
2018-12-03,1049096.3737745802
2018-12-04,1041792.4237745802
2018-12-05,1029373.8737745803
2018-12-06,1010543.1847825804
2018-12-07,1022736.9347825804
2018-12-10,1006647.0347825803
2018-12-11,1020172.8847825803
2018-12-12,1040734.3347825804
2018-12-13,1050312.6847825802
2018-12-14,1049525.0347825803
2018-12-17,1050358.7557825802
2018-12-18,1055947.9057825804
2018-12-19,1063604.6057825803
2018-12-20,1066686.8057825803
2018-12-21,1041505.6057825802
2018-12-24,1038097.7057825803
2018-12-26,1041737.4557825803
2018-12-27,1046629.3057825803
2018-12-28,1060467.9057825801
2018-12-31,1061554.9946825802
2019-01-01,1060465.3583825803
2019-01-02,1052280.4983825802
2019-01-03,1046189.7983825804
2019-01-04,1053125.4684825803
2019-01-07,1050691.9384825802
2019-01-08,1054587.5584825804
2019-01-09,1059059.1784825805
2019-01-10,1060671.4484825803
2019-01-11,1053164.8664825803
2019-01-14,1053209.0335325804
2019-01-15,1050855.8635325804
2019-01-16,1051660.0835325804
2019-01-17,1056198.9135325802
2019-01-18,1054798.7035325803
2019-01-21,1044417.9520797535
2019-01-22,1040786.0520797536
2019-01-23,1029640.0402268515
2019-01-24,1034538.7403895562
2019-01-25,1033035.8403895561
2019-01-28,1025460.8403895561
2019-01-29,1029497.8903895562
2019-01-30,1024647.0569019421
2019-01-31,1037720.5569019421
2019-02-01,1043445.1569019422
2019-02-04,1054427.7569019422
2019-02-05,1055984.4807519421
2019-02-06,1061555.8307519422
2019-02-07,1061617.180751942
2019-02-08,1056169.3807519423
2019-02-11,1050563.380751942
2019-02-12,1044288.2307519421
2019-02-13,1042656.3178074457
2019-02-14,1037862.0678074457
2019-02-15,1030931.7678074457
2019-02-18,1021695.1942359349
2019-02-19,1014516.8442359349
2019-02-20,1022933.8442359349
2019-02-21,1026739.5942359349
2019-02-22,1022340.194235935
2019-02-25,1030750.044235935
2019-02-26,1031495.544235935
2019-02-27,1027290.4942359349
2019-02-28,1032055.844235935
2019-03-01,1034358.044235935
2019-03-05,1038263.344235935
2019-03-06,1041802.544235935
2019-03-07,1031993.694235935
2019-03-08,1033518.3638772161
2019-03-11,1053143.0256274682
2019-03-12,1063797.9856274684
2019-03-13,1054160.2056274684
2019-03-14,1053672.7456274685
2019-03-15,1056939.5632893082
2019-03-18,1061962.2770893082
2019-03-19,1066217.2770893082
2019-03-20,1054115.3270893083
2019-03-22,1048575.491798741
2019-03-25,1046680.2917987411
2019-03-26,1055617.7097987412
2019-03-27,1054526.649798741
2019-03-28,1057758.799798741
2019-03-29,1061158.2197987412
2019-04-01,1061020.743548741
2019-04-02,1057732.893548741
2019-04-03,1050014.373548741
2019-04-04,1042180.5802735452
2019-04-05,1050115.5812735453
2019-04-08,1038810.7412735452
2019-04-09,1043282.8653375452
2019-04-10,1037821.7253375453
2019-04-11,1045752.6453375452
2019-04-12,1043705.0653375452
2019-04-15,1045637.9821375452
2019-04-16,1049426.8021375453
2019-04-18,1047411.3621375452
2019-04-22,1032503.8221375452
2019-04-23,1029363.9820328938
2019-04-24,1042354.4420328938
2019-04-25,1045045.6320328938
2019-04-26,1041551.2245149728
2019-04-30,1042179.7394149727
2019-05-02,1039634.8394149727
2019-05-03,1036511.9694149727
2019-05-06,1029929.0397491506
2019-05-07,1019166.1706699298
2019-05-08,1011018.4465464769
2019-05-09,1004587.0311102325
2019-05-10,991799.8681020113
2019-05-13,982871.5329640394
2019-05-14,976874.950373072
2019-05-15,973499.8755391564
2019-05-16,980230.8255391563
2019-05-17,984746.9255391563
2019-05-20,992273.1453583038
2019-05-21,977594.6453583038
2019-05-22,982192.7953583038
2019-05-23,980607.4953583038
2019-05-24,1007418.0679583037
2019-05-27,1022058.5179583038
2019-05-28,1014800.0679583037
2019-05-29,999463.3679583038
2019-05-30,1008253.2679583037
2019-05-31,1006843.4179583037
2019-06-03,1015251.7679583037
2019-06-04,1011245.7639583037
2019-06-06,996093.2639583037
2019-06-07,999350.2139583037
2019-06-10,1000220.1139583037
2019-06-11,1005678.2639583037
2019-06-12,993552.3639583037
2019-06-13,995635.0639583037
2019-06-14,986980.0334730585
2019-06-17,978503.5834730585
2019-06-18,978707.7834730585
2019-06-19,973414.3334730585
2019-06-20,989905.2834730585
2019-06-21,988176.3334730585
2019-06-24,991731.0729055289
2019-06-25,996979.6729055289
2019-06-26,1009633.8229055289
2019-06-27,1015947.9729055288
2019-06-28,1013473.8729055289
2019-07-01,1026591.7729055289
2019-07-02,1018798.0729055289
2019-07-03,1018163.5729055288
2019-07-04,1015669.3229055289
2019-07-05,1002788.9729055288
2019-07-08,982907.2907017171
2019-07-09,983704.0407017171
2019-07-10,971447.0407017171
2019-07-11,979539.4407017172
2019-07-12,986290.1407017172
2019-07-15,984187.7407017172
2019-07-16,987661.8907017172
2019-07-17,989576.2407017172
2019-07-18,976136.1907017172
2019-07-19,967028.9407017172
2019-07-22,957205.7097879312
2019-07-23,960061.3597879312
2019-07-24,958931.6097879312
2019-07-25,959315.8097879312
2019-07-26,955047.4677349337
2019-07-29,954829.6177349336
2019-07-30,953987.8677349336
2019-07-31,956058.5177349336
2019-08-01,951180.9177349337
2019-08-02,953200.6677349337
2019-08-05,955510.4237349337
2019-08-06,958778.0737349337
2019-08-07,957394.3237349337
2019-08-08,961895.6737349337
2019-08-09,963702.2737349337
2019-08-13,955424.7737349337
2019-08-14,956005.4237349337
2019-08-16,954732.5737349337
2019-08-19,955175.6237349337
2019-08-20,958654.2237349337
2019-08-21,962370.3737349337
2019-08-22,961806.5737349337
2019-08-23,964388.2237349337
2019-08-26,969313.3237349337
2019-08-27,963979.2237349337
2019-08-28,969797.3737349337
2019-08-29,973773.6237349337
2019-08-30,979408.7237349337
2019-09-03,963885.1958100381
2019-09-04,962746.345810038
2019-09-05,961293.9958100381
2019-09-06,961826.6458100381
2019-09-09,961699.7958100381
2019-09-11,955777.8958100381
2019-09-12,945911.4081384566
2019-09-13,954863.8581384566
2019-09-16,959746.8081384567
2019-09-17,955108.8278474963
2019-09-18,956398.98436192
2019-09-19,949765.392065073
2019-09-20,993161.8582925269
2019-09-23,1023763.263292527
2019-09-24,1013870.4632925269
2019-09-25,1002178.213292527
2019-09-26,1021936.813292527
2019-09-27,1013262.038892527
2019-09-30,1002936.2781306772
2019-10-01,997051.9281306772
2019-10-03,991616.1281306772
2019-10-04,977453.9281306772
