,equity
2018-01-01,1000000.0
2018-01-02,1000000.0
2018-01-03,1000000.0
2018-01-04,1000000.0
2018-01-05,1000000.0
2018-01-08,1000000.0
2018-01-09,1000000.0
2018-01-10,1000000.0
2018-01-11,1000000.0
2018-01-12,1000000.0
2018-01-15,1000000.0
2018-01-16,1000000.0
2018-01-17,1000000.0
2018-01-18,1000000.0
2018-01-19,1000000.0
2018-01-22,1000000.0
2018-01-23,1000000.0
2018-01-24,1000000.0
2018-01-25,1000000.0
2018-01-29,1000000.0
2018-01-30,1000000.0
2018-01-31,1000000.0
2018-02-01,1000000.0
2018-02-02,1000000.0
2018-02-05,1000000.0
2018-02-06,1000000.0
2018-02-07,1000000.0
2018-02-08,1000000.0
2018-02-09,1000000.0
2018-02-12,1000000.0
2018-02-14,1000000.0
2018-02-15,1000000.0
2018-02-16,1000000.0
2018-02-19,1000000.0
2018-02-20,1000000.0
2018-02-21,1000000.0
2018-02-22,1000000.0
2018-02-23,1000000.0
2018-02-26,1000000.0
2018-02-27,1000000.0
2018-02-28,1000000.0
2018-03-01,1000000.0
2018-03-05,1000000.0
2018-03-06,1000000.0
2018-03-07,1000000.0
2018-03-08,1000000.0
2018-03-09,1000000.0
2018-03-12,1000000.0
2018-03-13,1000000.0
2018-03-14,999586.45
2018-03-15,999448.6
2018-03-16,995898.2
2018-03-19,989956.7047563863
2018-03-20,997071.8547563864
2018-03-21,1001328.2547563864
2018-03-22,997035.7547563864
2018-03-23,991428.2047563863
2018-03-26,991522.4720799759
2018-03-27,989183.2720799759
2018-03-28,986607.8720799759
2018-04-02,988790.0720799759
2018-04-03,987526.4720799759
2018-04-04,982946.0720799759
2018-04-05,986182.1220799759
2018-04-06,989751.7220799759
2018-04-09,991892.9720799759
2018-04-10,993700.7220799759
2018-04-11,992914.2220799759
2018-04-12,1001008.5220799759
2018-04-13,1005690.1720799758
2018-04-16,1008101.3220799759
2018-04-17,1014239.8720799759
2018-04-18,1007923.1709469105
2018-04-19,1011587.7709469106
2018-04-20,1017397.6409469106
2018-04-23,1025100.7359469106
2018-04-24,1021603.9659469106
2018-04-25,1022117.2159469106
2018-04-26,1037936.6159469106
2018-04-27,1040184.0859469105
2018-04-30,1052574.9159469106
2018-05-02,1040440.8859469106
2018-05-03,1029301.2659469106
2018-05-04,1027974.3659469106
2018-05-07,1036828.2659469105
2018-05-08,1040954.8159469105
2018-05-09,1037589.9016610174
2018-05-10,1033816.5716610175
2018-05-11,1045901.8016610175
2018-05-14,1044179.0016610174
2018-05-15,1035359.0516610175
2018-05-16,1042766.1016610174
2018-05-17,1038447.6216610174
2018-05-18,1042123.9716610175
2018-05-21,1030647.0336558487
2018-05-22,1034071.7836558487
2018-05-23,1026970.3836558487
2018-05-24,1031443.8169843818
2018-05-25,1045918.9169843819
2018-05-28,1044605.2425843818
2018-05-29,1034707.2225843818
2018-05-30,1038784.446210606
2018-05-31,1044890.296210606
2018-06-01,1030724.346210606
2018-06-04,1022372.7841548149
2018-06-05,1019888.234154815
2018-06-06,1026781.8041548149
2018-06-07,1036230.2341548149
2018-06-08,1031628.4041548149
2018-06-11,1034657.6961548149
2018-06-12,1038211.2261548149
2018-06-13,1039143.1461548149
2018-06-14,1033878.0461548149
2018-06-15,1040481.1361548149
2018-06-18,1036027.6227548149
2018-06-19,1026359.0747956791
2018-06-20,1029310.6847956792
2018-06-21,1019553.0165905462
2018-06-22,1025624.5773486014
2018-06-25,1025955.5773486014
2018-06-26,1024617.3432668785
2018-06-27,1019124.4332668786
2018-06-28,1009467.7215779437
2018-06-29,1011786.4715779438
2018-07-02,1013001.9715779438
2018-07-03,1024405.2315779438
2018-07-04,1029929.6715779437
2018-07-05,1021173.9215779437
2018-07-06,1017685.0315779437
2018-07-09,1025211.4815779437
2018-07-10,1026732.3215779437
2018-07-11,1027225.6815779437
2018-07-12,1036274.5315779437
2018-07-13,1044642.3715779438
2018-07-16,1032142.8897892785
2018-07-17,1038935.6526457373
2018-07-18,1040531.7126457372
2018-07-19,1044985.2526457373
2018-07-20,1060676.7428855249
2018-07-23,1072425.9526565429
2018-07-24,1081689.7026565429
2018-07-25,1090803.437419043
2018-07-26,1089778.087419043
2018-07-27,1088171.787419043
2018-07-30,1083597.977419043
2018-07-31,1098541.827419043
2018-08-01,1098191.487419043
2018-08-02,1088937.167378097
2018-08-03,1089860.507378097
2018-08-06,1093490.744578097
2018-08-07,1080760.164578097
2018-08-08,1092688.5823628004
2018-08-09,1094736.3323628001
2018-08-10,1092576.4572928003
2018-08-13,1083132.7849685529
2018-08-14,1094483.2649685529
2018-08-16,1097040.864968553
2018-08-17,1106756.064968553
2018-08-20,1114481.257368553
2018-08-21,1115050.6873685531
2018-08-23,1127907.1773685531
2018-08-24,1124974.307368553
2018-08-27,1133292.0087685531
2018-08-28,1140127.468768553
2018-08-29,1138627.948768553
2018-08-30,1136718.7450707918
2018-08-31,1137616.0550707919
2018-09-03,1116585.7050707918
2018-09-04,1098249.5431269968
2018-09-05,1090806.593126997
2018-09-06,1075980.189678704
2018-09-07,1084278.8196787038
2018-09-10,1069541.519678704
2018-09-11,1057042.6096787038
2018-09-12,1067423.0896787038
2018-09-14,1075789.219678704
2018-09-17,1065540.835278704
2018-09-18,1055303.8493889715
2018-09-19,1058252.8493889715
2018-09-21,1032793.489061192
2018-09-24,1031038.289061192
2018-09-25,1032301.189061192
2018-09-26,1025840.189061192
2018-09-27,1026007.789061192
2018-09-28,1022094.4890611919
2018-10-01,1026066.5963220021
2018-10-03,1020202.7963220021
2018-10-04,1015572.0727198148
2018-10-05,1016142.6727198148
2018-10-08,1012338.0727198148
2018-10-09,1011010.6505883372
2018-10-10,1009128.7505883372
2018-10-11,1008118.9505883371
2018-10-12,1009220.5505883371
2018-10-15,1010459.8505883372
2018-10-16,1010138.5505883371
2018-10-17,1011561.4505883371
2018-10-19,1011561.4505883371
2018-10-22,1011240.1505883372
2018-10-23,1006787.8505883372
2018-10-24,1006696.0505883371
2018-10-25,1003440.3785822346
2018-10-26,1003440.3785822346
2018-10-29,1003440.3785822346
2018-10-30,1003440.3785822346
2018-10-31,1003440.3785822346
2018-11-01,1001988.0785822346
2018-11-02,1007565.5285822346
2018-11-05,1008138.6785822347
2018-11-06,1007237.0285822346
2018-11-07,1003440.3785822346
2018-11-09,1009974.3785822346
2018-11-12,1008274.7285822346
2018-11-13,1012892.4285822345
2018-11-14,1019185.2785822346
2018-11-15,1021413.3785822346
2018-11-16,1021662.0785822347
2018-11-19,1021260.5285822346
2018-11-20,1015732.2285822346
2018-11-21,1016711.4785822346
2018-11-22,1012120.4285822347
2018-11-26,1020885.7785822346
2018-11-27,1026666.5785822346
2018-11-28,1011621.6785822347
2018-11-29,1016984.0785822346
2018-11-30,1016387.2285822346
2018-12-03,1026213.5285822346
2018-12-04,1023926.4285822347
2018-12-05,1011655.5285822346
2018-12-06,994466.3285822346
2018-12-07,1003699.2285822346
2018-12-10,983119.1417224271
2018-12-11,991122.7417224271
2018-12-12,1015703.691722427
2018-12-13,1023708.291722427
2018-12-14,1018443.391722427
2018-12-17,1025074.2417224271
2018-12-18,1029156.691722427
2018-12-19,1039684.841722427
2018-12-20,1035653.841722427
2018-12-21,1012892.041722427
2018-12-24,1005752.091722427
2018-12-26,1009272.041722427
2018-12-27,1018494.341722427
2018-12-28,1027989.191722427
2018-12-31,1024651.878822427
2019-01-01,1026165.278822427
2019-01-02,1023510.928822427
2019-01-03,1013260.278822427
2019-01-04,1019051.211822427
2019-01-07,1027303.4118224271
2019-01-08,1033531.6618224271
2019-01-09,1039024.6618224271
2019-01-10,1041374.8618224271
2019-01-11,1033757.5618224271
2019-01-14,1028846.4230224271
2019-01-15,1031257.5986224272
2019-01-16,1032983.9286224272
2019-01-17,1033438.7015572299
2019-01-18,1032061.2015572299
2019-01-21,1025686.9415572298
2019-01-22,1021098.8915572299
2019-01-23,1012615.8376980536
2019-01-24,1017330.1519643362
2019-01-25,1014343.0164643362
2019-01-28,1011754.13873741
2019-01-29,1011624.4387374099
2019-01-30,1011643.1387374098
2019-01-31,1015547.3387374099
2019-02-01,1017855.0387374099
2019-02-04,1017157.5887374099
2019-02-05,1022372.3387374099
2019-02-06,1023152.13873741
2019-02-07,1021266.1387374098
2019-02-08,1013234.1887374099
2019-02-11,1009662.4697374098
2019-02-12,1004582.6697374098
2019-02-13,1006034.2341827011
2019-02-14,1001576.184182701
2019-02-15,992717.2437474681
2019-02-18,989681.2309089333
2019-02-19,981642.6309089332
2019-02-20,986542.4341237611
2019-02-21,988962.2841237611
2019-02-22,986894.7460946211
2019-02-25,994498.8460946211
2019-02-26,993502.9960946211
2019-02-27,985767.6218892277
2019-02-28,984748.4218892277
2019-03-01,992403.3218892277
2019-03-05,984191.0218892277
2019-03-06,987818.1218892277
2019-03-07,979137.9218892277
2019-03-08,974989.9038939397
2019-03-11,986017.7038939396
2019-03-12,979990.1432322188
2019-03-13,971824.3932322187
2019-03-14,964485.4932322188
2019-03-15,967596.0732322187
2019-03-18,968396.0032322187
2019-03-19,975546.4932322188
2019-03-20,973559.2632322188
2019-03-22,973375.1632322187
2019-03-25,961911.0779409693
2019-03-26,970909.6679409692
2019-03-27,974515.5365927395
2019-03-28,974829.4265927394
2019-03-29,977977.4765927395
2019-04-01,987491.9095927394
2019-04-02,988656.1308861211
2019-04-03,984231.740886121
2019-04-04,981752.0608861211
2019-04-05,995289.1308861211
2019-04-08,990251.5808861211
2019-04-09,989086.7908861211
2019-04-10,988573.8708861211
2019-04-11,988441.1408861211
2019-04-12,994734.2208861212
2019-04-15,1005732.360886121
2019-04-16,1006061.8908861211
2019-04-18,990473.4608861211
2019-04-22,977209.5514358111
2019-04-23,970110.131435811
2019-04-24,966125.0231388854
2019-04-25,960653.2231388855
2019-04-26,968658.3331388854
2019-04-30,958534.8222941488
2019-05-02,964901.8422941488
2019-05-03,966173.5122941488
2019-05-06,958844.7322941488
2019-05-07,946373.2680941488
2019-05-08,942680.7906620539
2019-05-09,933407.2318086576
2019-05-10,931958.0218086576
2019-05-13,910573.6917586689
2019-05-14,916085.4417586689
2019-05-15,912272.8417586689
2019-05-16,916637.9417586689
2019-05-17,919831.791758669
2019-05-20,924891.541758669
2019-05-21,924980.5017586689
2019-05-22,928792.9917586689
2019-05-23,923054.1917586689
2019-05-24,944903.5217586689
2019-05-27,957777.651758669
2019-05-28,954301.4917586689
2019-05-29,945738.5517586689
2019-05-30,954093.291758669
2019-05-31,953490.7517586689
2019-06-03,963069.1117586689
2019-06-04,962862.181758669
2019-06-06,938126.3517586689
2019-06-07,942615.401758669
2019-06-10,939275.2117586689
2019-06-11,948526.5017586689
2019-06-12,938131.7017586689
2019-06-13,942976.0117586689
2019-06-14,930779.5817586689
2019-06-17,921230.3117586689
2019-06-18,926392.9617586689
2019-06-19,933036.041758669
2019-06-20,949133.1017586689
2019-06-21,942917.0117586689
2019-06-24,944775.401758669
2019-06-25,954595.3517586689
2019-06-26,967838.3517586689
2019-06-27,979877.2017586689
2019-06-28,978586.4917586689
2019-07-01,984707.9517586689
2019-07-02,986755.531758669
2019-07-03,992473.1117586689
2019-07-04,997921.8317586689
2019-07-05,985418.5017586689
2019-07-08,952279.4606086689
2019-07-09,967994.5206086688
2019-07-10,950447.8706086689
2019-07-11,967098.3706086688
2019-07-12,971378.9882086689
2019-07-15,968842.0682086688
2019-07-16,979596.8982086689
2019-07-17,981692.3382086689
2019-07-18,969034.614236624
2019-07-19,949522.5295824578
2019-07-22,948179.4765724578
2019-07-23,949743.9548724579
2019-07-24,944639.5048724578
2019-07-25,949783.6548724578
2019-07-26,949812.8798724578
2019-07-29,946390.2298724578
2019-07-30,946666.7298724578
2019-07-31,951337.4798724578
2019-08-01,944394.7298724578
2019-08-02,949478.0298724578
2019-08-05,946323.5298724578
2019-08-06,953613.7798724578
2019-08-07,953545.9798724578
2019-08-08,960582.4298724578
2019-08-09,962333.4798724578
2019-08-13,951813.9298724578
2019-08-14,954100.1298724578
2019-08-16,961356.5298724577
2019-08-19,956085.8798724578
2019-08-20,960716.7798724578
2019-08-21,962722.1798724579
2019-08-22,955704.6400861129
2019-08-23,956415.6400861129
2019-08-26,961000.5400861129
2019-08-27,961653.090086113
2019-08-28,964319.4113919865
2019-08-29,966064.5113919866
2019-08-30,974496.8613919866
2019-09-03,959879.5113919866
2019-09-04,956409.5113919866
2019-09-05,955252.5613919866
2019-09-06,957531.0113919866
2019-09-09,960504.8502919865
2019-09-11,959235.0002919865
2019-09-12,950157.4002919865
2019-09-13,955269.2002919866
2019-09-16,947552.0002919865
2019-09-17,933514.3309838234
2019-09-18,936897.6582587094
2019-09-19,930256.4582587094
2019-09-20,967182.6686622952
2019-09-23,988157.4414155658
2019-09-24,982047.4414155658
2019-09-25,977197.3914155659
2019-09-26,990524.1149655659
2019-09-27,983032.4449655658
2019-09-30,976423.4288155658
2019-10-01,970895.5796435889
2019-10-03,968832.0596435888
2019-10-04,952993.0896435889
2019-10-07,951683.3723935889
2019-10-09,960984.2932240913
2019-10-10,953612.9932240912
2019-10-11,954368.8732240913
2019-10-14,952852.7037097301
