variant,direction,trades,wins,losses,win_rate_pct,avg_win,avg_loss,avg_days_held,profit_factor,net_pnl,cagr_pct,sharpe,max_dd_pct,calmar,final_equity
adx_25_pure,LONG,658,248,410,37.69,18442.0,-8449.0,34.0,1.32,1109480.0,9.29,0.74,28.04,0.33,2034700.0
adx_25_above_50sma,LONG,658,241,417,36.63,17807.0,-7845.0,33.1,1.31,1019999.0,8.7,0.71,26.64,0.33,1948692.0
adx_25_above_200sma,LONG,601,218,383,36.27,15879.0,-7116.0,32.9,1.27,736076.0,6.7,0.59,27.8,0.24,1680305.0
adx_30,LONG,614,237,377,38.6,16220.0,-7129.0,33.1,1.43,1156542.0,9.59,0.78,29.11,0.33,2079761.0
adx_25_confluence,LONG,642,242,400,37.69,18852.0,-8330.0,33.6,1.37,1230209.0,10.07,0.81,26.43,0.38,2154741.0
adx_25_pure,SHORT,618,170,448,27.51,7029.0,-4051.0,30.2,0.66,-619795.0,-11.42,-0.81,66.81,-0.17,379105.0
adx_25_above_50sma,SHORT,596,154,442,25.84,6639.0,-3787.0,29.8,0.61,-651371.0,-12.4,-0.92,67.05,-0.18,347000.0
adx_25_above_200sma,SHORT,428,109,319,25.47,7305.0,-4186.0,29.3,0.6,-539036.0,-9.3,-0.78,57.91,-0.16,458284.0
adx_30,SHORT,483,138,345,28.57,7241.0,-4294.0,30.0,0.67,-482069.0,-7.89,-0.58,50.62,-0.16,518126.0
adx_25_confluence,SHORT,587,155,432,26.41,6535.0,-3854.0,29.8,0.61,-651933.0,-12.41,-0.94,66.84,-0.19,346471.0
