variant,symbol,direction,entry_date,exit_date,entry_price,exit_price,qty,days_held,exit_reason,gross_pnl,net_pnl
adx_30,COFORGE,LONG,2018-03-16,2018-03-19,194.00,179.07,515,3,INITIAL_STOP,-7691.52,-7883.65
adx_30,WIPRO,LONG,2018-03-14,2018-03-26,108.75,104.29,919,12,INITIAL_STOP,-4103.10,-4298.88
adx_30,AXISBANK,LONG,2018-04-11,2018-04-18,550.10,518.35,179,7,INITIAL_STOP,-5683.25,-5874.50
adx_30,COFORGE,LONG,2018-03-20,2018-04-23,174.00,217.50,570,34,TARGET,24795.00,24571.85
adx_30,CHOLAFIN,LONG,2018-04-24,2018-05-09,341.40,321.88,294,15,INITIAL_STOP,-5737.66,-5932.66
adx_30,GRASIM,LONG,2018-04-20,2018-05-21,1096.35,1043.05,89,31,INITIAL_STOP,-4744.06,-4934.47
adx_30,HDFCLIFE,LONG,2018-04-13,2018-05-24,500.25,470.96,197,41,INITIAL_STOP,-5771.09,-5962.42
adx_30,TITAN,LONG,2018-03-27,2018-05-28,948.45,928.90,104,62,MAX_HOLD,-2033.20,-2228.44
adx_30,DIVISLAB,LONG,2018-04-13,2018-05-30,1122.00,1055.42,88,47,INITIAL_STOP,-5859.13,-6050.75
adx_30,NESTLEIND,LONG,2018-04-05,2018-06-04,419.40,490.80,235,60,MAX_HOLD,16779.00,16565.10
adx_30,INDUSINDBK,LONG,2018-04-05,2018-06-04,1832.70,1902.20,53,60,MAX_HOLD,3683.50,3485.55
adx_30,TATAPOWER,LONG,2018-05-30,2018-06-04,82.45,77.70,1197,5,INITIAL_STOP,-5686.60,-5878.30
adx_30,PIDILITIND,LONG,2018-04-10,2018-06-11,497.00,529.00,198,62,MAX_HOLD,6336.00,6132.85
adx_30,HINDUNILVR,LONG,2018-04-18,2018-06-18,1450.50,1608.55,68,61,MAX_HOLD,10747.40,10539.38
adx_30,BRITANNIA,LONG,2018-04-19,2018-06-18,2683.50,3037.00,36,60,MAX_HOLD,12726.00,12520.06
adx_30,SBIN,LONG,2018-06-14,2018-06-19,286.55,271.40,349,5,INITIAL_STOP,-5288.77,-5483.50
adx_30,M&M,LONG,2018-06-01,2018-06-21,922.50,876.50,106,20,INITIAL_STOP,-4876.52,-5067.22
adx_30,ASIANPAINT,LONG,2018-05-16,2018-06-22,1305.15,1242.92,76,37,INITIAL_STOP,-4729.39,-4923.04
adx_30,RELIANCE,LONG,2018-06-22,2018-06-26,490.10,472.43,206,4,INITIAL_STOP,-3639.80,-3838.08
