variant,direction,trades,wins,losses,win_rate_pct,avg_win,avg_loss,avg_days_held,profit_factor,net_pnl,cagr_pct,sharpe,max_dd_pct,calmar,final_equity
pb_rsi40,LONG,557,237,320,42.55,16806.0,-8318.0,36.7,1.5,1321087.0,10.93,0.81,27.21,0.4,2291571.0
pb_rsi30,LONG,182,78,104,42.86,13368.0,-6788.0,37.0,1.48,336805.0,3.7,0.53,14.08,0.26,1336805.0
pb_rsi40_macd,LONG,102,39,63,38.24,14022.0,-5342.0,33.6,1.62,210286.0,2.38,0.61,6.79,0.35,1206934.0
pb_rsi40_volume_climax,LONG,415,174,241,41.93,16043.0,-7713.0,36.8,1.5,932592.0,8.52,0.8,18.91,0.45,1922675.0
pb_rsi40_confluence,LONG,16,8,8,50.0,13462.0,-4109.0,39.2,3.28,74825.0,0.91,0.72,1.94,0.47,1074825.0
pb_rsi40,SHORT,456,145,311,31.8,8115.0,-4856.0,31.3,0.78,-333360.0,-5.02,-0.39,46.99,-0.11,662555.0
pb_rsi30,SHORT,143,42,101,29.37,8591.0,-5251.0,30.1,0.68,-169474.0,-2.3,-0.36,23.09,-0.1,830526.0
pb_rsi40_macd,SHORT,80,18,62,22.5,8701.0,-5569.0,30.0,0.45,-188636.0,-2.58,-0.6,25.75,-0.1,811364.0
pb_rsi40_volume_climax,SHORT,339,103,236,30.38,7596.0,-4856.0,30.5,0.68,-363601.0,-5.5,-0.54,42.86,-0.13,635998.0
pb_rsi40_confluence,SHORT,33,9,24,27.27,7761.0,-6013.0,35.9,0.48,-74464.0,-0.96,-0.32,10.64,-0.09,925536.0
