cell_label,rsi_long,rsi_short,signal_age_max,signal_drift_max,trades,wins,losses,win_rate_pct,avg_win,avg_loss,profit_factor,sharpe,max_dd_pct,calmar,net_pnl,cagr_pct,long_trades,short_trades,long_wr,short_wr
baseline_60_40_age15_drift05,60.0,40.0,15,0.005,2918,1569,1349,53.77,22.09,-16.09,1.597,3.94,34.57,4.75,12950.28,164.2,1359,1559,48.79,58.11
short_rsi40_age15,60.0,40.0,15,0.005,2918,1569,1349,53.77,22.09,-16.09,1.597,3.94,34.57,4.75,12950.28,164.2,1359,1559,48.79,58.11
short_rsi40_age20,60.0,40.0,20,0.005,2960,1596,1364,53.92,22.02,-16.05,1.605,4.03,34.66,4.82,13256.04,167.18,1370,1590,48.91,58.24
short_rsi40_age30,60.0,40.0,30,0.005,3018,1630,1388,54.01,21.91,-15.91,1.617,4.13,32.07,5.33,13634.16,170.8,1386,1632,49.13,58.15
short_rsi40_age45,60.0,40.0,45,0.005,3067,1658,1409,54.06,21.75,-15.83,1.616,4.13,32.13,5.35,13746.18,172.0,1405,1662,49.18,58.18
short_rsi42_age15,60.0,42.0,15,0.005,3068,1648,1420,53.72,21.83,-16.04,1.58,3.91,32.51,5.15,13204.99,167.33,1339,1729,48.84,57.49
short_rsi42_age20,60.0,42.0,20,0.005,3104,1672,1432,53.87,21.76,-15.98,1.589,3.98,32.59,5.22,13489.43,170.13,1350,1754,48.96,57.64
short_rsi42_age30,60.0,42.0,30,0.005,3158,1699,1459,53.8,21.63,-15.85,1.59,4.0,32.66,5.25,13633.67,171.63,1367,1791,49.31,57.23
short_rsi42_age45,60.0,42.0,45,0.005,3200,1724,1476,53.87,21.51,-15.76,1.594,4.03,32.7,5.3,13818.24,173.38,1386,1814,49.42,57.28
short_rsi45_age15,60.0,45.0,15,0.005,3247,1716,1531,52.85,21.54,-15.97,1.512,3.62,33.19,4.87,12525.25,161.73,1309,1938,48.74,55.62
short_rsi45_age20,60.0,45.0,20,0.005,3276,1737,1539,53.02,21.43,-15.95,1.516,3.65,33.22,4.91,12677.3,163.22,1318,1958,48.94,55.77
short_rsi45_age30,60.0,45.0,30,0.005,3313,1756,1557,53.0,21.35,-15.85,1.52,3.68,33.28,4.95,12824.49,164.72,1336,1977,49.25,55.54
short_rsi45_age45,60.0,45.0,45,0.005,3357,1781,1576,53.05,21.22,-15.77,1.521,3.71,33.29,4.98,12941.28,165.81,1355,2002,49.37,55.54
short_rsi48_age15,60.0,48.0,15,0.005,3341,1749,1592,52.35,21.35,-16.07,1.46,3.36,35.32,4.39,11756.04,155.05,1287,2054,48.87,54.53
short_rsi48_age20,60.0,48.0,20,0.005,3365,1765,1600,52.45,21.28,-16.04,1.463,3.38,35.38,4.42,11888.91,156.49,1296,2069,49.07,54.57
short_rsi48_age30,60.0,48.0,30,0.005,3400,1787,1613,52.56,21.15,-15.98,1.466,3.42,35.43,4.46,12021.86,157.86,1313,2087,49.35,54.58
short_rsi48_age45,60.0,48.0,45,0.005,3445,1815,1630,52.69,21.02,-15.92,1.471,3.46,35.43,4.5,12211.04,159.58,1333,2112,49.44,54.73
long_rsi52_age15,52.0,40.0,15,0.005,3176,1659,1517,52.24,21.68,-16.12,1.471,3.51,37.56,4.03,11518.3,151.38,1679,1497,47.23,57.85
long_rsi55_age15,55.0,40.0,15,0.005,3113,1650,1463,53.0,21.71,-16.06,1.525,3.74,37.22,4.26,12334.67,158.72,1585,1528,48.14,58.05
long_rsi58_age15,58.0,40.0,15,0.005,3006,1596,1410,53.09,21.92,-16.08,1.543,3.73,36.97,4.29,12312.64,158.56,1461,1545,47.91,57.99
long_rsi60_age15,60.0,40.0,15,0.005,2918,1569,1349,53.77,22.09,-16.09,1.597,3.94,34.57,4.75,12950.28,164.2,1359,1559,48.79,58.11
p2_drift0.0050_rsi_l60_rsi_s40_age30,60.0,40.0,30,0.005,3018,1630,1388,54.01,21.91,-15.91,1.617,4.13,32.07,5.33,13634.16,170.8,1386,1632,49.13,58.15
p2_drift0.0085_rsi_l60_rsi_s40_age30,60.0,40.0,30,0.0085,3070,1651,1419,53.78,21.91,-16.03,1.59,4.04,32.76,5.16,13426.26,168.95,1404,1666,48.86,57.92
p2_drift0.0120_rsi_l60_rsi_s40_age30,60.0,40.0,30,0.012,3081,1655,1426,53.72,21.87,-16.02,1.584,4.02,32.85,5.13,13338.06,168.51,1410,1671,48.79,57.87
p2_drift0.0150_rsi_l60_rsi_s40_age30,60.0,40.0,30,0.015,3084,1655,1429,53.66,21.87,-16.09,1.574,3.96,32.85,5.09,13192.27,167.22,1409,1675,48.83,57.73
