path,variant,symbol,timeframe,exit_policy,exit_params,n_signals,mean_net,std_net,win_rate,pct_sl_first,composite_score,sharpe_score
C,rng0.004_norsi,NIFTY50,5min,T0,time_only,45,16.05,49.781,64.444,0.0,-8.84,0.20777529579558465
C,rng0.004_rsi40_60,NIFTY50,5min,T0,time_only,45,16.05,49.781,64.444,0.0,-8.84,0.20777529579558465
C,rng0.004_norsi,NIFTY50,5min,T1_SL75.0,sl_pts=75.0,45,15.65,50.482,64.444,2.222,-9.591,0.19978380412820412
C,rng0.004_rsi40_60,NIFTY50,5min,T1_SL75.0,sl_pts=75.0,45,15.65,50.482,64.444,2.222,-9.591,0.19978380412820412
C,rng0.004_norsi,NIFTY50,5min,T1_SL50.0,sl_pts=50.0,45,14.957,51.014,64.444,8.889,-10.55,0.18894595758027208
C,rng0.004_rsi40_60,NIFTY50,5min,T1_SL50.0,sl_pts=50.0,45,14.957,51.014,64.444,8.889,-10.55,0.18894595758027208
E,rsi_rsi40_60_15min,KOTAKBANK,15min,T3_RSI,rsi_cross_50,32,3.348,11.836,53.125,46.875,-2.57,0.15027247380871916
E,rsi_rsi40_60_15min,HINDUNILVR,15min,T0,time_only,56,4.415,15.489,51.786,0.0,-3.329,0.14761133062173154
E,cpr_rsi_rsi40_60_10min,KOTAKBANK,10min,T3_RSI,rsi_cross_50,31,3.752,14.208,54.839,45.161,-3.353,0.1448169538288288
E,base_15min,HINDUNILVR,15min,T0,time_only,64,5.095,17.122,48.438,0.0,-3.466,0.14413713935287936
C,rng0.004_norsi,NIFTY50,5min,T2_TR30.0,tr_pts=30.0;hard_sl=50.0,45,13.606,50.835,53.333,8.889,-11.812,0.14274590301957313
C,rng0.004_rsi40_60,NIFTY50,5min,T2_TR30.0,tr_pts=30.0;hard_sl=50.0,45,13.606,50.835,53.333,8.889,-11.812,0.14274590301957313
E,base_15min,KOTAKBANK,15min,T3_RSI,rsi_cross_50,39,3.264,11.8,51.282,48.718,-2.636,0.14185122711864404
C,rng0.004_norsi,NIFTY50,5min,T1_SL30.0,sl_pts=30.0,45,11.798,51.735,60.0,26.667,-14.07,0.13682806610611772
C,rng0.004_rsi40_60,NIFTY50,5min,T1_SL30.0,sl_pts=30.0,45,11.798,51.735,60.0,26.667,-14.07,0.13682806610611772
C,rng0.004_norsi,NIFTY50,5min,T2_TR20.0,tr_pts=20.0;hard_sl=50.0,45,13.118,50.199,48.889,8.889,-11.982,0.1277567086993765
C,rng0.004_rsi40_60,NIFTY50,5min,T2_TR20.0,tr_pts=20.0;hard_sl=50.0,45,13.118,50.199,48.889,8.889,-11.982,0.1277567086993765
E,cpr_rsi_rsi40_60_15min,HINDUNILVR,15min,T0,time_only,46,3.829,14.359,47.826,0.0,-3.35,0.12753377951110803
E,cpr_10min,KOTAKBANK,10min,T3_RSI,rsi_cross_50,34,3.254,13.75,52.941,47.059,-3.621,0.1252872829090909
E,cpr_rsi_rsi40_60_5min,HDFCBANK,5min,T3_RSI,rsi_cross_50,66,0.837,3.611,50.0,48.485,-0.968,0.11589587371919134
E,cpr_rsi_rsi40_60_10min,HDFCBANK,10min,T3_RSI,rsi_cross_50,54,0.618,2.816,51.852,42.593,-0.79,0.11379451704545455
A,gap0.003_rsi35_65,NIFTY50,5min,T3_RSI,rsi_cross_50,98,18.947,89.571,52.041,47.959,-25.839,0.11008259671098902
E,base_10min,HDFCBANK,10min,T3_RSI,rsi_cross_50,80,0.736,3.194,47.5,48.75,-0.861,0.10945522855353788
E,cpr_10min,HDFCBANK,10min,T3_RSI,rsi_cross_50,61,0.605,2.855,50.82,45.902,-0.822,0.10769211908931699
A,gap0.005_rsi30_70,NIFTY50,5min,T1_SL50.0,sl_pts=50.0,84,20.296,96.15,50.0,46.429,-27.778,0.10554342173686947
A,gap0.003_rsi30_70,NIFTY50,5min,T3_RSI,rsi_cross_50,64,15.367,80.359,53.125,46.875,-24.812,0.10159059657287922
A,gap0.003_rsi30_70,NIFTY50,5min,T1_SL50.0,sl_pts=50.0,64,19.969,95.785,48.438,46.875,-27.924,0.10098224377512138
E,rsi_rsi40_60_15min,HINDUNILVR,15min,T3_RSI,rsi_cross_50,56,2.979,12.703,42.857,55.357,-3.373,0.10050460757301426
E,cpr_5min,HDFCBANK,5min,T3_RSI,rsi_cross_50,71,0.755,3.815,50.704,47.887,-1.153,0.10034474442988205
A,gap0.005_rsi30_70,NIFTY50,5min,T1_SL75.0,sl_pts=75.0,84,18.935,101.668,53.571,34.524,-31.899,0.09977248347562653
A,gap0.007_rsi30_70,NIFTY50,5min,T1_SL50.0,sl_pts=50.0,89,19.174,95.353,49.438,47.191,-28.502,0.09941210155946852
A,gap0.005_rsi35_65,NIFTY50,5min,T1_SL75.0,sl_pts=75.0,120,20.354,109.934,53.333,38.333,-34.613,0.09874469063256135
A,gap0.003_rsi40_60,NIFTY50,5min,T1_SL75.0,sl_pts=75.0,125,22.313,117.466,51.2,40.0,-36.42,0.09725585275739362
E,base_5min,HDFCBANK,5min,T3_RSI,rsi_cross_50,98,0.695,3.808,53.061,45.918,-1.209,0.09684189863445378
A,gap0.005_rsi40_60,NIFTY50,5min,T1_SL75.0,sl_pts=75.0,150,21.06,114.517,52.0,40.0,-36.199,0.09562946986037008
A,gap0.005_rsi35_65,NIFTY50,5min,T3_RSI,rsi_cross_50,120,16.342,88.495,51.667,48.333,-27.906,0.09541127905531384
C,rng0.004_norsi,NIFTY50,5min,T3_RSI,rsi_cross_50,45,9.063,47.456,48.889,48.889,-14.665,0.09336669904753878
C,rng0.004_rsi40_60,NIFTY50,5min,T3_RSI,rsi_cross_50,45,9.063,47.456,48.889,48.889,-14.665,0.09336669904753878
A,gap0.007_rsi35_65,NIFTY50,5min,T1_SL75.0,sl_pts=75.0,125,19.15,109.481,52.8,38.4,-35.591,0.09235575122624017
E,cpr_15min,HINDUNILVR,15min,T0,time_only,51,3.015,15.017,45.098,0.0,-4.494,0.09054436305520411
A,gap0.007_rsi30_70,NIFTY50,5min,T1_SL75.0,sl_pts=75.0,89,17.322,101.44,52.809,34.831,-33.398,0.09017719814668768
