symbol,cohort,best_timeframe,best_variant,best_direction,best_exit_policy,best_n,best_mean_pct,best_win_rate,best_payoff,best_sharpe,robust_cells_count,promote
NESTLEIND,B,5min,t0.0030_ctxW_OR_N_w0.0065_n0.0090_5min_off_s,short,T_R_TARGET_1.0R,10,0.6485,90.0,10.866,1.4209,35,False
GRASIM,B,15min,t0.0050_ctxW_w0.0065_n0.0070_15min_off_s,short,T_NO,11,0.8419,90.91,1.43,1.21569,487,False
APOLLOHOSP,B,15min,t0.0050_ctxW_w0.0065_n0.0070_15min_off_l,long,T_R_TARGET_1.0R,11,0.4224,81.82,4.999,0.86573,192,False
DLF,B,5min,t0.0040_ctxW_w0.0050_n0.0070_5min_vm1.5_s,short,T_R_TARGET_1.0R,10,0.8507,90.0,0.864,0.8634,332,False
ULTRACEMCO,B,10min,t0.0040_ctxW_OR_N_w0.0080_n0.0090_10min_off_s,short,T_ATR_SL_0.5,10,0.7055,90.0,0.81,0.84641,70,False
NTPC,B,10min,t0.0030_ctxW_w0.0065_n0.0070_10min_off_s,short,T_R_TARGET_1.0R,10,0.7863,90.0,2.946,0.81411,488,False
ITC,A,10min,t0.0030_ctxW_OR_N_w0.0065_n0.0090_10min_vm2.0_s,short,T_ATR_SL_0.3,11,0.5301,81.82,1.991,0.80344,106,False
TATACONSUM,B,10min,t0.0030_ctxW_OR_N_w0.0065_n0.0090_10min_off_l,long,T_ATR_SL_0.3,10,0.9124,80.0,2.539,0.73516,265,False
TITAN,B,5min,t0.0050_ctxW_w0.0050_n0.0070_5min_vm1.5_l,long,T_R_TARGET_1.0R,10,0.6612,80.0,2.765,0.72877,145,False
IDFCFIRSTB,B,5min,t0.0030_ctxW_OR_N_w0.0065_n0.0050_5min_off_l,long,T_R_TARGET_1.0R,10,0.6059,80.0,2.512,0.72035,458,False
DABUR,B,10min,t0.0030_ctxW_OR_N_w0.0050_n0.0090_10min_off_s,short,T_R_TARGET_1.0R,12,0.3638,83.33,2.97,0.68471,86,False
MARUTI,B,15min,t0.0040_ctxW_OR_N_w0.0050_n0.0090_15min_off_l,long,T_ATR_SL_0.3,13,0.8101,76.92,2.579,0.66821,175,False
BHARTIARTL,A,5min,t0.0030_ctxW_w0.0080_n0.0070_5min_vm2.0_s,short,T_R_TARGET_1.0R,10,1.4503,80.0,2.837,0.66716,773,False
