variant,today_narrow,yesterday_ctx,wide_thresh,narrow_thresh,period,n_sessions,mean_per_day,median_per_day,p10,p90,max_per_day,days_ge_3,days_ge_5,total_setup_events
t0.0030_ctxW_w0.0050,0.003,W,0.005,0.005,full,5845,8.45765611633875,8.0,3.0,14.0,35.0,5375,4742,49435.0
t0.0030_ctxW_w0.0050,0.003,W,0.005,0.005,recent,488,9.118852459016393,8.0,3.0,15.300000000000011,35.0,451,389,4450.0
t0.0030_ctxN_n0.0050,0.003,N,0.005,0.005,full,5845,0.3592814371257485,0.0,0.0,1.0,9.0,9,2,2100.0
t0.0030_ctxN_n0.0050,0.003,N,0.005,0.005,recent,488,0.0430327868852459,0.0,0.0,0.0,4.0,2,0,21.0
t0.0030_ctxW_OR_N_w0.0050_n0.0050,0.003,W_OR_N,0.005,0.005,full,5845,8.759110350727116,8.0,3.0,14.0,35.0,5444,4897,51197.0
t0.0030_ctxW_OR_N_w0.0050_n0.0050,0.003,W_OR_N,0.005,0.005,recent,488,9.157786885245901,8.0,3.0,16.0,35.0,451,389,4469.0
t0.0030_ctxW_w0.0065,0.003,W,0.0065,0.007,full,5845,5.706415739948674,5.0,1.0,10.0,33.0,4754,3420,33354.0
t0.0030_ctxW_w0.0065,0.003,W,0.0065,0.007,recent,488,5.489754098360656,5.0,1.0,11.0,33.0,367,246,2679.0
t0.0030_ctxN_n0.0070,0.003,N,0.0065,0.007,full,5845,0.4708297690333618,0.0,0.0,1.0,24.0,42,14,2752.0
t0.0030_ctxN_n0.0070,0.003,N,0.0065,0.007,recent,488,0.3176229508196721,0.0,0.0,1.0,19.0,9,5,155.0
t0.0030_ctxW_OR_N_w0.0065_n0.0070,0.003,W_OR_N,0.0065,0.007,full,5845,6.116680923866553,6.0,2.0,11.0,33.0,4956,3711,35752.0
t0.0030_ctxW_OR_N_w0.0065_n0.0070,0.003,W_OR_N,0.0065,0.007,recent,488,5.788934426229508,5.0,1.0,11.0,33.0,382,260,2825.0
t0.0030_ctxW_w0.0080,0.003,W,0.008,0.009,full,5845,3.847219846022241,3.0,1.0,8.0,27.0,3645,1962,22487.0
t0.0030_ctxW_w0.0080,0.003,W,0.008,0.009,recent,488,3.221311475409836,3.0,0.0,7.0,27.0,250,115,1572.0
t0.0030_ctxN_n0.0090,0.003,N,0.008,0.009,full,5845,0.9996578272027374,1.0,0.0,2.0,46.0,450,151,5843.0
t0.0030_ctxN_n0.0090,0.003,N,0.008,0.009,recent,488,1.6434426229508197,1.0,0.0,4.0,38.0,99,48,802.0
t0.0030_ctxW_OR_N_w0.0080_n0.0090,0.003,W_OR_N,0.008,0.009,full,5845,4.78169375534645,4.0,1.0,9.0,49.0,4410,2746,27949.0
t0.0030_ctxW_OR_N_w0.0080_n0.0090,0.003,W_OR_N,0.008,0.009,recent,488,4.840163934426229,4.0,1.0,10.0,43.0,335,210,2362.0
t0.0040_ctxW_w0.0050,0.004,W,0.005,0.005,full,5845,11.078699743370402,11.0,4.0,18.0,43.0,5535,5241,64755.0
t0.0040_ctxW_w0.0050,0.004,W,0.005,0.005,recent,488,11.778688524590164,11.0,4.0,20.0,43.0,460,433,5748.0
t0.0040_ctxN_n0.0050,0.004,N,0.005,0.005,full,5845,0.3592814371257485,0.0,0.0,1.0,9.0,9,2,2100.0
t0.0040_ctxN_n0.0050,0.004,N,0.005,0.005,recent,488,0.0430327868852459,0.0,0.0,0.0,4.0,2,0,21.0
t0.0040_ctxW_OR_N_w0.0050_n0.0050,0.004,W_OR_N,0.005,0.005,full,5845,11.380153977758768,11.0,5.0,18.0,43.0,5569,5320,66517.0
t0.0040_ctxW_OR_N_w0.0050_n0.0050,0.004,W_OR_N,0.005,0.005,recent,488,11.817622950819672,11.0,4.0,20.0,43.0,460,433,5767.0
t0.0040_ctxW_w0.0065,0.004,W,0.0065,0.007,full,5845,7.5021385799828915,7.0,2.0,13.0,41.0,5187,4318,43850.0
t0.0040_ctxW_w0.0065,0.004,W,0.0065,0.007,recent,488,7.114754098360656,6.0,2.0,13.0,41.0,405,313,3472.0
t0.0040_ctxN_n0.0070,0.004,N,0.0065,0.007,full,5845,0.4708297690333618,0.0,0.0,1.0,24.0,42,14,2752.0
t0.0040_ctxN_n0.0070,0.004,N,0.0065,0.007,recent,488,0.3176229508196721,0.0,0.0,1.0,19.0,9,5,155.0
t0.0040_ctxW_OR_N_w0.0065_n0.0070,0.004,W_OR_N,0.0065,0.007,full,5845,7.91240376390077,7.0,3.0,14.0,41.0,5309,4561,46248.0
t0.0040_ctxW_OR_N_w0.0065_n0.0070,0.004,W_OR_N,0.0065,0.007,recent,488,7.413934426229508,6.0,2.0,14.0,41.0,417,326,3618.0
t0.0040_ctxW_w0.0080,0.004,W,0.008,0.009,full,5845,5.058682634730539,4.0,1.0,10.0,33.0,4374,2819,29568.0
t0.0040_ctxW_w0.0080,0.004,W,0.008,0.009,recent,488,4.149590163934426,3.0,1.0,8.0,33.0,296,173,2025.0
t0.0040_ctxN_n0.0090,0.004,N,0.008,0.009,full,5845,1.0,1.0,0.0,2.0,46.0,450,151,5845.0
t0.0040_ctxN_n0.0090,0.004,N,0.008,0.009,recent,488,1.6434426229508197,1.0,0.0,4.0,38.0,99,48,802.0
t0.0040_ctxW_OR_N_w0.0080_n0.0090,0.004,W_OR_N,0.008,0.009,full,5845,5.99349871685201,5.0,2.0,11.0,50.0,4924,3596,35032.0
t0.0040_ctxW_OR_N_w0.0080_n0.0090,0.004,W_OR_N,0.008,0.009,recent,488,5.76844262295082,5.0,1.0,11.0,44.0,370,259,2815.0
t0.0050_ctxW_w0.0050,0.005,W,0.005,0.005,full,5845,13.498374679213002,13.0,6.0,22.0,49.0,5588,5431,78898.0
t0.0050_ctxW_w0.0050,0.005,W,0.005,0.005,recent,488,14.235655737704919,13.0,5.0,24.30000000000001,49.0,468,450,6947.0
t0.0050_ctxN_n0.0050,0.005,N,0.005,0.005,full,5845,0.3592814371257485,0.0,0.0,1.0,9.0,9,2,2100.0
t0.0050_ctxN_n0.0050,0.005,N,0.005,0.005,recent,488,0.0430327868852459,0.0,0.0,0.0,4.0,2,0,21.0
t0.0050_ctxW_OR_N_w0.0050_n0.0050,0.005,W_OR_N,0.005,0.005,full,5845,13.799828913601369,14.0,6.0,22.0,49.0,5603,5470,80660.0
t0.0050_ctxW_OR_N_w0.0050_n0.0050,0.005,W_OR_N,0.005,0.005,recent,488,14.274590163934427,13.0,5.0,25.0,49.0,468,450,6966.0
t0.0050_ctxW_w0.0065,0.005,W,0.0065,0.007,full,5845,9.200684345594524,9.0,3.0,16.0,46.0,5387,4802,53778.0
t0.0050_ctxW_w0.0065,0.005,W,0.0065,0.007,recent,488,8.668032786885245,8.0,2.0,16.30000000000001,46.0,429,352,4230.0
t0.0050_ctxN_n0.0070,0.005,N,0.0065,0.007,full,5845,0.4708297690333618,0.0,0.0,1.0,24.0,42,14,2752.0
t0.0050_ctxN_n0.0070,0.005,N,0.0065,0.007,recent,488,0.3176229508196721,0.0,0.0,1.0,19.0,9,5,155.0
t0.0050_ctxW_OR_N_w0.0065_n0.0070,0.005,W_OR_N,0.0065,0.007,full,5845,9.610949529512403,9.0,3.3999999999999773,16.0,46.0,5466,4978,56176.0
t0.0050_ctxW_OR_N_w0.0065_n0.0070,0.005,W_OR_N,0.0065,0.007,recent,488,8.967213114754099,8.0,3.0,17.0,46.0,440,364,4376.0
t0.0050_ctxW_w0.0080,0.005,W,0.008,0.009,full,5845,6.237639007698888,5.0,1.0,12.0,39.0,4764,3544,36459.0
t0.0050_ctxW_w0.0080,0.005,W,0.008,0.009,recent,488,5.090163934426229,4.0,1.0,11.0,38.0,334,217,2484.0
t0.0050_ctxN_n0.0090,0.005,N,0.008,0.009,full,5845,1.0,1.0,0.0,2.0,46.0,450,151,5845.0
t0.0050_ctxN_n0.0090,0.005,N,0.008,0.009,recent,488,1.6434426229508197,1.0,0.0,4.0,38.0,99,48,802.0
t0.0050_ctxW_OR_N_w0.0080_n0.0090,0.005,W_OR_N,0.008,0.009,full,5845,7.172455089820359,6.0,2.0,13.0,50.0,5182,4214,41923.0
t0.0050_ctxW_OR_N_w0.0080_n0.0090,0.005,W_OR_N,0.008,0.009,recent,488,6.709016393442623,6.0,2.0,13.0,45.0,405,295,3274.0
