symbol,signal_dt,signal_k,signal_d,signal_adx,entry_dt,entry_price,exit_dt,exit_price,exit_reason,candles_held,gross_return_pct,net_return_pct
BEL,2026-02-27 13:45:00,28.965517241379796,26.892293813393035,28.51531595900053,2026-03-02 09:15:00,446.85,2026-03-04 12:15:00,447.0,X9OR4,18,0.0336,-0.0664
PNB,2026-02-24 09:45:00,30.89634638049738,28.11583187584498,39.17015924851646,2026-02-24 10:15:00,131.55,2026-02-24 12:15:00,130.36,X9OR4,4,-0.9046,-1.0046
MARICO,2026-02-20 10:15:00,28.730346650034857,22.856655863640622,26.350592926324687,2026-02-20 11:15:00,788.55,2026-02-26 11:15:00,799.05,X9OR4,36,1.3316,1.2316
COLPAL,2026-02-20 09:15:00,12.173705739842216,8.399161177218211,29.497212346918623,2026-02-20 09:45:00,2193.95,2026-02-23 14:15:00,2191.3,X9OR4,21,-0.1208,-0.2208
BANKBARODA,2026-02-19 14:15:00,32.46376811594196,27.246376811594214,43.857401126603904,2026-02-19 14:45:00,305.75,2026-02-24 09:15:00,308.95,X9OR4,25,1.0466,0.9466
BANKBARODA,2026-02-19 12:45:00,30.43478260869577,27.673429951691034,45.02746935365899,2026-02-19 14:15:00,304.8,2026-02-24 09:15:00,308.95,X9OR4,26,1.3615,1.2615
MARICO,2026-02-16 09:15:00,30.90980476139466,28.866283565930047,33.99027207532542,2026-02-16 09:45:00,768.3,2026-02-19 10:45:00,783.55,X9OR4,26,1.9849,1.8849
MARICO,2026-02-13 11:45:00,28.433758930742545,25.68720110991192,37.16532794808809,2026-02-16 09:15:00,767.9,2026-02-19 10:45:00,783.55,X9OR4,27,2.038,1.938
DABUR,2026-02-12 12:45:00,30.978260869564906,27.49956082564755,48.295714553096474,2026-02-12 13:45:00,520.8,2026-02-13 09:15:00,516.6,X9OR4,3,-0.8065,-0.9065
KOTAKBANK,2026-02-11 13:45:00,21.021177114739686,19.15731004895352,30.335741737953857,2026-02-11 14:15:00,429.95,2026-02-12 09:45:00,428.65,X9OR4,3,-0.3024,-0.4024
ULTRACEMCO,2026-02-11 13:45:00,13.43137254901958,12.081578310336438,26.71206554100962,2026-02-11 14:15:00,12956.05,2026-02-12 10:45:00,12914.0,X9OR4,5,-0.3246,-0.4246
AXISBANK,2026-01-29 09:45:00,20.394703226014904,16.087549232033908,26.76495896413758,2026-01-29 10:15:00,1330.45,2026-01-29 10:45:00,1337.3,X9OR4,1,0.5149,0.4149
FEDERALBNK,2026-01-21 11:45:00,32.03290831918038,29.42556807033073,28.737229947894875,2026-01-21 12:15:00,272.95,2026-01-23 09:45:00,280.05,X9OR4,19,2.6012,2.5012
FEDERALBNK,2026-01-20 14:15:00,14.472253052164428,9.83276518154451,41.450654758322905,2026-01-20 14:45:00,273.3,2026-01-21 09:15:00,272.45,X9OR4,1,-0.311,-0.411
AXISBANK,2026-01-20 10:15:00,36.871232436450015,34.27876371354643,44.178329325641776,2026-01-20 11:45:00,1305.95,2026-01-20 12:15:00,1302.1,X9OR4,1,-0.2948,-0.3948
AXISBANK,2026-01-19 13:45:00,30.055555555555618,30.034391534391542,43.90926394376601,2026-01-19 14:15:00,1306.05,2026-01-20 09:15:00,1303.8,X9OR4,2,-0.1723,-0.2723
COLPAL,2026-01-19 10:15:00,29.928330792196,26.32448886739628,25.624046892322493,2026-01-19 10:45:00,2106.15,2026-01-20 11:15:00,2159.0,X9OR4,13,2.5093,2.4093
SBIN,2026-01-14 12:45:00,36.36668594563331,33.65885868517454,34.9281044456205,2026-01-14 13:15:00,1026.6,2026-01-20 10:45:00,1039.0,X9OR4,31,1.2079,1.1079
AXISBANK,2026-01-07 11:45:00,29.299296373092194,28.386137850931068,30.444681725325786,2026-01-07 12:15:00,1290.75,2026-01-07 13:15:00,1288.5,X9OR4,2,-0.1743,-0.2743
BANKBARODA,2026-01-07 09:15:00,34.83566433566467,32.31367142342766,33.57960975980298,2026-01-07 09:45:00,307.25,2026-01-09 09:15:00,300.9,X9OR4,11,-2.0667,-2.1667
BEL,2026-01-06 14:45:00,28.29668204136302,24.60087784555883,28.4859354038157,2026-01-07 09:15:00,413.55,2026-01-12 09:15:00,413.55,X9OR4,24,0.0,-0.1
