side,stoch_k,stoch_sk,stoch_sd,stoch_os,exit_id,trades,win_rate,profit_factor,sharpe_ann,max_dd_pct,total_ret_pct,mean_ret_pct,avg_hold
long,14,5,3,30.0,X9_22_3.0,402,35.57,1.335,1.1,28.75,73.41,0.1826,19.3
short,14,5,3,30.0,X9_22_3.0,348,29.31,0.806,-1.01,50.53,-40.48,-0.1163,16.8
long,14,5,3,30.0,X9_15_3.0,402,38.06,1.297,0.95,34.72,72.09,0.1793,22.6
short,14,5,3,30.0,X9_15_3.0,348,31.9,0.903,-0.46,36.6,-21.93,-0.063,19.3
long,14,5,3,30.0,X9_22_2.0,402,30.85,0.995,-0.03,30.95,-0.87,-0.0022,8.1
short,14,5,3,30.0,X9_22_2.0,348,27.3,0.758,-1.77,48.29,-34.43,-0.0989,7.4
long,14,5,3,30.0,X9_15_2.0,402,32.59,0.966,-0.21,42.38,-6.21,-0.0154,9.4
short,14,5,3,30.0,X9_15_2.0,348,28.45,0.825,-1.19,37.63,-26.55,-0.0763,8.6
long,14,5,3,30.0,X9_OR_X4,402,32.59,1.388,1.39,21.2,69.28,0.1723,14.2
short,14,5,3,30.0,X9_OR_X4,348,25.57,0.897,-0.55,31.82,-17.73,-0.051,12.7
long,14,5,3,30.0,X9_OR_X10,402,30.85,1.085,0.45,23.94,14.97,0.0373,11.1
short,14,5,3,30.0,X9_OR_X10,348,24.71,0.827,-1.07,30.47,-28.06,-0.0806,10.4
long,14,5,3,30.0,X4,402,32.34,1.275,0.96,36.15,56.75,0.1412,17.6
short,14,5,3,30.0,X4,348,27.01,1.061,0.25,22.33,11.26,0.0324,16.5
long,14,5,3,30.0,X10,402,30.1,1.027,0.14,38.17,5.29,0.0132,12.8
short,14,5,3,30.0,X10,348,25.0,0.807,-1.17,32.59,-32.2,-0.0925,11.5
long,14,5,3,25.0,X9_22_3.0,296,36.82,1.396,1.3,19.54,59.92,0.2024,19.9
short,14,5,3,25.0,X9_22_3.0,235,28.51,0.839,-0.8,38.65,-22.48,-0.0957,16.8
long,14,5,3,25.0,X9_15_3.0,296,38.85,1.302,1.0,25.92,50.77,0.1715,22.7
short,14,5,3,25.0,X9_15_3.0,235,30.21,0.877,-0.59,34.17,-18.92,-0.0805,18.5
long,14,5,3,25.0,X9_22_2.0,296,32.43,0.995,-0.03,22.92,-0.61,-0.0021,8.4
short,14,5,3,25.0,X9_22_2.0,235,28.51,0.864,-0.91,26.73,-12.83,-0.0546,7.6
long,14,5,3,25.0,X9_15_2.0,296,33.78,1.005,0.03,28.99,0.67,0.0023,9.8
short,14,5,3,25.0,X9_15_2.0,235,29.36,0.951,-0.3,19.76,-4.87,-0.0207,8.8
long,14,5,3,25.0,X9_OR_X4,296,34.12,1.329,1.31,14.2,43.3,0.1463,14.4
short,14,5,3,25.0,X9_OR_X4,235,25.53,1.005,0.03,20.44,0.58,0.0024,12.8
long,14,5,3,25.0,X9_OR_X10,296,32.77,1.119,0.62,18.2,15.24,0.0515,11.5
