symbol,signal_dt,entry_dt,exit_dt,entry_price,exit_price,exit_reason,candles_held,net_return_pct,nifty_30m_adx14,nifty_30m_ema_bull,nifty_30m_volpct,nifty_d_above_ema50d,nifty_d_above_ema200d,nifty_d_ret20,nifty_d_vol20
ADANIENT,2024-04-02 13:45:00,2024-04-02 14:15:00,2024-04-03 09:15:00,3153.85,3132.6,X9OR4,2,-0.7737796661223584,16.854761448339616,1.0,0.22948158619381293,1.0,1.0,2.3272111041304555,0.7257788858832283
ADANIENT,2024-04-03 11:45:00,2024-04-03 12:15:00,2024-04-03 13:15:00,3149.95,3139.1,X9OR4,2,-0.4444499119033607,11.588733804382295,1.0,0.2201311803382568,1.0,1.0,2.1403096206071615,0.7265782324507808
ADANIENT,2024-05-16 11:45:00,2024-05-16 12:15:00,2024-05-16 12:45:00,2946.95,2921.7,X9OR4,1,-0.9568180661361748,15.774051986272845,1.0,0.34799608724149017,0.0,1.0,-0.32304060500617515,0.6486776077037555
ADANIENT,2024-05-16 14:45:00,2024-05-17 09:45:00,2024-05-22 09:15:00,2955.85,2985.9,X9OR4,17,0.9166280426950008,20.179099757335926,1.0,0.3979533231135512,1.0,1.0,1.1556364903029026,0.6670237480130831
ADANIENT,2025-01-02 12:45:00,2025-01-02 13:15:00,2025-01-02 13:45:00,2483.25,2492.8,X9OR4,1,0.2845766636464384,33.33479274656484,1.0,0.28892898557799956,0.0,1.0,-2.920413820057255,0.668385424403556
ADANIENT,2025-03-07 14:15:00,2025-03-07 14:45:00,2025-03-12 10:45:00,2181.25,2170.8,X9OR4,16,-0.5790830945558656,26.901942637371054,1.0,0.26782856482915496,0.0,0.0,-4.859836871294354,0.6741872511035127
ADANIENT,2025-04-16 13:45:00,2025-04-16 14:45:00,2025-04-22 14:45:00,2344.65,2371.8,X9OR4,36,1.057955345147467,38.39960411780169,1.0,0.2421893698407271,1.0,0.0,3.81856559155338,1.3324271233649347
ADANIENT,2025-10-06 11:45:00,2025-10-06 12:15:00,2025-10-07 11:45:00,2503.05,2495.4,X9OR4,11,-0.40562713489543123,34.27770678154252,1.0,0.1751185363159357,1.0,1.0,0.6466696599373822,0.4664286226300209
ADANIENT,2025-10-23 09:15:00,2025-10-23 12:15:00,2025-10-23 13:45:00,2498.45,2475.8,X9OR4,3,-1.0065620684824448,42.60903893145314,1.0,0.2346437036917848,1.0,1.0,2.6436027208834645,0.5351069617397766
ADANIENT,2025-11-18 13:45:00,2025-11-18 14:15:00,2025-11-18 14:45:00,2447.05,2435.5,X9OR4,1,-0.5719968942195779,11.37488219688604,1.0,0.16615023121103334,1.0,1.0,1.6734156895812813,0.4325397522559777
ADANIENT,2026-01-07 10:15:00,2026-01-07 10:45:00,2026-01-07 12:15:00,2276.85,2265.5,X9OR4,3,-0.5984957287480471,27.735616165212576,0.0,0.1839734383933469,1.0,1.0,0.8403074316033265,0.4487268697546479
ADANIPORTS,2024-05-16 14:45:00,2024-05-21 09:45:00,2024-05-28 09:15:00,1347.85,1418.6,X9OR4,59,5.149100419186112,31.500052279747166,1.0,0.2643071894514608,1.0,1.0,2.1379033242688195,0.6447339107981546
ADANIPORTS,2024-12-05 12:45:00,2024-12-05 13:15:00,2024-12-06 10:15:00,1275.05,1272.5,X9OR4,6,-0.2999921571703035,28.238164602681366,1.0,0.25772249492070787,1.0,1.0,1.9674629336950744,0.9859212790389192
ADANIPORTS,2025-06-25 12:45:00,2025-06-25 13:15:00,2025-06-25 13:45:00,1391.55,1391.1,X9OR4,1,-0.1323380403147602,22.438720326891605,1.0,0.2473071398474472,1.0,1.0,0.8787103845531163,0.6043165178291484
ADANIPORTS,2025-07-02 12:15:00,2025-07-02 13:45:00,2025-07-03 09:15:00,1448.25,1443.3,X9OR4,3,-0.4417918177110337,20.348307064420457,1.0,0.16991928225496314,1.0,1.0,4.071715518997654,0.640274640782315
ADANIPORTS,2025-07-03 09:45:00,2025-07-03 10:15:00,2025-07-03 11:15:00,1450.05,1441.1,X9OR4,2,-0.7172200958587667,19.106275489482318,1.0,0.19555044359943086,1.0,1.0,3.3842178305383497,0.6510719594039851
ADANIPORTS,2025-10-14 14:15:00,2025-10-15 09:15:00,2025-10-17 12:45:00,1435.45,1463.5,X9OR4,31,1.8540910515866074,24.13208818340899,1.0,0.24424490618782618,1.0,1.0,0.3043606641927932,0.5031483532674725
ADANIPORTS,2025-10-17 14:45:00,2025-10-21 13:45:00,2025-10-23 10:15:00,1478.95,1468.7,X9OR4,4,-0.7930592650191014,39.19914418452386,1.0,0.2355748598336345,1.0,1.0,2.037740650629072,0.553058083517687
ADANIPORTS,2025-11-17 12:45:00,2025-11-18 09:15:00,2025-11-18 10:15:00,1518.9,1497.1,X9OR4,2,-1.5352491934953048,14.970828466554163,1.0,0.18165789663063114,1.0,1.0,1.6734156895812813,0.4325397522559777
AMBUJACEM,2024-04-25 14:15:00,2024-04-25 14:45:00,2024-04-26 13:15:00,643.85,633.75,X9OR4,9,-1.6686883590898538,26.38182650715492,1.0,0.16771933927994323,1.0,1.0,1.773814613121183,0.5984510161380946
AMBUJACEM,2024-06-18 12:15:00,2024-06-18 14:45:00,2024-06-20 09:15:00,674.05,662.05,X9OR4,1,-1.8802833617684152,34.48306247322628,1.0,0.14247378011492026,1.0,1.0,4.739140899944738,1.8589279835752446
AMBUJACEM,2024-12-09 09:15:00,2024-12-09 10:45:00,2024-12-10 11:15:00,570.75,569.2,X9OR4,13,-0.3715724923346394,17.818102933034027,1.0,0.2508236713310793,1.0,1.0,0.7913314742361788,0.9610454202210741
AMBUJACEM,2025-03-21 09:45:00,2025-03-21 10:15:00,2025-03-25 13:15:00,508.4,525.4,X9OR4,30,3.243823760818253,58.302431600521096,1.0,0.2516800605726827,1.0,0.0,1.0692804235344244,0.7720757270574627
AMBUJACEM,2025-04-01 12:15:00,2025-04-01 12:45:00,2025-04-01 13:15:00,537.95,535.0,X9OR4,1,-0.6483781020541026,29.54762968099064,0.0,0.3662489213212941,1.0,1.0,4.321564132094546,0.8000462065294237
AMBUJACEM,2025-07-04 09:15:00,2025-07-04 10:15:00,2025-07-07 09:15:00,593.45,590.4,X9OR4,10,-0.6139438874378748,14.970723098913403,1.0,0.22519806961008235,1.0,1.0,2.6439457971107583,0.6498845466703309
AMBUJACEM,2025-07-23 12:15:00,2025-07-23 12:45:00,2025-07-25 09:15:00,620.45,615.0,X9OR4,5,-0.978394713514392,22.4186469456929,1.0,0.1658078342915504,1.0,1.0,0.0660858896643246,0.4941187265904143
AMBUJACEM,2025-12-16 13:45:00,2025-12-16 14:45:00,2025-12-17 09:15:00,548.65,547.15,X9OR4,1,-0.37339834138339556,14.201820157492898,1.0,0.17414362914546772,1.0,1.0,0.05324769654158068,0.5220584446031841
AMBUJACEM,2025-12-29 14:45:00,2025-12-30 09:15:00,2025-12-30 10:15:00,553.9,550.7,X9OR4,2,-0.6777216103989767,33.370058897375166,0.0,0.13470270962370925,1.0,1.0,-0.9954971373540844,0.46379375584189136
AMBUJACEM,2025-12-30 13:15:00,2025-12-30 13:45:00,2025-12-30 14:45:00,552.2,550.45,X9OR4,2,-0.4169141615356755,37.082829029055134,0.0,0.1374413655152035,1.0,1.0,-0.9954971373540844,0.46379375584189136
APOLLOHOSP,2024-06-18 12:45:00,2024-06-18 13:15:00,2024-06-20 09:15:00,6198.05,6164.8,X9OR4,4,-0.6364590476036818,34.51486821346611,1.0,0.15541648370224628,1.0,1.0,4.739140899944738,1.8589279835752446
APOLLOHOSP,2024-07-09 12:15:00,2024-07-09 13:15:00,2024-07-12 09:45:00,6300.4,6361.0,X9OR4,29,0.8618436924639764,22.018086111497915,1.0,0.1597769152343661,1.0,1.0,4.42418951077177,0.3234804998481796
APOLLOHOSP,2024-07-30 14:45:00,2024-07-31 09:15:00,2024-07-31 12:45:00,6664.25,6621.0,X9OR4,7,-0.748985257155719,36.951116547004936,1.0,0.2976972245613172,1.0,1.0,2.9631060691007294,0.5677120491739838
APOLLOHOSP,2024-08-01 09:45:00,2024-08-01 10:15:00,2024-08-05 09:15:00,6674.05,6637.35,X9OR4,22,-0.6498909957222349,33.867280947103396,1.0,0.22178650676758704,1.0,1.0,3.4293895652893314,0.5673907674638257
APOLLOHOSP,2024-09-27 13:15:00,2024-09-27 14:45:00,2024-09-30 13:15:00,7189.95,7197.3,X9OR4,9,0.0022260238249273423,32.38910389826329,1.0,0.17262611170657968,1.0,1.0,4.230692234805988,0.6566384397884262
APOLLOHOSP,2024-11-08 14:45:00,2024-11-11 09:15:00,2024-11-11 09:45:00,7435.05,7364.65,X9OR4,1,-1.0468665308236063,20.92362408253972,0.0,0.22626951918322943,0.0,1.0,-3.2688776199965908,0.7283251942127924
APOLLOHOSP,2025-03-20 12:45:00,2025-03-20 13:15:00,2025-03-27 09:15:00,6449.05,6495.8,X9OR4,40,0.6249129716779991,48.272991293390305,1.0,0.2442950623838872,0.0,0.0,-0.2260519202290978,0.7205336499345618
APOLLOHOSP,2025-07-03 09:45:00,2025-07-03 10:15:00,2025-07-09 09:15:00,7515.05,7532.5,X9OR4,34,0.13220071722742785,19.106275489482318,1.0,0.19555044359943086,1.0,1.0,3.3842178305383497,0.6510719594039851
APOLLOHOSP,2025-08-19 13:45:00,2025-08-19 14:15:00,2025-08-19 14:45:00,7832.05,7821.0,X9OR4,1,-0.2410869440312585,34.895784640161516,1.0,0.2126598996322589,1.0,1.0,-0.3662676440791879,0.6133799652983264
APOLLOHOSP,2025-09-12 12:15:00,2025-09-12 13:15:00,2025-09-15 09:15:00,7889.55,7829.5,X9OR4,4,-0.8611333979758057,27.349859623249053,1.0,0.14591902041591576,1.0,1.0,2.1157803650458273,0.5352495981673535
APOLLOHOSP,2025-10-09 09:15:00,2025-10-09 09:45:00,2025-10-10 10:15:00,7691.05,7677.5,X9OR4,13,-0.2761788052346582,20.716972238383068,1.0,0.22332631566453603,1.0,1.0,0.7139556872477248,0.4910575942072006
APOLLOHOSP,2026-02-04 13:15:00,2026-02-04 13:45:00,2026-02-05 10:45:00,7123.55,7062.5,X9OR4,6,-0.9570165156417823,24.50125362397611,1.0,0.3058427274567394,1.0,1.0,-2.282693054370488,0.8411258720286048
ASIANPAINT,2024-05-24 12:15:00,2024-05-24 12:45:00,2024-05-24 13:15:00,2891.05,2877.0,X9OR4,1,-0.5859826014769783,57.146987937924,1.0,0.22859226093905363,1.0,1.0,2.6808404444966127,0.7031564087817217
