entry_month,trades,wins,sum_ret_pct,mean_ret_pct,max_dd_in_month,win_rate
2024-01,16,5,-3.44,-0.21,5.77,31.2
2024-02,14,6,7.13,0.51,5.49,42.9
2024-03,15,6,-1.61,-0.11,7.2,40.0
2024-04,17,9,5.48,0.32,6.9,52.9
2024-05,15,5,-6.18,-0.41,8.3,33.3
2024-06,19,5,0.44,0.02,14.84,26.3
2024-07,30,18,38.24,1.27,5.93,60.0
2024-08,21,4,-5.9,-0.28,13.4,19.0
2024-09,15,7,9.31,0.62,12.81,46.7
2024-10,10,0,-10.35,-1.04,13.07,0.0
2024-11,15,7,-2.55,-0.17,21.96,46.7
2024-12,13,4,3.69,0.28,14.43,30.8
2025-01,15,3,-4.56,-0.3,16.48,20.0
2025-02,8,3,-3.93,-0.49,20.41,37.5
2025-03,17,5,9.81,0.58,20.24,29.4
2025-04,21,14,56.85,2.71,11.94,66.7
2025-05,18,7,1.82,0.1,4.22,38.9
2025-06,11,7,10.47,0.95,3.84,63.6
2025-07,15,2,-7.38,-0.49,8.27,13.3
2025-08,12,4,-0.48,-0.04,9.16,33.3
2025-09,15,8,4.45,0.3,8.71,53.3
2025-10,26,12,5.02,0.19,6.84,46.2
2025-11,16,8,3.43,0.21,4.61,50.0
2025-12,11,3,0.17,0.02,3.72,27.3
2026-01,6,2,1.62,0.27,2.52,33.3
2026-02,11,6,2.05,0.19,5.9,54.5
