symbol,ema_cross_dt,ema_cross_close,stoch_touch_dt,stoch_touch_min,candles_a_to_b,setup_dt,setup_open,setup_high,setup_low,setup_close,setup_ema20,setup_ema50,setup_ema_spread_pct,setup_k,setup_d,candles_b_to_c,trigger_price,validity_candles,filled,fill_dt,fill_price,candles_to_fill,no_fill_reason,min_kd_at_setup
RELIANCE,2026-03-06T10:45:00,1416.1,2026-03-11T12:15:00,13.180521790440766,39,2026-03-11T12:15:00,1397.9,1402.2,1397.7,1401.5,1405.1372030955558,1404.072533254963,0.0758272678495243,13.891441858753083,13.180521790440766,0,1401.55,10,1,2026-03-11T12:45:00,1401.55,1.0,,13.180521790440766
HINDUNILVR,2026-02-23T13:15:00,2344.2,2026-02-27T12:15:00,18.958746767695047,34,2026-02-27T12:15:00,2347.0,2358.9,2343.3,2355.7,2358.927485229129,2353.313528464636,0.2385554111931651,23.278008298755196,18.958746767695047,0,2355.75,10,1,2026-02-27T12:45:00,2355.75,1.0,,18.958746767695047
KOTAKBANK,2026-02-23T10:45:00,428.6,2026-02-25T13:15:00,7.194980944980974,17,2026-02-25T13:15:00,422.9,423.55,422.5,423.1,425.4116714672977,424.8806788885803,0.1249745175766408,9.256993006993104,7.194980944980974,0,423.15,10,1,2026-02-25T13:45:00,423.15,1.0,,7.194980944980974
SBIN,2026-02-03T13:45:00,1065.0,2026-02-20T10:15:00,18.539898789667667,137,2026-02-20T10:15:00,1206.4,1211.0,1206.4,1210.0,1211.120197204607,1204.9115035976265,0.5152821255704262,21.451304374523744,18.539898789667667,0,1210.05,10,1,2026-02-20T10:45:00,1210.3,1.0,,18.539898789667667
ITC,2026-02-17T10:15:00,325.2,2026-02-20T09:45:00,8.918737306662186,35,2026-02-20T09:45:00,326.75,327.0,325.3,326.0,327.97657937256787,325.97917260080754,0.6127406103353539,9.38881896667522,8.918737306662186,0,326.05,10,1,2026-02-20T10:15:00,326.05,1.0,,8.918737306662186
ITC,2026-02-17T10:15:00,325.2,2026-02-19T14:45:00,8.9061634437666,33,2026-02-19T14:45:00,327.45,327.7,325.65,325.8,328.3461814495912,325.9509070948356,0.7348573980371509,9.141535738842874,8.9061634437666,0,325.85,10,1,2026-02-20T09:15:00,325.85,1.0,,8.9061634437666
SBIN,2026-02-03T13:45:00,1065.0,2026-02-19T12:45:00,13.29463532904368,130,2026-02-19T12:45:00,1209.2,1213.8,1209.2,1213.0,1213.943130252468,1203.77436096772,0.8447404774905989,17.745916838855322,13.29463532904368,0,1213.05,10,1,2026-02-19T14:15:00,1213.05,3.0,,13.29463532904368
ICICIBANK,2026-02-03T10:15:00,1398.6,2026-02-17T10:15:00,14.021026131971803,108,2026-02-17T10:15:00,1400.0,1403.1,1397.9,1398.1,1412.5318303794843,1411.2130019770857,0.0934535325674393,14.187675070027987,14.021026131971803,0,1398.15,10,1,2026-02-17T10:45:00,1398.6,1.0,,14.021026131971803
ICICIBANK,2026-02-03T10:15:00,1398.6,2026-02-13T13:15:00,10.110658772571382,102,2026-02-13T13:15:00,1417.5,1418.2,1414.6,1415.4,1418.603443861075,1412.6732959310823,0.4197819798160731,14.094370536250697,10.110658772571382,0,1415.45,10,1,2026-02-13T13:45:00,1415.45,1.0,,10.110658772571382
KOTAKBANK,2026-02-06T11:45:00,422.7,2026-02-13T11:15:00,8.78520136958335,59,2026-02-13T11:15:00,423.8,424.05,422.9,423.8,426.439635683431,426.1088338030762,0.0776331899534526,9.037575182677024,8.78520136958335,0,423.85,10,1,2026-02-13T11:45:00,423.85,1.0,,8.78520136958335
