symbol,trades,win_rate,profit_factor,sharpe_ann,max_dd_pct,total_ret_pct
COLPAL,35,45.71,2.716,5.19,3.24,20.05
RELIANCE,46,36.96,3.807,3.64,8.94,49.28
BANKBARODA,59,47.46,1.987,3.43,6.74,27.4
ASIANPAINT,42,30.95,2.538,3.14,7.3,27.9
INFY,46,45.65,2.22,2.95,5.43,24.8
M&M,56,35.71,1.812,2.9,13.37,32.02
BEL,48,27.08,1.892,2.54,19.38,26.2
HINDUNILVR,34,41.18,1.773,2.51,4.61,11.32
VEDL,46,30.43,1.708,2.4,9.91,23.14
INDUSINDBK,39,35.9,2.114,2.37,4.99,20.27
ICICIBANK,57,31.58,1.79,2.29,9.38,16.89
PNB,49,30.61,1.534,1.89,10.35,14.51
BAJAJ-AUTO,47,34.04,1.653,1.87,5.76,15.17
ITC,32,28.12,1.377,1.77,5.38,5.25
GAIL,35,25.71,1.454,1.73,8.52,10.25
PERSISTENT,54,27.78,1.445,1.7,10.0,14.62
VOLTAS,60,28.33,1.515,1.61,17.7,23.71
BHARTIARTL,47,36.17,1.293,1.4,8.91,7.49
MARICO,58,22.41,1.418,1.33,12.58,12.24
MCX,53,45.28,1.307,1.3,19.94,13.71
SBIN,68,33.82,1.278,1.26,7.37,8.17
DRREDDY,32,34.38,1.286,1.23,9.0,3.63
HDFCBANK,59,30.51,1.28,1.16,6.54,7.09
MARUTI,56,28.57,1.282,0.99,15.63,8.32
HCLTECH,56,33.93,1.171,0.94,8.69,4.41
HDFCLIFE,30,33.33,1.2,0.87,4.54,2.54
DLF,22,40.91,1.133,0.68,4.44,1.27
AXISBANK,45,31.11,1.13,0.58,13.34,3.69
DELHIVERY,57,24.56,1.145,0.56,13.6,5.26
BAJAJFINSV,43,27.91,1.109,0.46,9.88,2.63
CUMMINSIND,64,28.12,1.094,0.43,24.64,4.4
MUTHOOTFIN,60,18.33,1.083,0.26,12.34,3.04
EICHERMOT,51,27.45,1.052,0.24,12.9,1.39
CHOLAFIN,42,30.95,1.045,0.24,13.43,1.22
KOTAKBANK,41,26.83,0.946,-0.27,8.45,-1.0
GODREJPROP,38,28.95,0.924,-0.4,17.83,-2.41
FEDERALBNK,66,28.79,0.903,-0.41,11.59,-3.36
ADANIPORTS,33,21.21,0.909,-0.5,12.95,-1.65
TATAPOWER,39,33.33,0.917,-0.53,7.23,-1.65
APOLLOHOSP,45,37.78,0.887,-0.6,5.17,-1.94
SIEMENS,56,28.57,0.857,-0.63,32.43,-6.22
JINDALSTEL,48,22.92,0.885,-0.66,12.85,-3.64
COFORGE,61,24.59,0.851,-0.79,16.62,-5.81
IDFCFIRSTB,40,22.5,0.853,-0.82,20.56,-4.95
HAVELLS,28,32.14,0.854,-0.84,9.93,-2.2
COALINDIA,35,20.0,0.849,-0.9,17.51,-3.38
GRASIM,45,22.22,0.779,-1.27,17.09,-6.42
HINDALCO,79,24.05,0.768,-1.36,26.08,-14.42
DIVISLAB,55,27.27,0.756,-1.39,11.45,-7.22
TATASTEEL,41,34.15,0.776,-1.44,12.13,-4.48
HEROMOTOCO,52,38.46,0.758,-1.54,16.51,-8.96
PAYTM,49,34.69,0.742,-1.54,17.2,-14.79
WIPRO,52,26.92,0.74,-1.57,24.33,-9.77
NTPC,38,26.32,0.718,-1.65,13.59,-6.2
ADANIENT,35,28.57,0.702,-1.77,12.19,-8.01
IOC,48,33.33,0.726,-1.79,11.52,-7.96
POWERGRID,36,22.22,0.661,-1.93,12.53,-8.07
TATACONSUM,34,14.71,0.626,-2.57,15.77,-8.94
BRITANNIA,45,24.44,0.632,-2.66,11.62,-7.96
SHREECEM,45,22.22,0.609,-2.77,13.16,-9.82
BAJFINANCE,44,31.82,0.565,-2.84,21.17,-18.6
TITAN,43,27.91,0.521,-3.53,17.21,-13.67
TECHM,51,23.53,0.575,-3.57,16.0,-11.24
TCS,47,25.53,0.571,-3.59,13.17,-11.36
DABUR,41,17.07,0.521,-3.6,15.65,-12.69
ULTRACEMCO,41,26.83,0.551,-3.72,13.53,-10.59
SUNPHARMA,58,27.59,0.545,-3.8,16.73,-14.33
LT,46,21.74,0.504,-3.98,13.13,-13.21
JSWSTEEL,74,22.97,0.483,-4.36,25.13,-21.89
HAL,38,21.05,0.459,-4.57,14.83,-14.94
ONGC,47,29.79,0.355,-4.57,23.97,-20.05
BPCL,60,21.67,0.432,-5.67,29.38,-26.85
TRENT,50,26.0,0.296,-6.26,33.51,-32.04
CIPLA,48,29.17,0.338,-6.53,24.15,-20.0
SBILIFE,55,21.82,0.278,-7.59,23.54,-21.5
AMBUJACEM,29,17.24,0.38,-7.8,10.41,-11.65
PIDILITIND,50,14.0,0.233,-9.47,22.14,-22.55
NESTLEIND,41,17.07,0.231,-10.86,18.36,-18.07
IRCTC,36,19.44,0.182,-11.76,23.47,-21.51
