rule,gate,trades,trades_per_yr,win_rate,profit_factor,expectancy_pct,annual_ret_pct,sharpe_ann,max_dd_pct,calmar
R4_sh1.5,G0_no_gate,147,99.0,23.81,0.756,-0.2028,-20.17,-1.73,38.25,-0.53
R4_sh1.5,G1_vol30m_above_0.20,58,39.0,20.69,0.63,-0.3343,-13.12,-2.64,24.14,-0.54
R4_sh1.5,G2_vol30m_above_0.25,9,6.0,22.22,0.291,-0.6956,-4.23,-9.32,6.29,-0.67
R4_sh1.5,G3_below_ema50d,2,1.0,0.0,0.0,-1.469,-1.99,-36.67,2.12,-0.94
R4_sh1.5,G5_vol30m_above_0.20_OR_below_ema50d,60,41.0,20.0,0.617,-0.342,-13.88,-2.73,24.14,-0.57
R4_sh1.5,G6_dailyvol20_above_0.8,17,11.0,35.29,2.672,1.1594,13.33,4.52,10.15,1.31
R9_totret5,G0_no_gate,80,54.0,26.25,0.913,-0.0773,-4.18,-0.53,21.08,-0.2
R9_totret5,G1_vol30m_above_0.20,40,27.0,20.0,0.547,-0.4742,-12.83,-3.45,19.9,-0.64
R9_totret5,G2_vol30m_above_0.25,6,4.0,33.33,0.417,-0.5975,-2.42,-6.45,2.9,-0.84
R9_totret5,G5_vol30m_above_0.20_OR_below_ema50d,42,28.0,19.05,0.533,-0.4784,-13.59,-3.54,19.9,-0.68
R9_totret5,G6_dailyvol20_above_0.8,14,9.0,21.43,1.44,0.3709,3.51,2.33,9.73,0.36
ALL,G0_no_gate,475,321.0,26.74,0.962,-0.0252,-8.1,-0.2,79.3,-0.1
ALL,G1_vol30m_above_0.20,151,102.0,31.13,1.308,0.1925,19.66,1.28,23.33,0.84
ALL,G2_vol30m_above_0.25,18,12.0,27.78,0.611,-0.3714,-4.52,-3.28,8.05,-0.56
ALL,G3_below_ema50d,2,1.0,0.0,0.0,-1.469,-1.99,-36.67,2.12,-0.94
ALL,G5_vol30m_above_0.20_OR_below_ema50d,170,115.0,28.24,1.114,0.0746,8.58,0.53,26.24,0.33
ALL,G6_dailyvol20_above_0.8,32,22.0,21.88,1.284,0.2207,4.78,1.25,20.45,0.23
