seg_idx,seg_dir,seg_entry_dt,seg_end_dt,seg_bars,cst_idx,cst_dt,cst_close,cst_atr,continuation_pts,reversal_pts,outcome,mfe_before_cst,mfe_after_cst,mfe_extension_pct
0,-1,2024-03-05 09:30:00,2024-03-07 13:00:00,32,31,2024-03-05 11:30:00,22339.7,44.025734588779834,115.35000000000218,181.59999999999854,CST_CORRECT,78.0,122.80000000000291,0.5743589743590116
1,-1,2024-03-13 11:00:00,2024-03-21 10:00:00,71,92,2024-03-13 12:00:00,22084.55,62.611059243871395,374.34999999999854,120.04999999999927,TREND_CONTINUED,143.75,474.25,2.2991304347826085
2,1,2024-03-21 11:00:00,2024-04-12 13:30:00,138,163,2024-03-21 11:30:00,22011.2,59.72132536276461,764.5,127.90000000000146,TREND_CONTINUED,20.400000000001455,715.1500000000015,34.056372549017176
3,-1,2024-04-12 14:30:00,2024-04-22 09:30:00,51,303,2024-04-15 09:30:00,22343.85,54.92480071463563,518.5499999999993,83.60000000000218,TREND_CONTINUED,282.25,720.5,1.5527015057573073
4,1,2024-04-22 10:30:00,2024-05-02 15:00:00,82,356,2024-04-22 12:00:00,22284.65,67.1086217158839,498.6999999999971,27.150000000001455,TREND_CONTINUED,33.04999999999927,504.2999999999993,14.258698940998801
5,-1,2024-05-06 10:00:00,2024-05-14 11:30:00,76,445,2024-05-06 14:30:00,22427.05,55.44306776380908,606.0,66.29999999999927,TREND_CONTINUED,86.29999999999927,674.7000000000007,6.818076477404477
6,1,2024-05-14 12:30:00,2024-05-29 09:30:00,106,517,2024-05-14 14:30:00,22236.75,57.63418860834209,789.6500000000015,182.20000000000073,TREND_CONTINUED,46.29999999999927,802.6500000000015,16.335853131749765
7,-1,2024-05-29 11:00:00,2024-05-31 15:00:00,33,622,2024-05-29 11:30:00,22735.2,48.472447795057086,318.2000000000007,67.20000000000073,TREND_CONTINUED,29.5,318.09999999999854,9.783050847457577
8,1,2024-06-03 10:00:00,2024-06-03 15:00:00,11,658,2024-06-03 11:30:00,23227.7,81.6715265246942,80.54999999999927,66.70000000000073,NEUTRAL,29.349999999998545,105.25,2.5860306643954076
9,1,2024-06-06 10:00:00,2024-07-10 10:00:00,241,683,2024-06-06 12:00:00,22767.55,139.25024392465087,1676.0499999999993,122.39999999999782,TREND_CONTINUED,58.650000000001455,1592.0999999999985,26.145780051150197
10,1,2024-07-12 11:00:00,2024-07-19 14:30:00,56,946,2024-07-12 11:30:00,24494.2,58.41592769071365,343.5499999999993,15.950000000000728,TREND_CONTINUED,99.35000000000218,344.90000000000146,2.471565173628524
11,-1,2024-07-23 09:30:00,2024-07-26 12:00:00,42,1004,2024-07-23 10:30:00,24481.8,55.54284190508614,407.59999999999854,175.04999999999927,TREND_CONTINUED,63.25,412.7999999999993,5.526482213438723
12,1,2024-07-26 13:00:00,2024-08-01 15:00:00,41,1051,2024-07-29 10:00:00,24902.9,63.14080377820238,161.4499999999971,128.3000000000029,TREND_CONTINUED,151.34999999999854,280.59999999999854,0.8539808391146432
13,-1,2024-08-02 14:30:00,2024-08-12 10:30:00,53,1099,2024-08-05 10:00:00,24273.0,75.01152938181005,379.2999999999993,146.75,TREND_CONTINUED,538.6500000000015,837.4500000000007,0.5547201336674993
14,1,2024-08-16 13:30:00,2024-09-05 15:00:00,160,1194,2024-08-19 09:30:00,24585.25,62.6211567081163,736.75,62.29999999999927,TREND_CONTINUED,144.15000000000146,840.2000000000007,4.828650711064809
15,-1,2024-09-06 10:00:00,2024-09-10 12:30:00,30,1353,2024-09-06 11:00:00,24904.2,48.10666809159589,151.04999999999927,180.34999999999854,CST_CORRECT,88.75,195.1999999999971,1.199436619718277
16,1,2024-09-10 13:30:00,2024-09-27 15:00:00,136,1410,2024-09-13 09:30:00,25326.55,70.3811351362896,950.7999999999993,41.0,TREND_CONTINUED,316.84999999999854,1160.8499999999985,2.66372100362949
17,-1,2024-09-30 10:30:00,2024-10-28 10:00:00,204,1523,2024-09-30 12:00:00,25900.8,54.981192463841246,1826.8999999999978,7.900000000001455,TREND_CONTINUED,57.54999999999927,1865.949999999997,31.423110338836153
18,1,2024-10-28 12:00:00,2024-10-31 15:00:00,43,1728,2024-10-28 12:30:00,24428.35,70.498999107308,69.85000000000218,287.5,CST_CORRECT,13.44999999999709,19.049999999999272,0.41635687732367244
19,-1,2024-11-04 10:00:00,2024-11-05 14:30:00,22,1774,2024-11-04 11:30:00,23887.45,66.2982993874773,44.70000000000073,330.9500000000007,CST_CORRECT,118.19999999999709,118.19999999999709,0.0
