seg_idx,seg_dir,seg_entry_dt,seg_end_dt,seg_bars,cst_idx,cst_dt,cst_close,cst_atr,continuation_pts,reversal_pts,outcome,mfe_before_cst,mfe_after_cst,mfe_extension_pct
0,-1,2024-03-05 09:30:00,2024-03-07 13:00:00,32,31,2024-03-05 11:30:00,22339.7,44.025734588779834,115.35000000000218,181.59999999999854,CST_CORRECT,78.0,122.80000000000291,0.5743589743590116
0,-1,2024-03-05 09:30:00,2024-03-07 13:00:00,32,42,2024-03-06 11:00:00,22302.05,49.840341480304446,77.70000000000073,219.25,CST_CORRECT,96.95000000000073,122.80000000000291,0.2666322846828467
1,-1,2024-03-13 11:00:00,2024-03-21 10:00:00,71,92,2024-03-13 12:00:00,22084.55,62.611059243871395,374.34999999999854,120.04999999999927,TREND_CONTINUED,143.75,474.25,2.2991304347826085
1,-1,2024-03-13 11:00:00,2024-03-21 10:00:00,71,98,2024-03-13 15:00:00,21981.05,69.18250973257561,270.84999999999854,223.54999999999927,TREND_CONTINUED,278.7999999999993,474.25,0.701040172166432
1,-1,2024-03-13 11:00:00,2024-03-21 10:00:00,71,117,2024-03-15 12:30:00,21985.15,63.474472420761934,274.9500000000007,138.54999999999927,TREND_CONTINUED,278.7999999999993,474.25,0.701040172166432
1,-1,2024-03-13 11:00:00,2024-03-21 10:00:00,71,139,2024-03-19 11:30:00,21830.3,64.53638424784387,120.09999999999854,249.35000000000218,CST_CORRECT,376.0,474.25,0.2613031914893617
1,-1,2024-03-13 11:00:00,2024-03-21 10:00:00,71,149,2024-03-20 10:30:00,21785.35,59.924067144849246,25.149999999997817,294.3000000000029,CST_CORRECT,474.25,474.25,0.0
2,1,2024-03-21 11:00:00,2024-04-12 13:30:00,138,163,2024-03-21 11:30:00,22011.2,59.72132536276461,764.5,127.90000000000146,TREND_CONTINUED,20.400000000001455,715.1500000000015,34.056372549017176
2,1,2024-03-21 11:00:00,2024-04-12 13:30:00,138,178,2024-03-22 13:00:00,22107.25,54.17088200005523,668.4500000000007,114.95000000000073,TREND_CONTINUED,57.95000000000073,715.1500000000015,11.340811044003322
2,1,2024-03-21 11:00:00,2024-04-12 13:30:00,138,200,2024-03-27 12:00:00,22157.55,45.395397908660435,618.1500000000015,64.25,TREND_CONTINUED,122.79999999999927,715.1500000000015,4.8236970684039555
