symbol,n_sessions,first_session,last_session,avg_range_pct,median_range_pct,avg_abs_ret_pct,trending_up_freq,trending_dn_freq,trending_freq,ranging_freq,open_eq_low_freq,open_eq_high_freq,gap_up_3_freq,gap_dn_3_freq,avg_volume,avg_close
BHARTIARTL,436,2024-03-18,2026-03-13,1.998,1.778,0.938,0.158,0.165,0.323,0.665,0.053,0.067,0.354,0.244,6772176,1729.97
HDFCBANK,436,2024-03-18,2026-03-13,1.543,1.417,0.733,0.156,0.17,0.326,0.667,0.08,0.083,0.306,0.34,27788054,894.56
ICICIBANK,436,2024-03-18,2026-03-13,1.635,1.454,0.76,0.19,0.181,0.372,0.622,0.06,0.044,0.248,0.324,12347790,1304.88
INFY,436,2024-03-18,2026-03-13,1.966,1.778,0.941,0.161,0.193,0.353,0.633,0.071,0.087,0.345,0.32,7668233,1635.58
KOTAKBANK,436,2024-03-18,2026-03-13,1.845,1.668,0.842,0.172,0.222,0.394,0.585,0.039,0.039,0.267,0.26,6826503,1627.05
SBIN,436,2024-03-18,2026-03-13,1.907,1.624,0.948,0.163,0.211,0.374,0.612,0.032,0.028,0.326,0.145,13107166,849.54
TCS,436,2024-03-18,2026-03-13,1.809,1.622,0.906,0.147,0.25,0.397,0.592,0.053,0.067,0.26,0.264,2660923,3628.15
ITC,436,2024-03-18,2026-03-13,1.706,1.48,0.84,0.161,0.218,0.378,0.608,0.037,0.055,0.276,0.159,17581569,400.2
HINDUNILVR,436,2024-03-18,2026-03-13,1.894,1.649,0.903,0.172,0.19,0.362,0.619,0.046,0.083,0.246,0.186,1815500,2452.75
RELIANCE,436,2024-03-18,2026-03-13,1.722,1.514,0.867,0.174,0.241,0.415,0.576,0.034,0.048,0.285,0.246,12107292,1406.8
BANKNIFTY,445,2024-03-18,2026-03-25,1.13,0.991,0.542,0.225,0.204,0.429,0.557,0.036,0.027,0.255,0.205,0,53577.25
NIFTY50,445,2024-03-18,2026-03-25,0.947,0.838,0.486,0.222,0.204,0.427,0.56,0.025,0.027,0.243,0.173,0,24379.91
AARTIIND,442,2024-03-18,2026-03-24,2.961,2.522,1.522,0.17,0.262,0.432,0.554,0.02,0.05,0.345,0.17,1449550,486.17
AAVAS,442,2024-03-18,2026-03-24,2.947,2.595,1.378,0.111,0.222,0.333,0.649,0.068,0.086,0.317,0.236,259247,1669.57
ABBOTINDIA,442,2024-03-18,2026-03-24,2.286,2.002,1.115,0.165,0.251,0.416,0.559,0.032,0.102,0.408,0.175,11197,29074.74
ABCAPITAL,442,2024-03-18,2026-03-24,2.96,2.663,1.471,0.195,0.229,0.423,0.557,0.034,0.048,0.397,0.175,5482914,246.49
ACC,442,2024-03-18,2026-03-24,2.226,1.957,1.052,0.133,0.247,0.38,0.6,0.025,0.079,0.365,0.141,353590,2062.43
ADANIGREEN,442,2024-03-18,2026-03-24,3.654,3.034,1.834,0.122,0.324,0.446,0.545,0.029,0.05,0.454,0.195,2980418,1257.5
ADANIPOWER,442,2024-03-18,2026-03-24,3.618,2.919,1.813,0.118,0.328,0.446,0.538,0.02,0.043,0.474,0.17,32705016,125.98
ADVENZYMES,442,2024-03-18,2026-03-24,3.742,3.44,1.785,0.149,0.24,0.389,0.588,0.07,0.07,0.408,0.27,337092,348.74
