family,params,tp_pct,sl_pct,max_hold_bars,n_stocks,n_trades,win_rate,avg_win,avg_loss,profit_factor,sharpe,max_dd_pct,total_return_pct,trades_per_stock_year,aws,passes_gates
or_breakout,"{'or_minutes': 5, 'min_volume_mult': 1.0, 'rsi_min': 50, 'vwap_align': True}",0.5,0.3,12,30,6227,0.4026,0.3722,-0.268,0.936,-1.638,69.714,-63.65,117.9,0.0,0
or_breakout,"{'or_minutes': 5, 'min_volume_mult': 1.0, 'rsi_min': 50, 'vwap_align': True}",0.8,0.4,24,30,6227,0.3907,0.5382,-0.3536,0.976,-0.515,59.129,-32.08,117.9,0.0,0
or_breakout,"{'or_minutes': 5, 'min_volume_mult': 1.0, 'rsi_min': 50, 'vwap_align': True}",1.0,0.5,36,30,6227,0.3947,0.6335,-0.4279,0.965,-0.704,73.721,-55.67,117.9,0.0,0
or_breakout,"{'or_minutes': 5, 'min_volume_mult': 1.0, 'rsi_min': 50, 'vwap_align': True}",1.5,0.7,48,30,6227,0.4137,0.7548,-0.5453,0.977,-0.419,78.375,-46.64,117.9,0.0,0
or_breakout,"{'or_minutes': 5, 'min_volume_mult': 1.0, 'rsi_min': 50, 'vwap_align': True}",2.0,1.0,60,30,6227,0.4336,0.8421,-0.6681,0.965,-0.548,101.978,-82.56,117.9,0.0,0
or_breakout,"{'or_minutes': 5, 'min_volume_mult': 1.0, 'rsi_min': 55, 'vwap_align': True}",0.5,0.3,12,30,6161,0.4004,0.3731,-0.2677,0.931,-1.796,75.274,-68.34,116.7,0.0,0
or_breakout,"{'or_minutes': 5, 'min_volume_mult': 1.0, 'rsi_min': 55, 'vwap_align': True}",0.8,0.4,24,30,6161,0.3876,0.5387,-0.3527,0.967,-0.731,62.487,-44.26,116.7,0.0,0
or_breakout,"{'or_minutes': 5, 'min_volume_mult': 1.0, 'rsi_min': 55, 'vwap_align': True}",1.0,0.5,36,30,6161,0.3923,0.6345,-0.4271,0.959,-0.852,80.818,-65.5,116.7,0.0,0
or_breakout,"{'or_minutes': 5, 'min_volume_mult': 1.0, 'rsi_min': 55, 'vwap_align': True}",1.5,0.7,48,30,6161,0.4124,0.7552,-0.5424,0.977,-0.407,73.157,-44.57,116.7,0.0,0
or_breakout,"{'or_minutes': 5, 'min_volume_mult': 1.0, 'rsi_min': 55, 'vwap_align': True}",2.0,1.0,60,30,6161,0.4319,0.8424,-0.664,0.964,-0.564,102.621,-82.59,116.7,0.0,0
or_breakout,"{'or_minutes': 5, 'min_volume_mult': 1.0, 'rsi_min': 60, 'vwap_align': True}",0.5,0.3,12,30,5956,0.4003,0.3754,-0.2672,0.938,-1.557,68.472,-59.42,112.8,0.0,0
