family,params,tp_pct,sl_pct,max_hold_bars,n_stocks,n_trades,win_rate,avg_win,avg_loss,profit_factor,sharpe,max_dd_pct,total_return_pct,trades_per_stock_year,aws,passes_gates
volume_thrust,"{'vol_mult': 2.5, 'thrust_atr': 0.8, 'vwap_align': True}",0.5,0.3,12,30,6519,0.4011,0.3529,-0.2597,0.91,-2.18,106.418,-90.95,123.5,0.0,0
volume_thrust,"{'vol_mult': 2.5, 'thrust_atr': 0.8, 'vwap_align': True}",0.8,0.4,24,30,6519,0.3893,0.4978,-0.3385,0.938,-1.352,113.964,-84.02,123.5,0.0,0
volume_thrust,"{'vol_mult': 2.5, 'thrust_atr': 0.8, 'vwap_align': True}",1.0,0.5,36,30,6519,0.4091,0.5872,-0.4083,0.996,-0.085,44.107,-6.7,123.5,0.0,0
volume_thrust,"{'vol_mult': 2.5, 'thrust_atr': 0.8, 'vwap_align': True}",1.5,0.7,48,30,6519,0.4252,0.7005,-0.5077,1.021,0.359,46.672,39.57,123.5,0.4561,0
volume_thrust,"{'vol_mult': 2.5, 'thrust_atr': 0.8, 'vwap_align': True}",2.0,1.0,60,30,6519,0.4412,0.7707,-0.5903,1.031,0.489,34.61,65.91,123.5,0.6511,0
volume_thrust,"{'vol_mult': 2.5, 'thrust_atr': 1.0, 'vwap_align': True}",0.5,0.3,12,30,5932,0.3978,0.3595,-0.2593,0.916,-1.987,98.929,-77.67,112.3,0.0,0
volume_thrust,"{'vol_mult': 2.5, 'thrust_atr': 1.0, 'vwap_align': True}",0.8,0.4,24,30,5932,0.3864,0.5051,-0.3399,0.936,-1.358,117.647,-79.48,112.3,0.0,0
volume_thrust,"{'vol_mult': 2.5, 'thrust_atr': 1.0, 'vwap_align': True}",1.0,0.5,36,30,5932,0.4053,0.5983,-0.408,0.999,-0.017,49.282,-1.27,112.3,0.0,0
volume_thrust,"{'vol_mult': 2.5, 'thrust_atr': 1.0, 'vwap_align': True}",1.5,0.7,48,30,5932,0.4253,0.7013,-0.5094,1.019,0.323,43.132,32.97,112.3,0.4048,0
volume_thrust,"{'vol_mult': 2.5, 'thrust_atr': 1.0, 'vwap_align': True}",2.0,1.0,60,30,5932,0.4422,0.7698,-0.5888,1.036,0.575,33.35,70.77,112.3,0.7637,0
volume_thrust,"{'vol_mult': 2.5, 'thrust_atr': 1.5, 'vwap_align': True}",0.5,0.3,12,30,4050,0.38,0.378,-0.2678,0.865,-2.677,104.444,-90.69,76.7,0.0,0
volume_thrust,"{'vol_mult': 2.5, 'thrust_atr': 1.5, 'vwap_align': True}",0.8,0.4,24,30,4050,0.378,0.5342,-0.3526,0.921,-1.383,96.223,-70.3,76.7,0.0,0
volume_thrust,"{'vol_mult': 2.5, 'thrust_atr': 1.5, 'vwap_align': True}",1.0,0.5,36,30,4050,0.4002,0.6281,-0.4229,0.991,-0.152,42.732,-9.18,76.7,0.0,0
volume_thrust,"{'vol_mult': 2.5, 'thrust_atr': 1.5, 'vwap_align': True}",1.5,0.7,48,30,4050,0.4254,0.7455,-0.5297,1.042,0.643,30.056,51.86,76.7,0.7896,0
volume_thrust,"{'vol_mult': 2.5, 'thrust_atr': 1.5, 'vwap_align': True}",2.0,1.0,60,30,4050,0.4454,0.8126,-0.6268,1.041,0.617,33.179,58.04,76.7,0.7925,0
volume_thrust,"{'vol_mult': 3.0, 'thrust_atr': 0.8, 'vwap_align': True}",0.5,0.3,12,30,5482,0.3995,0.3504,-0.2601,0.896,-2.339,100.828,-88.93,103.8,0.0,0
volume_thrust,"{'vol_mult': 3.0, 'thrust_atr': 0.8, 'vwap_align': True}",0.8,0.4,24,30,5482,0.3851,0.4913,-0.3369,0.913,-1.762,111.779,-98.41,103.8,0.0,0
volume_thrust,"{'vol_mult': 3.0, 'thrust_atr': 0.8, 'vwap_align': True}",1.0,0.5,36,30,5482,0.409,0.5773,-0.4102,0.974,-0.505,67.826,-34.74,103.8,0.0,0
volume_thrust,"{'vol_mult': 3.0, 'thrust_atr': 0.8, 'vwap_align': True}",1.5,0.7,48,30,5482,0.4236,0.69,-0.5081,0.998,-0.038,46.238,-3.55,103.8,0.0,0
